CHILDCODE	CHMVIDR5	YRMOVER5	MSMOVER5	WHRMVER5	LOCMVER5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPFMR5	MVOTRLR5	MVNONHR5	RSNMVR51
150007	1	2016	7	5	1	0	0	1	1	0	0	0	0	5
150021	1	2016	2	5	4	0	0	1	0	0	0	0	0	15
150053	1	2013	36	3	4	0	1	1	1	0	0	0	0	5
150075	1	2016	4	5	4	0	1	1	1	0	0	1	0	5
150097	1	2014	0	5	3	0	1	1	0	0	0	0	0	5
150129	1	2013	36	2	4	0	1	1	1	0	0	0	0	5
150139	1	2016	2	5	2	0	1	0	0	0	0	0	0	3
160002	1	2016	0	2	5	1	 	 	 	 	 	 	 	8
160028	1	2015	18	5	2	1	 	 	 	 	 	 	 	2
160032	1	2015	18	4	3	0	0	1	0	0	0	0	0	5
160042	1	2016	5	7	10	0	0	1	0	0	0	0	0	4
160044	1	 	 	 	 	 	 	 	 	 	 	 	 	 
160046	1	2015	20	2	2	0	0	1	0	0	0	0	0	5
160053	1	2014	32	3	2	1	 	 	 	 	 	 	 	2
160058	1	2016	3	5	2	0	0	1	1	0	0	0	0	5
160072	1	2016	4	4	1	1	 	 	 	 	 	 	 	1
160090	1	2012	0	5	4	0	1	1	1	88	88	0	0	6
160090	2	2016	7	4	2	1	 	 	 	 	 	 	 	2
160104	1	2016	4	4	4	0	1	0	0	0	0	0	0	2
170003	1	2016	6	2	1	0	1	1	1	0	0	0	0	7
170007	1	2014	24	2	2	0	1	1	1	0	0	0	0	6
170011	1	2012	48	2	2	0	1	1	1	0	0	0	0	6
170015	1	2015	14	3	1	0	1	1	1	0	0	0	0	12
170024	1	2011	0	2	2	0	1	1	1	0	0	0	0	7
170026	1	2016	5	3	1	0	1	1	1	0	0	0	0	7
170027	1	2016	1	3	10	0	0	1	1	0	0	0	0	7
170036	1	2003	0	3	1	0	1	1	1	0	0	1	0	15
170037	1	2016	0	3	1	0	0	1	1	0	0	0	0	8
170039	1	2016	7	3	1	0	1	0	1	0	0	1	0	7
170045	1	2016	6	2	1	0	1	1	1	0	0	0	0	7
170050	1	2013	34	3	2	0	1	1	1	0	0	0	0	6
170053	1	2016	0	2	1	0	1	0	0	0	0	0	0	8
170059	1	2016	0	2	1	0	0	1	1	0	0	0	0	8
170062	1	2013	36	2	2	0	1	1	1	0	0	0	0	7
170064	1	2015	17	2	1	0	1	1	1	0	0	0	0	7
170068	1	2014	24	2	1	0	1	1	1	0	0	0	0	7
170070	1	2014	0	3	1	0	1	1	1	0	0	0	0	7
170086	1	2016	10	3	1	0	1	1	1	0	0	0	0	7
170089	1	2015	0	2	1	0	1	1	1	0	0	0	0	15
170091	1	2009	7	2	2	0	1	1	1	0	0	0	0	5
170126	1	2007	0	2	1	0	1	1	1	0	0	0	0	7
170132	1	 	 	 	 	 	 	 	 	 	 	 	 	 
180057	1	 	 	 	 	 	 	 	 	 	 	 	 	 
180070	1	2015	0	3	1	0	0	1	0	0	0	0	0	8
180082	1	2016	7	3	2	0	0	0	0	0	0	1	0	15
180106	1	2014	24	2	1	0	1	1	1	0	0	1	0	7
180123	1	2014	24	3	1	0	1	1	1	88	88	88	88	7
180128	1	2013	36	2	2	0	1	1	1	0	0	0	0	6
190017	1	2014	3	3	1	1	 	 	 	 	 	 	 	1
190020	1	2016	1	3	1	1	 	 	 	 	 	 	 	1
190079	1	2014	23	2	2	0	0	1	1	0	0	0	0	7
190095	1	2016	6	2	1	0	0	1	0	0	0	0	0	5
190100	1	2016	2	2	1	0	0	0	0	0	0	0	1	3
190113	1	2014	0	2	1	0	0	1	0	0	0	0	0	7
200011	1	2016	1	3	1	0	1	1	1	0	0	0	0	15
200013	1	2013	0	2	1	0	1	1	1	0	0	0	0	5
200016	1	2016	5	2	10	0	1	1	1	0	0	0	0	7
200027	1	2016	5	3	1	0	1	1	1	0	0	0	0	15
200030	1	2015	13	2	1	0	1	1	0	0	0	0	0	7
200049	1	2016	0	2	1	0	1	1	1	0	0	0	0	7
200074	1	2014	0	3	1	0	0	1	1	0	0	0	0	11
200079	1	2016	0	3	1	0	0	1	1	0	0	0	0	15
200087	1	2014	3	3	1	0	1	1	1	0	0	0	0	5
200087	2	2014	24	5	4	1	 	 	 	 	 	 	 	2
200088	1	2015	14	2	2	0	1	1	1	0	0	1	0	7
