CHILDCODE	EDCHSTR5	ATSCR5	GRDER5	CMPGRDR5	SAMESCR5	TYSCR5	PROVR5	SCHNMER5
10121	2	1	8	1	1	 	 	 
10121	3	1	9	1	1	 	 	 
10121	4	1	10	4	0	3	1	182
10122	1	1	7	1	1	3	1	141
10122	2	1	8	1	1	 	 	 
10122	3	1	9	1	1	 	 	 
10122	4	1	10	4	0	3	1	189
10124	1	1	7	1	1	3	1	141
10124	2	1	8	1	1	 	 	 
10124	3	1	9	1	1	 	 	 
10124	4	1	10	4	0	3	1	191
10140	1	1	7	1	1	3	1	141
10140	2	1	8	1	1	 	 	 
10140	3	0	 	 	 	 	 	 
10140	4	0	 	 	 	 	 	 
20001	1	1	7	1	1	3	1	415
20001	2	1	8	1	1	 	 	 
20001	3	1	9	1	1	 	 	 
20001	4	1	10	4	0	3	1	358
20002	1	1	6	1	1	3	1	136
20002	2	1	7	1	1	 	 	 
20002	3	1	8	1	1	 	 	 
20002	4	1	9	4	1	 	 	 
20003	1	1	7	1	1	3	1	136
20003	2	1	8	1	1	 	 	 
20003	3	1	9	1	1	 	 	 
20003	4	0	 	 	 	 	 	 
20004	1	1	7	1	1	3	1	90
20004	2	1	8	1	1	 	 	 
20004	3	1	9	1	1	 	 	 
20004	4	1	10	4	0	3	1	358
20005	1	1	7	1	1	3	1	136
20005	2	1	8	1	1	 	 	 
20005	3	1	9	1	1	 	 	 
20005	4	1	10	4	0	3	1	358
20007	1	1	6	1	1	3	1	136
20007	2	1	8	1	1	 	 	 
20007	3	1	9	1	1	 	 	 
20007	4	1	10	4	0	3	1	358
20008	1	1	7	1	1	3	1	136
20008	2	1	8	1	1	 	 	 
20008	3	1	9	1	1	 	 	 
20008	4	0	 	 	 	 	 	 
20009	1	1	7	1	1	3	1	136
20009	2	1	8	1	1	 	 	 
20009	3	1	9	1	1	 	 	 
20009	4	1	10	4	0	3	1	358
20010	1	1	7	1	1	3	1	136
20010	2	1	8	1	1	 	 	 
20010	3	1	9	1	1	 	 	 
20010	4	1	10	4	0	3	1	358
20011	1	1	7	1	1	3	1	136
20011	2	1	8	1	1	 	 	 
20011	3	1	9	1	1	 	 	 
20011	4	0	 	 	 	 	 	 
20012	1	1	7	1	1	3	1	136
20012	2	1	8	1	1	 	 	 
20012	3	1	9	1	1	 	 	 
20012	4	1	10	4	0	3	1	358
20013	1	1	7	1	1	3	1	136
20013	2	1	8	1	1	 	 	 
20013	3	1	9	1	1	 	 	 
20013	4	1	10	4	0	3	1	358
20016	1	1	5	1	1	3	1	136
20016	2	1	6	1	1	 	 	 
20016	3	1	8	1	1	 	 	 
20016	4	1	9	4	1	 	 	 
20017	1	0	 	 	 	 	 	 
20017	2	0	 	 	 	 	 	 
20017	3	0	 	 	 	 	 	 
20017	4	0	 	 	 	 	 	 
20018	1	1	7	1	1	3	1	136
20018	2	1	8	1	1	 	 	 
20018	3	1	9	1	1	 	 	 
20018	4	1	10	4	0	3	1	358
20019	1	1	7	1	1	3	1	136
20019	2	1	8	1	1	 	 	 
20019	3	1	9	1	1	 	 	 
20019	4	1	10	4	0	3	1	358
20020	1	1	7	1	1	3	1	136
20020	2	1	8	1	1	 	 	 
