CHILDCODE	EDCHSTR4	EDGRADER4	TYSCR4	STATER4	DSSCR4	SCHNMER4
21036	13	0	 	 	 	 
21037	10	0	 	 	 	 
21037	11	0	 	 	 	 
21037	12	0	 	 	 	 
21037	13	0	 	 	 	 
21038	10	0	 	 	 	 
21038	11	0	 	 	 	 
21038	12	0	 	 	 	 
21038	13	0	 	 	 	 
21039	10	11	1	1	5	2860
21039	11	12	1	1	5	2860
21039	12	14	1	1	5	2854
21039	13	14	1	1	5	2854
21040	10	10	1	1	5	856
21040	11	11	1	1	5	2861
21040	12	12	1	1	5	2861
21040	13	15	1	1	6	2829
21042	10	10	3	1	5	881
21042	11	0	 	 	 	 
21042	12	0	 	 	 	 
21042	13	0	 	 	 	 
21043	10	11	3	1	4	2847
21043	11	12	3	1	5	3374
21043	12	15	3	1	5	2862
21043	13	15	3	1	5	2862
21044	10	0	 	 	 	 
21044	11	0	 	 	 	 
21044	12	0	 	 	 	 
21044	13	0	 	 	 	 
21045	10	0	 	 	 	 
21045	11	0	 	 	 	 
21045	12	0	 	 	 	 
21045	13	0	 	 	 	 
21046	10	14	1	1	5	2863
21046	11	14	1	1	5	2863
21046	12	0	 	 	 	 
21046	13	0	 	 	 	 
21047	10	10	3	1	5	883
21047	11	0	 	 	 	 
21047	12	0	 	 	 	 
21047	13	0	 	 	 	 
21048	10	0	 	 	 	 
21048	11	0	 	 	 	 
21048	12	0	 	 	 	 
21048	13	0	 	 	 	 
21049	10	10	1	1	5	885
21049	11	11	1	1	5	2857
21049	12	12	1	1	5	2857
21049	13	0	 	 	 	 
21050	10	12	3	1	5	877
21050	11	0	 	 	 	 
21050	12	15	1	1	5	2864
21050	13	15	1	1	5	2864
31002	10	12	1	1	1	2865
31002	11	15	1	1	5	2866
31002	12	15	1	1	5	2866
31002	13	15	1	1	5	2866
31004	10	11	1	1	1	2865
31004	11	12	1	1	1	2865
31004	12	15	1	1	1	2867
31004	13	15	1	1	1	2867
31005	10	12	3	1	1	2868
31005	11	15	3	1	1	2869
31005	12	15	3	1	1	2869
31005	13	15	3	1	1	2869
31006	10	13	1	1	3	2833
31006	11	0	 	 	 	 
31006	12	0	 	 	 	 
31006	13	0	 	 	 	 
31007	10	11	1	1	1	2865
31007	11	12	1	1	1	2865
31007	12	15	3	4	98	2871
31007	13	15	3	4	98	2871
31009	10	12	8	1	1	2872
31009	11	15	8	1	1	2873
31009	12	15	8	1	1	2873
31009	13	15	8	1	1	2873
31010	10	11	1	1	1	2874
31010	11	12	1	1	1	2875
31010	12	0	 	 	 	 
31010	13	15	1	1	1	2867
31011	10	12	1	1	1	2865
31011	11	15	1	1	1	2876
31011	12	15	1	1	1	2876
31011	13	15	1	1	1	2876
31012	10	11	1	1	1	2877
31012	11	12	1	1	1	2877
31012	12	14	1	1	6	2878
31012	13	15	1	1	1	2867
31013	10	11	1	1	3	2879
31013	11	12	1	1	3	2879
31013	12	15	1	1	2	2880
31013	13	15	1	1	2	2880
31014	10	0	 	 	 	 
31014	11	0	 	 	 	 
31014	12	0	 	 	 	 
31014	13	0	 	 	 	 
31015	10	0	 	 	 	 
31015	11	0	 	 	 	 
31015	12	0	 	 	 	 
31015	13	0	 	 	 	 
31016	10	0	 	 	 	 
31016	11	0	 	 	 	 
31016	12	0	 	 	 	 
31016	13	0	 	 	 	 
31018	10	12	1	1	3	288
31018	11	15	1	1	1	2882
31018	12	15	1	1	1	2882
31018	13	15	1	1	1	2882
31019	10	12	1	1	1	2865
31019	11	15	1	1	4	2883
31019	12	15	1	1	4	2883
31019	13	15	1	1	4	2883
31020	10	11	1	1	1	2865
31020	11	12	1	1	1	2865
31020	12	15	8	1	4	2884
31020	13	15	3	1	1	2885
31022	10	11	1	1	1	2886
31022	11	12	1	1	1	2886
31022	12	15	1	1	1	2887
31022	13	15	1	1	1	2887
31023	10	11	1	1	1	2877
31023	11	12	1	1	1	2877
31023	12	15	1	1	4	2884
31023	13	15	1	1	1	2867
31024	10	0	 	 	 	 
31024	11	11	1	1	1	2888
31024	12	12	1	1	1	2888
31024	13	15	1	1	1	2889
31025	10	10	1	1	1	2636
31025	11	11	1	1	1	9999
31025	12	12	1	1	1	2868
31025	13	15	1	1	1	2867
31026	10	10	3	1	1	2890
31026	11	0	 	 	 	 
31026	12	0	 	 	 	 
31026	13	0	 	 	 	 
31027	10	10	3	1	1	906
31027	11	11	1	1	1	2891
31027	12	12	1	1	1	2891
31027	13	15	1	1	1	2892
31028	10	0	 	 	 	 
31028	11	0	 	 	 	 
31028	12	0	 	 	 	 
31028	13	0	 	 	 	 
31029	10	11	1	1	1	2874
31029	11	12	1	1	1	2874
31029	12	0	 	 	 	 
31029	13	0	 	 	 	 
31030	10	8	3	1	1	906
31030	11	9	3	1	1	906
31030	12	0	 	 	 	 
31030	13	0	 	 	 	 
31031	10	10	3	1	1	900
31031	11	11	3	1	1	2893
31031	12	12	3	1	1	2893
31031	13	15	3	1	1	2894
31032	10	0	 	 	 	 
31032	11	0	 	 	 	 
