CHILDCODE	MOVEIDR4	YRMOVER4	MTHSTYR4	WHMOVER4	TYPKEBR4	RSNMVR41	RSNMVR42	KNWANYR4	KNWBSTR4
41036	1	2013	8	3	6	21	12	1	5
41037	1	2013	14	3	3	1	88	1	2
41040	1	2013	17	2	3	5	88	1	5
41041	1	2013	4	3	2	5	88	0	 
41042	1	2011	8	3	4	5	88	0	 
41044	1	2012	17	2	4	5	88	0	 
41045	1	2013	10	1	2	12	88	1	4
41046	1	2010	30	2	3	5	88	0	 
41048	1	2013	8	4	6	1	88	0	 
41050	1	2012	20	2	4	12	88	1	2
51003	1	2013	12	3	2	5	88	1	5
51004	1	2013	3	3	4	5	88	1	4
51004	2	2013	4	3	4	5	88	1	4
51005	1	2013	8	3	4	1	88	0	 
51006	1	2013	2	3	4	1	88	1	2
51007	1	2012	2	2	1	5	88	0	 
51007	2	2013	3	2	1	5	88	1	5
51008	1	2013	6	3	4	5	88	1	5
51008	2	2013	3	3	4	5	88	1	5
51008	3	2012	5	3	4	5	88	1	5
51008	4	2012	4	3	4	5	88	1	5
51008	5	2011	6	2	3	5	88	0	 
51008	6	2011	4	2	3	5	88	0	 
51008	7	2010	5	2	3	5	88	0	 
51008	8	2010	3	2	3	5	88	0	 
51009	1	2013	6	4	6	5	88	0	 
51009	2	2013	4	4	6	5	88	0	 
51009	3	2012	5	3	3	5	88	0	 
51009	4	2012	4	3	3	5	88	0	 
51009	5	2011	6	3	3	5	88	0	 
51009	6	2011	3	3	3	5	88	0	 
51011	1	2010	5	2	3	5	88	0	 
51011	2	2010	4	2	3	5	88	0	 
51012	1	2010	3	2	1	12	88	0	 
51013	1	2013	2	2	2	1	88	0	 
51013	2	2013	3	2	4	1	88	0	 
51013	3	2012	8	3	4	1	88	0	 
51014	1	2013	11	3	4	1	88	1	5
51014	2	2012	11	3	4	1	88	1	5
51014	3	2011	11	3	4	1	88	1	5
51014	4	2010	4	3	4	1	88	1	5
51015	1	2013	6	4	7	1	88	1	4
51015	2	2013	5	4	7	1	88	1	4
51015	3	2012	7	5	7	1	88	1	4
51015	4	2012	4	4	7	1	88	1	4
51015	5	2011	6	4	7	1	88	1	4
51015	6	2011	5	4	7	1	88	1	4
51015	7	2010	5	4	7	1	88	1	4
51015	8	2010	4	4	7	1	88	1	4
51015	9	2010	4	4	7	1	88	1	4
51019	1	2013	10	3	6	1	88	1	4
51019	2	2012	11	3	6	1	88	1	5
51019	3	2011	10	3	6	1	88	1	5
51019	4	2010	10	3	6	1	88	1	5
51020	1	2013	3	2	1	5	88	0	 
51021	1	2013	11	3	3	1	88	1	5
51021	2	2012	11	3	3	1	88	1	5
51021	3	2011	11	3	3	1	88	1	5
51021	4	2010	5	3	3	1	88	1	5
51021	5	2010	6	3	3	1	88	1	5
51023	1	2013	11	3	6	1	88	1	5
51023	2	2012	11	3	6	1	88	0	 
51023	3	2011	11	3	6	1	88	1	5
51023	4	2010	11	3	6	1	88	1	5
51024	1	2013	6	4	8	1	88	1	4
51024	2	2012	8	5	8	1	88	1	4
51024	3	2011	4	5	8	1	88	1	4
51027	1	2013	3	3	3	5	88	0	 
51027	2	2013	3	3	3	5	88	0	 
51028	1	2013	10	3	3	1	88	1	2
51028	2	2012	11	3	3	1	88	1	2
51028	3	2011	9	3	3	1	88	1	2
51028	4	2010	10	3	3	1	88	1	2
51029	1	2013	2	3	2	5	88	0	 
51029	2	2013	3	3	2	5	88	0	 
51030	1	2013	2	3	2	12	88	1	4
51031	1	2013	5	3	3	5	88	0	 
51031	2	2012	5	3	3	5	88	0	 
51031	3	2011	4	3	3	5	88	0	 
51033	1	2010	2	2	1	5	88	0	 
51033	2	2011	2	2	1	5	88	1	5
51033	3	2012	2	2	1	5	88	1	5
51033	4	2013	2	2	1	5	88	1	5
51033	5	2013	6	3	6	1	88	0	 
51034	1	 	 	 	 	 	 	 	 
51035	1	2012	2	1	1	38	88	1	4
51037	1	2013	3	3	2	5	88	0	 
51039	1	2013	3	3	2	5	88	0	 
51040	1	2013	8	3	3	1	29	0	 
51047	1	2010	6	4	6	1	88	0	 
51047	2	2011	4	4	6	1	88	0	 
51047	3	2012	5	4	6	1	37	0	 
51047	4	2013	6	4	6	1	37	0	 
51049	1	2013	5	3	6	5	88	0	 
51049	2	2013	4	3	6	5	88	0	 
61003	1	2010	3	2	1	2	1	1	4
61005	1	2012	9	3	4	5	88	1	4
61007	1	2012	3	2	1	5	88	0	 
61007	2	2011	2	2	1	5	88	0	 
61008	1	2009	2	3	2	5	88	0	 
61008	2	2010	3	3	2	5	88	0	 
61008	3	2010	4	3	2	5	88	0	 
61008	4	2010	2	3	2	5	88	0	 
61008	5	2011	3	3	2	5	88	0	 
61008	6	2011	4	3	2	5	88	0	 
61008	7	2011	2	3	2	5	88	0	 
61008	8	2012	3	3	2	5	88	0	 
61008	9	2012	4	3	2	5	88	0	 
61008	10	2012	3	3	2	5	88	0	 
61008	11	2013	3	3	2	5	88	0	 
61008	12	2013	4	3	2	5	88	0	 
61008	13	2013	2	3	2	5	88	0	 
61009	1	2011	3	3	5	5	88	0	 
61009	2	2011	4	3	5	5	88	0	 
61009	3	2012	3	3	5	5	88	1	5
61009	4	2012	3	3	5	5	88	1	5
61009	5	2013	4	3	5	5	88	1	5
61010	1	2011	2	2	1	5	88	0	 
61010	2	2012	3	2	1	5	88	1	5
61011	1	2012	4	2	1	12	88	1	3
61012	1	2009	4	5	7	2	21	1	4
61012	2	2011	9	4	7	1	21	1	4
61012	3	2012	11	4	7	1	21	1	4
61012	4	2013	6	4	7	1	21	1	4
61016	1	2013	4	3	3	5	88	1	4
61016	2	2012	3	3	3	5	88	1	4
61016	3	2012	4	3	3	5	88	1	4
61016	4	2011	3	3	3	5	88	1	4
61021	1	2012	4	2	1	23	88	1	4
61022	1	2011	36	3	1	1	10	1	4
61023	1	2013	2	3	3	24	88	1	4
61026	1	2009	5	5	2	21	88	0	 
61026	2	2010	3	5	2	21	88	0	 
61027	1	2013	4	3	3	1	88	1	6
61027	2	2013	7	3	3	1	88	1	6
61027	3	2012	5	3	4	5	88	0	 
61027	4	2012	4	3	4	5	88	0	 
61027	5	2011	4	3	4	5	88	0	 
61027	6	2011	3	3	4	5	88	0	 
61027	7	2011	3	3	4	5	88	0	 
61027	8	2010	3	3	4	5	88	0	 
61027	9	2010	3	3	4	5	88	0	 
61027	10	2010	2	3	4	5	88	0	 
61029	1	2013	5	3	3	5	88	1	4
61029	2	2012	3	3	4	5	88	0	 
61029	3	2012	2	3	4	5	88	0	 
61029	4	2011	3	3	4	5	88	0	 
61030	1	2012	0	2	1	12	88	1	4
61031	1	2010	8	3	6	1	88	1	5
61033	1	2010	3	3	5	5	88	0	 
61033	2	2010	4	3	5	5	88	0	 
61033	3	2011	4	3	5	5	88	0	 
61033	4	2011	4	3	5	5	88	0	 
61033	5	2012	4	3	5	5	4	0	 
61033	6	2012	3	3	5	5	88	0	 
61033	7	2013	3	3	5	5	88	0	 
61033	8	2013	3	3	5	5	88	0	 
61036	1	2009	4	2	1	12	88	0	 
61037	1	2011	5	4	7	1	88	0	 
61042	1	2012	0	1	1	12	88	0	 
61045	1	2012	3	3	6	1	88	1	4
61046	1	2011	4	2	1	12	88	1	4
61047	1	2012	2	5	4	1	88	1	4
61049	1	2014	2	3	5	5	38	0	 
61049	2	2013	10	3	5	5	88	0	 
61049	3	2012	6	3	5	5	88	0	 
71001	1	2012	10	3	5	5	6	0	 
71001	2	2013	3	3	5	5	88	1	5
71003	1	2013	0	2	1	12	88	1	4
71004	1	2012	12	2	1	12	88	0	 
71008	1	2011	36	3	3	5	88	0	 
71009	1	2013	2	3	1	2	88	1	2
71010	1	2010	10	3	5	5	88	1	4
71010	2	2011	10	3	5	5	88	1	4
71010	3	2012	11	3	5	6	88	0	 
71011	1	2012	0	1	1	23	88	1	4
71013	1	2012	12	3	3	5	88	1	5
71017	1	2012	3	3	4	6	88	0	 
71018	1	2013	4	2	1	12	88	1	4
71019	1	2013	6	3	6	12	88	0	 
71020	1	2013	3	3	4	1	10	1	4
71021	1	2013	4	3	4	1	88	1	5
71021	2	2013	5	3	4	1	88	1	5
71026	1	2011	3	2	2	5	88	1	5
71026	2	2012	2	2	2	5	88	0	 
71026	3	2012	4	2	2	5	88	0	 
71026	4	2013	2	2	2	5	88	0	 
71026	5	2013	2	2	2	5	88	0	 
71028	1	2013	5	5	4	1	88	1	6
71030	1	2012	5	2	1	5	88	0	 
71030	2	2013	4	2	1	5	88	0	 
71031	1	2012	12	2	4	5	88	1	2
71031	2	2013	3	2	4	5	88	1	2
71032	1	2011	2	2	1	5	88	1	7
71033	1	2013	9	5	2	1	88	1	5
71033	2	2012	6	5	2	1	88	1	5
71033	3	2012	4	5	2	1	88	1	5
71033	4	2011	8	3	3	1	88	1	5
71033	5	2010	7	3	4	1	88	1	5
71034	1	2012	8	2	2	5	88	1	5
71035	1	2011	4	3	5	1	11	1	5
71035	2	2011	2	4	7	1	11	1	5
71035	3	2012	5	3	5	1	11	1	5
71035	4	2013	3	4	5	1	11	1	5
71036	1	2012	0	2	1	12	88	1	4
71039	1	2010	3	1	1	25	88	1	1
71039	2	2011	5	1	1	25	88	0	 
71039	3	2012	4	1	1	25	88	1	1
71039	4	2013	4	1	1	25	88	1	1
71042	1	2012	2	3	3	5	88	0	 
71042	2	2012	3	3	3	5	88	0	 
71042	3	2012	3	3	3	5	88	0	 
71042	4	2011	2	3	3	5	88	0	 
71042	5	2011	2	3	3	5	88	0	 
71042	6	2010	2	3	3	5	88	0	 
71043	1	2012	9	4	7	1	11	1	5
71043	2	2013	3	4	2	1	11	1	5
71043	3	2013	5	4	2	1	11	1	5
71044	1	2013	3	3	3	5	88	1	1
71044	2	2013	3	3	3	5	88	1	1
71044	3	2012	3	3	3	5	88	1	1
71044	4	2012	3	3	3	5	88	1	1
71044	5	2011	3	3	3	5	88	1	1
71044	6	2011	3	3	3	5	88	1	1
71044	7	2010	3	3	3	5	88	1	1
71044	8	2010	3	3	3	5	88	1	1
71045	1	2013	6	5	8	12	21	0	 
71046	1	2013	2	2	2	5	88	0	 
71047	1	2012	4	4	1	38	88	1	2
71049	1	2011	4	2	2	5	88	0	 
71049	2	2012	3	2	2	5	88	0	 
71049	3	2012	4	2	2	5	88	0	 
71049	4	2013	3	2	2	5	88	0	 
81001	1	2010	10	2	3	5	88	0	 
81001	2	2011	10	2	3	5	88	0	 
81001	3	2012	10	3	3	5	88	0	 
81001	4	2013	8	3	3	5	88	0	 
81002	1	2010	6	3	2	5	88	0	 
81002	2	2011	10	3	2	5	88	0	 
81002	3	2012	10	3	2	5	88	0	 
81002	4	2013	4	3	2	5	88	0	 
81003	1	2010	3	2	1	12	88	0	 
81003	2	2010	3	2	1	23	88	1	1
81008	1	2013	5	3	2	5	88	1	5
81008	2	2012	10	3	2	5	88	1	2
81008	3	2011	10	3	2	5	88	1	2
81009	1	2012	6	3	2	5	88	0	 
81009	2	2013	10	3	2	5	88	0	 
81010	1	2013	2	2	3	6	88	0	 
81011	1	2013	6	2	1	25	88	1	1
81012	1	2012	6	3	4	5	88	0	 
81012	2	2013	10	3	4	5	88	0	 
81013	1	2013	7	2	2	2	88	1	4
81014	1	2012	2	2	1	38	88	1	4
81016	1	2012	15	2	1	21	88	1	4
81016	2	2012	8	2	1	25	88	1	1
81016	3	2011	9	2	1	12	88	0	 
81017	1	2013	23	2	1	21	88	1	4
81017	2	2012	4	2	1	25	88	1	1
81017	3	2010	15	2	1	12	88	1	4
81019	1	2012	0	2	1	12	88	0	 
81020	1	2013	0	2	1	12	88	0	 
81021	1	2011	6	3	3	5	88	0	 
81021	2	2010	10	3	3	5	88	0	 
81023	1	2013	5	2	1	12	88	0	 
81025	1	2011	0	2	1	12	21	0	 
81025	2	2013	5	2	1	25	88	1	1
81027	1	2013	11	4	7	5	88	1	5
81027	2	2012	10	3	5	5	88	1	5
81027	3	2011	10	3	5	5	88	1	5
81027	4	2010	6	3	5	5	88	1	5
81028	1	2013	3	2	2	1	88	1	4
81028	2	2012	0	2	1	23	88	1	4
81028	3	2012	3	2	1	25	88	1	1
81028	4	2010	0	2	1	12	88	0	 
81029	1	2012	3	2	2	12	88	0	 
81029	2	2013	3	3	6	21	88	0	 
81029	3	2013	3	2	1	25	88	1	1
81030	1	2012	27	2	2	1	88	1	1
81030	2	2011	12	2	1	12	88	1	3
81031	1	2011	2	2	2	12	21	0	 
81031	2	2013	3	2	1	25	88	1	1
81035	1	2012	10	3	2	5	88	0	 
81035	2	2013	9	3	2	5	88	0	 
81036	1	2013	10	2	4	5	88	1	7
81036	2	2012	10	2	4	5	88	1	4
81036	3	2011	10	2	4	5	88	1	4
81037	1	2012	0	2	2	12	88	1	3
81037	2	2013	3	2	1	25	88	1	1
81040	1	2012	10	3	2	28	88	1	2
81040	2	2013	6	3	2	5	88	1	2
81042	1	2012	28	2	2	21	88	0	 
81042	2	2011	6	2	2	25	88	1	4
81042	3	2010	10	2	2	1	88	0	 
81042	4	2009	14	2	2	12	88	1	4
81045	1	2010	36	3	6	1	4	0	 
81049	1	2013	10	3	3	5	88	0	 
81049	2	2012	10	2	4	5	88	1	5
81049	3	2011	10	3	4	5	88	1	5
81049	4	2010	10	3	4	5	88	1	5
91002	1	2011	30	3	2	5	88	1	2
91003	1	2012	11	3	1	5	88	0	 
91003	2	2013	11	3	1	5	88	0	 
91005	1	2010	6	2	2	5	88	1	5
91005	2	2011	3	2	2	5	88	1	5
91006	1	2010	9	2	2	5	88	0	 
91006	2	2011	10	2	2	5	88	0	 
91006	3	2013	10	2	2	5	88	0	 
91007	1	2009	0	2	1	12	88	0	 
91007	2	2011	5	2	1	25	88	1	1
91008	1	2010	0	1	1	12	88	1	3
91008	2	2013	5	1	1	25	88	1	1
91014	1	2009	0	1	1	12	88	0	 
91016	1	2012	2	1	1	12	88	1	3
91018	1	2013	8	2	1	21	88	1	4
91018	2	2013	3	2	1	25	88	1	1
91018	3	2011	14	2	1	12	88	1	4
91019	1	2011	0	2	1	12	88	0	 
91019	2	2012	2	2	1	25	88	1	1
91022	1	2011	3	1	1	12	88	0	 
91022	2	2012	3	1	1	24	88	1	1
91023	1	2013	3	3	3	5	88	0	 
91023	2	2012	10	3	3	5	88	0	 
91023	3	2011	7	3	3	5	88	0	 
91025	1	2012	0	2	3	1	9	1	4
91025	2	2011	10	3	4	5	88	0	 
91025	3	2010	10	2	3	5	88	1	4
91026	1	2009	3	1	1	25	88	1	1
91027	1	2012	0	2	1	12	21	1	3
91028	1	2013	11	2	1	23	35	0	 
91028	2	2012	12	2	1	23	35	0	 
91033	1	2010	42	1	4	23	5	1	5
91034	1	2013	5	3	5	5	88	1	5
91034	2	2012	10	3	5	5	88	1	5
91034	3	2011	10	3	5	5	88	1	5
91034	4	2010	10	3	5	5	88	1	5
91034	5	2009	10	3	5	5	88	1	5
91036	1	2012	12	7	9	1	10	1	4
91036	2	2011	12	7	9	1	10	1	4
91037	1	2010	7	3	2	5	88	1	5
91037	2	2011	4	3	2	5	88	1	5
91037	3	2012	7	3	2	5	88	1	5
91037	4	2013	4	3	2	5	88	1	5
91040	1	2010	0	2	4	12	21	0	 
91040	2	2013	4	2	4	25	88	1	1
91042	4	2009	3	2	1	12	21	1	5
91042	5	2012	5	2	1	25	88	1	1
91043	1	2012	10	3	5	5	88	1	2
91043	2	2013	3	3	5	5	88	1	2
91044	1	2013	5	2	3	5	88	0	 
91044	2	2012	10	2	3	5	88	0	 
91044	3	2011	10	2	3	5	88	0	 
91044	4	2010	10	2	3	5	88	0	 
91045	1	2012	4	4	7	1	88	0	 
91046	1	2011	6	3	1	12	88	1	4
91046	2	2012	5	3	1	25	88	1	1
91047	1	2012	3	2	2	6	88	0	 
91047	2	2011	10	2	2	5	88	0	 
91047	3	2010	3	2	2	5	88	0	 
91050	1	2010	6	3	5	1	88	1	4
101004	1	2013	10	3	4	5	88	1	5
101004	2	2012	10	3	3	5	88	0	 
101004	3	2011	10	3	3	5	88	1	5
101009	1	2012	17	3	6	23	4	0	 
101011	1	2010	2	2	2	24	88	1	4
101020	1	2013	5	2	4	25	88	1	1
101020	2	2010	3	2	4	25	88	1	1
101020	3	2009	0	2	2	12	88	0	 
101025	1	2009	6	3	3	5	88	0	 
101025	2	2010	10	3	3	5	88	1	5
101025	3	2011	4	3	3	5	79	1	5
101027	1	2012	3	2	2	24	88	1	4
101028	1	2013	0	1	2	29	88	0	 
101032	1	2011	3	1	2	25	88	1	1
101032	2	2010	0	1	2	12	88	1	4
101032	3	2010	3	4	4	1	88	1	4
101033	1	 	 	 	 	 	 	 	 
101039	1	2009	0	3	1	12	21	0	 
101039	2	2010	3	3	4	25	88	1	1
101039	3	2012	3	3	4	25	88	1	1
101046	1	2011	0	3	1	12	88	1	4
101046	2	2012	5	3	4	25	88	1	1
111003	1	2011	20	4	4	5	88	0	 
111004	1	2013	4	4	7	6	2	1	5
111005	1	2010	41	2	4	5	88	1	7
111006	1	2009	0	1	1	23	88	1	1
111007	1	2012	18	3	5	1	10	1	5
111008	1	2010	39	2	3	1	88	1	4
111009	1	2012	6	3	2	5	88	0	 
111011	1	2011	10	2	4	5	88	0	 
111012	1	2011	36	2	2	5	88	1	5
111014	1	2010	20	2	4	5	88	1	5
111016	1	2013	8	4	6	12	88	1	4
111018	1	2011	0	2	3	5	14	1	1
111019	1	2010	20	3	3	5	88	1	2
111020	1	2010	3	3	5	1	88	1	2
111020	2	2011	3	3	5	1	88	1	2
111020	3	2013	3	3	5	1	88	1	2
111021	1	2011	0	3	1	12	88	0	 
111022	1	2013	0	2	1	12	88	1	3
111025	1	2009	0	2	1	12	88	1	3
111027	1	2013	0	2	2	12	88	0	 
111028	1	2011	5	2	1	25	88	1	1
111029	1	2010	0	3	4	5	88	0	 
111032	1	2012	19	1	1	12	88	1	2
111033	1	2009	2	2	3	6	88	0	 
111033	2	2010	39	4	7	1	88	0	 
111036	1	2011	0	3	3	5	88	0	 
111041	1	2010	12	2	1	25	88	1	1
111041	2	2013	4	2	1	9	88	1	1
111045	1	2010	37	3	1	1	88	1	5
111046	1	2011	24	4	6	12	88	1	3
111046	2	2011	5	4	1	25	88	1	1
111046	3	2012	5	5	1	25	88	1	1
111048	1	2011	12	2	3	5	88	1	5
111049	1	2012	0	3	1	1	88	0	 
111050	1	2010	1	2	3	5	88	0	 
111051	1	2012	3	2	2	6	88	1	4
111053	1	2010	24	2	4	5	88	0	 
111053	2	2012	12	3	2	5	88	0	 
111054	1	2010	30	4	1	12	88	0	 
111056	1	2009	0	2	3	23	5	0	 
111057	1	2012	12	2	1	12	88	1	3
121002	1	2011	10	2	4	5	88	1	5
121002	2	2010	10	2	2	5	88	0	 
121003	1	2011	29	2	1	12	88	0	 
121003	2	2012	5	2	1	25	88	1	1
121004	1	2012	16	3	4	5	88	0	 
121004	2	2010	24	2	2	5	88	0	 
121005	1	2012	16	2	4	5	88	0	 
121006	1	2012	5	2	1	12	88	0	 
121006	2	2013	8	1	1	25	88	0	 
121007	1	2009	0	2	3	5	88	1	4
121008	1	2009	48	3	4	5	88	0	 
121008	2	2012	0	3	2	5	88	0	 
121009	1	2009	0	2	3	5	88	0	 
121010	1	2009	48	2	4	5	23	1	7
121011	1	2010	20	3	3	5	6	1	2
121012	1	2011	21	3	3	5	88	0	 
121012	2	2013	3	2	3	5	88	1	4
121014	1	2010	0	2	4	5	88	0	 
121014	2	2012	12	2	2	5	88	1	5
121017	1	2010	24	2	3	5	88	1	5
121017	2	2012	14	3	3	5	88	0	 
121018	1	2010	20	3	3	5	88	1	5
121018	2	2012	19	3	1	5	88	1	1
121019	1	2012	15	4	6	1	88	1	1
121020	1	2013	0	3	3	6	5	1	5
121020	2	2011	24	2	4	5	88	1	5
121021	1	2010	20	2	3	5	88	1	4
121021	2	2012	13	2	2	5	88	1	4
121022	1	2011	28	3	2	5	88	1	5
121022	2	2009	24	3	3	5	88	1	5
121023	1	2013	9	3	3	5	88	0	 
121024	1	2009	48	2	1	12	88	0	 
121024	2	2012	6	1	1	25	88	1	1
121025	1	2010	19	2	4	5	88	0	 
121027	1	2010	20	2	2	5	88	1	4
121027	2	2012	8	2	2	5	88	0	 
121028	1	2010	42	2	4	5	8	1	5
121029	1	2011	24	2	4	1	88	0	 
121031	1	2011	2	2	1	12	88	0	 
121032	1	2011	10	2	2	5	88	1	2
121034	1	2012	14	2	2	1	23	1	1
121035	1	2009	20	2	2	5	88	1	5
121036	1	2012	17	3	6	5	88	1	4
121036	2	2010	20	2	4	5	88	0	 
121037	1	2011	3	3	4	6	88	0	 
121037	2	2013	2	4	7	6	1	1	4
121038	1	2010	2	1	1	12	88	1	3
121039	1	2012	20	5	6	1	88	1	2
121040	1	2011	12	2	1	12	21	1	7
121042	1	2012	14	5	4	12	26	1	5
121045	1	2012	9	4	7	12	21	0	 
121045	2	2013	3	2	1	25	88	1	1
121046	1	2011	19	2	2	12	88	0	 
121046	2	2012	9	2	1	25	88	0	 
121047	1	2010	12	1	1	12	88	0	 
121047	2	2011	10	1	1	25	88	1	1
121047	3	2012	14	2	1	21	88	1	3
121049	1	2011	20	2	3	5	88	0	 
131001	1	2011	24	1	2	5	88	0	 
131003	1	2011	26	4	6	1	88	0	 
131004	1	2011	32	4	7	12	88	1	3
131008	1	2009	53	2	2	5	88	1	1
131009	1	2013	6	5	7	12	88	1	4
131009	2	2013	3	1	1	25	88	1	1
131010	1	2012	15	3	2	5	88	0	 
131011	1	2011	26	2	2	5	88	0	 
131012	1	2010	37	3	2	5	88	0	 
131013	1	2010	36	2	3	5	88	0	 
131014	1	2010	24	3	5	5	88	0	 
131014	2	2012	18	2	4	5	88	0	 
131015	1	2013	6	2	2	5	88	1	5
131016	1	2012	15	3	4	5	88	0	 
131017	1	2012	22	4	6	1	88	1	1
131019	1	2013	3	4	6	1	2	1	2
131020	1	2012	24	4	1	1	88	0	 
131020	2	2010	24	4	1	1	88	0	 
131021	1	2011	18	5	1	12	88	0	 
131021	2	2012	6	5	1	25	88	1	1
131022	1	2011	42	4	4	1	10	1	2
131023	1	2010	36	4	6	1	88	0	 
131024	1	2011	20	4	1	12	88	1	3
131024	2	2013	10	5	6	28	88	1	1
131025	1	2010	36	4	6	1	2	1	4
131028	1	2013	8	4	6	1	88	1	5
131029	1	2009	32	1	1	1	88	1	4
131031	1	2010	20	2	2	5	88	1	4
131032	1	2013	3	4	4	1	10	1	4
