CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	ACTMTHR4	ACTDYMTR4	ACTWEKR4	ACTDAYHR4	ACTHRSR4	PYMRECR4	ERNCSHR4	ERNKNDR4	HWPAIDR4	PDPCPRR4	PRFACTR4	MTHPRFR4
51022	1	1	2	2	12	 	 	1	0	 	 	 	 	1	3
51023	1	13	2	12	28	 	 	8	1	84000	 	4	 	1	12
51024	1	13	3	12	30	 	 	8	3	66000	2000	4	 	1	12
51026	1	1	6	3	12	 	 	3	0	 	 	 	 	1	3
51026	2	10	6	12	20	 	 	2	0	 	 	 	 	1	12
51028	1	12	3	12	25	 	 	9	1	300	 	2	 	1	12
51033	1	13	1	6	30	 	 	8	1	45000	 	4	 	1	10
51033	2	1	2	2	10	 	 	3	0	 	 	 	 	1	2
51033	3	4	2	3	25	 	 	1	0	 	 	 	 	1	12
51040	1	13	2	9	7	 	 	10	1	5000	 	4	 	1	7
51046	1	19	3	12	25	 	 	8	1	260	 	2	 	1	12
51047	1	12	2	12	30	 	 	9	1	4200	 	3	 	1	3
51050	1	5	2	5	28	 	 	8	1	100	 	2	 	1	12
61003	1	6	2	3	6	 	 	7	1	4500	 	4	 	0	0
61004	1	1	6	2	8	 	 	7	0	 	 	 	 	1	2
61005	1	12	3	12	25	 	 	12	1	180	 	2	 	1	12
61006	1	13	1	12	30	 	 	8	1	6400	 	4	 	1	12
61010	1	1	6	3	18	 	 	6	0	 	 	 	 	1	3
61010	2	4	2	1	15	 	 	9	0	 	 	 	 	1	1
61014	1	1	6	7	4	 	 	8	0	 	 	 	 	1	7
61015	1	1	6	3	7	 	 	6	0	 	 	 	 	1	3
61017	1	1	2	5	20	 	 	1	0	 	 	 	 	1	4
61018	1	1	2	4	3	 	 	1	0	 	 	 	 	1	3
61021	1	12	2	8	24	 	 	9	1	350	 	3	 	1	8
61021	2	5	2	4	20	 	 	7	1	150	 	2	 	1	3
61023	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
61028	1	13	7	12	30	 	 	10	1	2000	 	4	 	1	12
61031	1	1	6	3	3	 	 	4	0	 	 	 	 	1	3
61031	2	4	2	12	4	 	 	2	0	 	 	 	 	1	12
61032	1	1	6	12	7	 	 	7	0	 	 	 	 	1	12
61034	1	12	3	2	25	 	 	9	1	7000	 	4	 	1	2
61034	2	1	6	4	4	 	 	7	0	 	 	 	 	1	4
61035	1	1	6	6	30	 	 	3	0	 	 	 	 	1	6
61036	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
61037	1	13	1	12	30	 	 	9	1	7000	 	4	 	1	12
61038	1	1	6	10	18	 	 	2	0	 	 	 	 	1	10
61038	2	12	2	1	30	 	 	8	1	6000	 	3	 	0	2
61041	1	1	6	4	7	 	 	3	0	 	 	 	 	1	4
61045	1	12	3	3	24	 	 	9	1	14000	 	3	 	0	10
61047	1	1	6	6	18	 	 	8	0	 	 	 	 	1	6
61047	2	12	2	2	12	 	 	4	1	0	 	3	 	1	2
61047	3	19	2	2	25	 	 	4	1	14000	 	3	 	1	2
61049	1	1	2	2	3	 	 	6	0	 	 	 	 	0	2
71001	1	1	6	1	10	 	 	6	0	 	 	 	 	1	1
71002	1	12	7	10	24	 	 	3	1	600	 	4	 	1	12
71009	2	12	3	2	30	 	 	8	1	5000	 	4	 	0	2
71011	1	1	6	1	1	 	 	2	0	 	 	 	 	0	0
71012	1	1	2	4	23	 	 	2	0	 	 	 	 	1	4
71013	1	1	2	1	2	 	 	4	0	 	 	 	 	0	0
71014	1	1	3	3	3	 	 	4	0	 	 	 	 	1	3
71015	1	1	6	3	10	 	 	3	2	 	800	5	 	1	0
71020	1	1	2	3	10	 	 	6	0	 	 	 	 	0	2
71021	1	12	3	12	24	 	 	8	1	300	 	2	 	1	12
71022	1	9	2	5	7	 	 	7	1	6000	 	4	 	0	0
71024	1	12	2	3	5	 	 	2	1	100	 	2	 	1	0
71025	1	5	6	1	5	 	 	2	0	 	 	 	 	1	2
71026	1	1	6	8	7	 	 	5	2	 	3000	5	 	1	0
71028	1	9	3	7	25	 	 	8	1	5000	 	4	 	1	12
71031	1	1	2	2	15	 	 	6	0	 	 	 	 	1	2
71032	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
71033	1	12	1	12	25	 	 	8	1	12000	 	4	 	1	12
71035	1	12	1	5	4	 	 	13	1	30000	 	4	 	0	6
71035	2	7	6	4	3	 	 	6	0	 	 	 	 	1	5
71035	3	4	2	3	2	 	 	6	0	 	 	 	 	1	3
71036	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
71038	1	1	2	8	30	 	 	8	0	 	 	 	 	1	8
71038	2	4	2	4	30	 	 	6	0	 	 	 	 	1	4
71039	1	1	2	8	4	 	 	2	0	 	 	 	 	1	6
71040	1	11	2	12	30	 	 	4	0	 	 	 	 	1	12
71043	1	12	3	12	26	 	 	8	1	62400	 	4	 	1	7
71044	1	10	6	2	15	 	 	4	0	 	 	 	 	1	2
71045	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
81003	1	1	2	8	5	 	 	6	0	 	 	 	 	1	6
81004	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
81014	1	5	2	5	25	 	 	8	1	12500	 	2	 	0	5
81014	2	12	2	3	25	 	 	3	1	7200	 	3	 	0	3
81015	1	11	2	8	25	 	 	10	1	9000	 	4	 	1	10
81015	2	1	2	2	15	 	 	8	0	 	 	 	 	1	4
81015	3	5	2	2	20	 	 	8	1	6000	 	2	 	0	2
81017	1	1	6	4	20	 	 	5	0	 	 	 	 	0	6
81017	2	5	2	1	10	 	 	8	1	1000	 	2	 	0	2
81018	1	5	2	10	30	 	 	10	1	200	 	2	 	1	11
81019	1	9	2	12	30	 	 	8	1	50000	 	5	 	1	12
81020	1	1	2	6	20	 	 	4	0	 	 	 	 	1	5
81021	1	1	6	0	2	 	 	3	0	 	 	 	 	1	2
81022	1	19	2	4	15	 	 	9	1	200	 	2	 	1	3
81023	1	1	2	4	20	 	 	5	0	 	 	 	 	1	5
81027	1	1	2	1	10	 	 	5	0	 	 	 	 	1	1
81030	1	1	6	4	15	 	 	6	0	 	 	 	 	0	4
81030	2	10	2	12	30	 	 	6	1	36000	 	2	 	1	12
81032	1	4	2	12	30	 	 	5	0	 	 	 	 	1	10
81033	1	5	2	4	15	 	 	6	1	150	 	2	 	1	4
81034	1	5	2	7	20	 	 	8	1	150	 	2	 	1	8
81034	2	1	2	6	19	 	 	8	1	0	 	2	 	1	6
81037	1	1	2	1	15	 	 	1	0	 	 	 	 	0	2
81038	1	1	2	9	20	 	 	4	0	 	 	 	 	1	12
81039	1	1	2	4	20	 	 	5	0	 	 	 	 	1	5
81043	1	1	2	10	10	 	 	2	0	 	 	 	 	1	6
81043	2	5	2	6	6	 	 	5	1	250	 	2	 	1	2
81047	1	12	2	11	25	 	 	10	1	66000	 	2	 	1	12
81048	1	19	2	12	25	 	 	8	1	250	 	2	 	1	8
81048	2	5	2	4	10	 	 	8	1	200	 	2	 	1	2
91001	1	13	2	12	30	 	 	9	1	10000	 	4	 	1	10
91005	1	1	2	4	23	 	 	7	0	 	 	 	 	1	2
91005	2	12	2	2	20	 	 	5	1	200	 	2	 	1	1
91005	3	5	2	2	10	 	 	6	1	130	 	2	 	1	3
91006	1	5	2	5	10	 	 	7	1	7500	 	2	 	0	0
91007	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
91009	1	11	3	12	20	 	 	9	1	350	 	2	 	1	8
91012	1	12	3	7	20	 	 	8	1	250	 	2	 	1	8
91012	2	5	3	2	4	 	 	6	1	150	 	2	 	1	8
91013	1	1	2	10	20	 	 	4	0	 	 	 	 	1	6
91013	2	13	2	2	30	 	 	10	1	26000	 	4	 	0	0
91017	1	5	2	7	25	 	 	5	1	25000	 	3	 	1	5
91017	2	12	2	1	20	 	 	4	1	1400	 	3	 	1	2
91018	1	1	6	1	25	 	 	5	0	 	 	 	 	1	6
91018	2	5	2	2	15	 	 	8	1	3000	 	2	 	0	4
91019	1	19	2	12	30	 	 	4	0	 	 	 	 	1	12
91020	1	1	2	12	30	 	 	9	1	130	 	2	 	1	12
91020	2	12	2	5	21	 	 	7	1	80	 	2	 	1	12
91020	3	4	2	12	20	 	 	4	0	 	 	 	 	1	12
91021	1	1	2	8	3	 	 	2	0	 	 	 	 	0	0
91021	2	13	2	3	4	 	 	8	1	2500	 	4	 	1	10
91022	1	1	6	6	20	 	 	5	0	 	 	 	 	1	6
91022	2	5	2	6	25	 	 	8	1	18000	 	3	 	1	5
91022	3	4	3	12	30	 	 	3	0	 	 	 	 	1	6
91025	1	19	2	5	3	 	 	1	0	 	 	 	 	1	5
91026	1	1	6	6	20	 	 	3	0	 	 	 	 	1	8
91027	1	1	2	4	15	 	 	6	0	 	 	 	 	0	4
91028	1	5	2	4	4	 	 	6	1	200	 	2	 	1	6
91028	2	12	2	4	4	 	 	8	1	5000	 	4	 	0	0
91029	1	1	6	6	30	 	 	6	0	 	 	 	 	1	6
91029	2	12	3	2	26	 	 	4	1	3640	 	4	 	0	2
91029	3	5	3	1	20	 	 	8	1	2000	 	2	 	0	3
91034	1	5	2	1	15	 	 	10	1	3750	 	2	 	0	0
91036	1	5	2	6	15	 	 	5	1	250	 	2	 	1	5
91040	1	13	4	12	7	 	 	8	1	4500	 	4	 	1	12
91041	1	1	6	7	30	 	 	7	0	 	 	 	 	1	7
91045	1	13	2	4	30	 	 	8	1	28000	 	4	 	0	0
91047	1	1	2	6	20	 	 	3	0	 	 	 	 	1	4
91047	2	5	2	1	4	 	 	8	1	2000	 	2	 	0	0
91047	3	88	88	0	0	0	0	0	0	 	 	 	 	0	0
91049	1	13	2	9	24	 	 	8	1	6000	 	4	 	0	0
91049	2	10	2	3	20	 	 	7	0	 	 	 	 	1	8
91050	1	5	2	2	25	 	 	8	1	10000	 	2	 	1	2
91050	2	11	2	4	15	 	 	8	0	 	 	 	 	1	10
91050	3	12	2	2	20	 	 	8	1	14000	 	2	 	1	3
101011	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
101017	1	10	2	12	7	 	 	2	0	 	 	 	 	1	6
101019	1	13	2	12	25	 	 	7	1	5000	 	4	 	1	12
101020	1	19	2	3	26	 	 	8	1	6000	 	4	 	0	0
101024	1	4	2	12	10	 	 	1	0	 	 	 	 	1	12
101025	1	10	2	10	15	 	 	2	0	 	 	 	 	1	6
101027	1	19	2	8	26	 	 	8	1	20000	 	4	 	0	0
101028	1	19	2	12	25	 	 	1	0	 	 	 	 	1	12
101031	1	11	2	5	15	 	 	3	1	15000	 	2	 	1	12
101035	1	13	2	12	30	 	 	8	1	10000	 	4	 	1	12
101038	1	19	2	12	26	 	 	8	1	60000	 	4	 	1	0
101044	1	12	2	12	25	 	 	9	1	3000	 	4	 	1	10
101045	1	12	3	12	4	 	 	10	1	2000	 	4	 	1	6
101046	1	19	2	12	30	 	 	6	0	 	 	 	 	1	12
101047	1	13	1	12	24	 	 	8	1	6000	 	4	 	1	6
101049	1	12	2	12	30	 	 	10	1	150	 	2	 	1	12
111001	1	5	3	5	3	 	 	7	1	100	 	2	 	1	1
111001	2	12	3	2	10	 	 	10	1	300	 	2	 	1	1
111001	3	1	6	5	3	 	 	6	0	 	 	 	 	1	1
111002	1	5	3	6	20	 	 	8	1	12000	 	3	 	1	4
111003	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
111004	1	5	3	6	20	 	 	8	1	12000	 	2	 	0	0
111004	2	12	1	4	26	 	 	12	6	0	0	88	 	1	12
111006	1	5	3	6	8	 	 	8	1	60	 	3	 	1	3
111007	1	13	1	7	25	 	 	10	1	28000	 	4	 	0	0
111007	2	12	3	4	20	 	 	8	1	8000	 	3	 	1	9
111007	3	1	6	4	5	 	 	5	0	 	 	 	 	1	4
111008	1	13	3	12	30	 	 	14	1	7000	 	4	 	1	10
111010	1	5	3	4	15	 	 	6	1	3600	 	2	 	1	2
111010	2	1	6	5	6	 	 	8	0	 	 	 	 	1	2
111013	1	1	3	1	3	 	 	3	0	 	 	 	 	0	1
111014	1	1	6	6	16	 	 	4	0	 	 	 	 	1	6
111015	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
111016	1	19	2	4	30	 	 	8	1	3800	 	4	 	1	12
111016	2	5	6	3	15	 	 	8	1	80	 	2	 	0	0
111017	1	1	6	6	4	 	 	5	0	 	 	 	 	1	6
111019	1	1	6	4	2	 	 	7	0	 	 	 	 	1	2
111019	2	12	5	3	15	 	 	6	1	110	 	3	 	1	3
111020	1	1	6	8	12	 	 	6	0	 	 	 	 	1	8
111020	2	5	3	8	10	 	 	8	1	100	 	2	 	1	8
111020	3	12	1	2	25	 	 	9	1	350	 	2	 	1	2
111021	1	12	1	9	24	 	 	11	1	43200	 	2	 	1	9
111021	2	5	3	3	12	 	 	10	1	4320	 	2	 	1	3
111021	3	1	6	2	10	 	 	6	0	 	 	 	 	0	2
111022	1	9	6	12	30	 	 	5	1	36000	 	2	 	1	12
111022	2	1	2	4	4	 	 	8	0	 	 	 	 	1	2
111023	1	1	6	4	7	 	 	4	0	 	 	 	 	1	4
111024	1	4	6	12	20	 	 	10	0	 	 	 	 	1	11
111024	2	1	6	12	6	 	 	9	0	 	 	 	 	1	11
111024	3	19	7	1	6	 	 	4	1	420	 	2	 	1	1
111026	1	1	6	5	20	 	 	7	0	 	 	 	 	1	5
111026	2	5	3	8	10	 	 	7	1	100	 	2	 	1	8
111028	1	1	6	8	15	 	 	10	0	 	 	 	 	1	4
