CHILDCODE	TRANIDR4	TYPTRNR4	DELTRNR4	PAYTRNR4	DURTTLR4	TRNCMPR4	ATDTRNR4	CRTDIPR4
61017	1	1	3	1	72	1	 	1
61024	1	1	3	0	4	1	 	1
61027	1	1	3	1	12	1	 	0
61036	1	 	 	 	 	 	 	 
61037	1	1	3	0	8	1	 	1
61039	1	1	3	1	4	1	 	0
61043	1	 	 	 	 	 	 	 
61050	1	1	3	0	45	1	 	1
61050	2	4	1	0	6	1	 	1
71001	1	1	1	1	4	1	 	0
71007	1	3	3	1	24	1	 	1
71011	1	2	3	1	24	1	 	1
71017	1	4	1	0	12	1	 	0
71020	1	4	1	0	8	1	 	1
71026	1	1	1	1	8	1	 	1
71027	1	2	3	1	4	1	 	0
71031	1	1	1	1	6	1	 	0
71034	1	2	3	1	24	1	 	1
71040	1	1	3	1	900	0	12	0
71042	1	4	1	0	6	1	 	1
71043	1	 	 	 	 	 	 	 
71046	1	2	3	1	12	1	 	1
71049	1	2	3	1	4	1	 	1
81004	1	3	6	0	10	1	 	 
81010	1	4	1	0	8	1	 	1
81021	1	2	3	1	8	1	 	0
81023	1	2	3	1	24	1	 	0
81038	1	1	7	1	4	0	2	 
81039	1	2	5	0	30	0	16	 
81041	1	3	7	1	45	1	 	 
81050	1	2	2	1	3000	1	 	 
91002	1	 	 	 	 	 	 	 
91003	1	2	3	1	7	1	 	0
91005	1	1	1	0	45	0	10	0
91006	1	4	5	0	2	1	 	 
91009	1	 	 	 	 	 	 	 
91022	1	1	1	0	3	1	 	0
91023	1	 	 	 	 	 	 	 
91044	1	2	7	1	30	1	 	 
91045	1	3	1	0	12	1	 	1
101001	1	3	7	1	12	1	 	 
101004	1	 	 	 	 	 	 	 
101006	1	2	3	1	900	1	 	1
101009	1	2	3	1	12	0	2	0
101011	1	2	3	1	24	0	12	1
101020	1	3	1	0	12	1	 	0
101022	1	3	1	0	4	1	 	1
101023	1	2	3	1	40	0	24	1
101026	1	4	1	0	16	1	 	1
101031	1	4	1	1	6	1	 	1
101032	1	3	3	0	12	1	 	1
101033	1	2	3	1	12	0	4	0
101034	1	3	3	0	12	1	 	1
101035	1	1	7	1	10	1	 	 
101038	1	4	8	0	8	1	 	 
101041	1	3	7	1	4	1	 	 
101042	1	1	7	0	12	0	8	 
111004	1	2	5	0	24	0	16	 
111005	1	2	1	1	8	1	 	1
111005	2	2	3	1	12	1	 	0
111013	1	2	3	1	6	1	 	0
111013	2	2	3	1	6	1	 	0
111014	1	 	 	 	 	 	 	 
111017	1	1	3	1	40	1	 	1
111022	1	2	6	1	12	1	 	 
111023	1	2	7	1	20	0	12	 
111033	1	3	1	0	2	1	 	1
111034	1	2	3	1	24	0	20	0
111039	1	2	3	1	24	0	22	0
111046	1	2	4	1	2	1	 	0
111051	1	2	4	1	12	1	 	0
111053	1	2	3	1	24	0	2	0
111055	1	1	1	0	3	1	 	0
121003	1	2	3	1	12	1	 	0
121008	1	4	3	0	24	1	 	1
121010	1	2	3	1	8	0	4	0
121015	1	1	1	1	12	1	 	0
121018	1	1	3	1	8	1	 	1
121023	1	1	3	1	12	0	4	0
121027	1	1	3	1	12	0	8	0
121037	1	4	1	0	12	1	 	0
121037	2	3	3	0	12	0	8	0
121044	1	4	1	0	8	1	 	0
121045	1	2	4	0	4	1	 	1
121048	1	1	1	0	16	1	 	0
131004	1	2	7	1	48	0	20	 
131005	1	2	3	1	12	0	2	1
131008	1	2	3	1	48	0	24	0
131009	1	2	7	1	6000	1	 	 
131021	1	2	6	1	48	1	 	 
131024	1	2	3	1	24	0	12	0
131043	1	1	3	1	12	1	 	1
131046	1	1	3	1	24	1	 	1
141004	1	2	7	1	36	0	16	 
141005	1	2	3	1	24	0	4	1
141008	1	2	3	1	24	1	 	0
141018	1	2	6	0	12	1	 	 
141028	1	2	3	1	6	1	 	0
141029	1	2	3	1	4	1	 	0
141031	1	2	3	1	48	1	 	1
141033	1	2	3	1	28	1	 	1
141034	1	2	3	1	24	1	 	1
141040	1	2	3	1	8	1	 	0
141042	1	2	3	1	1200	1	 	1
151001	1	2	2	1	56	0	6	 
151015	1	2	3	1	6	0	20	1
151016	1	2	6	0	21	1	 	 
151017	1	2	7	1	16	1	 	 
151028	1	4	1	0	2	0	4	0
151029	1	2	6	1	12	0	4	 
151030	1	2	6	1	12	0	5	 
151035	1	1	3	0	1	1	 	0
151039	1	4	3	0	8	1	 	1
161008	1	2	3	1	4	1	 	1
161013	1	3	7	1	8	1	 	 
161037	1	3	1	1	6000	0	26	1
161040	1	2	1	0	7	1	 	0
161042	1	4	1	0	8	0	4	0
161049	1	 	 	 	 	 	 	 
171002	1	2	6	1	3	1	 	 
171008	1	2	3	1	8	1	 	1
171010	1	3	2	1	16	0	8	 
171011	1	1	3	0	1	1	 	0
171022	1	2	6	0	2	1	 	 
171024	1	2	3	1	4	1	 	0
171036	1	2	6	1	12	0	8	 
171041	1	2	3	1	4	1	 	0
171046	1	2	7	1	12	0	4	 
171049	1	2	3	1	3	1	 	0
181003	1	2	6	0	24	0	12	 
181004	1	3	1	0	1	1	 	0
181014	1	2	6	0	8	1	 	 
181016	1	2	6	1	48	0	24	 
181017	1	2	6	0	50	1	 	 
181021	1	1	1	0	2	1	 	1
181025	1	2	6	0	50	0	16	 
181027	1	2	6	1	8	0	4	 
181029	1	2	6	0	24	1	 	 
181032	1	2	6	0	8	0	4	 
181036	1	4	3	0	8	1	 	0
181041	1	4	1	0	8	1	 	1
181042	1	1	5	1	40	1	 	 
181044	1	2	3	1	12	1	 	0
181050	1	2	4	0	48	0	36	0
191002	1	1	1	0	6	1	 	1
191006	1	2	7	1	9	0	6	 
191008	1	4	1	0	10	1	 	1
191010	1	2	6	1	6	0	3	 
191014	1	2	6	0	24	0	4	 
191015	1	2	6	0	24	0	8	 
191015	2	4	1	0	8	1	 	0
191017	1	2	3	0	60	1	 	0
191019	1	2	6	1	6	1	 	 
191026	1	2	7	1	48	0	6	 
191034	1	2	3	1	4	1	 	1
191037	1	2	6	0	20	1	 	 
191042	1	2	6	0	16	0	4	 
191046	1	2	6	1	20	1	 	 
201001	1	2	3	1	5	1	 	0
201003	1	2	7	1	900	1	 	 
201012	1	2	7	1	2700	1	 	 
201013	1	2	2	1	4	1	 	 
201013	2	2	2	1	12	0	4	 
201021	1	4	2	0	16	1	 	 
201022	1	1	3	0	12	1	 	1
201023	1	2	2	1	6	1	 	 
201024	1	3	3	0	4	0	12	1
201026	1	2	3	0	12	1	 	1
201029	1	 	 	 	 	 	 	 
201033	1	2	2	1	7	0	4	 
201034	1	2	4	1	3000	1	 	1
201034	2	2	2	1	200	0	20	 
201037	1	1	6	0	24	1	 	 
201038	1	2	2	1	6	1	 	 
201040	1	2	7	1	12	0	4	 
