round	childid	s_math	sibid	yc
5	IN100080	449.262329101563	11	1
4	IN110040	440.932464599609	11	1
5	IN110040	397.978088378906	11	1
4	IN110073	446.210296630859	11	1
5	IN110073	472.730499267578	11	1
4	IN120054	482.544281005859	11	1
5	IN120054	438.899810791016	11	1
4	IN130090	447.071563720703	11	1
5	IN130090	587.006652832031	11	1
4	IN160021	293.191131591797	11	1
5	IN160021	211.185638427734	11	1
5	IN170021	424.025421142578	11	1
4	IN170048	347.873931884766	11	1
5	IN170048	321.45849609375	11	1
4	IN170054	397.615142822266	11	1
4	IN170074	445.655090332031	11	1
5	IN170074	594.005249023438	11	1
4	IN170095	385.102722167969	11	1
5	IN170095	368.433837890625	11	1
4	IN170097	193.2958984375	11	1
5	IN180002	237.685836791992	11	1
4	IN180004	456.988189697266	11	1
5	IN180004	504.479644775391	11	1
4	IN190016	401.768829345703	11	1
5	IN190016	313.02587890625	11	1
5	IN190051	262.864715576172	11	1
4	IN190073	301.671325683594	11	1
5	IN190073	240.26335144043	11	1
4	IN200088	375.772857666016	11	1
5	IN200088	396.729034423828	11	1
4	IN010079	196.7939453125	12	1
4	IN040044	460.850433349609	12	1
5	IN040044	417.984924316406	12	1
4	IN050051	415.828369140625	12	1
5	IN050051	464.718444824219	12	1
4	IN050094	624.603393554688	12	1
5	IN050094	689.693542480469	12	1
4	IN070082	377.446350097656	12	1
5	IN070082	495.183074951172	12	1
4	IN090030	204.428756713867	12	1
4	IN120057	471.493347167969	12	1
5	IN120057	521.480895996094	12	1
5	IN170052	350.517425537109	12	1
4	IN180068	340.624847412109	12	1
5	IN180068	445.45703125	12	1
5	IN180100	525.127868652344	12	1
4	IN190004	388.5361328125	12	1
5	IN190004	543.466735839844	12	1
4	IN190006	468.636779785156	12	1
5	IN190006	331.052124023438	12	1
4	IN190061	488.485321044922	12	1
5	IN190061	521.23193359375	12	1
5	IN190072	357.577270507813	12	1
5	IN200038	749.386901855469	12	1
4	IN010087	485.395965576172	13	1
5	IN010087	535.62158203125	13	1
4	IN070066	406.644409179688	13	1
5	IN070066	489.179168701172	13	1
5	IN090024	251.740631103516	13	1
4	IN110044	460.665069580078	13	1
5	IN110044	621.817993164063	13	1
4	IN110086	438.878692626953	13	1
5	IN110086	371.963195800781	13	1
4	IN110097	386.806274414063	13	1
5	IN110097	409.518371582031	13	1
5	IN130038	405.003112792969	13	1
4	IN130086	203.380477905273	13	1
5	IN130086	222.948471069336	13	1
4	IN160037	266.225006103516	13	1
5	IN160037	304.811187744141	13	1
5	IN190070	258.831909179688	13	1
4	IN190082	255.07209777832	13	1
5	IN190082	393.858093261719	13	1
4	IN200038	420.12646484375	13	1
4	IN120056	475.868194580078	14	1
5	IN120056	523.996276855469	14	1
4	IN130015	429.992614746094	14	1
5	IN130015	560.060424804688	14	1
4	IN170022	443.895599365234	14	1
5	IN170022	457.897888183594	14	1
4	IN200094	204.050537109375	14	1
4	IN180045	471.227203369141	15	1
5	IN180045	411.229431152344	15	1
4	IN200100	197.390106201172	15	1
5	IN200100	400.338165283203	15	1
4	IN120052	335.384918212891	16	1
5	IN120052	515.224243164063	16	1
4	IN180001	329.643524169922	16	1
5	IN180001	537.29833984375	16	1
4	IN180081	514.719116210938	16	1
5	IN180081	535.080688476563	16	1
4	IN200065	348.438751220703	16	1
5	IN200065	470.476867675781	16	1
4	IN050100	606.659790039063	17	1
4	IN190098	434.286468505859	17	1
5	IN190098	390.778350830078	17	1
5	IN200083	533.590270996094	18	1
4	IN130072	451.916290283203	27	1
5	IN130072	408.130187988281	27	1
4	IN010007	628.870422363281	28	1
5	IN010007	847.780456542969	28	1
4	IN010028	463.890075683594	28	1
5	IN010028	567.966796875	28	1
4	IN010033	355.590789794922	28	1
5	IN010033	396.397277832031	28	1
4	IN010037	506.882171630859	28	1
5	IN010037	485.208465576172	28	1
4	IN010040	555.000366210938	28	1
5	IN010040	622.51806640625	28	1
4	IN010042	488.994323730469	28	1
5	IN010042	487.734497070313	28	1
4	IN010044	691.264099121094	28	1
5	IN010044	637.867858886719	28	1
5	IN010049	497.256744384766	28	1
4	IN010057	535.554504394531	28	1
5	IN010057	550.094604492188	28	1
5	IN020007	251.794479370117	28	1
4	IN020027	504.285369873047	28	1
5	IN020027	428.113586425781	28	1
4	IN020035	591.585510253906	28	1
5	IN020035	581.518493652344	28	1
4	IN020045	541.8564453125	28	1
5	IN020045	457.414367675781	28	1
4	IN020049	521.734008789063	28	1
5	IN020049	560.268615722656	28	1
4	IN020053	482.081909179688	28	1
5	IN020053	562.711181640625	28	1
4	IN020057	532.336242675781	28	1
5	IN020057	447.925384521484	28	1
4	IN020058	447.188323974609	28	1
5	IN020058	466.146087646484	28	1
4	IN020062	490.472076416016	28	1
5	IN020062	580.3173828125	28	1
4	IN020063	313.182434082031	28	1
5	IN020063	464.072296142578	28	1
4	IN020064	406.537445068359	28	1
5	IN020064	463.751678466797	28	1
4	IN020067	559.654663085938	28	1
5	IN020067	675.632446289063	28	1
4	IN020068	493.784362792969	28	1
5	IN020068	638.402709960938	28	1
4	IN020070	476.674652099609	28	1
5	IN020070	572.7138671875	28	1
4	IN020073	551.126708984375	28	1
5	IN020073	472.671630859375	28	1
4	IN020078	475.775512695313	28	1
5	IN020078	384.529846191406	28	1
4	IN020079	430.946838378906	28	1
5	IN020079	475.215698242188	28	1
4	IN020084	501.718414306641	28	1
5	IN020084	429.32958984375	28	1
4	IN020085	424.632965087891	28	1
5	IN020085	412.257049560547	28	1
4	IN020090	594.503723144531	28	1
5	IN020090	545.263549804688	28	1
4	IN020091	498.315032958984	28	1
5	IN020091	523.324340820313	28	1
4	IN020096	639.082763671875	28	1
5	IN020096	587.865783691406	28	1
4	IN020098	459.342803955078	28	1
5	IN020098	512.683959960938	28	1
4	IN030006	564.019470214844	28	1
5	IN030006	503.848297119141	28	1
4	IN030014	516.13037109375	28	1
5	IN030014	544.531921386719	28	1
4	IN030029	682.663635253906	28	1
5	IN030029	771.955749511719	28	1
4	IN030030	442.383422851563	28	1
5	IN030030	251.215866088867	28	1
4	IN030053	465.683044433594	28	1
5	IN030053	537.620483398438	28	1
5	IN030056	496.088714599609	28	1
4	IN030063	560.974731445313	28	1
5	IN030063	564.741271972656	28	1
4	IN030068	725.018371582031	28	1
5	IN030068	656.411376953125	28	1
4	IN030070	448.177520751953	28	1
5	IN030070	518.157836914063	28	1
4	IN030072	512.22265625	28	1
5	IN030072	236.031372070313	28	1
4	IN030080	521.551635742188	28	1
5	IN030080	505.074279785156	28	1
4	IN030082	570.750427246094	28	1
5	IN030082	728.192016601563	28	1
4	IN030086	606.236450195313	28	1
5	IN030086	676.705810546875	28	1
4	IN030087	522.656677246094	28	1
5	IN030087	534.389587402344	28	1
4	IN030090	530.736022949219	28	1
4	IN030097	498.225128173828	28	1
5	IN030097	443.250427246094	28	1
4	IN050064	608.666198730469	28	1
5	IN050064	519.511047363281	28	1
4	IN050065	565.380859375	28	1
4	IN050071	420.515960693359	28	1
4	IN050072	511.112640380859	28	1
5	IN050072	473.219055175781	28	1
4	IN050073	454.235656738281	28	1
4	IN050074	398.551696777344	28	1
5	IN050074	595.756103515625	28	1
4	IN050076	561.844116210938	28	1
4	IN050079	517.934143066406	28	1
5	IN050079	533.625732421875	28	1
4	IN050089	409.801544189453	28	1
5	IN050089	599.772644042969	28	1
4	IN060051	595.078552246094	28	1
5	IN060051	690.406127929688	28	1
4	IN060057	645.133239746094	28	1
5	IN060057	630.160400390625	28	1
4	IN060061	451.990966796875	28	1
5	IN060061	523.718017578125	28	1
4	IN060070	466.464447021484	28	1
5	IN060070	430.077301025391	28	1
4	IN060082	417.591918945313	28	1
5	IN060082	550.522033691406	28	1
4	IN060083	354.444183349609	28	1
5	IN060083	431.448577880859	28	1
4	IN060089	496.955413818359	28	1
5	IN060089	505.769775390625	28	1
4	IN070007	524.6484375	28	1
5	IN070007	465.402252197266	28	1
4	IN070008	655.171508789063	28	1
5	IN070008	777.496520996094	28	1
4	IN070009	678.702209472656	28	1
4	IN070011	569.296875	28	1
4	IN070012	426.179595947266	28	1
5	IN070012	555.082275390625	28	1
4	IN070013	390.469390869141	28	1
5	IN070013	354.085845947266	28	1
4	IN070014	545.972839355469	28	1
5	IN070014	548.557250976563	28	1
4	IN070023	388.071716308594	28	1
4	IN070025	476.351013183594	28	1
5	IN070025	474.16064453125	28	1
4	IN070027	370.003021240234	28	1
5	IN070027	448.653564453125	28	1
4	IN070031	338.983642578125	28	1
5	IN070031	237.673324584961	28	1
4	IN070032	430.512878417969	28	1
4	IN070036	429.274230957031	28	1
5	IN070036	540.223693847656	28	1
4	IN070039	384.362030029297	28	1
4	IN070041	434.124908447266	28	1
5	IN070041	534.600402832031	28	1
4	IN070075	386.991882324219	28	1
4	IN070077	404.447906494141	28	1
5	IN070077	481.09912109375	28	1
4	IN070081	526.282958984375	28	1
5	IN070081	568.233703613281	28	1
4	IN070083	516.710632324219	28	1
5	IN070083	463.973999023438	28	1
4	IN070084	402.074279785156	28	1
5	IN070084	418.686920166016	28	1
4	IN070087	535.252502441406	28	1
5	IN070087	552.521667480469	28	1
4	IN070091	429.700042724609	28	1
5	IN070091	463.351776123047	28	1
4	IN070096	694.415222167969	28	1
5	IN070096	658.397766113281	28	1
4	IN080003	386.852722167969	28	1
5	IN080003	535.427124023438	28	1
4	IN080004	548.445495605469	28	1
5	IN080004	641.8017578125	28	1
4	IN080016	575.261352539063	28	1
5	IN080016	567.876220703125	28	1
4	IN080020	193.417388916016	28	1
5	IN080020	468.344085693359	28	1
4	IN080032	278.867065429688	28	1
5	IN080032	433.691314697266	28	1
4	IN080043	342.721038818359	28	1
4	IN080044	438.432586669922	28	1
4	IN080045	416.933776855469	28	1
5	IN080045	423.289489746094	28	1
5	IN080047	456.129058837891	28	1
4	IN080052	685.671936035156	28	1
4	IN080057	493.798278808594	28	1
5	IN080057	499.684692382813	28	1
4	IN080060	468.705169677734	28	1
4	IN080061	382.196563720703	28	1
5	IN080061	435.244812011719	28	1
4	IN080071	251.483871459961	28	1
5	IN080071	277.972808837891	28	1
5	IN080075	225.279251098633	28	1
4	IN080081	506.554168701172	28	1
4	IN080086	555.390747070313	28	1
5	IN080086	224.824615478516	28	1
4	IN080087	639.432189941406	28	1
4	IN080089	503.543823242188	28	1
5	IN080089	269.308502197266	28	1
4	IN080092	370.246124267578	28	1
5	IN080092	692.177062988281	28	1
4	IN080094	624.182556152344	28	1
5	IN080094	348.315277099609	28	1
4	IN080095	368.559326171875	28	1
5	IN080095	375.334503173828	28	1
4	IN080096	640.733459472656	28	1
5	IN080096	639.007629394531	28	1
4	IN080097	494.158081054688	28	1
5	IN080097	422.418548583984	28	1
4	IN080100	626.227783203125	28	1
5	IN080100	618.582946777344	28	1
4	IN090003	550.019714355469	28	1
5	IN090003	603.934509277344	28	1
4	IN090004	591.035705566406	28	1
5	IN090006	588.285339355469	28	1
4	IN090007	661.469970703125	28	1
5	IN090015	649.024536132813	28	1
4	IN090035	396.550201416016	28	1
5	IN090035	419.120513916016	28	1
4	IN090043	515.221252441406	28	1
5	IN090043	218.933166503906	28	1
4	IN090046	572.669677734375	28	1
5	IN090046	581.596130371094	28	1
4	IN090060	371.068725585938	28	1
5	IN090060	227.254333496094	28	1
4	IN090076	521.036437988281	28	1
5	IN090076	560.385803222656	28	1
4	IN090095	458.63818359375	28	1
5	IN090095	509.133911132813	28	1
4	IN090096	479.781555175781	28	1
5	IN090096	233.468902587891	28	1
4	IN090097	504.936889648438	28	1
5	IN090097	486.499084472656	28	1
4	IN090098	425.278228759766	28	1
4	IN100061	493.842346191406	28	1
5	IN100061	595.405456542969	28	1
4	IN100065	515.831176757813	28	1
5	IN100065	580.296081542969	28	1
4	IN110022	515.308410644531	28	1
5	IN110022	516.869201660156	28	1
4	IN110029	616.859619140625	28	1
5	IN110029	626.011108398438	28	1
4	IN110038	280.277282714844	28	1
4	IN110048	591.783386230469	28	1
5	IN110048	383.648132324219	28	1
4	IN110052	606.063659667969	28	1
4	IN110057	575.937622070313	28	1
4	IN110066	354.355377197266	28	1
5	IN110066	402.942352294922	28	1
4	IN110072	341.65234375	28	1
5	IN110072	472.34423828125	28	1
4	IN110075	424.420562744141	28	1
5	IN110075	489.223999023438	28	1
4	IN110076	382.291748046875	28	1
4	IN110080	360.497192382813	28	1
4	IN110088	558.921447753906	28	1
5	IN110088	481.66796875	28	1
4	IN110092	527.548950195313	28	1
5	IN110092	652.406127929688	28	1
5	IN110093	230.394180297852	28	1
4	IN110095	583.708984375	28	1
4	IN110096	491.500823974609	28	1
4	IN110103	361.324401855469	28	1
5	IN110103	209.54118347168	28	1
4	IN120012	728.804443359375	28	1
4	IN120026	544.629821777344	28	1
5	IN120026	544.023315429688	28	1
4	IN120032	692.974914550781	28	1
5	IN120032	641.605163574219	28	1
4	IN120089	506.524597167969	28	1
5	IN120089	507.920196533203	28	1
4	IN130004	476.929626464844	28	1
5	IN130004	498.642913818359	28	1
4	IN130010	509.746856689453	28	1
5	IN130010	605.516296386719	28	1
4	IN130011	361.014312744141	28	1
5	IN130011	345.137237548828	28	1
4	IN130013	574.104064941406	28	1
4	IN130016	503.737945556641	28	1
4	IN130018	361.692749023438	28	1
5	IN130018	375.447082519531	28	1
4	IN130020	620.446594238281	28	1
5	IN130020	444.584045410156	28	1
4	IN130022	581.145263671875	28	1
5	IN130022	629.147216796875	28	1
4	IN130037	417.742340087891	28	1
5	IN130037	439.859436035156	28	1
4	IN130040	332.688446044922	28	1
5	IN130040	497.406280517578	28	1
5	IN130041	461.754302978516	28	1
5	IN130042	242.587860107422	28	1
4	IN130046	494.352081298828	28	1
5	IN130046	542.12109375	28	1
4	IN130047	366.398254394531	28	1
4	IN130048	462.986572265625	28	1
5	IN130048	407.961334228516	28	1
4	IN130050	457.393035888672	28	1
5	IN130050	474.462463378906	28	1
4	IN130051	506.453704833984	28	1
5	IN130051	479.516540527344	28	1
4	IN130057	539.947021484375	28	1
5	IN130057	391.702789306641	28	1
4	IN130062	418.753051757813	28	1
5	IN130062	456.712371826172	28	1
4	IN130063	445.643493652344	28	1
4	IN130065	485.596221923828	28	1
5	IN130065	424.201385498047	28	1
4	IN130071	423.603332519531	28	1
5	IN130071	507.759246826172	28	1
4	IN130074	523.700317382813	28	1
4	IN130078	450.098999023438	28	1
5	IN130078	548.6923828125	28	1
4	IN130082	462.340423583984	28	1
5	IN130082	407.197875976563	28	1
4	IN130091	663.585327148438	28	1
4	IN140005	499.203521728516	28	1
5	IN140005	340.946838378906	28	1
5	IN140007	370.705505371094	28	1
5	IN140008	337.813507080078	28	1
5	IN140009	640.619506835938	28	1
4	IN140012	559.508605957031	28	1
5	IN140012	483.199676513672	28	1
4	IN140024	471.705993652344	28	1
5	IN140024	240.55891418457	28	1
4	IN140030	571.34423828125	28	1
5	IN140030	501.084930419922	28	1
4	IN140032	522.494140625	28	1
5	IN140032	410.596099853516	28	1
4	IN140033	552.549133300781	28	1
5	IN140033	398.716156005859	28	1
4	IN140035	386.095764160156	28	1
5	IN140035	510.476654052734	28	1
4	IN140043	376.751617431641	28	1
5	IN140043	473.427703857422	28	1
4	IN140048	519.521362304688	28	1
5	IN140048	647.598022460938	28	1
4	IN140050	303.893157958984	28	1
5	IN140050	517.646850585938	28	1
4	IN140061	621.124145507813	28	1
5	IN140061	566.513366699219	28	1
4	IN140066	606.498229980469	28	1
5	IN140066	668.489868164063	28	1
4	IN140074	604.416687011719	28	1
5	IN140074	752.660766601563	28	1
4	IN140075	628.69384765625	28	1
5	IN140075	653.152587890625	28	1
4	IN140080	611.253723144531	28	1
5	IN140080	701.085632324219	28	1
4	IN140081	619.69384765625	28	1
5	IN140081	719.493896484375	28	1
4	IN140091	436.368316650391	28	1
5	IN140091	552.505493164063	28	1
4	IN140093	628.339416503906	28	1
5	IN140093	639.594970703125	28	1
4	IN140095	407.315460205078	28	1
5	IN140095	526.671325683594	28	1
5	IN140099	475.713165283203	28	1
4	IN150016	560.083129882813	28	1
5	IN150016	211.52001953125	28	1
4	IN150075	507.188781738281	28	1
5	IN150075	491.785095214844	28	1
4	IN150080	536.998168945313	28	1
5	IN150080	583.417175292969	28	1
4	IN150081	530.813537597656	28	1
5	IN150081	606.132507324219	28	1
4	IN150084	591.770874023438	28	1
5	IN150084	633.633422851563	28	1
4	IN150088	382.302276611328	28	1
5	IN150088	459.630798339844	28	1
5	IN160005	582.740844726563	28	1
4	IN160061	307.550262451172	28	1
5	IN160061	400.282684326172	28	1
4	IN160063	465.969970703125	28	1
5	IN160063	406.794952392578	28	1
4	IN160064	196.418212890625	28	1
4	IN160066	464.445281982422	28	1
5	IN160066	298.056823730469	28	1
4	IN160068	484.450622558594	28	1
5	IN160068	436.796295166016	28	1
5	IN160069	510.897857666016	28	1
4	IN160081	514.453369140625	28	1
5	IN160081	442.555511474609	28	1
4	IN160082	579.5546875	28	1
5	IN160082	742.7490234375	28	1
4	IN160083	452.089630126953	28	1
5	IN160083	441.296539306641	28	1
4	IN160084	457.526672363281	28	1
5	IN160084	465.012237548828	28	1
4	IN160086	412.675506591797	28	1
5	IN160086	376.876495361328	28	1
4	IN160087	461.86376953125	28	1
5	IN160087	446.957916259766	28	1
4	IN160095	554.944763183594	28	1
4	IN160097	560.908569335938	28	1
5	IN160097	583.125366210938	28	1
4	IN170057	407.027404785156	28	1
5	IN170057	441.752960205078	28	1
4	IN170059	424.241088867188	28	1
5	IN170059	470.664733886719	28	1
4	IN170072	480.84375	28	1
5	IN170072	544.825256347656	28	1
4	IN170073	342.705505371094	28	1
4	IN170076	199.899963378906	28	1
5	IN170076	444.6279296875	28	1
4	IN170083	504.295013427734	28	1
5	IN170086	347.656860351563	28	1
4	IN170093	491.312316894531	28	1
5	IN170093	508.869018554688	28	1
4	IN170098	581.963073730469	28	1
5	IN170098	656.5830078125	28	1
4	IN170099	588.72998046875	28	1
5	IN170099	566.991882324219	28	1
4	IN170100	501.934814453125	28	1
5	IN170100	488.682708740234	28	1
4	IN180052	463.009490966797	28	1
5	IN180052	516.307250976563	28	1
4	IN180054	287.181945800781	28	1
5	IN180054	321.904357910156	28	1
4	IN180057	514.333923339844	28	1
5	IN180057	606.593444824219	28	1
4	IN180058	207.13151550293	28	1
4	IN180061	195.346130371094	28	1
5	IN180061	359.182495117188	28	1
5	IN180063	236.611251831055	28	1
4	IN180065	506.349395751953	28	1
5	IN180065	561.882873535156	28	1
4	IN180067	352.663848876953	28	1
5	IN180067	340.323516845703	28	1
5	IN180070	367.352630615234	28	1
4	IN180071	418.871917724609	28	1
5	IN180071	413.777770996094	28	1
4	IN180072	425.265075683594	28	1
5	IN180072	391.488739013672	28	1
4	IN180073	318.651794433594	28	1
4	IN180074	403.747039794922	28	1
5	IN180074	469.843139648438	28	1
4	IN030058	548.104370117188	29	1
5	IN030058	543.393310546875	29	1
4	IN030065	537.149169921875	29	1
5	IN030065	689.887634277344	29	1
4	IN030069	399.155487060547	29	1
5	IN030069	405.92578125	29	1
4	IN030098	346.015319824219	29	1
5	IN030098	439.275482177734	29	1
5	IN060098	454.417022705078	29	1
4	IN070002	540.4052734375	29	1
5	IN070002	490.512878417969	29	1
4	IN070005	535.716186523438	29	1
5	IN070005	634.711730957031	29	1
4	IN070010	501.514007568359	29	1
4	IN070021	343.229034423828	29	1
5	IN070021	557.474792480469	29	1
5	IN070023	463.78125	29	1
4	IN070026	317.656127929688	29	1
5	IN070026	466.139801025391	29	1
4	IN070028	325.645141601563	29	1
5	IN070028	470.133575439453	29	1
4	IN080050	485.108642578125	29	1
5	IN080050	629.51416015625	29	1
4	IN080056	487.15673828125	29	1
5	IN080056	473.190246582031	29	1
4	IN080059	285.893188476563	29	1
5	IN080059	597.542114257813	29	1
4	IN090010	517.854248046875	29	1
5	IN090010	618.100769042969	29	1
4	IN090017	543.498291015625	29	1
5	IN090017	472.088745117188	29	1
5	IN090032	447.201232910156	29	1
4	IN090037	251.708068847656	29	1
5	IN090037	451.413818359375	29	1
5	IN090049	315.795013427734	29	1
4	IN090085	197.108306884766	29	1
4	IN090090	338.488952636719	29	1
5	IN090090	355.328643798828	29	1
4	IN090094	196.910430908203	29	1
4	IN110051	513.030883789063	29	1
5	IN110051	593.047119140625	29	1
4	IN110059	616.238403320313	29	1
5	IN110087	392.268493652344	29	1
4	IN110094	516.305236816406	29	1
5	IN110094	467.839874267578	29	1
4	IN120087	584.7509765625	29	1
5	IN120087	528.059814453125	29	1
4	IN130052	528.891784667969	29	1
5	IN130052	508.367309570313	29	1
4	IN140002	330.626800537109	29	1
5	IN140002	592.923095703125	29	1
4	IN140004	567.661804199219	29	1
5	IN140004	531.06640625	29	1
4	IN140018	351.955078125	29	1
5	IN140018	311.297515869141	29	1
4	IN140028	423.928344726563	29	1
5	IN140028	391.082946777344	29	1
4	IN140029	349.991790771484	29	1
5	IN140029	456.528228759766	29	1
4	IN140038	552.046875	29	1
5	IN140038	504.904571533203	29	1
5	IN140040	245.098983764648	29	1
4	IN140063	245.321914672852	29	1
5	IN140063	515.016845703125	29	1
4	IN150086	541.109619140625	29	1
5	IN150086	478.745178222656	29	1
4	IN150092	389.548706054688	29	1
5	IN150092	527.602172851563	29	1
4	IN150099	506.327728271484	29	1
5	IN150099	395.492126464844	29	1
4	IN160003	249.660339355469	29	1
5	IN160003	422.387847900391	29	1
4	IN160004	379.210144042969	29	1
5	IN160004	400.646270751953	29	1
4	IN160059	298.900939941406	29	1
5	IN160059	524.932861328125	29	1
4	IN160060	197.732009887695	29	1
5	IN160060	226.540451049805	29	1
4	IN160074	244.888565063477	29	1
5	IN160074	450.0703125	29	1
4	IN160088	413.942474365234	29	1
5	IN160088	489.434539794922	29	1
4	IN160089	631.3740234375	29	1
5	IN160089	735.401000976563	29	1
4	IN160099	295.425445556641	29	1
5	IN160099	351.071014404297	29	1
4	IN160100	278.109344482422	29	1
5	IN160100	517.024230957031	29	1
4	IN170069	577.811279296875	29	1
5	IN170069	665.789611816406	29	1
4	IN180064	330.2861328125	29	1
5	IN180064	484.629455566406	29	1
4	IN180066	392.107574462891	29	1
5	IN180066	448.829193115234	29	1
4	IN010024	426.368713378906	2	1
5	IN010024	482.046447753906	2	1
4	IN150030	476.629058837891	2	1
5	IN150030	546.690490722656	2	1
4	IN200034	559.144287109375	2	1
5	IN200034	702.3505859375	2	1
4	IN030008	467.192993164063	30	1
5	IN030008	629.342590332031	30	1
4	IN090049	249.871994018555	30	1
4	IN090088	203.197616577148	30	1
5	IN090088	522.19677734375	30	1
4	IN100064	412.042266845703	30	1
5	IN100064	320.095855712891	30	1
4	IN140023	523.569091796875	30	1
5	IN140023	565.250793457031	30	1
4	IN140052	318.981201171875	30	1
5	IN140052	369.465087890625	30	1
4	IN140064	350.086334228516	30	1
5	IN140064	454.567535400391	30	1
4	IN140070	385.338287353516	30	1
5	IN140070	577.389221191406	30	1
4	IN170062	405.740020751953	30	1
4	IN170078	379.303955078125	30	1
5	IN170078	392.643737792969	30	1
4	IN100063	373.171936035156	31	1
5	IN100063	342.006896972656	31	1
5	IN160095	455.415832519531	33	1
5	IN070080	526.73583984375	34	1
4	IN010001	335.759765625	3	1
5	IN010001	565.557861328125	3	1
4	IN010012	423.047149658203	3	1
5	IN010012	564.050903320313	3	1
4	IN010013	340.3564453125	3	1
5	IN010013	478.434173583984	3	1
4	IN010017	557.608276367188	3	1
5	IN010017	507.653411865234	3	1
4	IN010018	481.728210449219	3	1
5	IN010018	514.659301757813	3	1
4	IN010027	562.657836914063	3	1
5	IN010027	629.950012207031	3	1
4	IN010029	540.919250488281	3	1
5	IN010029	579.575927734375	3	1
4	IN010031	453.616455078125	3	1
5	IN010031	543.221374511719	3	1
4	IN010032	604.973999023438	3	1
5	IN010032	771.370849609375	3	1
5	IN010035	464.448150634766	3	1
4	IN010046	574.228088378906	3	1
5	IN010046	611.793518066406	3	1
4	IN010050	588.017333984375	3	1
5	IN010050	781.994018554688	3	1
4	IN010052	525.786987304688	3	1
5	IN010052	589.746948242188	3	1
4	IN010053	345.685913085938	3	1
4	IN010056	534.376953125	3	1
5	IN010056	630.28564453125	3	1
4	IN010062	512.941467285156	3	1
5	IN010062	480.121215820313	3	1
4	IN010065	488.634613037109	3	1
5	IN010065	478.503814697266	3	1
4	IN010068	379.663787841797	3	1
5	IN010068	452.574951171875	3	1
4	IN010071	544.117614746094	3	1
5	IN010071	597.719909667969	3	1
5	IN010074	611.431579589844	3	1
4	IN010076	533.112854003906	3	1
5	IN010076	594.880676269531	3	1
4	IN010080	487.668365478516	3	1
5	IN010080	591.422729492188	3	1
4	IN010082	364.539794921875	3	1
5	IN010082	322.984100341797	3	1
4	IN010085	449.333740234375	3	1
5	IN010085	563.400268554688	3	1
4	IN010089	632.913269042969	3	1
5	IN010089	520.064270019531	3	1
4	IN010091	432.210418701172	3	1
5	IN010091	479.590942382813	3	1
4	IN010096	465.425567626953	3	1
5	IN010096	539.703002929688	3	1
4	IN010098	508.941802978516	3	1
5	IN010098	461.994903564453	3	1
4	IN020005	463.76220703125	3	1
4	IN020006	420.698211669922	3	1
5	IN020006	387.800201416016	3	1
5	IN020019	422.137512207031	3	1
4	IN020023	543.701782226563	3	1
5	IN020023	510.289794921875	3	1
4	IN020024	588.7099609375	3	1
5	IN020024	588.127563476563	3	1
4	IN020025	535.423095703125	3	1
5	IN020025	500.539123535156	3	1
4	IN020029	359.549224853516	3	1
5	IN020029	460.502288818359	3	1
4	IN020030	483.39306640625	3	1
5	IN020030	470.50341796875	3	1
4	IN020034	502.282257080078	3	1
4	IN020036	511.071685791016	3	1
5	IN020036	405.978240966797	3	1
4	IN020040	469.652130126953	3	1
