sibid	childid	round	theta_eap	ppvt_score	yc	country	group	language
16	ET020014	4	.42909100651741	2.52412986755371	1	1	5	1
16	ET020014	5	1.06505000591278	3.54618668556213	1	1	6	1
3	ET020015	3	.25305300951004	2.24121737480164	1	1	4	1
3	ET020015	4	.585416972637177	2.7753632068634	1	1	5	1
3	ET020015	5	.819185972213745	3.15105581283569	1	1	6	1
4	ET020020	3	.443275988101959	2.54692673683167	1	1	4	1
3	ET020022	3	-2.1214599609375	-1.57488822937012	1	1	4	1
3	ET020022	4	-.216994002461433	1.48579967021942	1	1	5	1
3	ET020022	5	.859185993671417	3.21534037590027	1	1	6	1
9	ET020028	3	-.82148802280426	.514310777187347	1	1	4	1
9	ET020028	4	.617865025997162	2.82751083374023	1	1	5	1
9	ET020028	5	1.62232005596161	4.44178152084351	1	1	6	1
15	ET020035	3	.314334005117416	2.33970284461975	1	1	4	1
15	ET020035	4	1.04419994354248	3.5126781463623	1	1	5	1
15	ET020035	5	2.19960999488831	5.3695502281189	1	1	6	1
6	ET020042	3	-2.61080002784729	-2.36131191253662	1	1	4	1
6	ET020042	4	.24073900282383	2.22142744064331	1	1	5	1
6	ET020042	5	1.35247004032135	4.00810241699219	1	1	6	1
15	ET020046	3	.949409008026123	3.36033868789673	1	1	4	1
15	ET020046	4	1.43350005149841	4.13832664489746	1	1	5	1
15	ET020046	5	1.74384999275208	4.63709354400635	1	1	6	1
15	ET020047	3	1.7415599822998	4.63341331481934	1	1	4	1
15	ET020047	4	1.44374001026154	4.15478324890137	1	1	5	1
15	ET020047	5	1.89320003986359	4.87711572647095	1	1	6	1
15	ET020049	3	.589318990707397	2.78163409233093	1	1	4	1
15	ET020049	4	1.12106001377106	3.63620090484619	1	1	5	1
15	ET020049	5	1.27451002597809	3.88281202316284	1	1	6	1
3	ET020050	3	-.583648025989532	.896546065807343	1	1	4	1
3	ET020050	4	.508508026599884	2.65176200866699	1	1	5	1
3	ET020050	5	.682217001914978	2.93093156814575	1	1	6	1
4	ET020053	3	1.36645996570587	4.03058576583862	1	1	4	1
3	ET020054	4	-.231446996331215	1.46257221698761	1	1	5	1
4	ET020055	3	.882808029651642	3.25330352783203	1	1	4	1
3	ET020056	3	-2.28414988517761	-1.83634901046753	1	1	4	1
3	ET020056	4	.554428994655609	2.72556209564209	1	1	5	1
3	ET020056	5	.953189015388489	3.36641359329224	1	1	6	1
3	ET020058	3	.96596497297287	3.38694596290588	1	1	4	1
3	ET020058	4	.852222979068756	3.20414996147156	1	1	5	1
3	ET020058	5	1.48260998725891	4.21725177764893	1	1	6	1
3	ET020059	3	-.597831010818481	.873752415180206	1	1	4	1
3	ET020059	4	.61845201253891	2.82845401763916	1	1	5	1
3	ET020059	5	.776609003543854	3.08262991905212	1	1	6	1
5	ET020060	3	.564078986644745	2.74107074737549	1	1	4	1
15	ET020062	3	1.10834002494812	3.61575841903687	1	1	4	1
15	ET020062	4	1.45950996875763	4.18012762069702	1	1	5	1
15	ET020062	5	1.55921995639801	4.34037256240845	1	1	6	1
3	ET020065	3	1.09416997432709	3.5929856300354	1	1	4	1
5	ET020071	3	.396447002887726	2.47166752815247	1	1	4	1
15	ET020075	3	.33254000544548	2.36896181106567	1	1	4	1
15	ET020075	4	1.29410004615784	3.91429543495178	1	1	5	1
6	ET020078	3	.946792006492615	3.35613298416138	1	1	4	1
8	ET020081	4	.410917997360229	2.49492383003235	1	1	5	1
8	ET020081	5	1.24056005477905	3.82825064659119	1	1	6	1
5	ET020083	3	-.875828981399536	.42697885632515	1	1	4	1
5	ET020083	4	.794099986553192	3.11073994636536	1	1	5	1
5	ET020083	5	1.83380997180939	4.78166913986206	1	1	6	1
3	ET020084	3	1.39189004898071	4.07145500183105	1	1	4	1
3	ET020088	3	.299652993679047	2.31610870361328	1	1	4	1
16	ET020089	3	-.181696996092796	1.54252588748932	1	1	4	1
3	ET020090	3	.601230978965759	2.80077791213989	1	1	4	1
4	ET020091	3	.743722975254059	3.02977848052979	1	1	4	1
15	ET020092	3	.844868004322052	3.19232964515686	1	1	4	1
15	ET020092	4	1.47065997123718	4.19804668426514	1	1	5	1
15	ET020092	5	1.36342000961304	4.02570009231567	1	1	6	1
7	ET020094	3	1.31771004199982	3.95223927497864	1	1	4	1
15	ET020095	3	.462177991867065	2.57730436325073	1	1	4	1
15	ET020095	4	.935995995998383	3.33878254890442	1	1	5	1
15	ET020095	5	.75075501203537	3.04107975959778	1	1	6	1
15	ET020097	3	.804912984371185	3.12811756134033	1	1	4	1
15	ET020097	4	1.39869999885559	4.08239936828613	1	1	5	1
15	ET020097	5	1.80072999000549	4.72850608825684	1	1	6	1
9	ET020098	3	1.33886003494263	3.98622965812683	1	1	4	1
9	ET020099	3	-1.09477996826172	.075100339949131	1	1	4	1
9	ET020099	4	.645156979560852	2.87137198448181	1	1	5	1
3	ET030001	3	-.260771006345749	1.4154452085495	1	1	4	1
3	ET030001	4	-.238048002123833	1.4519636631012	1	1	5	1
3	ET030001	5	.509968996047974	2.65410995483398	1	1	6	1
5	ET030002	3	1.40727996826172	4.09618806838989	1	1	4	1
5	ET030004	3	.887444972991943	3.26075553894043	1	1	4	1
5	ET030004	4	1.03507995605469	3.49802136421204	1	1	5	1
5	ET030004	5	1.25279998779297	3.84792160987854	1	1	6	1
9	ET030005	3	-1.13270998001099	.0141426082700491	1	1	4	1
9	ET030005	4	.801846027374268	3.12318873405457	1	1	5	1
9	ET030005	5	1.00348997116089	3.44725275039673	1	1	6	1
4	ET030006	3	1.44782996177673	4.1613564491272	1	1	4	1
16	ET030007	3	-2.52241992950439	-2.21927547454834	1	1	4	1
16	ET030007	4	.421833008527756	2.51246547698975	1	1	5	1
16	ET030007	5	.339471995830536	2.38010239601135	1	1	6	1
15	ET030008	3	.411794990301132	2.496333360672	1	1	4	1
15	ET030008	4	1.16112995147705	3.70059776306152	1	1	5	1
3	ET030010	3	1.67551004886627	4.52726364135742	1	1	4	1
5	ET030013	3	.96935498714447	3.39239406585693	1	1	4	1
5	ET030013	4	2.26308989524841	5.47156953811646	1	1	5	1
5	ET030013	5	1.54700005054474	4.32073354721069	1	1	6	1
15	ET030014	3	1.46407997608185	4.18747186660767	1	1	4	1
15	ET030014	4	2.15915989875793	5.30454254150391	1	1	5	1
15	ET030014	5	2.16092991828918	5.30738735198975	1	1	6	1
3	ET030018	3	.868604004383087	3.23047614097595	1	1	4	1
3	ET030018	4	1.191890001297	3.75003266334534	1	1	5	1
3	ET030018	5	.77973997592926	3.08766174316406	1	1	6	1
3	ET030019	3	1.28951001167297	3.90691876411438	1	1	4	1
5	ET030020	3	-.69300901889801	.720790803432465	1	1	4	1
5	ET030020	4	.802201986312866	3.12376070022583	1	1	5	1
5	ET030020	5	.684846997261047	2.93515825271606	1	1	6	1
6	ET030023	4	1.0824099779129	3.57408595085144	1	1	5	1
6	ET030023	5	1.88259994983673	4.86008024215698	1	1	6	1
3	ET030024	3	1.25004994869232	3.84350204467773	1	1	4	1
3	ET030024	4	2.16337990760803	5.31132459640503	1	1	5	1
3	ET030024	5	2.25856995582581	5.46430540084839	1	1	6	1
15	ET030025	3	1.55311000347137	4.33055305480957	1	1	4	1
15	ET030025	4	1.47078001499176	4.19823980331421	1	1	5	1
15	ET030025	5	2.43481993675232	5.74755859375	1	1	6	1
6	ET030026	3	.217179000377655	2.18356394767761	1	1	4	1
6	ET030026	4	.576224982738495	2.76059055328369	1	1	5	1
6	ET030026	5	1.22315001487732	3.80027079582214	1	1	6	1
3	ET030027	3	1.44202995300293	4.15203523635864	1	1	4	1
16	ET030028	3	-.845238983631134	.476140379905701	1	1	4	1
16	ET030028	4	.40192499756813	2.48047113418579	1	1	5	1
16	ET030028	5	.882561981678009	3.25290822982788	1	1	6	1
15	ET030029	3	.453815013170242	2.56386423110962	1	1	4	1
15	ET030029	4	1.5281800031662	4.29048776626587	1	1	5	1
15	ET030029	5	1.29042994976044	3.90839719772339	1	1	6	1
4	ET030031	3	-.281832009553909	1.38159787654877	1	1	4	1
3	ET030032	3	1.44713997840881	4.16024732589722	1	1	4	1
6	ET030035	3	.0673170015215874	1.94271898269653	1	1	4	1
6	ET030035	4	.810778021812439	3.13754343986511	1	1	5	1
6	ET030035	5	1.41312003135681	4.1055736541748	1	1	6	1
16	ET030036	3	-1.00363004207611	.221588388085365	1	1	4	1
16	ET030036	4	.560123980045319	2.73471450805664	1	1	5	1
16	ET030036	5	.791126012802124	3.10596036911011	1	1	6	1
5	ET030037	3	-.653730988502502	.783914983272552	1	1	4	1
5	ET030037	4	.262975990772247	2.25716471672058	1	1	5	1
5	ET030037	5	.778946995735168	3.08638739585876	1	1	6	1
4	ET030038	3	1.29270994663239	3.9120614528656	1	1	4	1
4	ET030038	4	1.26191997528076	3.86257839202881	1	1	5	1
4	ET030038	5	2.08455991744995	5.18465185165405	1	1	6	1
16	ET030041	3	-2.14786005020142	-1.61731612682343	1	1	4	1
16	ET030041	4	-.607869029045105	.857620239257813	1	1	5	1
16	ET030041	5	2.2901599407196	5.51507425308228	1	1	6	1
15	ET030043	3	.538109004497528	2.69933390617371	1	1	4	1
15	ET030043	4	1.34455001354218	3.99537420272827	1	1	5	1
15	ET030043	5	1.32603001594543	3.96561050415039	1	1	6	1
4	ET030044	3	-.746877014636993	.634218990802765	1	1	4	1
4	ET030044	4	1.14127004146576	3.6686806678772	1	1	5	1
4	ET030044	5	2.18668007850647	5.34877061843872	1	1	6	1
5	ET030048	3	.624455988407135	2.83810305595398	1	1	4	1
4	ET030053	3	-.18800200521946	1.5323930978775	1	1	4	1
4	ET030053	4	.95736700296402	3.37312817573547	1	1	5	1
4	ET030053	5	1.26144003868103	3.86180710792542	1	1	6	1
3	ET030055	3	-.604043006896973	.863769054412842	1	1	4	1
3	ET030055	4	.0302971992641687	1.88322412967682	1	1	5	1
3	ET030055	5	.798407971858978	3.11766338348389	1	1	6	1
6	ET030056	3	.444680005311966	2.54918313026428	1	1	4	1
6	ET030056	4	.984360992908478	3.41651034355164	1	1	5	1
6	ET030056	5	.578826010227203	2.76477074623108	1	1	6	1
3	ET030057	3	.706243991851807	2.96954560279846	1	1	4	1
3	ET030058	3	1.47189998626709	4.20003986358643	1	1	4	1
15	ET030059	3	.312137007713318	2.33617186546326	1	1	4	1
15	ET030059	4	1.68111002445221	4.53626346588135	1	1	5	1
15	ET030059	5	1.15371000766754	3.68867301940918	1	1	6	1
5	ET030060	3	.00880786031484604	1.84868836402893	1	1	4	1
16	ET030061	3	-.640453994274139	.805252552032471	1	1	4	1
16	ET030061	4	.89607298374176	3.2746217250824	1	1	5	1
16	ET030061	5	.914466023445129	3.30418133735657	1	1	6	1
15	ET030068	3	.860762000083923	3.21787309646606	1	1	4	1
15	ET030068	4	1.34547996520996	3.99686861038208	1	1	5	1
15	ET030068	5	2.20478010177612	5.37785911560059	1	1	6	1
15	ET030069	3	-.366183996200562	1.24603486061096	1	1	4	1
15	ET030069	4	1.0353399515152	3.4984393119812	1	1	5	1
15	ET030069	5	.699175000190735	2.95818495750427	1	1	6	1
15	ET030070	3	1.68049001693726	4.5352668762207	1	1	4	1
15	ET030070	4	1.62802004814148	4.45094203948975	1	1	5	1
15	ET030070	5	1.94060003757477	4.95329236984253	1	1	6	1
5	ET030072	3	.463687002658844	2.57972955703735	1	1	4	1
5	ET030072	4	.984596014022827	3.41688823699951	1	1	5	1
15	ET030075	3	1.39146995544434	4.07077980041504	1	1	4	1
15	ET030075	4	1.07781004905701	3.56669330596924	1	1	5	1
3	ET030077	3	-.646897971630096	.794896364212036	1	1	4	1
3	ET030077	4	.691295981407166	2.94552254676819	1	1	5	1
3	ET030077	5	1.3520200252533	4.00737905502319	1	1	6	1
6	ET030079	3	1.17548000812531	3.72365975379944	1	1	4	1
3	ET030080	3	1.44880998134613	4.16293144226074	1	1	4	1
3	ET030080	4	1.93980002403259	4.95200681686401	1	1	5	1
7	ET030081	3	1.37686002254486	4.04729986190796	1	1	4	1
3	ET030082	3	1.26617002487183	3.86940884590149	1	1	4	1
10	ET030083	3	-.840803980827332	.483267903327942	1	1	4	1
10	ET030083	4	.43504598736763	2.53370022773743	1	1	5	1
10	ET030083	5	.389979004859924	2.46127271652222	1	1	6	1
6	ET030084	3	1.35110998153687	4.00591659545898	1	1	4	1
5	ET030086	3	.893280982971191	3.27013468742371	1	1	4	1
5	ET030086	4	.941581010818481	3.34775829315186	1	1	5	1
5	ET030086	5	1.22565996646881	3.80430459976196	1	1	6	1
6	ET030087	3	1.44757997989655	4.16095447540283	1	1	4	1
4	ET030089	3	1.09774005413055	3.59872317314148	1	1	4	1
5	ET030090	3	.468286007642746	2.58712077140808	1	1	4	1
5	ET030090	4	1.13838994503021	3.66405200958252	1	1	5	1
5	ET030090	5	1.45497000217438	4.1728310585022	1	1	6	1
15	ET030091	3	.320529997348785	2.34966039657593	1	1	4	1
15	ET030091	4	.814212024211884	3.14306211471558	1	1	5	1
15	ET030091	5	1.26730000972748	3.87122488021851	1	1	6	1
16	ET030093	3	-.418624997138977	1.16175639629364	1	1	4	1
16	ET030093	4	.317862004041672	2.34537267684937	1	1	5	1
16	ET030093	5	1.22953999042511	3.81054019927979	1	1	6	1
3	ET030094	3	1.31544005870819	3.9485912322998	1	1	4	1
5	ET030095	3	.67706698179245	2.92265486717224	1	1	4	1
6	ET030097	3	.863099992275238	3.22163057327271	1	1	4	1
5	ET030100	3	1.38787996768951	4.06501007080078	1	1	4	1
4	ET040001	3	-.449517011642456	1.11210942268372	1	1	4	1
4	ET040001	4	-.573652029037476	.912610709667206	1	1	5	1
6	ET040002	3	-1.64119005203247	-.803041279315948	1	1	4	1
6	ET040002	4	.855493009090424	3.20940518379211	1	1	5	1
6	ET040002	5	.845022022724152	3.19257712364197	1	1	6	1
15	ET040004	3	.915190994739532	3.30534648895264	1	1	4	1
15	ET040004	4	1.14464998245239	3.67411255836487	1	1	5	1
15	ET040004	5	1.60239994525909	4.40976762771606	1	1	6	1
15	ET040005	3	1.30938994884491	3.93886804580688	1	1	4	1
15	ET040005	4	1.39072000980377	4.0695743560791	1	1	5	1
15	ET040005	5	1.24865996837616	3.84126806259155	1	1	6	1
15	ET040006	3	.0876692980527878	1.9754273891449	1	1	4	1
15	ET040006	4	.531897008419037	2.68935060501099	1	1	5	1
15	ET040006	5	.81955498456955	3.1516489982605	1	1	6	1
16	ET040009	3	-2.34559988975525	-1.93510591983795	1	1	4	1
4	ET040010	3	-1.39927005767822	-.414249002933502	1	1	4	1
4	ET040010	4	.119452998042107	2.02650737762451	1	1	5	1
4	ET040010	5	.0492723993957043	1.91371941566467	1	1	6	1
16	ET040012	3	-1.89391005039215	-1.20919036865234	1	1	4	1
16	ET040012	4	-.0722976997494698	1.71834278106689	1	1	5	1
5	ET040013	3	.634562015533447	2.85434460639954	1	1	4	1
15	ET040014	3	.103917002677917	2.00153923034668	1	1	4	1
15	ET040014	4	.513466000556946	2.65972995758057	1	1	5	1
15	ET040015	3	.878706991672516	3.24671268463135	1	1	4	1
15	ET040015	4	.942375004291534	3.34903430938721	1	1	5	1
15	ET040016	3	.307076007127762	2.32803845405579	1	1	4	1
15	ET040016	4	.876411974430084	3.24302434921265	1	1	5	1
3	ET040017	3	.276903003454208	2.27954697608948	1	1	4	1
3	ET040017	4	.726706027984619	3.00243020057678	1	1	5	1
3	ET040018	3	-1.12392997741699	.0282530449330807	1	1	4	1
3	ET040018	4	.29958501458168	2.31599950790405	1	1	5	1
3	ET040018	5	-.511352002620697	1.01273381710052	1	1	6	1
16	ET040020	3	-1.09223997592926	.079182393848896	1	1	4	1
16	ET040020	4	-.451550990343094	1.10884058475494	1	1	5	1
16	ET040020	5	.452151000499725	2.56118988990784	1	1	6	1
3	ET040021	3	.807233989238739	3.13184762001038	1	1	4	1
3	ET040021	4	.0148740001022816	1.85843729972839	1	1	5	1
3	ET040021	5	1.03416001796722	3.49654293060303	1	1	6	1
4	ET040023	3	-.508807003498077	1.01682388782501	1	1	4	1
4	ET040023	4	-.0526801012456417	1.74987041950226	1	1	5	1
4	ET040023	5	1.2307300567627	3.81245279312134	1	1	6	1
4	ET040024	3	1.0681300163269	3.55113649368286	1	1	4	1
15	ET040025	3	.229423001408577	2.2032413482666	1	1	4	1
15	ET040025	4	.556362986564636	2.72867012023926	1	1	5	1
15	ET040025	5	1.38458001613617	4.05970668792725	1	1	6	1
2	ET040026	3	1.38608002662659	4.06211757659912	1	1	4	1
4	ET040028	3	-.964574992656708	.28435418009758	1	1	4	1
4	ET040028	4	.0701769962906837	1.94731533527374	1	1	5	1
4	ET040028	5	.749571025371552	3.03917694091797	1	1	6	1
15	ET040029	3	.459336012601852	2.57273697853088	1	1	4	1
15	ET040029	4	1.02523005008698	3.48219156265259	1	1	5	1
15	ET040029	5	2.19134998321533	5.35627555847168	1	1	6	1
16	ET040031	3	-.395987004041672	1.19813811779022	1	1	4	1
16	ET040031	4	1.18125998973846	3.73294901847839	1	1	5	1
16	ET040031	5	1.54533004760742	4.31804990768433	1	1	6	1
4	ET040032	3	-1.04053997993469	.162270024418831	1	1	4	1
4	ET040032	4	.77860701084137	3.08584094047546	1	1	5	1
4	ET040032	5	2.10486006736755	5.21727657318115	1	1	6	1
15	ET040034	3	.784027993679047	3.09455299377441	1	1	4	1
5	ET040036	3	-.343466997146606	1.28254354000092	1	1	4	1
5	ET040036	4	.363808989524841	2.41921448707581	1	1	5	1
5	ET040036	5	.213979005813599	2.17842102050781	1	1	6	1
4	ET040037	3	-3.03066992759705	-3.0360894203186	1	1	4	1
4	ET040037	4	.216913998126984	2.18313789367676	1	1	5	1
4	ET040037	5	-.0970643982291222	1.67853987216949	1	1	6	1
3	ET040038	3	.819162011146545	3.15101742744446	1	1	4	1
16	ET040039	3	-.626142978668213	.828251957893372	1	1	4	1
16	ET040039	4	.674534022808075	2.91858410835266	1	1	5	1
16	ET040039	5	1.73625004291534	4.62487936019897	1	1	6	1
7	ET040040	3	1.35046994686127	4.00488805770874	1	1	4	1
16	ET040041	3	-1.21794998645782	-.122847534716129	1	1	4	1
16	ET040041	4	-.505427002906799	1.02225589752197	1	1	5	1
16	ET040041	5	.675341010093689	2.91988110542297	1	1	6	1
4	ET040042	3	.815797984600067	3.14561104774475	1	1	4	1
4	ET040042	4	.703927993774414	2.96582341194153	1	1	5	1
