childid	round	yc	theta_eap	read_score	country	group	language
ET021009	4	0	-.683645009994507	-.560010194778442	1	3	1
ET021010	4	0	.602487981319427	.889472365379333	1	3	1
ET021011	4	0	.0592013001441956	.2771837413311	1	3	1
ET021012	4	0	.649329006671906	.942262589931488	1	3	1
ET021013	4	0	.0227783992886543	.236134842038155	1	3	1
ET021014	4	0	.911498010158539	1.23772919178009	1	3	1
ET021015	4	0	1.26285994052887	1.63371706008911	1	3	1
ET021017	4	0	.433984994888306	.699568092823029	1	3	1
ET021018	4	0	-1.36278998851776	-1.32541227340698	1	3	1
ET021019	4	0	.493703007698059	.76687079668045	1	3	1
ET021020	4	0	1.24779999256134	1.61674439907074	1	3	1
ET021022	4	0	1.20405995845795	1.5674489736557	1	3	1
ET021023	4	0	1.92220997810364	2.37681007385254	1	3	1
ET021024	4	0	.651893019676208	.945152223110199	1	3	1
ET021027	4	0	1.59869003295898	2.01220035552979	1	3	1
ET021028	4	0	.462913990020752	.732171297073364	1	3	1
ET021029	4	0	.912319004535675	1.23865449428558	1	3	1
ET021031	4	0	1.44572997093201	1.83981311321259	1	3	1
ET021032	4	0	1.09019994735718	1.43912780284882	1	3	1
ET021033	4	0	.474505007266998	.745234489440918	1	3	1
ET021034	4	0	.646703004837036	.939303040504456	1	3	1
ET021035	4	0	.681878983974457	.978946685791016	1	3	1
ET021036	4	0	1.79572999477386	2.23426604270935	1	3	1
ET021037	4	0	.47020098567009	.740383803844452	1	3	1
ET021038	4	0	.690927982330322	.98914498090744	1	3	1
ET021040	4	0	.180943995714188	.4143887758255	1	3	1
ET021041	4	0	-.0921763032674789	.106579929590225	1	3	1
ET021042	4	0	-.771429002285004	-.6589435338974	1	3	1
ET021043	4	0	.393660008907318	.654121518135071	1	3	1
ET021045	4	0	.0444481000304222	.260556757450104	1	3	1
ET021046	4	0	.795244991779327	1.1067111492157	1	3	1
ET021048	4	0	1.39289999008179	1.78027331829071	1	3	1
ET021050	4	0	-.140566006302834	.0520443357527256	1	3	1
ET031001	4	0	-.0647971034049988	.137436524033546	1	3	1
ET031002	4	0	.705238997936249	1.00527358055115	1	3	1
ET031003	4	0	.71722000837326	1.01877629756927	1	3	1
ET031004	4	0	1.30770003795624	1.68425226211548	1	3	1
ET031006	4	0	1.57638001441956	1.98705673217773	1	3	1
ET031007	4	0	-.537374973297119	-.395162671804428	1	3	1
ET031009	4	0	.362883001565933	.619435548782349	1	3	1
ET031011	4	0	.593617022037506	.879474699497223	1	3	1
ET031012	4	0	.201526001095772	.43758487701416	1	3	1
ET031013	4	0	.961090981960297	1.29362094402313	1	3	1
ET031015	4	0	.329719007015228	.582059442996979	1	3	1
ET031016	4	0	.294921010732651	.542841851711273	1	3	1
ET031019	4	0	-.392024993896484	-.231352031230927	1	3	1
ET031020	4	0	-.150260999798775	.0411179959774017	1	3	1
ET031021	4	0	-.755882978439331	-.641422986984253	1	3	1
ET031024	4	0	.733699977397919	1.03734934329987	1	3	1
ET031026	4	0	-.121319003403187	.0737358704209328	1	3	1
ET031027	4	0	.520108997821808	.796630561351776	1	3	1
ET031029	4	0	-.870275974273682	-.770344853401184	1	3	1
ET031030	4	0	-.693153023719788	-.570725798606873	1	3	1
ET031033	4	0	1.26819002628326	1.63972413539886	1	3	1
ET031034	4	0	2.19796991348267	2.68759369850159	1	3	1
ET031036	4	0	.117968998849392	.343415439128876	1	3	1
ET031037	4	0	-.113008998334408	.0831013098359108	1	3	1
ET031038	4	0	2.24996995925903	2.74619817733765	1	3	1
ET031040	4	0	-.172501996159554	.016052208840847	1	3	1
ET031042	4	0	.639177978038788	.930822312831879	1	3	1
ET031043	4	0	.752730011940002	1.05879640579224	1	3	1
ET031044	4	0	.91600102186203	1.24280416965485	1	3	1
ET031045	4	0	-.0260259993374348	.18113186955452	1	3	1
ET031046	4	0	2.15656995773315	2.64093565940857	1	3	1
ET031048	4	0	.611940026283264	.900124907493591	1	3	1
ET031050	4	0	.873030006885529	1.19437551498413	1	3	1
ET041001	4	0	-.10232999920845	.0951366350054741	1	3	1
ET041002	4	0	.814503014087677	1.12841510772705	1	3	1
ET041003	4	0	1.2004200220108	1.56334674358368	1	3	1
ET041006	4	0	-.368016988039017	-.204294815659523	1	3	1
ET041007	4	0	.610189974308014	.898152589797974	1	3	1
ET041008	4	0	-.0504469014704227	.153609320521355	1	3	1
ET041012	4	0	-.191381007432938	-.00522459344938397	1	3	1
ET041013	4	0	.813277006149292	1.12703335285187	1	3	1
ET041014	4	0	.318859994411469	.569821238517761	1	3	1
ET041015	4	0	1.11581003665924	1.46799063682556	1	3	1
ET041016	4	0	.0965342968702316	.319258362054825	1	3	1
ET041017	4	0	1.12006998062134	1.47279155254364	1	3	1
ET041020	4	0	1.004390001297	1.34241926670074	1	3	1
ET041021	4	0	.812036991119385	1.12563586235046	1	3	1
ET041022	4	0	-.868393003940582	-.768222749233246	1	3	1
ET041023	4	0	.230709999799728	.470475494861603	1	3	1
ET041024	4	0	1.38162994384766	1.76757180690765	1	3	1
ET041025	4	0	.253363013267517	.4960056245327	1	3	1
ET041026	4	0	-.590613007545471	-.45516237616539	1	3	1
ET041027	4	0	.796683013439178	1.10833179950714	1	3	1
ET041028	4	0	-.245902001857758	-.0666702091693878	1	3	1
ET041029	4	0	-1.18605005741119	-1.12622487545013	1	3	1
ET041030	4	0	.343293011188507	.597357451915741	1	3	1
ET041031	4	0	.715067982673645	1.01635098457336	1	3	1
ET041032	4	0	.350515991449356	.60549783706665	1	3	1
ET041034	4	0	.745606005191803	1.0507675409317	1	3	1
ET041035	4	0	.730257987976074	1.03347027301788	1	3	1
ET041036	4	0	.366082012653351	.623040854930878	1	3	1
ET041037	4	0	.164989992976189	.396408498287201	1	3	1
ET041038	4	0	1.25704002380371	1.62715792655945	1	3	1
ET041039	4	0	.807268977165222	1.12026226520538	1	3	1
ET041040	4	0	.816426992416382	1.13058340549469	1	3	1
ET041041	4	0	.715130984783173	1.01642191410065	1	3	1
ET041042	4	0	-.203071996569633	-.0184004362672567	1	3	1
ET041043	4	0	-.0352648012340069	.170719668269157	1	3	1
ET041044	4	0	.272911012172699	.518036365509033	1	3	1
ET041045	4	0	1.26173996925354	1.63245487213135	1	3	1
ET041046	4	0	.465041011571884	.734568476676941	1	3	1
ET041048	4	0	.135192006826401	.362825900316238	1	3	1
ET041049	4	0	.795231997966766	1.10669648647308	1	3	1
ET041050	4	0	1.57115995883942	1.9811737537384	1	3	1
ET051001	4	0	.0120104001834989	.223999217152596	1	3	1
ET051002	4	0	.160809993743896	.391697585582733	1	3	1
ET051003	4	0	-.101911000907421	.0956088453531265	1	3	1
ET051004	4	0	-.178421005606651	.0093814367428422	1	3	1
ET051005	4	0	-2.0706000328064	-2.12312006950378	1	3	1
ET051006	4	0	-.280703008174896	-.105891227722168	1	3	1
ET051007	4	0	-.484724998474121	-.335825711488724	1	3	1
ET051008	4	0	.216401994228363	.454350233078003	1	3	1
ET051009	4	0	-1.09184002876282	-1.02004945278168	1	3	1
ET051010	4	0	-1.37951004505157	-1.34425592422485	1	3	1
ET051012	4	0	.663455009460449	.958182692527771	1	3	1
ET051013	4	0	-1.0835200548172	-1.01067268848419	1	3	1
ET051014	4	0	-1.01558005809784	-.934103786945343	1	3	1
ET051015	4	0	.35325500369072	.608584702014923	1	3	1
ET051016	4	0	-.383206993341446	-.22141407430172	1	3	1
ET051017	4	0	-.906159996986389	-.810786485671997	1	3	1
ET051018	4	0	-1.62012004852295	-1.61542534828186	1	3	1
ET051019	4	0	.0891939997673035	.310985773801804	1	3	1
ET051021	4	0	.203152000904083	.439417392015457	1	3	1
ET051022	4	0	1.18830001354218	1.54968738555908	1	3	1
ET051023	4	0	-1.14347004890442	-1.0782368183136	1	3	1
ET051024	4	0	.475475996732712	.746328771114349	1	3	1
ET051025	4	0	1.08290994167328	1.43091189861298	1	3	1
ET051026	4	0	.667792022228241	.963070571422577	1	3	1
ET051027	4	0	.71756500005722	1.01916515827179	1	3	1
ET051028	4	0	.150737002491951	.38034525513649	1	3	1
ET051029	4	0	.344388991594315	.598592638969421	1	3	1
ET051030	4	0	.24065800011158	.481686949729919	1	3	1
ET051031	4	0	.0428594015538692	.258766293525696	1	3	1
ET051032	4	0	-.537928998470306	-.395787060260773	1	3	1
ET051033	4	0	-1.05359995365143	-.976952493190765	1	3	1
ET051034	4	0	-2.30312991142273	-2.38518309593201	1	3	1
ET051035	4	0	.555723011493683	.836767852306366	1	3	1
ET051036	4	0	-.28056201338768	-.105732329189777	1	3	1
ET051038	4	0	.682599008083344	.979758143424988	1	3	1
ET051039	4	0	-.620882987976074	-.489276885986328	1	3	1
ET051040	4	0	1.30479001998901	1.68097257614136	1	3	1
ET051041	4	0	.0820021033287048	.302880436182022	1	3	1
ET051042	4	0	.327529013156891	.579591333866119	1	3	1
ET051043	4	0	.790938019752502	1.10185706615448	1	3	1
ET051044	4	0	.374554008245468	.632588863372803	1	3	1
ET051045	4	0	.946982026100159	1.27771997451782	1	3	1
ET051046	4	0	.659623026847839	.95386403799057	1	3	1
ET051047	4	0	-.791095018386841	-.68110728263855	1	3	1
ET051048	4	0	.0815512016415596	.30237227678299	1	3	1
ET051049	4	0	.493804007768631	.766984641551971	1	3	1
ET051050	4	0	1.0436999797821	1.38672196865082	1	3	1
ET061007	4	0	-.478819996118546	-.329170733690262	1	3	1
ET061011	4	0	-.17705699801445	.0109186843037605	1	3	1
ET061012	4	0	.0462768003344536	.262617737054825	1	3	1
ET061014	4	0	-1.36296999454498	-1.3256151676178	1	3	1
ET061015	4	0	-1.56786000728607	-1.55652785301208	1	3	1
ET061016	4	0	.303579986095428	.552600562572479	1	3	1
ET061018	4	0	.467851012945175	.737735390663147	1	3	1
ET061019	4	0	-.44769498705864	-.294092565774918	1	3	1
ET061021	4	0	-.479088991880417	-.329473882913589	1	3	1
ET061023	4	0	-1.25883996486664	-1.20825970172882	1	3	1
ET061024	4	0	-.600127995014191	-.465885847806931	1	3	1
ET061026	4	0	-1.23196995258331	-1.17797696590424	1	3	1
ET061027	4	0	-1.67473995685577	-1.6769825220108	1	3	1
ET061029	4	0	.351200014352798	.606268703937531	1	3	1
ET061037	4	0	-1.27394998073578	-1.22528886795044	1	3	1
ET061038	4	0	-.172655999660492	.0158786457031965	1	3	1
ET061041	4	0	.865234971046448	1.18559038639069	1	3	1
ET061051	4	0	.611083984375	.899160146713257	1	3	1
ET061058	4	0	-1.68323004245758	-1.6865508556366	1	3	1
ET071002	4	0	-.590389013290405	-.454909920692444	1	3	1
ET071015	4	0	-.527176022529602	-.38366836309433	1	3	1
ET071032	4	0	.44760999083519	.714923560619354	1	3	1
ET071035	4	0	-1.88128995895386	-1.9097660779953	1	3	1
ET071036	4	0	.464655011892319	.73413348197937	1	3	1
ET071038	4	0	-1.25215995311737	-1.20073127746582	1	3	1
ET071040	4	0	-1.39494001865387	-1.36164557933807	1	3	1
ET071048	4	0	.00205864990130067	.212783515453339	1	3	1
ET091029	4	0	-.378529995679855	-.216143056750298	1	3	1
ET101005	4	0	-.230004996061325	-.0487541481852531	1	3	1
ET101025	4	0	-.133936002850533	.059516403824091	1	3	1
ET101032	4	0	.0138640003278852	.226088240742683	1	3	1
ET101038	4	0	-.346073001623154	-.179563760757446	1	3	1
ET101040	4	0	-.412223011255264	-.254115372896194	1	3	1
ET101047	4	0	-.052368700504303	.151443436741829	1	3	1
ET111024	4	0	-1.04674994945526	-.969232499599457	1	3	1
ET121001	4	0	.743665993213654	1.04858112335205	1	3	1
ET121002	4	0	.711932003498077	1.01281666755676	1	3	1
ET121004	4	0	.349135011434555	.603941440582275	1	3	1
ET121005	4	0	.104826003313065	.328603178262711	1	3	1
ET121007	4	0	-.198441997170448	-.0131823876872659	1	3	1
ET121008	4	0	-.0915912985801697	.107239238917828	1	3	1
ET121010	4	0	.797689974308014	1.10946667194366	1	3	1
ET121011	4	0	.154524996876717	.38461434841156	1	3	1
ET121012	4	0	-.569858014583588	-.431771337985992	1	3	1
ET121013	4	0	1.1379200220108	1.49290871620178	1	3	1
ET121014	4	0	-1.14160001277924	-1.07612931728363	1	3	1
ET121015	4	0	.0185244996100664	.231340661644936	1	3	1
ET121020	4	0	.784865021705627	1.09501278400421	1	3	1
ET121021	4	0	.135929003357887	.363656520843506	1	3	1
ET121022	4	0	-1.66965997219086	-1.67125725746155	1	3	1
ET121023	4	0	-.199423000216484	-.0142879858613014	1	3	1
ET121024	4	0	-.297351986169815	-.124654769897461	1	3	1
ET121026	4	0	-1.65770995616913	-1.65778946876526	1	3	1
ET121027	4	0	-1.72318005561829	-1.73157489299774	1	3	1
ET121028	4	0	-.71833598613739	-.599107265472412	1	3	1
ET121031	4	0	.0599629990756512	.278042197227478	1	3	1
ET121033	4	0	1.01842999458313	1.35824251174927	1	3	1
ET121034	4	0	-.56614100933075	-.427582234144211	1	3	1
ET121037	4	0	.619854986667633	.909045100212097	1	3	1
ET121038	4	0	-.0298782996833324	.176790297031403	1	3	1
ET121040	4	0	.665392994880676	.96036684513092	1	3	1
ET121043	4	0	.386018991470337	.645510017871857	1	3	1
ET121047	4	0	-.366266012191772	-.202321454882622	1	3	1
ET121048	4	0	1.09447002410889	1.44394016265869	1	3	1
ET121053	4	0	-1.26487004756927	-1.21505570411682	1	3	1
ET121056	4	0	1.30910003185272	1.68582999706268	1	3	1
ET131004	4	0	.237213999032974	.477805554866791	1	3	1
ET131032	4	0	-.66626900434494	-.540427327156067	1	3	1
ET131040	4	0	-1.24465000629425	-1.192267537117	1	3	1
ET131049	4	0	.831390023231506	1.14744687080383	1	3	1
ET141001	4	0	.599541008472443	.886151075363159	1	3	1
ET141002	4	0	.0932983979582787	.315611451864243	1	3	1
ET141005	4	0	1.15724003314972	1.51468253135681	1	3	1
ET141007	4	0	.324198991060257	.575838327407837	1	3	1
ET141008	4	0	2.11788988113403	2.59734296798706	1	3	1
ET141009	4	0	1.24914002418518	1.61825454235077	1	3	1
ET141010	4	0	.980320990085602	1.31529331207275	1	3	1
ET141013	4	0	1.69075000286102	2.11595273017883	1	3	1
ET141014	4	0	1.55904996395111	1.96752572059631	1	3	1
ET141016	4	0	.756570994853973	1.06312525272369	1	3	1
ET141017	4	0	.573086023330688	.856336116790771	1	3	1
ET141018	4	0	-.175971001386642	.0121426116675138	1	3	1
ET141021	4	0	-.321141004562378	-.151465192437172	1	3	1
ET141022	4	0	-1.02788996696472	-.947977125644684	1	3	1
ET141026	4	0	.358480989933014	.614474475383759	1	3	1
ET141028	4	0	1.40302002429962	1.79167866706848	1	3	1
ET141029	4	0	1.8175300359726	2.25883483886719	1	3	1
ET141031	4	0	-.247161999344826	-.0680902376770973	1	3	1
ET141032	4	0	.548048973083496	.828119158744812	1	3	1
ET141034	4	0	-.486856013536453	-.338227391242981	1	3	1
ET141035	4	0	.00648322002962232	.217770040035248	1	3	1
ET141036	4	0	1.36073005199432	1.74401748180389	1	3	1
ET141039	4	0	.750687003135681	1.05649387836456	1	3	1
ET141041	4	0	-.946785986423492	-.856572270393372	1	3	1
ET141042	4	0	-.868306994438171	-.768125832080841	1	3	1
ET141045	4	0	.132513001561165	.359806656837463	1	3	1
ET141046	4	0	-.791822016239166	-.681926608085632	1	3	1
ET141047	4	0	.266671985387802	.51100492477417	1	3	1
ET141049	4	0	-2.16060996055603	-2.22456192970276	1	3	1
ET151029	4	0	.48853999376297	.761052012443542	1	3	1
ET151044	4	0	-.560827970504761	-.421594381332397	1	3	1
ET161017	4	0	-.465517997741699	-.314179271459579	1	3	1
ET161033	4	0	.0974892005324364	.320334523916245	1	3	1
ET161040	4	0	-.756763994693756	-.642415940761566	1	3	1
ET181005	4	0	.0861485973000526	.307553589344025	1	3	1
ET010001	4	1	-.979623973369598	-.893580973148346	1	5	1
ET010002	4	1	.0822362974286079	.30314439535141	1	5	1
ET010004	4	1	-.319546014070511	-.149667620658875	1	5	1
ET010005	4	1	-.133983999490738	.0594623126089573	1	5	1
ET010006	4	1	.904372990131378	1.22969925403595	1	5	1
ET010007	4	1	1.42103004455566	1.81197607517242	1	5	1
ET010008	4	1	.777290999889374	1.08647680282593	1	5	1
ET010009	4	1	-1.26888000965118	-1.21957492828369	1	5	1
ET010010	4	1	-.181125998497009	.00633288687095046	1	5	1
ET010011	4	1	.238527998328209	.479286432266235	1	5	1
ET010012	4	1	.978716015815735	1.31348443031311	1	5	1
ET010014	4	1	-.745456993579865	-.629672825336456	1	5	1
ET010015	4	1	-.113118998706341	.0829773396253586	1	5	1
ET010016	4	1	2.02765011787415	2.4956419467926	1	5	1
ET010017	4	1	.100621998310089	.323865234851837	1	5	1
ET010020	4	1	.420776009559631	.684681475162506	1	5	1
ET010021	4	1	1.33319997787476	1.71299088001251	1	5	1
ET010022	4	1	1.55576002597809	1.96381783485413	1	5	1
ET010023	4	1	-1.24193000793457	-1.18920207023621	1	5	1
ET010024	4	1	.748503029346466	1.05403256416321	1	5	1
ET010025	4	1	.45619198679924	.724595546722412	1	5	1
ET010026	4	1	.500141978263855	.774127542972565	1	5	1
ET010028	4	1	1.0358099937439	1.37782990932465	1	5	1
ET010029	4	1	.376641988754272	.634942054748535	1	5	1
ET010030	4	1	1.08957004547119	1.43841791152954	1	5	1
ET010031	4	1	1.16304004192352	1.52121913433075	1	5	1
ET010032	4	1	1.9721200466156	2.43305897712708	1	5	1
ET010033	4	1	1.3327499628067	1.71248364448547	1	5	1
ET010035	4	1	.708658993244171	1.00912797451019	1	5	1
ET010036	4	1	.893684983253479	1.21765375137329	1	5	1
ET010037	4	1	1.57146000862122	1.98151183128357	1	5	1
ET010038	4	1	1.11791002750397	1.47035729885101	1	5	1
ET010040	4	1	-1.13400995731354	-1.06757521629333	1	5	1
ET010041	4	1	.726360023021698	1.02907717227936	1	5	1
ET010042	4	1	1.20526003837585	1.56880152225494	1	5	1
ET010043	4	1	-.543698012828827	-.402288794517517	1	5	1
ET010044	4	1	.563995003700256	.84609043598175	1	5	1
ET010045	4	1	.175758004188538	.40854412317276	1	5	1
ET010046	4	1	-.0165247991681099	.191839814186096	1	5	1
ET010048	4	1	-1.90129995346069	-1.93231749534607	1	5	1
ET010049	4	1	-.0628585964441299	.13962122797966	1	5	1
ET010050	4	1	1.49679005146027	1.89735817909241	1	5	1
ET010051	4	1	-.280016988515854	-.105118080973625	1	5	1
ET010052	4	1	1.42077004909515	1.81168305873871	1	5	1
ET010053	4	1	.855772972106934	1.17492663860321	1	5	1
ET010057	4	1	.0501517988741398	.266984879970551	1	5	1
ET010059	4	1	1.89128005504608	2.34195184707642	1	5	1
ET010060	4	1	1.4850800037384	1.88416087627411	1	5	1
ET010061	4	1	1.56990003585815	1.97975373268127	1	5	1
ET010062	4	1	.647395014762878	.940082967281342	1	5	1
ET010063	4	1	-.84136700630188	-.737764239311218	1	5	1
ET010064	4	1	.24142199754715	.482547998428345	1	5	1
ET010065	4	1	1.41901004314423	1.80969953536987	1	5	1
ET010066	4	1	-.763620972633362	-.650143802165985	1	5	1
ET010067	4	1	.770062029361725	1.07832968235016	1	5	1
ET010068	4	1	.201709002256393	.437791109085083	1	5	1
ET010069	4	1	.5397589802742	.818776249885559	1	5	1
ET010070	4	1	.309195011854172	.558928728103638	1	5	1
ET010071	4	1	-.0406011007726192	.164705619215965	1	5	1
ET010072	4	1	.596022009849548	.882185161113739	1	5	1
ET010073	4	1	-.681430995464325	-.557515025138855	1	5	1
ET010074	4	1	-.368140995502472	-.20443457365036	1	5	1
ET010075	4	1	.506169021129608	.780920088291168	1	5	1
ET010076	4	1	-.147346004843712	.0444032214581966	1	5	1
ET010077	4	1	.153922006487846	.383934766054153	1	5	1
ET010079	4	1	.663793981075287	.958564758300781	1	5	1
ET010080	4	1	-1.45577001571655	-1.43020153045654	1	5	1
ET010081	4	1	.915700972080231	1.24246597290039	1	5	1
ET010082	4	1	1.21719002723694	1.58224666118622	1	5	1
ET010083	4	1	.907851994037628	1.23362016677856	1	5	1
ET010084	4	1	-.192182004451752	-.00612732395529747	1	5	1
ET010085	4	1	-.407029002904892	-.248261675238609	1	5	1
ET010086	4	1	1.16767001152039	1.52643716335297	1	5	1
ET010087	4	1	.745121002197266	1.05022096633911	1	5	1
ET010088	4	1	.806671023368835	1.11958837509155	1	5	1
ET010089	4	1	-.973823010921478	-.887043237686157	1	5	1
ET010090	4	1	.531278014183044	.809218108654022	1	5	1
ET010091	4	1	1.46686995029449	1.86363804340363	1	5	1
ET010092	4	1	1.19265997409821	1.55460107326508	1	5	1
ET010093	4	1	1.80719995498657	2.24719285964966	1	5	1
ET010094	4	1	.980587005615234	1.31559312343597	1	5	1
ET010095	4	1	.53488701581955	.813285529613495	1	5	1
ET010096	4	1	.713483989238739	1.01456582546234	1	5	1
ET010097	4	1	.810862004756927	1.12431156635284	1	5	1
ET010098	4	1	1.03184998035431	1.37336695194244	1	5	1
ET010099	4	1	.657396018505096	.951354146003723	1	5	1
ET010100	4	1	-.241363003849983	-.0615547187626362	1	5	1
ET020001	4	1	-.599300980567932	-.464953780174255	1	5	1
ET020002	4	1	.655372977256775	.94907420873642	1	5	1
ET020003	4	1	1.02623999118805	1.36704444885254	1	5	1
ET020004	4	1	.433252990245819	.698743104934692	1	5	1
ET020005	4	1	.0395897999405861	.255081415176392	1	5	1
ET020007	4	1	-.0553066991269588	.148132279515266	1	5	1
ET020008	4	1	1.16210997104645	1.52017104625702	1	5	1
ET020011	4	1	.771125972270966	1.07952880859375	1	5	1
ET020012	4	1	-.189853996038437	-.00350363901816308	1	5	1
ET020013	4	1	.0240377001464367	.237554088234901	1	5	1
ET020014	4	1	-1.01570999622345	-.934250235557556	1	5	1
ET020015	4	1	.785006999969482	1.09517276287079	1	5	1
ET020017	4	1	1.10772001743317	1.45887303352356	1	5	1
ET020018	4	1	.481038004159927	.752597212791443	1	5	1
ET020019	4	1	1.03663003444672	1.37875401973724	1	5	1
ET020020	4	1	-.914124011993408	-.819761991500854	1	5	1
ET020023	4	1	-1.12196004390717	-1.05399489402771	1	5	1
ET020024	4	1	.35461899638176	.610121965408325	1	5	1
ET020025	4	1	.769362986087799	1.07754182815552	1	5	1
ET020026	4	1	-.324750006198883	-.155532568693161	1	5	1
ET020027	4	1	1.370609998703	1.75515222549438	1	5	1
ET020028	4	1	-1.34424996376038	-1.3045175075531	1	5	1
ET020029	4	1	.688742995262146	.98668247461319	1	5	1
ET020030	4	1	.7258660197258	1.02852046489716	1	5	1
ET020031	4	1	.158328995108604	.388901501893997	1	5	1
ET020032	4	1	-.0417656004428864	.163393214344978	1	5	1
ET020033	4	1	-.555581986904144	-.415682137012482	1	5	1
ET020034	4	1	-.622076988220215	-.4906225502491	1	5	1
ET020035	4	1	-.182455003261566	.00483508734032512	1	5	1
ET020036	4	1	.177967995405197	.411034792661667	1	5	1
ET020037	4	1	.455071002244949	.723332166671753	1	5	1
ET020038	4	1	-.479160010814667	-.329553931951523	1	5	1
ET020039	4	1	-.142370998859406	.0500100925564766	1	5	1
ET020040	4	1	.618553996086121	.907578885555267	1	5	1
ET020041	4	1	.941960990428925	1.27206122875214	1	5	1
ET020042	4	1	-.819006979465485	-.712564289569855	1	5	1
ET020043	4	1	.930233001708984	1.2588437795639	1	5	1
ET020044	4	1	-.185332000255585	.00159268791321665	1	5	1
ET020045	4	1	.469462007284164	.73955100774765	1	5	1
ET020046	4	1	.919972002506256	1.24727952480316	1	5	1
ET020047	4	1	.896624982357025	1.22096717357635	1	5	1
ET020048	4	1	1.07018005847931	1.41656517982483	1	5	1
ET020049	4	1	.788109004497528	1.09866881370544	1	5	1
ET020050	4	1	1.55140995979309	1.95891535282135	1	5	1
ET020051	4	1	-.565008997917175	-.426306456327438	1	5	1
ET020052	4	1	-.0643635988235474	.137925088405609	1	5	1
ET020053	4	1	.367935985326767	.625130295753479	1	5	1
ET020055	4	1	.649953007698059	.942965865135193	1	5	1
ET020056	4	1	-1.16364002227783	-1.10096859931946	1	5	1
ET020058	4	1	1.51400995254517	1.9167652130127	1	5	1
ET020059	4	1	1.16262996196747	1.52075707912445	1	5	1
ET020060	4	1	.257414013147354	.500571131706238	1	5	1
ET020061	4	1	-.703222990036011	-.582074761390686	1	5	1
ET020062	4	1	.0514964014291763	.26850026845932	1	5	1
ET020064	4	1	.883046984672546	1.20566463470459	1	5	1
ET020065	4	1	.699985027313232	.999352335929871	1	5	1
ET020066	4	1	.7776939868927	1.08693099021912	1	5	1
ET020067	4	1	.626401007175446	.916422545909882	1	5	1
ET020068	4	1	.220311000943184	.458755731582642	1	5	1
ET020070	4	1	-.822304010391235	-.716280043125153	1	5	1
ET020071	4	1	.828826010227203	1.14455723762512	1	5	1
ET020072	4	1	-.0918620973825455	.106934048235416	1	5	1
ET020073	4	1	.235755994915962	.476162374019623	1	5	1
ET020074	4	1	-.225426003336906	-.0435935854911804	1	5	1
ET020075	4	1	-.306154012680054	-.134574726223946	1	5	1
ET020076	4	1	-1.10872995853424	-1.03908443450928	1	5	1
ET020077	4	1	-1.36094999313354	-1.32333850860596	1	5	1
ET020078	4	1	-1.44208002090454	-1.41477274894714	1	5	1
ET020079	4	1	.51571398973465	.791677355766296	1	5	1
ET020080	4	1	.155420005321503	.385623037815094	1	5	1
ET020081	4	1	-1.43500995635986	-1.40680480003357	1	5	1
