childid	country	round	yc	math	group
ET091004	1	2	0	305.659423828125	1
ET091005	1	2	0	359.483093261719	1
ET091006	1	2	0	270.372833251953	1
ET091007	1	2	0	531.88330078125	1
ET091008	1	2	0	325.365264892578	1
ET091010	1	2	0	514.630249023438	1
ET091011	1	2	0	272.294647216797	1
ET091012	1	2	0	427.759552001953	1
ET091013	1	2	0	454.215240478516	1
ET091015	1	2	0	334.626617431641	1
ET091016	1	2	0	390.912445068359	1
ET091017	1	2	0	613.920104980469	1
ET091019	1	2	0	449.359161376953	1
ET091020	1	2	0	397.848785400391	1
ET091021	1	2	0	303.603912353516	1
ET091022	1	2	0	358.205841064453	1
ET091023	1	2	0	373.064117431641	1
ET091024	1	2	0	257.625762939453	1
ET091025	1	2	0	505.230072021484	1
ET091026	1	2	0	507.620819091797	1
ET091027	1	2	0	452.742767333984	1
ET091028	1	2	0	303.505828857422	1
ET091029	1	2	0	361.599884033203	1
ET091030	1	2	0	479.009338378906	1
ET091031	1	2	0	476.849945068359	1
ET091032	1	2	0	427.085693359375	1
ET091033	1	2	0	324.019104003906	1
ET091034	1	2	0	379.821258544922	1
ET091035	1	2	0	343.988555908203	1
ET091036	1	2	0	358.984252929688	1
ET091037	1	2	0	355.294219970703	1
ET091038	1	2	0	392.787017822266	1
ET091039	1	2	0	513.50390625	1
ET091040	1	2	0	417.34716796875	1
ET091041	1	2	0	212.879150390625	1
ET091042	1	2	0	312.753173828125	1
ET091043	1	2	0	322.874176025391	1
ET091044	1	2	0	399.432342529297	1
ET091045	1	2	0	358.965911865234	1
ET091046	1	2	0	371.654022216797	1
ET091047	1	2	0	296.452850341797	1
ET091048	1	2	0	418.409301757813	1
ET091049	1	2	0	251.446441650391	1
ET091050	1	2	0	343.532623291016	1
ET101001	1	2	0	334.657165527344	1
ET101002	1	2	0	466.907653808594	1
ET101003	1	2	0	526.254943847656	1
ET101004	1	2	0	425.627990722656	1
ET101005	1	2	0	410.443176269531	1
ET101006	1	2	0	463.983428955078	1
ET101007	1	2	0	606.448120117188	1
ET101008	1	2	0	246.986419677734	1
ET101009	1	2	0	485.560424804688	1
ET101010	1	2	0	495.610229492188	1
ET101011	1	2	0	473.027740478516	1
ET101012	1	2	0	486.728271484375	1
ET101013	1	2	0	406.049621582031	1
ET101014	1	2	0	652.216125488281	1
ET101015	1	2	0	361.112640380859	1
ET101016	1	2	0	556.565612792969	1
ET101017	1	2	0	430.413787841797	1
