commid	rsid	module	section	module2	section2	module3	section3	ageres	sexres	capac	livres
VN033	7	 	 	 	 	 	 	45	2	10	45
VN033	8	2	1	 	 	 	 	50	1	8	50
VN033	9	2	2	 	 	 	 	30	2	8	30
VN033	10	2	2	 	 	 	 	32	2	8	9
VN033	11	2	2	 	3	 	 	36	2	4	16
VN033	12	2	3	 	 	 	 	36	2	4	16
VN033	13	2	3	 	 	 	 	40	2	4	16
VN033	99	 	 	 	 	 	 	99	99	99	99
VN033	88	 	 	 	 	 	 	99	99	99	99
VN002	1	1	1	 	 	 	 	37	1	1	37
VN002	2	1	1	 	 	 	 	39	2	6	39
VN002	3	1	1	 	 	 	 	49	2	2	49
VN002	4	1	3	 	 	 	 	38	2	3	38
VN002	5	1	2	 	 	 	 	50	1	2	50
VN002	6	1	2	 	 	 	 	35	2	2	35
VN002	7	1	3	 	 	 	 	45	2	8	43
VN015	10	 	1	 	3	 	 	35	1	8	35
VN015	11	 	1	 	3	 	 	32	1	8	32
VN015	12	 	3	 	 	 	 	25	2	4	4
VN015	13	 	4	 	 	 	 	26	1	3	2
VN015	14	 	5	 	 	 	 	44	2	6	30
VN015	15	 	5	 	 	 	 	31	2	8	5
VN015	16	 	 	 	 	 	 	99	99	99	99
VN015	17	 	 	 	 	 	 	88	88	88	88
VN014	1	1	1	2	1	 	 	39	1	1	39
VN014	2	1	1	2	5	 	 	41	2	6	41
VN014	3	2	1	 	4	 	 	44	2	3	44
VN014	4	1	1	 	3	 	 	48	2	8	48
VN014	5	1	2	 	 	 	 	52	1	8	52
VN014	6	1	3	 	 	 	 	27	1	1	27
VN014	7	1	3	2	1	 	 	47	1	4	40
VN014	8	1	1	 	 	 	 	56	1	8	56
VN014	9	1	2	 	3	 	 	62	2	8	62
VN014	10	1	5	 	 	 	 	67	1	10	31
VN014	11	1	4	 	 	 	 	52	1	8	52
VN014	12	1	6	2	1	 	 	34	2	3	3
VN014	13	1	5	 	 	 	 	49	1	10	49
VN014	14	1	5	 	 	 	 	48	1	8	30
VN014	15	1	5	 	 	 	 	47	2	10	25
VN014	16	1	5	 	6	 	 	37	2	8	37
VN014	17	1	4	2	3	 	 	42	2	8	24
VN014	18	1	4	 	6	2	3	40	2	4	40
VN013	1	1	1	 	2	 	3	37	1	1	37
VN013	2	1	4	 	6	2	5	60	1	2	60
VN013	3	1	1	1	2	2	5	23	1	2	23
VN013	4	2	1	 	3	 	2	23	2	2	23
VN013	5	1	1	1	2	2	5	56	2	2	56
VN013	6	2	1	 	3	 	 	40	2	4	20
VN013	7	2	1	 	3	 	 	48	1	4	0
VN013	8	2	1	 	3	 	 	42	1	4	0
VN013	9	2	1	 	2	 	4	46	2	4	0
