CHILDCODE	EDCHSTR5	ATSCR5	GRDER5	CMPGRDR5	TYSCR5	SMESCHR5	PROVR5	CODMODR5	COD_MOD	ANEXO	NMSCSCR5	NIV_MOD	D_NIV_MOD	GESTION	D_GESTION	GES_DEP	D_GES_DEP	TYSCR5_C
11010	16	1	9	4	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11011	13	1	3	2	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11011	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11011	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11011	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11012	13	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11012	14	1	8	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11012	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11012	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11013	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11013	14	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11013	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11013	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11014	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11014	14	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11014	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11014	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11015	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11015	14	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11015	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11015	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11016	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11016	14	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11016	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11016	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11017	13	1	5	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11017	14	1	6	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11017	15	1	7	2	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11017	16	1	7	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11018	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11018	14	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11018	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11018	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11019	13	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11019	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11019	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11019	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11020	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11020	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11020	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11020	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11021	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11021	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11021	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11021	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11022	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11022	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11022	15	1	9	1	11	1	 	 	 	 	 	 	 	 	 	 	 	11
11022	16	1	10	4	11	1	 	 	 	 	 	 	 	 	 	 	 	11
11023	13	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11023	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11023	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11023	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11024	13	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11024	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11024	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11024	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11025	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11025	14	1	8	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11025	15	1	9	1	11	1	 	 	 	 	 	 	 	 	 	 	 	11
11025	16	1	10	4	11	1	 	 	 	 	 	 	 	 	 	 	 	11
11026	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11026	14	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11026	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11026	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11027	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11027	14	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11027	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11027	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11028	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11028	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11028	15	1	9	1	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11028	16	1	10	4	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11029	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11029	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11029	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11029	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11030	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11030	14	1	7	1	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11030	15	1	8	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11030	16	1	9	4	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11031	13	1	7	1	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11031	14	1	8	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11031	15	1	9	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11031	16	1	10	4	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11032	13	1	7	1	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11032	14	1	8	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11032	15	1	9	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11032	16	1	10	4	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11033	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11033	14	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11033	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11033	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11034	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11034	14	1	7	1	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11034	15	1	8	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11034	16	1	9	4	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11035	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11035	14	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11035	15	1	8	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11035	16	1	9	1	10	0	 	 	 	 	 	 	 	 	 	 	 	10
11036	13	1	4	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11036	14	1	5	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11036	15	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11036	16	1	7	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11037	13	1	6	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11037	14	1	7	2	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11037	15	1	7	2	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11037	16	1	7	4	9	0	 	 	 	 	 	 	 	 	 	 	 	9
11038	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11038	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11038	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11038	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11039	13	1	5	1	4	1	 	 	 	 	 	 	 	 	 	 	 	1
11039	14	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	1
11039	15	1	7	2	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11039	16	1	7	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11040	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11040	14	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11040	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11040	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11041	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11041	14	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11041	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11041	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11042	13	1	4	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11042	14	1	5	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11042	15	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11042	16	1	7	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11043	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11043	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11043	15	1	9	3	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11043	16	1	9	4	8	0	 	 	 	 	 	 	 	 	 	 	 	99
11044	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11044	14	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11044	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11044	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11045	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11045	14	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11045	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11045	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11046	13	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11046	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11046	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11046	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11047	13	1	6	1	7	1	 	 	 	 	 	 	 	 	 	 	 	4
11047	14	1	7	1	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11047	15	1	8	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11047	16	1	9	4	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11048	13	1	7	1	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11048	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11048	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11048	16	1	10	4	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11049	13	1	6	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11049	14	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11049	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11049	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11050	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11050	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11050	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11050	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11051	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11051	14	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11051	15	1	8	2	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11051	16	1	8	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11052	13	1	7	1	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11052	14	1	8	1	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11052	15	1	9	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11052	16	1	10	4	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11053	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11053	14	1	8	2	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11053	15	1	8	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11053	16	1	9	4	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11054	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11054	14	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11054	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11054	16	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11055	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11055	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11055	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11055	16	1	10	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11056	13	1	6	1	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11056	14	1	7	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11056	15	1	8	1	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11056	16	1	9	4	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11057	13	1	5	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11057	14	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11057	15	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11057	16	1	8	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11059	13	1	7	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11059	14	1	8	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11059	15	1	9	1	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11059	16	1	10	4	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11060	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11060	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11060	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11060	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11061	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11061	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11061	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11061	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11062	13	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11062	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11062	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11062	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11063	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11063	14	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11063	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11063	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11064	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11064	14	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11064	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11064	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11065	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11065	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11065	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11065	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11066	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11066	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11066	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11066	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11067	13	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11067	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11067	15	1	9	1	11	0	 	 	 	 	 	 	 	 	 	 	 	11
11067	16	1	10	4	11	1	 	 	 	 	 	 	 	 	 	 	 	11
11068	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11068	14	1	7	1	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11068	15	1	8	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11068	16	1	9	4	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11069	13	1	6	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11069	14	1	7	1	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11069	15	1	8	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11069	16	1	9	1	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11070	13	1	7	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11070	14	1	8	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11070	15	1	9	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11070	16	1	10	4	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11071	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11071	14	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11071	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11071	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11072	13	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11072	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11072	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11072	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11073	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11073	14	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11073	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11073	16	1	9	1	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11074	13	1	7	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11074	14	1	8	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11074	15	1	9	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11074	16	1	10	4	1	0	 	 	 	 	 	 	 	 	 	 	 	1
11075	13	1	5	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11075	14	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11075	15	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11075	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11076	13	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11076	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11076	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11076	16	1	10	4	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11077	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11077	14	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11077	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11077	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11078	13	1	5	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11078	14	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11078	15	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11078	16	1	8	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11079	13	1	7	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11079	14	1	8	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11079	15	1	9	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11079	16	1	10	4	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11080	13	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11080	14	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11080	15	1	9	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11080	16	1	10	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11081	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11081	14	1	7	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11081	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11081	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11082	13	1	4	2	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11082	14	1	4	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11082	15	1	5	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11082	16	1	6	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11083	13	1	6	1	7	1	 	 	 	 	 	 	 	 	 	 	 	7
11083	14	1	7	1	7	1	 	 	 	 	 	 	 	 	 	 	 	7
11083	15	1	8	1	7	1	 	 	 	 	 	 	 	 	 	 	 	7
11083	16	1	9	4	7	1	 	 	 	 	 	 	 	 	 	 	 	7
11084	13	1	6	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11084	14	1	7	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11084	15	1	8	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11084	16	1	9	4	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11085	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11085	14	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11085	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11085	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11086	13	1	7	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11086	14	1	8	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11086	15	1	9	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11086	16	1	10	4	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11087	13	1	7	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11087	14	1	8	1	1	1	 	 	 	 	 	 	 	 	 	 	 	1
11087	15	1	9	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11087	16	1	10	4	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11088	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11088	14	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11088	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11088	16	1	9	4	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11089	13	1	6	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
11089	14	1	7	1	4	0	 	 	 	 	 	 	 	 	 	 	 	4
11089	15	1	8	1	4	1	 	 	 	 	 	 	 	 	 	 	 	4
