CHILDCODE	CHMVIDR5	CNTRYR5	TYPLOCR5	YRMOVER5	MTHSTYR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPFMR5	MVOTHMR5	MVNONHR5	RSNMVR51	RSNMVR52
81023	1	51	3	2014	6	N	Y	Y	Y	N	N	N	N	8	88
81023	2	51	3	2015	0	N	N	Y	N	N	N	N	N	1	88
81025	1	51	1	2016	0	N	Y	Y	Y	N	N	N	N	9	 
81035	1	51	2	2014	0	N	Y	Y	Y	N	N	N	N	9	88
81045	1	51	1	2013	0	N	N	Y	N	N	N	N	N	9	88
81057	1	51	1	2014	0	N	N	Y	Y	N	N	N	N	1	9
81059	1	51	4	2015	12	N	Y	N	N	N	N	N	N	3	88
81059	2	51	1	2016	0	Y	 	 	 	 	 	 	 	1	88
81067	1	51	4	2014	0	N	N	Y	N	N	N	N	N	3	88
81073	1	51	1	2013	24	N	N	Y	Y	N	N	N	N	9	88
81073	2	51	2	2016	0	N	N	Y	Y	N	N	N	N	9	88
81095	1	80	7	2009	5	N	N	Y	N	N	N	N	N	5	88
81095	2	51	7	2015	0	N	N	N	N	N	N	Y	N	9	88
91012	1	51	4	2014	12	N	N	N	N	N	N	N	Y	1	88
91012	2	51	4	2015	0	N	Y	N	Y	N	N	N	N	9	88
91025	1	51	4	2014	3	N	N	Y	N	N	N	N	N	10	88
91025	2	51	4	2015	0	N	N	Y	N	N	N	N	N	1	88
91028	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
91038	1	51	4	2015	0	N	N	Y	Y	N	N	N	N	4	1
91053	1	51	1	2014	0	N	N	Y	N	N	N	N	N	6	88
91073	1	51	1	2015	0	N	Y	Y	N	N	N	N	N	9	 
91093	1	51	2	2013	0	N	Y	Y	Y	N	N	N	N	9	88
101002	1	51	2	2016	0	N	N	Y	Y	N	N	N	N	3	88
101005	1	51	2	2015	0	N	N	Y	Y	N	N	N	N	9	88
101006	1	51	2	2013	0	N	Y	Y	Y	N	N	N	N	9	88
101008	1	51	1	2014	0	N	N	Y	Y	N	N	N	N	9	88
101016	1	51	4	2015	8	N	Y	Y	Y	N	N	N	N	1	3
101016	2	51	1	2015	3	N	Y	Y	Y	N	N	N	N	9	88
101016	3	51	1	2016	0	N	Y	Y	Y	N	N	N	N	9	88
101020	1	51	1	2014	0	N	N	Y	Y	Y	N	N	N	1	88
101028	1	51	1	2014	0	N	Y	Y	Y	N	N	N	N	3	88
101029	1	51	1	2013	18	N	Y	Y	Y	N	N	N	N	9	88
101043	1	51	5	2014	0	N	N	Y	Y	N	N	N	N	4	88
101048	1	51	1	2016	0	N	Y	Y	Y	N	N	N	N	9	88
101052	1	51	1	2014	0	N	N	Y	N	N	N	N	N	9	88
101059	1	51	4	2015	0	N	Y	Y	Y	N	N	N	N	1	3
101063	1	51	1	2016	0	N	Y	Y	Y	N	N	N	N	9	88
101066	1	51	1	2013	0	N	N	Y	Y	N	N	N	N	4	88
101086	1	51	4	2014	3	N	N	Y	N	N	N	N	N	3	88
101086	2	51	4	2014	9	N	N	Y	N	N	N	N	N	1	88
101086	3	51	5	2015	3	N	N	Y	N	N	N	N	N	3	88
101086	4	51	4	2015	9	N	N	Y	N	N	N	N	N	1	88
101086	5	51	4	2016	3	N	N	Y	N	N	N	N	N	3	88
101086	6	51	4	2016	0	N	N	Y	N	N	N	N	N	1	88
101091	1	51	4	2016	0	N	Y	Y	Y	N	N	N	N	3	77
101092	1	51	5	2014	12	N	N	Y	Y	N	N	N	N	1	3
101092	2	51	4	2015	0	N	N	N	Y	N	N	N	N	9	 
101099	1	51	2	2015	0	N	Y	Y	Y	N	N	N	N	77	 
111004	1	51	5	2015	0	N	N	N	Y	N	N	N	N	9	88
111017	1	51	3	2014	24	N	N	N	Y	N	N	N	N	9	88
111017	2	51	3	2016	10	N	N	Y	N	N	N	N	N	1	88
111018	1	51	1	2015	0	N	Y	Y	Y	N	N	N	N	3	88
111025	1	51	1	2015	0	N	Y	Y	Y	N	N	N	N	9	88
111030	1	51	3	2016	7	Y	 	 	 	 	 	 	 	9	88
111030	2	51	3	2016	0	Y	 	 	 	 	 	 	 	9	88
111032	1	51	5	2013	24	N	N	Y	Y	N	N	N	N	3	1
111032	2	51	5	2015	12	N	N	Y	Y	N	N	N	N	3	1
111032	3	51	5	2016	0	N	N	Y	Y	N	N	Y	N	3	1
111046	1	51	1	2015	0	N	Y	Y	Y	N	N	Y	N	1	88
111049	1	51	4	2015	0	N	N	N	Y	N	N	N	N	2	1
111050	1	51	2	2014	0	N	Y	Y	Y	N	N	N	N	3	88
111051	1	51	1	2015	0	Y	 	 	 	 	 	 	 	9	88
111056	1	51	4	2014	24	N	Y	Y	Y	N	N	N	N	3	1
111056	2	51	4	2016	0	Y	 	 	 	 	 	 	 	1	88
111062	1	51	3	2016	0	N	Y	N	Y	N	N	N	N	1	3
111063	1	51	5	2014	10	N	N	N	N	N	N	Y	N	9	88
111063	2	51	5	2015	0	N	N	Y	Y	N	N	N	N	1	88
111065	1	51	2	2013	0	N	N	N	Y	N	N	N	N	1	88
111070	1	51	1	2014	0	N	Y	Y	N	N	N	N	N	1	3
111074	1	51	2	2015	0	N	Y	Y	Y	N	N	N	N	1	88
111085	1	51	2	2011	0	N	N	Y	Y	N	N	N	N	1	3
111087	1	51	3	2013	0	N	N	N	Y	N	N	N	N	1	88
111092	1	51	5	2014	0	N	Y	Y	Y	N	N	N	N	3	88
111094	1	51	3	2015	0	Y	 	 	 	 	 	 	 	1	88
111096	1	51	4	2015	3	N	N	N	Y	N	N	N	N	10	88
111096	2	51	4	2015	0	N	Y	Y	N	N	N	N	N	9	 
121008	1	51	1	2015	10	N	N	N	N	Y	N	N	N	9	9
121008	2	51	1	2016	0	Y	 	 	 	 	 	 	 	9	88
121010	1	51	1	2013	28	N	Y	Y	Y	N	N	N	N	3	88
121010	2	51	1	2016	0	N	N	Y	Y	N	N	N	N	6	88
121014	1	51	1	2015	12	N	N	Y	Y	N	N	N	N	9	88
121014	2	51	1	2016	0	N	N	Y	Y	Y	N	N	N	9	88
121032	1	51	1	2013	0	N	N	Y	Y	N	N	N	N	1	88
121040	1	51	1	2014	0	Y	 	 	 	 	 	 	 	4	 
121042	1	51	1	2015	15	N	Y	Y	Y	N	N	N	N	9	88
121042	2	51	1	2016	0	N	Y	Y	Y	N	N	N	N	1	88
121043	1	51	5	2014	0	N	N	Y	Y	N	N	N	N	9	6
121059	1	51	3	2015	0	N	Y	Y	Y	N	N	Y	N	9	88
121060	1	51	3	2013	0	N	N	Y	Y	N	N	N	N	9	88
121065	1	51	1	2015	9	N	N	Y	N	N	Y	N	N	9	88
121065	2	51	1	2015	0	N	N	Y	N	N	N	N	N	4	88
121075	1	51	1	2015	0	N	Y	Y	Y	N	N	Y	N	9	88
121076	1	51	1	2016	3	N	Y	Y	Y	N	N	N	N	3	88
121097	1	51	1	2014	4	N	Y	Y	Y	N	N	N	N	8	88
121097	2	51	1	2014	0	N	Y	Y	Y	N	N	N	N	1	88
131004	1	51	1	2015	0	N	Y	Y	Y	N	N	Y	N	3	1
131006	1	51	5	2016	0	N	N	Y	Y	N	N	N	N	3	9
131009	1	51	2	2016	0	N	Y	Y	Y	N	N	N	N	9	88
131012	1	51	1	2015	9	N	Y	Y	Y	N	N	Y	N	3	88
131012	2	51	1	2015	0	N	Y	Y	Y	N	N	Y	N	1	88
131018	1	51	2	2015	0	N	Y	Y	Y	N	N	N	N	3	88
131020	1	51	2	2015	0	N	Y	Y	Y	N	N	N	N	3	9
131040	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 
131044	1	51	5	2016	0	Y	 	 	 	 	 	 	 	1	88
131046	1	51	1	2014	0	N	Y	Y	Y	N	N	N	N	9	88
131064	1	51	2	2015	4	Y	 	 	 	 	 	 	 	9	88
131064	2	51	2	2015	0	Y	 	 	 	 	 	 	 	9	88
131066	1	51	1	2014	0	Y	 	 	 	 	 	 	 	1	88
131079	1	51	5	2014	0	N	Y	Y	Y	N	N	N	N	1	88
131082	1	51	3	2016	0	N	N	Y	Y	N	N	N	N	4	88
131089	1	51	2	2016	0	N	N	Y	Y	N	N	Y	N	9	3
131101	1	51	5	2014	0	N	Y	Y	Y	N	N	N	N	1	88
141008	1	51	2	2013	7	Y	 	 	 	 	 	 	 	4	88
141008	2	51	2	2016	0	Y	 	 	 	 	 	 	 	9	88
141028	1	51	5	2016	0	N	Y	N	Y	N	N	N	N	3	88
141031	1	51	2	2015	0	N	Y	N	Y	Y	Y	N	N	9	88
141046	1	51	2	2015	0	N	Y	Y	Y	N	N	N	N	9	88
141061	1	51	1	2016	0	N	N	Y	Y	N	N	N	N	4	5
141068	1	51	2	2013	18	Y	 	 	 	 	 	 	 	1	88
141068	2	51	2	2015	0	Y	 	 	 	 	 	 	 	1	88
141089	1	51	5	2015	10	N	Y	N	N	N	N	N	N	9	88
141089	2	51	5	2015	0	Y	 	 	 	 	 	 	 	9	88
141099	1	51	1	2015	0	N	N	Y	Y	N	N	N	N	9	88
151013	1	51	4	2015	0	N	Y	Y	N	N	N	N	N	3	88
151017	1	51	2	2015	0	N	Y	Y	Y	N	N	N	N	3	88
151020	1	51	1	2014	0	N	Y	Y	N	N	N	Y	N	9	1
151021	1	51	5	2015	18	N	N	Y	N	N	N	N	N	1	88
151021	2	51	5	2016	0	N	N	Y	N	N	N	N	N	1	88
151022	1	51	3	2016	0	N	Y	N	N	N	N	N	N	1	88
151026	1	51	4	2013	2	N	Y	Y	Y	N	N	N	N	3	88
151026	2	51	4	2016	0	N	Y	Y	N	N	N	N	N	3	88
151027	1	51	2	2016	0	N	N	Y	N	N	N	N	N	4	88
151035	1	51	2	2014	0	N	N	Y	Y	N	N	N	N	1	4
151036	1	51	4	2015	12	Y	 	 	 	 	 	 	 	1	8
151036	2	51	4	2016	0	Y	 	 	 	 	 	 	 	9	88
151045	1	51	4	2014	3	N	Y	N	N	N	N	N	N	10	88
151045	2	51	4	2014	0	N	Y	N	N	N	N	N	N	1	3
151048	1	51	1	2016	0	N	Y	Y	N	N	N	N	N	3	88
151051	1	51	4	2014	30	N	N	N	Y	N	N	N	N	1	88
151051	2	51	2	2016	0	Y	 	 	 	 	 	 	 	1	88
151064	1	51	3	2015	18	Y	 	 	 	 	 	 	 	9	88
151064	2	51	3	2016	0	Y	 	 	 	 	 	 	 	9	88
151069	1	51	3	2015	0	N	Y	Y	Y	N	N	N	N	3	88
151070	2	51	5	2014	12	N	Y	Y	Y	N	N	N	N	3	88
151070	3	51	5	2015	0	N	Y	Y	Y	N	N	N	N	3	88
151073	1	51	3	2014	30	N	N	Y	Y	N	N	Y	N	3	88
151073	2	51	3	2016	0	N	N	Y	Y	N	N	Y	N	8	88
151076	1	51	5	2016	0	N	N	Y	N	N	N	N	N	1	4
151080	1	51	5	2016	0	N	N	N	Y	N	N	N	N	1	88
151088	1	51	3	2015	3	N	N	N	N	N	N	N	Y	2	10
151088	2	51	3	2015	0	Y	 	 	 	 	 	 	 	1	88
151089	1	51	1	2015	0	N	Y	Y	Y	N	N	N	N	9	88
151094	1	51	4	2013	10	N	Y	N	N	N	N	N	N	1	88
151094	2	51	4	2014	0	N	N	Y	N	N	N	N	N	9	88
151104	1	51	4	2014	18	N	N	N	N	N	N	N	Y	1	88
151104	2	51	4	2015	0	N	Y	Y	Y	N	N	N	N	9	88
151109	1	51	4	2016	5	Y	 	 	 	 	 	 	 	1	88
151109	2	51	4	2016	0	Y	 	 	 	 	 	 	 	9	88
161005	1	51	4	2016	0	N	Y	Y	Y	N	N	N	N	3	88
161007	1	51	5	2014	0	N	Y	Y	Y	N	N	N	N	9	88
161009	1	51	1	2014	0	N	N	Y	N	N	N	N	N	9	88
161013	1	51	2	2015	0	N	N	Y	Y	N	N	N	N	1	88
161028	1	51	2	2014	0	N	Y	N	Y	N	N	N	N	1	3
161040	1	51	1	2015	12	N	N	Y	Y	N	N	N	N	4	88
161040	2	51	2	2016	0	N	N	Y	Y	N	N	N	N	1	88
161048	1	51	2	2010	0	N	N	Y	Y	N	Y	N	N	9	1
161051	1	51	5	2015	18	Y	 	 	 	 	 	 	 	1	88
161051	2	51	5	2017	0	Y	 	 	 	 	 	 	 	1	88
161054	1	51	2	2016	0	Y	 	 	 	 	 	 	 	1	 
161063	1	51	2	2016	0	Y	 	 	 	 	 	 	 	1	88
161069	1	51	2	2013	0	N	N	N	Y	N	N	N	N	1	88
161082	1	51	2	2015	2	N	N	Y	Y	N	N	N	N	1	4
161083	1	51	2	2013	0	N	N	N	Y	N	N	N	N	1	88
161090	1	51	1	2015	0	N	Y	Y	Y	N	N	N	N	9	88
161095	1	51	4	2015	0	Y	 	 	 	 	 	 	 	1	88
161096	1	51	2	2013	0	Y	 	 	 	 	 	 	 	1	88
171002	1	51	4	2016	0	N	Y	Y	Y	N	N	N	N	9	1
171003	1	51	5	2016	14	N	Y	N	N	N	N	N	N	4	3
171005	1	51	5	2014	0	N	N	Y	Y	N	N	N	Y	3	1
171022	1	51	5	2015	20	Y	 	 	 	 	 	 	 	1	88
171025	1	51	4	2015	0	Y	 	 	 	 	 	 	 	1	88
171035	1	51	4	2015	0	N	Y	Y	Y	N	N	N	N	1	88
171047	1	51	4	2016	0	N	Y	N	Y	N	N	N	N	1	88
171051	1	51	1	2013	0	N	Y	Y	Y	N	N	N	N	9	88
171071	1	51	5	2014	3	N	N	N	N	Y	N	N	N	2	88
171071	2	51	4	2014	0	N	Y	Y	Y	N	N	N	N	1	88
171072	1	51	4	2014	2	N	N	N	N	N	N	N	Y	2	1
171073	1	51	1	2014	0	N	Y	N	Y	N	N	N	N	1	88
171078	1	51	1	2015	0	N	Y	Y	Y	N	N	N	N	1	 
171082	1	51	5	2014	14	N	N	N	Y	N	N	N	N	9	88
171082	2	51	1	2016	0	N	N	N	Y	N	N	N	N	9	88
171087	1	51	3	2016	5	Y	 	 	 	 	 	 	 	1	88
171087	2	51	5	2016	0	N	Y	N	N	N	N	N	N	9	88
171094	1	51	1	2014	0	N	Y	Y	Y	N	N	N	N	9	 
171099	1	51	1	2016	6	N	N	N	Y	N	N	N	N	1	88
171099	2	51	1	2016	0	N	Y	N	Y	N	N	N	N	1	9
171104	1	51	1	2013	0	N	Y	Y	Y	N	N	N	N	1	9
171106	1	51	1	2013	0	N	N	Y	Y	N	N	N	N	9	88
181003	1	51	4	2015	0	N	Y	Y	Y	N	N	N	N	3	1
181010	1	51	5	2015	0	N	Y	Y	Y	N	N	N	N	3	88
181016	3	51	5	2013	24	Y	 	 	 	 	 	 	 	9	88
181016	4	51	5	2016	0	N	Y	Y	Y	N	N	N	N	3	88
181037	2	51	2	2016	10	N	N	N	Y	N	N	N	N	1	88
181037	3	51	1	2016	0	N	N	N	Y	N	N	N	N	9	88
181055	1	51	5	2015	0	Y	 	 	 	 	 	 	 	6	1
181064	1	51	5	2016	0	N	N	Y	N	N	N	N	N	9	88
181066	1	51	5	2016	0	N	Y	Y	Y	N	N	N	N	1	88
181080	1	51	1	2015	6	N	Y	Y	Y	N	N	N	N	1	88
181080	2	51	2	2016	0	N	Y	Y	Y	N	N	N	N	9	 
181103	1	51	2	2015	0	Y	 	 	 	 	 	 	 	9	1
191002	1	51	2	2013	0	N	N	Y	N	N	N	N	N	3	4
191006	1	51	2	2015	0	N	Y	Y	Y	N	N	N	N	9	88
191007	1	51	3	2014	4	Y	 	 	 	 	 	 	 	9	88
191007	2	51	3	2015	0	Y	 	 	 	 	 	 	 	9	 
191009	1	51	1	2016	0	N	Y	Y	Y	N	N	N	N	9	88
191018	1	51	4	2012	0	N	N	Y	N	N	N	N	N	4	88
191024	1	51	3	2015	0	N	Y	Y	Y	N	N	N	N	1	3
191026	1	51	3	2016	0	N	Y	Y	Y	N	N	N	N	1	88
191035	1	51	5	2013	22	Y	 	 	 	 	 	 	 	9	88
191035	2	51	5	2015	0	Y	 	 	 	 	 	 	 	9	88
191047	1	51	3	2016	0	Y	 	 	 	 	 	 	 	1	88
191050	1	51	3	2014	2	Y	 	 	 	 	 	 	 	1	9
191059	1	51	4	2014	0	N	N	Y	Y	N	N	N	N	1	3
191061	1	51	1	2015	0	N	Y	N	N	N	N	N	N	4	88
191075	1	51	1	2014	0	N	Y	Y	Y	N	N	N	N	1	88
191076	1	51	2	2015	0	N	Y	Y	N	N	N	N	N	1	3
191081	1	51	4	2014	0	N	Y	N	Y	N	N	N	N	1	3
191086	1	51	3	2014	0	N	N	Y	Y	N	N	N	N	8	1
191091	1	51	2	2016	0	N	N	Y	N	Y	N	N	N	9	88
191099	1	51	2	2014	0	N	N	Y	N	N	N	N	N	1	9
201006	1	51	1	2014	0	N	Y	Y	Y	N	N	N	N	9	88
201007	1	51	4	2014	0	N	Y	Y	Y	N	N	N	N	1	88
201011	1	51	2	2014	10	N	N	Y	Y	N	N	N	N	3	88
201011	2	51	3	2015	0	N	N	Y	Y	N	N	N	N	1	3
201027	1	51	4	2016	0	Y	 	 	 	 	 	 	 	1	88
201036	1	51	1	2016	3	N	Y	Y	Y	N	N	N	N	9	88
201036	2	51	1	2016	0	N	Y	Y	Y	N	N	N	N	1	88
201039	1	51	1	2015	0	N	N	Y	Y	N	N	N	N	9	88
201040	1	51	3	2015	10	Y	 	 	 	 	 	 	 	1	 
