PLACEID	EDUCIDR4	SCHLOC	SCHDES	SCHLOW	SCHHIGH
57	2	1	3	0	5
57	3	2	3	6	10
57	4	2	11	0	5
58	1	1	3	1	5
58	2	1	3	1	5
58	3	2	3	1	5
58	4	2	11	0	10
58	5	2	3	6	10
61	1	1	3	1	5
61	2	1	3	1	5
61	3	2	3	6	10
61	4	2	3	11	12
62	1	1	3	1	5
62	2	2	3	6	10
62	3	2	1	0	10
62	4	2	1	0	10
62	5	2	1	0	5
62	6	2	1	0	10
62	7	2	1	0	7
62	8	2	3	11	12
63	1	1	3	1	7
63	2	2	3	6	10
63	3	2	1	1	10
63	4	2	1	0	10
63	5	2	1	0	7
63	6	2	1	0	7
63	7	2	3	11	12
64	1	1	3	1	5
64	2	1	3	1	5
64	3	1	3	6	10
64	4	2	1	0	7
64	5	2	3	11	12
65	1	1	3	1	5
65	2	2	3	6	10
65	3	2	1	0	10
65	4	2	3	11	12
66	1	1	3	1	7
66	2	2	3	6	10
66	3	2	3	6	10
66	4	2	3	6	10
66	5	2	3	11	12
66	6	2	3	11	12
66	7	2	1	0	10
66	8	2	1	0	10
66	9	2	1	0	10
67	1	1	3	1	5
67	2	1	3	1	5
67	3	2	1	1	10
67	4	2	1	1	10
67	5	2	1	1	10
67	6	2	3	6	10
67	7	2	3	6	10
67	9	2	1	1	10
67	10	2	1	1	10
68	1	1	3	1	5
68	2	2	1	0	10
68	3	2	1	0	10
68	4	2	1	0	9
68	5	2	1	0	10
68	6	2	1	0	9
68	7	2	3	6	10
68	8	2	3	6	10
68	9	2	3	11	12
68	10	2	1	11	12
68	11	2	1	11	12
69	1	1	3	1	8
69	2	2	3	6	10
69	3	2	3	6	10
69	4	2	1	0	10
69	5	2	1	0	10
69	6	2	3	11	12
69	7	2	1	11	12
69	8	2	1	11	12
70	1	1	3	0	5
70	2	1	3	1	5
70	3	2	1	1	10
70	4	2	1	1	5
70	5	2	3	6	10
70	6	2	3	6	10
70	7	2	3	11	12
70	8	2	1	11	12
70	9	2	1	11	12
70	10	2	3	6	10
70	11	2	3	1	5
71	1	1	3	1	5
72	1	1	3	1	7
73	1	1	3	1	5
74	1	1	3	6	12
74	2	1	3	3	12
74	3	1	1	1	10
74	4	1	3	1	5
74	5	1	3	1	5
74	6	1	3	1	5
75	1	1	3	1	7
75	2	1	3	1	10
76	1	1	3	1	5
76	2	2	3	6	10
76	3	2	3	11	12
76	4	2	8	11	12
76	5	2	8	11	12
77	1	1	3	1	8
77	2	2	3	6	10
77	3	2	1	0	10
77	4	2	1	1	7
77	5	2	3	11	12
77	7	2	1	11	12
77	8	2	1	11	12
78	1	1	3	1	5
78	2	1	3	6	10
78	3	2	1	1	10
78	4	2	1	0	10
78	5	2	3	11	12
78	6	2	1	11	12
78	7	2	1	11	12
78	8	2	1	0	10
79	1	1	3	1	5
79	2	2	1	0	10
79	3	2	1	1	7
79	4	2	3	6	10
79	5	2	3	11	12
79	6	2	1	11	12
79	7	2	1	11	12
80	1	1	3	1	7
80	2	2	3	7	10
80	3	2	1	1	7
80	4	2	3	11	12
80	5	2	1	11	12
80	6	2	1	11	12
81	1	1	3	6	10
81	2	1	3	1	5
82	1	1	3	6	10
82	2	1	3	1	5
83	1	1	3	1	5
83	2	1	3	6	10
84	1	1	3	1	5
84	2	1	3	1	5
85	1	1	3	1	5
85	2	1	3	6	10
86	1	1	1	1	10
86	2	1	1	1	10
86	3	1	3	6	10
86	4	1	1	1	10
86	5	1	3	6	10
86	6	1	3	1	5
86	7	1	1	6	10
87	1	1	1	1	10
87	2	1	1	1	10
87	3	1	1	1	7
87	4	1	3	6	10
87	5	1	3	1	5
88	1	1	3	1	5
88	2	1	3	1	10
88	3	1	1	1	10
88	4	1	1	1	10
90	1	1	3	1	10
90	2	2	3	1	10
90	3	1	3	1	5
90	4	2	3	1	10
90	5	1	3	0	7
90	6	2	1	1	10
90	7	2	1	1	10
90	8	2	1	11	12
92	1	1	3	1	5
92	2	2	3	6	10
92	3	2	1	1	10
92	4	2	1	1	10
92	5	2	1	1	12
92	6	2	3	6	10
92	7	2	3	11	12
93	1	1	2	1	3
93	2	1	2	6	10
93	3	1	3	5	10
93	4	1	3	6	10
94	1	1	3	1	5
94	2	1	8	1	5
94	3	2	3	1	10
94	4	2	3	6	10
94	5	2	1	1	10
94	6	2	1	1	10
94	7	2	2	1	10
96	1	1	3	6	10
96	2	1	3	1	5
96	3	1	3	5	10
96	4	1	3	6	10
96	5	1	3	1	5
96	6	1	1	1	10
96	7	1	1	6	10
96	8	1	1	1	10
96	9	1	1	1	10
96	10	1	1	1	6
97	1	1	3	1	5
97	2	1	3	6	10
97	3	1	1	1	7
97	4	2	3	0	10
97	5	2	8	0	10
99	1	1	3	1	5
99	2	2	3	6	10
99	3	2	1	0	10
99	4	2	1	0	10
99	5	2	1	0	10
99	6	2	1	0	10
99	7	2	3	11	12
101	1	1	1	1	10
101	2	2	3	6	10
101	3	2	1	6	10
101	4	2	1	1	10
101	5	2	1	1	10
101	6	2	1	6	10
101	7	2	1	1	10
101	8	1	3	1	5
101	9	1	3	1	5
101	10	2	3	11	12
101	11	2	1	11	12
102	1	1	1	1	10
102	2	1	3	1	5
102	3	1	3	6	10
102	4	1	1	1	10
102	5	2	1	1	10
102	6	2	1	1	10
102	7	1	3	11	12
102	8	2	3	11	12
