PLACEID	EDINIDR4	EDFACAVL	OTHEDFAC	EDFACTIM	EDFACTRN
28	1	3	 	 	 
28	2	3	 	 	 
28	3	3	 	 	 
28	4	3	 	 	 
28	5	3	 	 	 
28	6	0	 	30	5
28	7	88	 	 	 
29	1	3	 	 	 
29	2	3	 	 	 
29	3	0	 	30	5
29	4	3	 	 	 
29	5	3	 	 	 
29	6	0	 	30	5
29	7	88	 	 	 
30	1	3	 	 	 
30	2	3	 	 	 
30	3	0	 	35	5
30	4	3	 	 	 
30	5	3	 	 	 
30	6	0	 	20	5
30	7	3	 	 	 
31	1	3	 	 	 
31	2	3	 	 	 
31	3	0	 	20	5
31	4	3	 	 	 
31	5	3	 	 	 
31	6	0	 	20	5
31	7	88	 	 	 
32	1	3	 	 	 
32	2	3	 	 	 
32	3	3	 	 	 
32	4	3	 	 	 
32	5	3	 	 	 
32	6	3	 	 	 
32	7	88	 	 	 
33	1	1	 	 	 
33	2	1	 	 	 
33	3	0	 	20	5
33	4	0	 	25	5
33	5	0	 	30	5
33	6	0	 	40	5
33	7	88	 	 	 
34	1	1	 	 	 
34	2	1	 	 	 
34	3	1	 	 	 
34	4	1	 	 	 
34	5	0	 	30	5
34	6	1	 	 	 
34	7	88	 	 	 
35	1	0	 	120	8
35	2	0	 	120	8
35	3	0	 	30	5
35	4	0	 	30	5
35	5	0	 	120	8
35	6	0	 	120	8
35	7	88	 	 	 
36	1	0	 	200	8
36	2	0	 	200	8
36	3	0	 	45	8
36	4	0	 	45	8
36	5	0	 	200	8
36	6	0	 	200	8
36	7	88	 	 	 
37	1	0	 	120	8
37	2	0	 	180	8
37	3	0	 	30	5
37	4	0	 	30	5
37	5	0	 	150	8
37	6	0	 	150	8
37	7	88	 	 	 
38	1	0	 	45	5
38	2	0	 	140	8
38	3	0	 	40	5
38	4	0	 	40	5
38	5	0	 	170	8
38	6	0	 	140	8
38	7	88	 	 	 
40	1	0	 	30	5
40	2	0	 	30	5
40	3	0	 	30	5
40	4	0	 	30	5
40	5	0	 	120	8
40	6	0	 	120	8
40	7	88	 	 	 
41	1	3	 	 	 
41	2	3	 	 	 
41	3	0	 	30	8
41	4	0	 	30	8
41	5	3	 	 	 
41	6	1	 	 	 
41	7	88	 	 	 
42	1	0	 	120	8
42	2	3	 	 	 
42	3	0	 	60	8
42	4	0	 	40	8
42	5	0	 	180	8
42	6	0	 	40	8
42	7	88	 	 	 
43	1	0	 	60	8
43	2	3	 	 	 
43	3	0	 	30	8
43	4	0	 	80	8
43	5	0	 	250	8
43	6	0	 	60	8
43	7	88	 	 	 
44	1	0	 	40	8
44	2	0	 	100	8
44	3	0	 	40	8
44	4	0	 	60	8
44	5	0	 	220	8
44	6	0	 	40	8
44	7	88	 	 	 
45	1	3	 	 	 
45	2	3	 	 	 
45	3	0	 	45	8
45	4	0	 	40	8
45	5	3	 	 	 
45	6	1	 	 	 
45	7	88	 	 	 
46	1	3	 	 	 
46	2	3	 	 	 
46	3	1	 	 	 
46	4	3	 	 	 
46	5	1	 	 	 
46	6	1	 	 	 
46	7	88	 	 	 
47	1	1	 	 	 
47	2	3	 	 	 
47	3	1	 	 	 
47	4	1	 	 	 
47	5	1	 	 	 
47	6	1	 	 	 
47	7	88	 	 	 
48	1	0	 	10	5
48	2	0	 	20	5
48	3	0	 	10	5
48	4	0	 	25	5
48	5	0	 	20	5
48	6	0	 	10	5
48	7	88	 	 	 
49	1	1	 	 	 
49	2	1	 	 	 
49	3	1	 	 	 
49	4	1	 	 	 
49	5	1	 	 	 
49	6	1	 	 	 
49	7	88	 	 	 
50	1	0	 	15	5
50	2	0	 	15	5
50	3	0	 	15	5
50	4	0	 	15	5
50	5	0	 	60	8
50	6	0	 	60	8
50	7	88	 	 	 
51	1	0	 	35	5
51	2	0	 	35	5
51	3	0	 	15	5
51	4	0	 	15	5
51	5	0	 	60	8
51	6	0	 	35	5
51	7	88	 	 	 
52	1	0	 	45	8
52	2	0	 	45	8
52	3	0	 	45	8
52	4	0	 	45	8
52	5	0	 	90	8
52	6	0	 	45	8
52	7	88	 	 	 
53	1	0	 	45	5
53	2	0	 	45	5
53	3	0	 	45	5
53	4	0	 	45	5
53	5	0	 	45	5
