PLACEID	SERVIDR4	AVLOC	SRVAVL	SRVRT	SRVTIME	SRVTRANS
6	5	0	 	 	30	5
6	6	1	1	3	 	 
6	7	0	 	 	30	5
6	8	0	 	 	 	 
6	9	0	 	 	30	5
6	10	1	1	2	 	 
6	11	1	1	2	 	 
6	12	1	1	2	 	 
6	13	0	 	 	30	5
6	14	1	1	3	 	 
6	15	0	 	 	30	5
6	16	1	1	3	 	 
6	17	0	 	 	30	5
6	18	0	 	 	40	8
6	19	0	 	 	40	8
6	20	0	 	 	0	88
6	21	1	1	3	 	 
6	22	0	 	 	35	8
6	23	1	1	2	 	 
6	24	1	1	3	 	 
6	25	1	1	3	 	 
6	26	0	 	 	30	5
7	1	1	1	2	 	 
7	2	1	1	2	 	 
7	3	1	1	2	 	 
7	4	0	 	 	120	8
7	5	0	 	 	120	8
7	6	1	1	3	 	 
7	7	1	1	2	 	 
7	8	0	 	 	 	 
7	9	0	 	 	120	8
7	10	1	1	2	 	 
7	11	1	1	2	 	 
7	12	1	1	1	 	 
7	13	1	1	3	 	 
7	14	1	1	3	 	 
7	15	0	 	 	120	8
7	16	0	 	 	60	8
7	17	0	 	 	120	8
7	18	1	1	3	 	 
7	19	1	1	2	 	 
7	20	0	 	 	-88	88
7	21	1	1	2	 	 
7	22	1	1	3	 	 
7	23	1	1	3	 	 
7	24	1	4	3	 	 
7	25	1	1	2	 	 
7	26	0	 	 	30	8
8	1	1	1	2	 	 
8	2	1	1	2	 	 
8	3	0	 	 	20	5
8	4	0	 	 	90	8
8	5	0	 	 	30	5
8	6	1	1	2	 	 
8	7	0	 	 	30	8
8	8	0	 	 	 	 
8	9	0	 	 	30	8
8	10	1	1	2	 	 
8	11	1	1	2	 	 
8	12	1	1	1	 	 
8	13	0	 	 	30	8
8	14	1	1	2	 	 
8	15	0	 	 	90	8
8	16	0	 	 	30	8
8	17	0	 	 	90	8
8	18	1	1	3	 	 
8	19	0	 	 	30	8
8	20	0	 	 	0	88
8	21	1	1	2	 	 
8	22	0	 	 	30	8
8	23	0	 	 	20	5
8	24	0	 	 	30	8
8	25	1	1	3	 	 
8	26	0	 	 	30	8
9	1	1	1	2	 	 
9	2	1	1	2	 	 
9	3	0	 	 	90	8
9	4	0	 	 	90	8
9	5	0	 	 	20	8
9	6	1	1	3	 	 
9	7	0	 	 	20	8
9	8	1	1	2	 	 
9	9	0	 	 	20	8
9	10	1	1	3	 	 
9	11	1	1	3	 	 
9	12	1	1	1	 	 
9	13	0	 	 	20	8
9	14	1	1	2	 	 
9	15	0	 	 	20	8
9	16	0	 	 	20	8
9	17	0	 	 	90	8
9	18	1	1	2	 	 
9	19	0	 	 	20	8
9	20	0	 	 	-88	88
9	21	1	1	3	 	 
9	22	0	 	 	20	8
9	23	1	1	3	 	 
9	24	0	 	 	20	8
9	25	1	1	3	 	 
9	26	0	 	 	20	8
10	1	1	1	2	 	 
10	2	1	1	2	 	 
10	3	1	1	2	 	 
10	4	0	 	 	120	8
10	5	0	 	 	120	8
10	6	1	1	2	 	 
10	7	0	 	 	60	1
10	8	0	 	 	 	 
10	9	0	 	 	120	8
10	10	1	1	3	 	 
10	11	1	1	3	 	 
10	12	1	1	1	 	 
10	13	0	 	 	90	5
10	14	1	1	2	 	 
10	15	0	 	 	120	5
10	16	0	 	 	90	8
10	17	0	 	 	120	8
10	18	1	1	2	 	 
10	19	0	 	 	90	8
10	20	0	 	 	-88	88
10	21	1	1	3	 	 
10	22	0	 	 	90	8
10	23	0	 	 	60	1
10	24	0	 	 	90	8
10	25	1	1	2	 	 
10	26	0	 	 	120	8
11	1	1	5	2	 	 
11	2	1	1	2	 	 
11	3	1	1	2	 	 
11	4	0	 	 	60	8
11	5	0	 	 	60	8
11	6	1	1	3	 	 
11	7	1	1	3	 	 
11	8	1	1	2	 	 
11	9	0	 	 	60	8
11	10	1	1	3	 	 
11	11	1	1	3	 	 
11	12	1	1	1	 	 
11	13	1	1	3	 	 
11	14	1	1	2	 	 
11	15	0	 	 	60	8
11	16	1	1	3	 	 
11	17	0	 	 	60	8
11	18	1	1	3	 	 
11	19	1	1	3	 	 
11	20	0	 	 	-88	88
11	21	1	1	3	 	 
11	22	1	1	3	 	 
11	23	1	1	3	 	 
11	24	1	1	3	 	 
11	25	1	1	3	 	 
11	26	1	1	2	 	 
12	1	0	 	 	40	5
12	2	0	 	 	40	5
12	3	0	 	 	40	5
12	4	0	 	 	40	5
12	5	0	 	 	40	5
12	6	0	 	 	40	5
12	7	0	 	 	40	5
12	8	0	 	 	 	 
12	9	0	 	 	40	5
12	10	1	1	2	 	 
12	11	0	 	 	 	 
12	12	0	 	 	 	 
12	13	0	 	 	40	5
12	14	1	1	2	 	 
12	15	0	 	 	40	5
12	16	0	 	 	40	5
12	17	0	 	 	40	5
12	18	1	1	2	 	 
12	19	0	 	 	40	5
12	20	0	 	 	0	88
12	21	1	1	3	 	 
12	22	0	 	 	40	5
12	23	1	1	2	 	 
12	24	0	 	 	40	5
12	25	0	 	 	40	5
12	26	0	 	 	40	5
13	1	0	 	 	30	5
13	2	0	 	 	30	5
13	3	0	 	 	30	5
13	4	0	 	 	30	5
13	5	0	 	 	30	5
13	6	0	 	 	30	5
13	7	0	 	 	0	88
13	8	0	 	 	 	 
13	9	0	 	 	30	5
13	10	1	1	2	 	 
13	11	0	 	 	 	 
13	12	0	 	 	 	 
13	13	0	 	 	30	5
13	14	1	1	3	 	 
13	15	0	 	 	30	5
13	16	0	 	 	30	5
13	17	0	 	 	30	5
13	18	0	 	 	30	5
13	19	0	 	 	30	5
13	20	0	 	 	20	5
13	21	1	1	3	 	 
13	22	0	 	 	30	5
13	23	1	1	3	 	 
13	24	0	 	 	30	5
13	25	1	1	2	 	 
13	26	0	 	 	30	5
14	1	1	1	2	 	 
14	2	1	1	2	 	 
14	3	0	 	 	30	5
14	4	0	 	 	30	5
14	5	0	 	 	30	5
14	6	1	1	1	 	 
14	7	0	 	 	30	5
14	8	0	 	 	 	 
14	9	0	 	 	30	5
14	10	1	1	2	 	 
14	11	0	 	 	 	 
14	12	1	1	2	 	 
14	13	0	 	 	30	5
14	14	1	1	2	 	 
14	15	0	 	 	30	5
14	16	0	 	 	30	5
14	17	0	 	 	30	5
14	18	1	1	1	 	 
14	19	0	 	 	30	5
14	20	0	 	 	30	5
14	21	1	1	1	 	 
14	22	0	 	 	30	5
14	23	1	1	1	 	 
14	24	0	 	 	30	5
14	25	1	1	1	 	 
14	26	0	 	 	30	5
15	1	1	5	1	 	 
15	2	0	 	 	30	8
15	3	0	 	 	30	8
15	4	0	 	 	30	8
15	5	0	 	 	30	8
15	6	0	 	 	30	8
15	7	0	 	 	30	5
15	8	0	 	 	 	 
15	9	0	 	 	30	5
15	10	1	1	2	 	 
15	11	0	 	 	 	 
15	12	0	 	 	 	 
15	13	0	 	 	2010	2
15	14	1	2	2	 	 
15	15	0	 	 	30	8
15	16	0	 	 	20	4
15	17	0	 	 	10	8
15	18	1	2	2	 	 
15	19	0	 	 	50	8
15	20	1	2	3	 	 
15	21	1	2	3	 	 
15	22	0	 	 	30	5
15	23	1	2	3	 	 
15	24	0	 	 	50	8
15	25	0	 	 	50	8
15	26	0	 	 	50	8
16	1	1	1	2	 	 
16	2	0	 	 	20	5
16	3	0	 	 	20	5
16	4	0	 	 	20	5
16	5	0	 	 	20	5
16	6	1	1	2	 	 
16	7	0	 	 	0	88
16	8	0	 	 	 	 
16	9	1	1	2	 	 
16	10	1	1	2	 	 
16	11	1	1	2	 	 
16	12	1	1	2	 	 
16	13	0	 	 	30	8
16	14	1	1	2	 	 
16	15	0	 	 	30	8
16	16	0	 	 	30	8
16	17	0	 	 	30	8
16	18	1	1	2	 	 
16	19	1	1	2	 	 
16	20	0	 	 	0	88
16	21	1	1	2	 	 
16	22	0	 	 	20	5
16	23	1	1	2	 	 
16	24	0	 	 	10	1
16	25	1	1	3	 	 
16	26	0	 	 	20	5
17	1	0	 	 	20	8
17	2	0	 	 	20	5
17	3	0	 	 	20	8
17	4	0	 	 	20	8
17	5	0	 	 	20	8
17	6	1	1	3	 	 
17	7	0	 	 	20	5
17	8	0	 	 	 	 
17	9	0	 	 	20	5
17	10	1	1	2	 	 
17	11	0	 	 	 	 
17	12	0	 	 	 	 
17	13	0	 	 	20	5
17	14	1	1	3	 	 
17	15	0	 	 	20	5
17	16	0	 	 	20	5
17	17	0	 	 	20	5
17	18	1	1	3	 	 
17	19	0	 	 	20	5
17	20	0	 	 	0	88
17	21	1	1	2	 	 
17	22	0	 	 	60	5
17	23	1	1	2	 	 
17	24	0	 	 	20	5
17	25	1	1	1	 	 
17	26	0	 	 	20	5
18	1	1	1	2	 	 
18	2	0	 	 	23	8
18	3	0	 	 	23	8
18	4	0	 	 	23	5
18	5	0	 	 	23	8
18	6	0	 	 	23	8
18	7	0	 	 	23	8
18	8	0	 	 	 	 
18	9	0	 	 	23	8
18	10	1	1	3	 	 
18	11	0	 	 	 	 
18	12	0	 	 	 	 
18	13	0	 	 	24	8
18	14	1	1	3	 	 
18	15	0	 	 	40	8
18	16	1	1	2	 	 
18	17	0	 	 	23	8
18	18	1	1	3	 	 
18	19	0	 	 	23	8
18	20	0	 	 	0	88
18	21	1	1	3	 	 
18	22	0	 	 	40	8
18	23	1	1	2	 	 
18	24	0	 	 	23	8
18	25	0	 	 	23	8
18	26	0	 	 	23	8
19	1	0	 	 	30	5
19	2	0	 	 	30	5
19	3	0	 	 	30	5
19	4	0	 	 	30	5
19	5	0	 	 	65	8
19	6	1	4	3	 	 
19	7	0	 	 	30	5
19	8	0	 	 	 	 
19	9	0	 	 	30	5
19	10	1	1	2	 	 
19	11	1	1	2	 	 
19	12	0	 	 	 	 
19	13	0	 	 	20	8
19	14	1	2	3	 	 
19	15	0	 	 	65	8
19	16	0	 	 	30	5
19	17	0	 	 	20	8
19	18	1	1	3	 	 
19	19	0	 	 	30	5
19	20	0	 	 	0	88
19	21	1	1	3	 	 
19	22	0	 	 	30	5
19	23	0	 	 	10	1
19	24	0	 	 	30	5
19	25	0	 	 	20	1
19	26	0	 	 	30	5
20	1	0	 	 	30	8
20	2	0	 	 	30	8
20	3	0	 	 	30	8
20	4	0	 	 	30	8
20	5	0	 	 	30	8
20	6	1	1	3	 	 
20	7	1	1	1	 	 
20	8	0	 	 	 	 
20	9	0	 	 	30	8
20	10	1	1	3	 	 
20	11	1	1	1	 	 
20	12	1	1	3	 	 
20	13	0	 	 	30	8
20	14	1	1	3	 	 
20	15	0	 	 	30	8
20	16	0	 	 	30	8
20	17	0	 	 	60	8
20	18	1	1	3	 	 
20	19	1	1	3	 	 
20	20	0	 	 	0	88
20	21	1	1	3	 	 
20	22	0	 	 	30	8
20	23	1	1	3	 	 
20	24	0	 	 	30	8
20	25	1	1	3	 	 
20	26	0	 	 	30	8
21	1	0	 	 	20	8
21	2	0	 	 	20	8
21	3	0	 	 	20	8
21	4	0	 	 	20	8
21	5	0	 	 	20	8
21	6	1	2	2	 	 
21	7	0	 	 	20	8
21	8	1	1	2	 	 
21	9	0	 	 	20	8
21	10	1	1	3	 	 
21	11	1	1	3	 	 
21	12	1	1	1	 	 
21	13	0	 	 	20	8
21	14	1	1	2	 	 
21	15	0	 	 	20	8
21	16	0	 	 	20	8
21	17	0	 	 	20	8
21	18	1	1	3	 	 
21	19	0	 	 	20	8
21	20	0	 	 	0	88
21	21	1	1	3	 	 
21	22	0	 	 	20	8
21	23	1	1	3	 	 
21	24	0	 	 	20	8
21	25	1	1	3	 	 
21	26	0	 	 	20	8
22	1	1	1	3	 	 
22	2	0	 	 	15	5
22	3	0	 	 	15	5
22	4	0	 	 	25	5
22	5	0	 	 	15	5
22	6	0	 	 	20	5
22	7	0	 	 	20	5
22	8	0	 	 	 	 
22	9	0	 	 	15	5
22	10	1	1	3	 	 
22	11	1	1	3	 	 
22	12	0	 	 	 	 
22	13	1	1	2	 	 
22	14	1	2	2	 	 
22	15	0	 	 	20	5
22	16	1	3	3	 	 
22	17	1	3	3	 	 
22	18	1	3	2	 	 
22	19	1	1	2	 	 
22	20	0	 	 	0	88
22	21	1	2	3	 	 
22	22	1	1	3	 	 
22	23	1	1	3	 	 
22	24	0	 	 	15	5
22	25	0	 	 	20	5
22	26	0	 	 	20	5
23	1	0	 	 	5	1
23	2	0	 	 	30	8
23	3	0	 	 	30	8
23	4	0	 	 	30	8
23	5	0	 	 	30	8
23	6	1	1	3	 	 
23	7	1	1	2	 	 
23	8	0	 	 	 	 
23	9	0	 	 	30	8
23	10	1	1	2	 	 
23	11	1	3	2	 	 
23	12	1	1	2	 	 
23	13	0	 	 	40	8
23	14	1	1	2	 	 
23	15	0	 	 	0	88
23	16	0	 	 	15	5
23	17	0	 	 	40	8
23	18	1	1	2	 	 
23	19	0	 	 	20	5
23	20	0	 	 	0	88
23	21	1	1	3	 	 
23	22	0	 	 	40	8
23	23	1	1	2	 	 
23	24	0	 	 	20	5
23	25	1	1	3	 	 
23	26	0	 	 	20	5
24	1	0	 	 	15	1
24	2	0	 	 	25	5
24	3	0	 	 	30	5
24	4	0	 	 	20	5
24	5	1	2	2	 	 
24	6	1	1	3	 	 
24	7	1	1	2	 	 
24	8	0	 	 	 	 
24	9	0	 	 	-77	88
24	10	1	1	2	 	 
24	11	1	1	2	 	 
24	12	1	1	2	 	 
24	13	1	1	2	 	 
24	14	1	1	2	 	 
24	15	1	1	2	 	 
24	16	0	 	 	10	5
24	17	1	1	2	 	 
24	18	0	 	 	15	5
24	19	0	 	 	15	5
24	20	0	 	 	0	88
24	21	1	1	2	 	 
24	22	0	 	 	15	5
24	23	1	1	2	 	 
24	24	0	 	 	20	1
24	25	1	1	2	 	 
24	26	1	1	3	 	 
25	1	1	1	2	 	 
25	2	0	 	 	15	5
25	3	0	 	 	15	5
25	4	1	1	3	 	 
25	5	0	 	 	15	5
25	6	1	1	3	 	 
25	7	1	1	2	 	 
25	8	1	1	3	 	 
25	9	1	1	2	 	 
25	10	1	1	3	 	 
25	11	1	1	3	 	 
25	12	1	1	2	 	 
25	13	1	1	3	 	 
25	14	1	1	2	 	 
25	15	1	1	2	 	 
25	16	1	1	3	 	 
25	17	1	1	3	 	 
25	18	1	1	2	 	 
25	19	0	 	 	10	5
25	20	0	 	 	0	88
25	21	1	1	3	 	 
25	22	0	 	 	15	5
25	23	1	1	3	 	 
25	24	0	 	 	20	5
25	25	1	1	3	 	 
25	26	1	1	2	 	 
26	1	1	1	3	 	 
26	2	1	1	2	 	 
26	3	0	 	 	15	5
26	4	1	1	3	 	 
26	5	1	1	3	 	 
26	6	0	 	 	20	4
26	7	1	1	2	 	 
26	8	0	 	 	 	 
26	9	0	 	 	20	5
26	10	1	1	3	 	 
26	11	1	1	3	 	 
26	12	1	1	3	 	 
26	13	1	1	3	 	 
26	14	1	1	2	 	 
26	15	1	1	2	 	 
26	16	1	1	3	 	 
26	17	1	2	3	 	 
26	18	1	2	2	 	 
26	19	1	3	2	 	 
26	20	0	 	 	0	88
26	21	1	1	3	 	 
26	22	1	2	2	 	 
26	23	1	1	2	 	 
26	24	1	1	2	 	 
26	25	1	1	3	 	 
26	26	1	1	3	 	 
27	1	1	1	2	 	 
27	2	0	 	 	30	5
27	3	0	 	 	90	5
27	4	0	 	 	90	5
27	5	0	 	 	60	5
27	6	1	1	2	 	 
27	7	0	 	 	90	5
27	8	0	 	 	 	 
27	9	0	 	 	60	5
27	10	1	1	3	 	 
27	11	1	1	3	 	 
27	12	0	 	 	 	 
27	13	0	 	 	60	5
27	14	1	1	3	 	 
27	15	0	 	 	90	5
27	16	0	 	 	60	5
27	17	0	 	 	90	5
27	18	1	1	3	 	 
27	19	0	 	 	60	5
27	20	0	 	 	0	88
27	21	1	1	3	 	 
27	22	0	 	 	90	5
27	23	1	1	3	 	 
27	24	0	 	 	30	5
27	25	1	1	3	 	 
27	26	0	 	 	60	5
28	1	0	 	 	30	5
28	2	0	 	 	60	5
28	3	0	 	 	60	5
28	4	0	 	 	60	5
28	5	0	 	 	30	5
28	6	1	1	3	 	 
28	7	0	 	 	30	5
28	8	1	1	3	 	 
28	9	0	 	 	30	5
28	10	1	1	3	 	 
28	11	1	1	3	 	 
28	12	0	 	 	 	 
28	13	0	 	 	30	5
28	14	1	1	3	 	 
28	15	0	 	 	60	5
28	16	0	 	 	30	5
28	17	0	 	 	60	5
28	18	1	1	3	 	 
28	19	0	 	 	40	5
28	20	0	 	 	0	88
28	21	1	1	3	 	 
28	22	0	 	 	120	8
28	23	1	1	3	 	 
28	24	0	 	 	30	5
28	25	1	1	3	 	 
28	26	0	 	 	30	5
29	1	0	 	 	30	5
29	2	0	 	 	60	5
29	3	0	 	 	30	5
29	4	0	 	 	90	5
29	5	0	 	 	30	5
29	6	1	1	2	 	 
29	7	1	1	3	 	 
29	8	1	1	3	 	 
29	9	0	 	 	90	5
29	10	1	1	3	 	 
29	11	1	1	3	 	 
29	12	0	 	 	 	 
29	13	0	 	 	30	5
29	14	1	1	3	 	 
29	15	0	 	 	30	5
29	16	0	 	 	30	5
29	17	0	 	 	90	5
29	18	1	1	3	 	 
29	19	0	 	 	30	5
29	20	0	 	 	0	88
29	21	1	1	3	 	 
29	22	0	 	 	90	5
29	23	1	1	3	 	 
29	24	0	 	 	30	5
29	25	1	1	3	 	 
29	26	0	 	 	30	5
30	1	0	 	 	10	5
30	2	0	 	 	75	5
30	3	0	 	 	75	5
30	4	0	 	 	75	5
30	5	0	 	 	75	5
30	6	1	1	3	 	 
30	7	0	 	 	35	5
30	8	1	1	2	 	 
30	9	0	 	 	75	5
30	10	1	1	3	 	 
30	11	1	1	3	 	 
30	12	0	 	 	 	 
30	13	0	 	 	35	5
30	14	1	1	3	 	 
30	15	0	 	 	75	5
30	16	0	 	 	35	5
30	17	0	 	 	75	5
30	18	1	1	3	 	 
30	19	0	 	 	10	5
30	20	0	 	 	0	88
30	21	1	1	3	 	 
30	22	0	 	 	75	5
30	23	1	1	3	 	 
30	24	0	 	 	35	5
30	25	1	1	3	 	 
30	26	0	 	 	35	5
31	1	1	1	2	 	 
31	2	0	 	 	60	5
31	3	0	 	 	60	5
31	4	0	 	 	60	5
31	5	0	 	 	30	5
31	6	1	1	2	 	 
31	7	0	 	 	30	5
31	8	1	1	2	 	 
31	9	0	 	 	60	8
31	10	1	1	3	 	 
31	11	1	1	3	 	 
31	12	0	 	 	 	 
31	13	0	 	 	60	5
31	14	1	1	3	 	 
31	15	0	 	 	60	8
31	16	0	 	 	30	5
31	17	0	 	 	60	8
31	18	1	1	3	 	 
31	19	0	 	 	40	8
31	20	0	 	 	0	88
31	21	1	1	3	 	 
31	22	0	 	 	120	8
31	23	1	1	3	 	 
31	24	0	 	 	40	5
31	25	1	1	3	 	 
31	26	0	 	 	30	5
32	1	1	1	2	 	 
32	2	0	 	 	40	8
32	3	0	 	 	40	8
32	4	0	 	 	40	8
32	5	0	 	 	40	8
32	6	1	1	3	 	 
32	7	0	 	 	40	8
32	8	0	 	 	 	 
32	9	0	 	 	40	8
32	10	1	1	3	 	 
32	11	1	1	3	 	 
32	12	0	 	 	 	 
32	13	0	 	 	40	5
32	14	1	1	3	 	 
32	15	0	 	 	40	8
32	16	0	 	 	40	8
32	17	0	 	 	40	8
32	18	1	1	3	 	 
32	19	0	 	 	30	5
32	20	0	 	 	0	88
32	21	1	1	3	 	 
32	22	0	 	 	40	8
32	23	1	1	3	 	 
32	24	0	 	 	40	5
32	25	1	1	3	 	 
32	26	0	 	 	30	5
33	1	1	1	3	 	 
33	2	1	1	2	 	 
33	3	1	1	2	 	 
33	4	0	 	 	15	5
33	5	1	1	3	 	 
33	6	1	1	3	 	 
33	7	1	1	2	 	 
33	8	1	1	3	 	 
33	9	1	1	3	 	 
33	10	1	1	3	 	 
33	11	1	1	3	 	 
33	12	1	1	1	 	 
33	13	0	 	 	10	5
33	14	1	1	2	 	 
33	15	1	1	2	 	 
33	16	0	 	 	15	5
33	17	0	 	 	15	5
33	18	1	1	2	 	 
33	19	0	 	 	25	5
33	20	0	 	 	0	88
33	21	1	1	3	 	 
33	22	0	 	 	20	5
33	23	1	1	3	 	 
33	24	0	 	 	20	5
33	25	1	1	3	 	 
33	26	1	1	3	 	 
34	1	1	1	3	 	 
34	2	1	1	3	 	 
34	3	1	1	3	 	 
34	4	0	 	 	20	5
34	5	1	1	3	 	 
34	6	1	1	3	 	 
34	7	1	1	3	 	 
34	8	1	1	3	 	 
34	9	1	1	2	 	 
34	10	1	1	3	 	 
34	11	1	1	3	 	 
34	12	1	1	2	 	 
34	13	1	1	3	 	 
34	14	1	1	3	 	 
34	15	1	1	3	 	 
34	16	1	1	3	 	 
34	17	1	1	3	 	 
34	18	1	1	3	 	 
34	19	1	1	3	 	 
34	20	0	 	 	88	88
34	21	1	1	2	 	 
34	22	1	1	3	 	 
34	23	1	1	3	 	 
34	24	1	1	2	 	 
34	25	1	1	3	 	 
34	26	1	1	3	 	 
35	1	1	1	2	 	 
35	2	1	1	1	 	 
35	3	0	 	 	20	8
35	4	0	 	 	30	8
35	5	0	 	 	30	8
35	6	1	1	3	 	 
35	7	0	 	 	30	8
35	8	1	1	2	 	 
35	9	0	 	 	30	8
35	10	1	1	1	 	 
35	11	1	1	3	 	 
35	12	1	1	1	 	 
35	13	0	 	 	20	5
35	14	1	1	2	 	 
35	15	0	 	 	30	8
35	16	0	 	 	20	5
35	17	0	 	 	20	5
35	18	1	1	2	 	 
35	19	0	 	 	20	5
35	20	0	 	 	0	88
35	21	1	1	1	 	 
35	22	0	 	 	30	9
35	23	1	1	1	 	 
35	24	0	 	 	20	1
35	25	1	1	3	 	 
35	26	0	 	 	20	5
36	1	1	1	2	 	 
36	2	1	1	2	 	 
36	3	0	 	 	40	5
36	4	0	 	 	40	5
36	5	0	 	 	40	5
36	6	1	1	2	 	 
36	7	0	 	 	40	5
36	8	0	 	 	 	 
36	9	0	 	 	40	5
36	10	1	1	1	 	 
36	11	1	1	1	 	 
36	12	1	1	1	 	 
36	13	0	 	 	40	5
36	14	1	1	2	 	 
36	15	0	 	 	40	5
36	16	0	 	 	40	5
36	17	0	 	 	40	5
36	18	0	 	 	40	5
36	19	0	 	 	40	5
36	20	0	 	 	40	5
36	21	1	1	3	 	 
36	22	0	 	 	40	9
36	23	1	1	3	 	 
36	24	0	 	 	40	1
36	25	1	1	2	 	 
36	26	0	 	 	40	5
37	1	1	1	3	 	 
37	2	1	1	2	 	 
37	3	0	 	 	30	5
37	4	0	 	 	30	5
37	5	0	 	 	30	5
37	6	1	1	2	 	 
37	7	0	 	 	30	5
37	8	1	1	3	 	 
37	9	0	 	 	30	5
37	10	1	1	3	 	 
37	11	1	1	3	 	 
37	12	1	1	3	 	 
37	13	0	 	 	30	5
37	14	1	1	2	 	 
37	15	0	 	 	30	5
37	16	0	 	 	30	5
37	17	0	 	 	30	5
37	18	1	1	3	 	 
37	19	0	 	 	30	5
37	20	0	 	 	0	88
37	21	1	1	1	 	 
37	22	0	 	 	30	9
37	23	1	1	3	 	 
37	24	0	 	 	30	1
37	25	1	1	3	 	 
37	26	0	 	 	30	5
38	1	1	1	2	 	 
38	2	1	1	2	 	 
38	3	0	 	 	60	5
38	4	0	 	 	60	5
38	5	0	 	 	60	5
38	6	1	5	1	 	 
38	7	0	 	 	20	5
38	8	1	1	1	 	 
38	9	0	 	 	20	5
38	10	1	1	1	 	 
38	11	1	1	2	 	 
38	12	0	 	 	 	 
38	13	0	 	 	20	5
38	14	1	1	2	 	 
38	15	0	 	 	60	5
38	16	0	 	 	20	5
38	17	0	 	 	20	5
38	18	1	1	1	 	 
38	19	0	 	 	20	5
38	20	0	 	 	0	88
38	21	1	1	1	 	 
38	22	0	 	 	20	9
38	23	1	1	2	 	 
38	24	0	 	 	20	1
38	25	1	1	1	 	 
38	26	0	 	 	20	5
40	1	1	1	2	 	 
40	2	1	1	2	 	 
40	3	0	 	 	30	5
40	4	0	 	 	30	5
