PLACEID	HLTHIDR4	CURHFAC	TRNHFAC
40	9	0	5
40	10	88	 
40	11	0	5
41	1	0	8
41	2	0	8
41	3	1	 
41	4	1	 
41	5	1	 
41	6	0	8
41	7	1	 
41	8	0	8
41	9	0	8
41	10	88	 
41	11	0	8
42	1	0	5
42	2	0	5
42	3	3	 
42	4	1	 
42	5	1	 
42	6	0	5
42	7	0	5
42	8	0	5
42	9	0	5
42	10	88	 
42	11	0	5
43	1	0	8
43	2	0	8
43	3	0	8
43	4	1	 
43	5	1	 
43	6	1	 
43	7	1	 
43	8	0	8
43	9	0	8
43	10	88	 
43	11	0	8
44	1	0	8
44	2	0	8
44	3	0	8
44	4	1	 
44	5	1	 
44	6	1	 
44	7	1	 
44	8	0	8
44	9	0	8
44	10	88	 
44	11	0	8
45	1	0	8
45	2	0	8
45	3	0	8
45	4	0	8
45	5	0	8
45	6	0	8
45	7	0	8
45	8	0	8
45	9	0	8
45	10	88	 
45	11	0	8
46	1	0	8
46	2	0	8
46	3	0	5
46	4	0	5
46	5	0	5
46	6	0	5
46	7	0	5
46	8	0	8
46	9	0	8
46	10	88	 
46	11	0	8
47	1	1	 
47	2	1	 
47	3	1	 
47	4	1	 
47	5	1	 
47	6	1	 
47	7	1	 
47	8	1	 
47	9	3	 
47	10	3	 
47	11	1	 
48	1	0	5
48	2	0	5
48	3	0	5
48	4	1	 
48	5	1	 
48	6	1	 
48	7	1	 
48	8	0	5
48	9	0	5
48	10	0	88
48	11	1	 
49	1	0	5
49	2	0	1
49	3	0	5
49	4	1	 
49	5	1	 
49	6	1	 
49	7	1	 
49	8	1	 
49	9	1	 
49	10	0	88
49	11	1	 
50	1	0	5
50	2	0	5
50	3	0	5
50	4	0	5
50	5	0	5
50	6	0	5
50	7	0	5
50	8	0	5
50	9	0	5
50	10	88	 
50	11	0	5
51	1	0	5
51	2	0	5
51	3	0	5
51	4	0	5
51	5	0	5
51	6	0	5
51	7	0	5
51	8	0	5
51	9	0	5
51	10	88	 
51	11	0	5
52	1	0	5
52	2	0	8
52	3	0	5
52	4	0	5
52	5	0	5
52	6	0	5
52	7	0	8
52	8	0	8
52	9	0	8
52	10	88	 
52	11	0	8
53	1	0	5
53	2	0	5
53	3	1	 
53	4	0	5
53	5	0	5
53	6	0	5
53	7	0	5
53	8	0	5
53	9	0	5
53	10	88	 
53	11	0	5
54	1	0	5
54	2	0	5
54	3	0	5
54	4	0	5
54	5	0	5
54	6	0	5
54	7	0	5
54	8	0	5
54	9	0	5
54	10	88	 
54	11	0	5
55	1	3	 
55	2	3	 
55	3	0	8
55	4	3	 
55	5	0	5
55	6	3	 
55	7	3	 
55	8	3	 
55	9	3	 
55	10	88	 
55	11	3	 
56	1	0	5
56	2	0	5
56	3	0	5
56	4	0	5
56	5	0	1
56	6	0	5
56	7	0	5
56	8	3	 
56	9	3	 
56	10	88	 
56	11	0	5
57	1	0	5
57	2	0	5
57	3	0	5
57	4	0	5
57	5	1	 
57	6	0	5
57	7	0	5
57	8	0	5
57	9	0	5
57	10	88	 
57	11	0	5
58	1	0	5
58	2	0	5
58	3	0	5
58	4	0	5
58	5	0	5
58	6	0	5
58	7	0	5
58	8	0	5
58	9	0	5
58	10	88	 
58	11	0	5
61	1	0	8
61	2	0	8
61	3	0	8
61	4	0	1
61	5	0	1
61	6	0	8
61	7	0	8
61	8	0	8
61	9	0	8
61	10	3	 
61	11	0	8
62	1	0	8
62	2	0	5
62	3	0	5
62	4	0	5
62	5	0	5
62	6	0	5
62	7	0	5
62	8	0	5
62	9	0	8
62	10	3	 
62	11	0	8
63	1	0	8
63	2	0	8
63	3	0	5
63	4	0	5
63	5	1	 
63	6	0	5
63	7	0	5
63	8	0	5
63	9	0	8
63	10	3	 
63	11	0	8
64	1	0	8
64	2	0	8
64	3	0	5
64	4	1	 
64	5	1	 
64	6	0	8
64	7	1	 
64	8	0	5
64	9	0	8
64	10	3	 
64	11	0	8
65	1	0	8
65	2	0	8
65	3	0	5
65	4	0	1
65	5	0	1
65	6	0	5
65	7	0	5
65	8	0	5
65	9	0	8
65	10	3	 
65	11	0	8
66	1	0	8
66	2	0	5
66	3	0	5
66	4	1	 
66	5	1	 
66	6	0	5
66	7	0	5
66	8	0	5
66	9	0	5
66	10	1	 
66	11	0	5
67	1	0	8
67	2	0	5
67	3	0	5
67	4	0	5
67	5	0	5
67	6	0	5
67	7	0	5
67	8	0	5
67	9	0	5
67	10	3	 
67	11	0	8
68	1	0	8
68	2	0	5
68	3	0	5
68	4	1	 
68	5	0	5
68	6	0	5
68	7	0	5
68	8	0	5
68	9	0	8
68	10	3	 
68	11	0	5
69	1	0	8
69	2	0	8
69	3	0	5
69	4	0	5
69	5	1	 
69	6	0	5
69	7	0	5
69	8	0	5
69	9	0	8
69	10	1	 
69	11	0	8
70	1	0	8
70	2	0	8
70	3	0	5
70	4	0	5
70	5	1	 
70	6	0	5
70	7	0	5
70	8	0	8
70	9	0	5
70	10	3	 
70	11	0	5
71	1	0	8
71	2	0	8
71	3	0	8
71	4	0	8
71	5	1	 
71	6	0	88
71	7	0	8
71	8	0	8
71	9	0	8
71	10	88	 
71	11	0	8
72	1	0	8
72	2	0	8
72	3	0	8
72	4	0	8
72	5	1	 
72	6	0	8
72	7	0	8
72	8	0	8
72	9	0	8
72	10	88	 
72	11	0	8
73	1	0	8
73	2	0	8
73	3	0	8
73	4	1	 
73	5	0	8
73	6	0	8
73	7	0	8
73	8	0	8
73	9	0	8
73	10	88	 
73	11	0	8
74	1	0	8
74	2	0	8
74	3	1	 
74	4	1	 
74	5	1	 
74	6	0	8
74	7	1	 
74	8	0	8
74	9	0	8
74	10	88	 
74	11	0	8
75	1	0	8
75	2	0	8
75	3	1	 
75	4	0	8
75	5	1	 
75	6	0	8
75	7	0	8
75	8	0	8
75	9	0	8
75	10	88	 
75	11	0	8
76	1	0	8
76	2	0	8
76	3	0	5
76	4	0	8
76	5	0	4
76	6	0	8
76	7	0	8
76	8	0	8
76	9	0	8
76	10	88	 
76	11	0	8
77	1	0	8
77	2	0	8
77	3	0	8
77	4	1	 
77	5	1	 
77	6	0	8
77	7	0	8
77	8	0	8
77	9	0	8
77	10	3	 
77	11	0	8
78	1	0	8
78	2	0	8
78	3	0	8
78	4	1	 
78	5	0	5
78	6	0	8
78	7	0	5
78	8	0	5
78	9	0	8
78	10	3	 
78	11	0	8
79	1	0	8
79	2	0	8
79	3	0	8
79	4	0	8
79	5	0	1
79	6	0	5
79	7	0	5
79	8	0	8
79	9	0	8
79	10	3	 
79	11	0	5
80	1	0	5
80	2	0	5
80	3	0	5
80	4	0	5
80	5	0	5
80	6	0	5
80	7	0	5
80	8	0	5
80	9	0	5
80	10	3	 
80	11	0	5
81	1	3	 
81	2	0	5
81	3	0	5
81	4	1	 
81	5	3	 
81	6	0	5
81	7	0	5
81	8	3	 
81	9	3	 
81	10	88	 
81	11	0	5
82	1	0	8
82	2	0	5
82	3	0	5
82	4	1	 
82	5	0	5
82	6	0	5
82	7	0	5
82	8	3	 
82	9	3	 
82	10	88	 
82	11	0	5
83	1	3	 
83	2	0	5
83	3	0	5
83	4	1	 
83	5	3	 
83	6	0	5
83	7	0	5
83	8	3	 
83	9	3	 
83	10	88	 
83	11	0	5
84	1	0	5
84	2	0	5
84	3	0	5
84	4	0	5
84	5	3	 
84	6	3	 
84	7	0	5
84	8	0	5
84	9	3	 
84	10	88	 
84	11	0	5
85	1	0	8
85	2	0	5
85	3	0	5
85	4	1	 
85	5	88	 
85	6	0	5
85	7	0	5
85	8	0	5
85	9	0	5
85	10	88	 
85	11	0	5
86	1	1	 
86	2	1	 
86	3	1	 
86	4	1	 
86	5	88	 
86	6	1	 
86	7	1	 
86	8	1	 
86	9	1	 
86	10	88	 
86	11	1	 
87	1	1	 
87	2	1	 
87	3	88	 
87	4	1	 
87	5	88	 
87	6	1	 
87	7	1	 
87	8	1	 
87	9	1	 
87	10	88	 
87	11	1	 
88	1	1	 
88	2	1	 
88	3	88	 
88	4	1	 
88	5	88	 
88	6	1	 
88	7	1	 
88	8	1	 
88	9	1	 
88	10	88	 
88	11	1	 
89	1	0	8
89	2	0	1
89	3	0	5
89	4	1	 
89	5	1	 
89	6	0	5
89	7	1	 
89	8	0	5
89	9	0	8
89	10	88	 
89	11	0	5
90	1	0	8
90	2	0	8
90	3	1	 
90	4	1	 
90	5	88	 
90	6	88	 
90	7	1	 
90	8	1	 
90	9	88	 
90	10	88	 
90	11	0	5
91	1	0	5
91	2	0	5
91	3	0	4
91	4	1	 
91	5	0	5
91	6	0	5
91	7	0	4
91	8	0	5
91	9	0	5
91	10	88	 
91	11	0	5
92	1	0	5
92	2	0	5
92	3	0	5
92	4	1	 
92	5	1	 
92	6	0	5
92	7	0	5
92	8	0	5
92	9	0	5
92	10	88	 
92	11	0	5
93	1	3	 
93	2	3	 
93	3	1	 
93	4	1	 
93	5	1	 
93	6	3	 
93	7	0	1
93	8	1	 
93	9	3	 
93	10	88	 
93	11	3	 
94	1	0	5
94	2	0	5
94	3	1	 
94	4	1	 
94	5	3	 
94	6	1	 
94	7	1	 
94	8	0	5
94	9	0	5
94	10	88	 
94	11	0	5
96	1	0	8
96	2	1	 
96	3	1	 
96	4	1	 
96	5	3	 
96	6	3	 
96	7	1	 
96	8	0	8
96	9	3	 
96	10	88	 
96	11	1	 
97	1	0	5
97	2	0	5
97	3	0	5
97	4	0	5
97	5	0	5
97	6	0	5
97	7	0	5
97	8	0	5
97	9	0	5
97	10	88	 
97	11	0	5
99	1	0	5
99	2	0	5
99	3	0	5
99	4	0	5
99	5	0	5
99	6	1	 
99	7	0	5
99	8	0	5
99	9	0	5
99	10	88	 
99	11	0	5
101	1	1	 
101	2	1	 
101	3	1	 
101	4	1	 
101	5	1	 
101	6	1	 
101	7	1	 
101	8	1	 
101	9	1	 
101	10	3	 
101	11	1	 
102	1	1	 
102	2	1	 
102	3	1	 
102	4	1	 
102	5	1	 
102	6	1	 
102	7	1	 
102	8	1	 
102	9	1	 
102	10	3	 
102	11	3	 
