PLACEID	GBGEIDR4	GRBDIS	OTHDIS	AVGCOL	COMTH
92	3	1	 	 	3
92	4	0	 	 	 
92	5	1	 	 	2
92	9	0	 	 	 
93	1	0	 	 	 
93	2	0	 	 	 
93	3	1	 	 	1
93	4	1	 	 	2
93	5	1	 	 	3
93	9	0	 	 	 
94	1	1	 	30	1
94	2	0	 	 	 
94	3	1	 	 	3
94	4	1	 	 	2
94	5	0	 	 	 
94	9	0	 	 	 
96	1	0	 	 	 
96	2	0	 	 	 
96	3	0	 	 	 
96	4	0	 	 	 
96	5	1	 	 	2
96	9	0	 	 	 
97	1	0	 	 	 
97	2	0	 	 	 
97	3	1	 	 	2
97	4	0	 	 	 
97	5	1	 	 	1
97	9	0	 	 	 
99	1	0	 	 	 
99	2	0	 	 	 
99	3	1	 	 	2
99	4	1	 	 	1
99	5	1	 	 	3
99	9	0	 	 	 
101	1	1	 	0	1
101	2	1	 	 	2
101	3	0	 	 	 
101	4	1	 	 	1
101	5	0	 	 	 
101	9	0	 	 	 
102	1	1	 	30	1
102	2	1	 	 	2
102	3	0	 	 	 
102	4	1	 	 	1
102	5	0	 	 	 
102	9	0	 	 	 
