PLACEID	RSID	AGERES	SEXRES	CASTE	CAPAC	LIVRES
18	9	57	1	3	4	57
18	10	28	1	4	4	0
18	11	52	1	1	8	52
18	12	37	1	3	8	37
18	13	37	1	3	9	4
18	14	32	2	3	9	7
18	15	52	1	3	8	52
18	16	48	1	4	8	30
18	17	21	1	3	8	3
18	18	45	1	4	8	45
18	19	24	1	3	8	24
18	20	40	1	4	8	40
18	21	35	1	3	8	20
18	22	35	1	3	8	35
18	23	38	1	3	8	38
18	24	32	1	4	8	38
18	25	48	1	4	8	8
18	26	64	1	3	8	40
18	27	40	1	4	8	40
18	28	44	1	4	8	44
18	29	33	1	3	8	33
18	30	38	1	3	8	38
18	31	36	1	3	8	36
18	32	43	2	3	8	25
18	33	45	1	4	8	30
18	34	32	1	3	8	32
18	35	36	1	4	8	36
19	1	36	1	3	1	36
19	2	33	1	2	4	33
19	3	45	2	3	6	45
19	4	55	1	3	7	55
19	5	45	2	2	8	45
19	6	46	2	2	8	10
19	7	33	2	3	8	13
19	8	40	2	3	8	13
19	10	30	2	3	3	30
19	11	68	1	4	8	68
19	12	45	1	3	7	45
19	13	42	1	3	9	3
19	14	38	2	3	8	5
19	15	50	1	3	8	40
19	16	52	1	3	8	52
19	17	48	1	4	8	30
19	18	21	1	3	8	3
19	19	45	1	4	8	45
19	20	24	1	3	8	24
19	21	40	1	4	8	40
19	22	35	2	3	8	20
19	23	35	1	3	8	35
19	24	38	1	3	8	38
19	25	32	1	4	8	32
19	26	48	1	4	8	8
19	27	64	1	3	8	40
19	28	40	1	4	8	40
19	29	44	1	4	8	44
19	30	33	1	3	8	33
19	31	38	1	3	8	38
19	32	36	1	3	8	36
19	33	43	2	3	8	25
19	34	42	1	3	8	25
20	1	32	2	1	4	3
20	2	43	2	3	8	14
20	3	35	2	3	3	17
20	4	28	1	4	8	28
20	5	53	1	3	2	53
20	6	35	2	1	6	15
20	7	38	2	1	6	20
20	8	39	1	1	8	39
20	9	83	1	4	7	83
20	10	51	1	4	9	4
20	11	52	1	3	8	52
20	12	48	1	4	8	30
20	13	45	1	4	8	45
20	14	21	1	3	8	3
20	15	24	1	3	8	24
20	16	40	1	4	8	40
20	17	35	1	3	8	35
20	18	38	1	3	8	38
20	19	64	1	3	8	40
20	20	32	1	4	8	32
20	21	48	1	4	8	8
20	22	44	1	4	8	44
20	23	38	1	3	8	38
20	24	33	1	3	8	33
20	25	35	2	3	8	20
20	26	43	2	3	8	25
20	27	36	1	3	8	36
20	28	45	1	4	8	30
20	29	32	1	3	8	32
21	1	42	2	3	8	20
21	2	40	2	3	8	15
21	3	45	1	3	6	25
21	4	65	1	3	8	65
21	5	67	2	3	4	10
21	6	42	2	3	3	15
21	7	56	1	3	7	56
21	8	40	2	3	2	15
21	9	35	1	3	8	5
21	10	31	1	3	8	10
21	11	42	1	3	8	42
21	12	52	1	3	8	52
21	13	48	1	4	8	30
21	14	35	1	3	8	35
21	15	32	1	4	8	32
21	16	48	1	4	8	8
21	17	40	1	4	8	40
21	18	45	1	4	8	45
21	19	21	1	3	8	3
21	20	24	1	3	8	24
21	21	40	1	4	8	40
21	22	38	1	3	8	38
21	23	64	1	3	8	40
21	24	38	1	3	8	38
21	25	44	1	4	8	44
21	26	35	2	3	8	20
21	27	43	2	3	8	25
21	28	45	1	4	8	30
21	29	32	1	3	8	32
21	30	33	1	3	8	33
21	31	36	1	3	8	36
22	1	38	2	3	4	38
22	2	42	2	3	8	42
22	3	22	2	3	6	22
22	4	40	1	3	7	40
22	5	37	1	3	2	37
22	6	47	1	4	8	21
22	7	52	2	3	3	15
22	8	29	2	3	8	6
22	9	40	1	3	8	40
22	10	38	1	3	8	38
22	11	48	1	3	8	3
22	12	50	1	3	8	20
22	13	44	1	4	8	3
22	14	53	1	4	8	53
22	15	24	1	3	8	24
22	16	46	1	3	8	46
22	17	52	1	3	8	52
22	18	41	1	4	8	41
22	19	40	1	4	8	40
22	20	43	1	4	8	43
22	21	38	1	3	8	38
22	22	55	1	4	8	55
22	23	39	1	4	8	39
22	24	46	1	4	8	46
22	25	36	1	4	8	36
22	26	35	1	4	8	35
22	27	46	1	1	8	46
22	28	53	1	1	8	53
22	29	48	1	4	8	20
22	30	44	1	3	8	44
22	31	55	1	3	8	55
22	32	39	2	3	8	39
22	33	28	1	1	8	28
22	34	65	1	3	8	65
22	35	32	1	3	8	10
22	36	27	1	4	8	2
22	37	24	2	3	9	2
23	1	31	2	3	8	14
23	2	24	1	4	4	2
23	3	40	2	3	6	30
23	4	32	2	3	3	5
23	5	42	1	3	8	42
23	6	40	1	3	8	40
23	7	41	2	3	8	25
23	8	33	2	3	6	18
23	9	39	1	3	8	39
23	10	38	1	3	8	38
23	11	48	1	3	8	3
23	12	50	1	3	8	20
23	13	44	1	3	8	3
23	14	53	1	4	8	53
23	15	24	1	3	8	2
23	16	46	1	3	8	46
23	17	52	1	3	8	52
23	18	41	1	4	8	41
23	19	40	1	4	8	40
23	20	43	1	4	8	43
23	21	38	1	3	8	38
23	22	55	1	4	8	55
23	23	39	1	3	8	39
23	24	46	1	3	8	46
23	25	36	1	3	8	36
23	26	35	1	4	8	35
23	27	46	1	1	8	46
23	28	53	1	1	8	53
23	29	48	1	4	8	20
