PLACEID	STRTDINT	DISTRID	CLUSTID	MAPLOC	CHRINF1	CHRINF2	CHRINF3	POPSIZE	PAVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	RAILN	OTTRANN	MAINRTR4	MONTHS	MTRNYSSN	FACTORY	KNDFCCL1	KNDFCCL2	KNDFCCL3	KNDFACE1	EMPLMEN	EMPLWOMN	EMPLCHLD	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	PRGINF1	PRGINF2	PRGINF3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10	EDCNINF1	EDCNINF2	EDCNINF3	LTRCYCMP	HLTHINF1	HLTHINF2	HLTHINF3	MIDWIFE	BIRTHATT	TRADHLR	VILHTHWK	AUXILIAR	NURSE	SOCWRKR	MTLHLTH	GENPHYS	SPECPHYS	DENTIST	OTHRPERS	PHCINF1	TYPESTB	HLTHDL01	HLTHDL02	HLTHDL03	HLTHDL04	HLTHDL05	HLTHDL06	HLTHDL07	HLTHDL08	HLTHDL09	HLTHDL10	HLTHDL11	HLTHDL12	HLTHDL13	HLTHDL14	HLTHDL15	HLTHLD16	OVRALLCN	CNDSPACE	CNDLIGHT	CNDVNTL	CNDCLEAN	CNDOTHR	CHHLTPR01	CHHLTPR02	CHHLTPR03	ADHLTPR01	ADHLTPR02	ADHLTPR03	WNHLTPR01	WNHLTPR02	WNHLTPR03	MNHLTPR01	MNHLTPR02	MNHLTPR03
23	15/09/2013 15:38:51	1	23	0	1	2	3	778	1	0	1	1	0	0	0	3	0	 	1	8	16	88	8	0	50	0	1	2	5	6	4	9	1	3	8	7	1	5	7	10	5	11	7	16	2	4	21	9	19	5	7	9	1	4	5	2	0	0	0	0	1	0	0	0	0	0	0	0	4	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	2	88	9	1	6	4	20	1	5	20	4	5	1	20
24	27/12/2013 11:23:22	1	3	0	1	2	10	3152	0	1	1	1	0	0	0	3	0	 	2	3	18	16	16	25	10	0	0	1	2	3	1	2	3	1	5	9	1	2	5	11	12	13	14	15	16	17	18	19	20	9	1	2	1	1	2	4	1	0	1	1	1	1	1	0	1	1	1	0	39	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	2	88	1	6	15	15	14	1	15	6	4	1	6	10
25	21/12/2013 10:33:04	1	25	0	1	2	3	3345	0	1	1	0	0	0	0	3	0	 	2	8	16	18	16	120	65	0	0	1	2	5	1	4	5	1	2	6	1	2	5	8	10	12	14	16	18	20	22	24	26	1	2	6	1	1	2	7	1	0	0	1	0	1	1	0	1	1	1	0	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	88	6	13	20	15	1	7	8	19	22	7	10	19
26	22/12/2013 18:20:20	1	26	0	1	2	5	520	0	1	1	1	0	0	0	3	0	 	1	16	88	 	16	40	0	0	0	1	3	4	2	3	4	1	2	7	1	3	4	9	10	13	15	15	18	19	22	26	27	1	2	4	0	1	5	7	1	0	0	1	1	1	0	0	1	0	0	0	7	3	1	0	1	0	1	1	1	1	0	0	1	1	1	0	0	0	2	2	2	2	1	88	6	11	15	3	4	7	4	7	19	19	4	5
27	19/10/2013 19:57:35	5	2	0	1	2	3	1037	1	1	1	0	0	0	0	3	2	2	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	16	0	0	0	1	1	1	0	0	0	0	0	0	15	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	2	88	1	6	11	1	20	11	1	20	4	1	20	13
28	15/10/2013 09:19:39	5	2	0	1	2	3	1200	0	0	1	0	0	0	0	3	2	2	0	 	 	 	 	 	 	 	0	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	3	0	0	0	1	1	1	1	0	1	0	0	0	15	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	88	1	6	11	1	10	11	1	22	19	1	9	11
29	11/09/2013 14:50:41	5	2	0	1	2	3	778	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	0	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	11	12	13	14	15	1	2	3	0	9	10	3	0	0	0	1	1	1	0	0	0	0	0	0	9	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	3	3	2	3	2	88	1	11	6	1	11	10	1	22	20	19	11	7
30	16/09/2013 10:39:19	5	2	0	1	2	3	1182	0	0	1	0	0	0	0	3	1	0	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	2	0	0	0	1	1	1	1	0	0	0	0	0	14	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	2	3	2	3	2	88	1	11	6	1	7	11	1	4	11	1	10	13
31	14/10/2013 10:04:50	5	2	0	1	2	3	552	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	0	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	2	0	0	0	1	1	1	1	0	1	0	0	0	14	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	2	2	1	1	2	88	1	6	11	1	6	11	1	11	22	1	19	13
32	22/10/2013 18:20:02	5	2	0	1	2	3	772	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	16	0	0	0	1	1	1	1	0	0	0	0	0	14	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	88	1	20	6	1	20	11	1	20	11	1	20	13
33	13/12/2013 06:43:16	5	1	0	1	2	3	2655	0	0	1	0	0	1	0	3	0	 	2	19	19	88	19	1800	500	0	0	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	3	1	1	0	1	1	1	1	0	1	0	0	0	14	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	88	1	6	11	1	4	10	1	8	22	1	13	19
34	14/12/2013 17:36:33	5	1	0	1	2	3	3000	0	0	1	0	0	1	0	3	0	 	2	19	88	 	19	1800	500	0	0	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	2	1	1	0	1	1	1	1	1	1	1	1	0	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	88	1	4	9	1	4	17	1	22	8	1	13	19
35	15/09/2013 17:05:01	12	11	0	1	2	3	4000	0	0	1	0	0	1	0	3	0	 	0	 	 	 	 	 	 	 	1	1	3	5	1	5	6	2	3	8	1	9	10	8	9	10	11	12	16	20	23	24	25	1	2	4	0	2	7	8	1	0	1	1	1	1	1	0	0	0	0	0	2	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	88	1	15	4	1	14	6	21	22	9	13	12	11
36	19/09/2013 08:39:07	12	11	0	1	2	4	3400	0	1	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	4	5	2	3	6	2	7	3	3	1	4	8	9	10	11	12	16	20	23	24	25	1	3	7	0	3	8	11	0	0	0	1	1	1	0	0	0	0	0	0	7	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	88	1	4	15	1	6	4	6	22	8	1	7	10
37	16/09/2013 20:07:20	12	11	0	9	2	4	1600	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	2	4	3	1	2	6	1	3	4	7	6	2	2	5	9	18	14	15	13	11	20	12	4	2	5	1	3	8	11	0	0	0	1	1	1	0	0	0	0	0	0	3	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	88	6	22	8	6	1	10	21	12	8	1	7	10
38	26/10/2013 08:05:19	12	11	0	4	6	1	2850	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	4	5	6	3	7	8	1	2	6	7	8	9	10	12	14	16	18	20	21	23	25	11	3	7	9	1	1	2	9	0	1	1	1	1	1	1	0	0	0	0	0	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	88	6	1	14	1	14	17	8	21	4	7	13	1
40	17/09/2013 20:38:13	12	11	0	1	3	4	3000	0	1	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	2	6	9	2	6	9	7	8	10	1	3	6	11	13	15	17	19	20	22	23	26	10	1	5	10	1	5	8	10	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	4	6	9	21	22	1	10	11	1	6	19
41	16/11/2013 11:41:07	12	12	0	1	2	3	5650	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	3	4	1	5	6	11	12	13	14	15	16	17	18	19	20	4	7	1	1	8	9	10	1	1	1	1	1	1	1	1	0	0	0	0	8	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	2	1	1	1	2	88	1	6	4	4	1	13	22	1	8	3	5	7
42	27/11/2013 14:00:55	12	12	0	1	2	3	6950	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	3	4	1	3	5	8	9	10	11	12	13	14	15	16	17	1	4	2	1	6	7	1	1	0	1	1	0	0	1	0	0	0	0	0	6	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	88	20	9	1	1	9	20	21	22	19	1	5	19
43	09/01/2014 13:56:20	12	13	0	1	2	3	2860	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	4	1	2	4	1	2	5	2	4	5	7	8	9	10	11	12	13	14	15	16	1	5	6	1	1	2	5	1	1	1	1	1	1	1	1	0	0	0	0	6	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	88	6	4	18	4	1	20	22	4	9	20	6	1
44	06/01/2014 20:45:45	12	13	0	1	2	3	4400	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	4	1	2	4	1	2	4	3	4	5	8	9	10	11	12	13	14	16	18	19	1	4	3	1	2	4	5	1	0	1	1	1	1	1	0	1	0	0	0	6	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	88	6	4	18	4	1	20	22	4	9	20	6	1
45	09/01/2014 14:00:49	12	13	0	1	2	4	3350	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	3	4	1	4	5	1	6	5	3	4	6	8	9	10	11	12	13	15	16	17	19	1	5	6	1	1	5	6	0	0	1	1	0	0	1	0	0	0	0	0	7	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	88	6	4	14	4	1	20	22	4	9	20	6	1
46	06/01/2014 20:42:12	12	0	0	1	2	3	2500	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	5	1	2	5	1	2	3	1	4	5	8	9	10	11	12	13	14	15	16	17	2	6	7	0	1	5	6	1	0	1	1	0	1	1	0	0	0	0	0	20	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	88	6	4	18	4	1	20	22	4	9	20	6	1
