PLACEID	HLTAMIDR4	ACCAMEN	OFTAMEN
55	3	1	1
55	4	1	1
56	1	1	3
56	2	1	3
56	3	1	1
56	4	0	 
57	1	0	 
57	2	1	1
57	3	1	1
57	4	1	1
58	1	1	1
58	2	1	1
58	3	1	1
58	4	1	1
61	1	1	1
61	2	1	2
61	3	1	1
61	4	1	1
62	1	1	1
62	2	1	2
62	3	1	1
62	4	1	1
63	1	1	1
63	2	1	2
63	3	1	1
63	4	1	1
64	1	1	1
64	2	1	2
64	3	1	1
64	4	1	1
65	1	1	1
65	2	1	1
65	3	1	1
65	4	1	1
66	1	1	1
66	2	1	2
66	3	1	2
66	4	1	2
67	1	1	1
67	2	1	2
67	3	1	1
67	4	1	1
68	1	1	1
68	2	1	2
68	3	1	2
68	4	1	2
69	1	1	1
69	2	1	2
69	3	1	2
69	4	1	2
70	1	1	2
70	2	0	 
70	3	1	3
70	4	1	1
71	1	1	1
71	2	0	 
71	3	1	1
71	4	1	1
72	1	0	 
72	2	0	 
72	3	0	 
72	4	0	 
73	1	0	 
73	2	0	 
73	3	0	 
73	4	0	 
74	1	0	 
74	2	1	1
74	3	1	1
74	4	1	1
75	1	0	 
75	2	0	 
75	3	0	 
75	4	1	1
76	1	1	1
76	2	0	 
76	3	1	1
76	4	1	1
77	1	1	1
77	2	0	 
77	3	1	2
77	4	1	1
78	1	1	1
78	2	0	 
78	3	1	2
78	4	1	1
79	1	1	1
79	2	0	 
79	3	1	2
79	4	1	1
80	1	1	1
80	2	0	 
80	3	1	2
80	4	1	1
81	1	1	2
81	2	0	 
81	3	1	1
81	4	1	1
82	1	1	2
82	2	0	 
82	3	1	1
82	4	1	1
83	1	1	2
83	2	0	 
83	3	1	1
83	4	1	1
84	1	1	2
84	2	0	 
84	3	1	1
84	4	1	1
85	1	1	2
85	2	0	 
85	3	1	1
85	4	1	1
86	1	1	2
86	2	0	 
86	3	1	1
86	4	1	4
87	1	1	1
87	2	1	1
87	3	1	1
87	4	1	1
88	1	1	1
88	2	1	1
88	3	1	1
88	4	1	1
89	1	1	2
89	2	1	1
89	3	1	1
89	4	1	1
90	1	0	 
90	2	1	3
90	3	1	1
90	4	1	3
91	1	1	3
91	2	1	1
91	3	1	1
91	4	1	1
92	1	1	1
92	2	1	1
92	3	1	1
92	4	1	1
93	1	0	 
93	2	0	 
93	3	1	1
93	4	0	 
94	1	0	 
94	2	1	1
94	3	1	1
94	4	1	1
96	1	1	1
96	2	0	 
96	3	1	1
96	4	1	1
97	1	0	 
97	2	1	2
97	3	1	1
97	4	1	1
99	1	1	1
99	2	1	1
99	3	1	1
99	4	1	1
101	1	1	1
101	2	1	1
101	3	1	1
101	4	1	1
102	1	1	1
102	2	1	1
102	3	1	1
102	4	1	1
