PLACEID	LCPRIDR4	PPSTD0101	CDVEN0101	CDIR0101	PPSTD0102	CDVEN0102	CDIR0102	PRCESTND
3	14	36	1	17	35	1	18	32
3	15	0	88	17	0	88	18	0
3	16	45	1	17	45	1	18	42
3	17	0	88	17	0	88	18	0
3	18	35	1	17	38	1	18	30
3	19	83	1	17	83	1	18	80
3	20	72	1	17	68	1	18	65
3	21	65	1	17	65	1	18	60
3	22	35	1	17	36	1	18	30
3	23	20	1	27	22	1	28	19
3	24	30	1	17	30	1	18	28
3	25	45	1	19	46	1	20	40
3	26	240	1	17	250	1	18	235
3	27	0	88	19	0	88	20	0
3	28	0	88	19	0	88	20	0
3	29	55	1	19	54	1	20	50
3	30	4.5	1	17	5	1	18	4
3	31	0	88	19	0	88	20	0
3	32	120	6	31	120	6	32	100
3	33	460	6	31	450	6	32	430
3	34	130	6	33	135	6	34	110
3	35	470	6	31	460	6	32	450
3	36	200	6	35	200	6	36	190
3	37	300	6	35	320	6	36	280
3	39	21	5	21	19	5	22	16
3	40	25	5	21	25	5	22	21
3	41	0	88	21	0	88	22	0
3	42	15	5	21	16	5	22	13
3	43	13	5	21	13	5	22	10
3	44	175	1	17	175	1	18	165
3	45	250	1	17	250	1	18	240
3	46	38	1	17	39	1	18	36
3	47	85	1	17	82	1	18	80
3	48	10	1	17	11	1	18	9
3	49	400	1	17	420	1	18	380
3	50	25	1	17	24	1	18	20
3	51	100	1	17	90	1	18	80
3	52	200	1	27	180	1	28	170
3	53	30	1	23	35	1	24	28
3	54	18	1	23	18	1	24	15
3	55	80	1	23	75	1	24	65
3	56	11	1	27	10	1	28	9
3	57	450	1	29	455	1	30	430
3	59	0	88	 	0	88	 	0
4	1	14	15	11	14	15	12	13
4	2	135	1	25	130	1	26	128
4	3	220	1	23	215	1	24	212
4	4	190	1	23	200	1	24	185
4	5	300	1	23	300	1	24	285
4	6	240	1	23	235	1	24	225
4	7	12	9	21	12	9	22	11
4	8	2	9	21	2	9	22	1.5
4	9	12	9	21	15	9	22	12
4	10	14.5	9	21	14	9	22	13.5
4	11	16	1	27	16	1	30	15
4	12	10	1	27	10	1	30	9
4	13	30	1	27	29	1	30	20
4	14	25	1	27	24.5	1	30	23.5
4	15	35	1	27	35	1	30	33.5
4	16	64	1	27	62	1	30	61
4	17	34	1	27	34	1	30	33
4	18	36	1	27	36	1	30	35
4	19	76	1	27	76	1	30	75
4	20	64	1	27	63.5	1	30	62
4	21	72	1	27	71	1	30	70
4	22	42	1	27	42	1	30	41
4	23	15	1	33	16	1	34	14
4	24	45	1	27	44	1	30	43
4	25	32	1	31	31	1	32	28
4	26	115	1	27	112	1	30	110
4	27	210	1	31	210	1	32	205
4	28	145	1	31	140	1	32	135
4	29	48	1	31	48	1	32	40
4	30	4	1	27	4	1	30	3.5
4	31	135	1	31	140	1	32	130
4	32	95	6	17	95	6	18	85
4	33	490	6	17	490	6	18	465
4	34	135	6	15	135	6	16	115
4	35	490	6	17	490	6	18	450
4	36	120	6	19	120	6	20	100
4	37	400	6	19	390	6	20	375
4	39	22	5	13	22	5	14	20
4	40	20	5	13	20	5	14	18
4	41	12	5	13	12	5	14	11
4	42	18	5	13	18	5	14	17
4	43	10	5	13	10	5	14	9
4	44	210	1	27	212	1	30	207
4	45	560	1	27	550	1	30	545
4	46	48	1	27	48	1	30	46
4	47	85	1	27	85	1	30	82
4	48	10	1	27	10	1	30	9
4	49	320	1	27	315	1	30	305
4	50	32	1	27	30	1	30	29
4	51	110	1	33	110	1	34	100
4	52	160	1	33	165	1	34	150
4	53	28	1	28	30	1	29	26
4	54	20	1	28	21	1	29	18
4	55	70	1	28	70	1	29	65
4	56	12	1	33	12	1	34	11
4	57	500	1	35	500	1	36	480
4	59	0	88	 	0	88	 	0
5	1	15	15	13	15	15	14	13
5	2	260	1	23	260	1	24	230
5	3	220	1	11	240	1	12	185
5	4	90	1	11	85	1	12	75
5	5	350	1	11	360	1	12	330
5	6	280	1	11	270	1	12	250
5	7	16.5	9	9	17	9	10	15.3999996185303
5	8	2	9	9	2	9	10	1.20000004768372
5	9	4.5	9	9	5	9	10	3.70000004768372
5	10	6	9	9	6.5	9	10	5.30000019073486
5	11	20	1	15	20	1	16	18
5	12	10	1	15	10	1	16	9
5	13	38	1	15	36	1	16	31
5	14	39	1	15	38	1	16	36
5	15	0	88	15	0	88	16	0
5	16	45	1	15	45	1	16	42
5	17	0	88	15	0	88	16	0
5	18	38	1	15	35	1	16	30
5	19	83	1	15	83	1	16	80
5	20	72	1	15	70	1	16	67
5	21	65	1	15	65	1	16	61
5	22	36	1	15	35	1	16	31
5	23	20	1	25	20	1	26	18
5	24	32	1	15	30	1	16	28
5	25	45	1	17	45	1	18	42
5	26	250	1	15	250	1	16	235
5	27	0	88	17	0	88	18	0
5	28	0	88	17	0	88	18	0
5	29	55	1	17	54	1	18	52
5	30	4.5	1	15	4.5	1	16	4
5	31	0	88	17	0	88	18	0
5	32	130	6	29	130	6	30	100
5	33	450	6	29	450	6	30	420
5	34	160	6	31	155	6	32	140
5	35	470	6	29	460	6	30	450
5	36	120	6	33	130	6	34	105
5	37	340	6	33	330	6	34	290
5	39	20	5	19	20	5	20	18
5	40	24	5	19	23	5	20	21
5	41	0	88	19	0	88	20	0
5	42	18	5	19	18	5	20	16
5	43	11	5	19	11	5	20	9
5	44	195	1	15	195	1	16	178
5	45	260	1	15	260	1	16	245
5	46	38	1	15	38	1	16	36
5	47	90	1	15	90	1	16	87
5	48	10	1	15	10	1	16	9
5	49	380	1	15	370	1	16	350
5	50	28	1	15	28	1	16	24
5	51	120	1	25	120	1	26	105
5	52	220	1	25	210	1	26	190
5	53	35	1	21	35	1	22	31
5	54	16	1	21	15	1	22	12
5	55	75	1	21	73	1	22	69
5	56	11	1	25	10	1	26	9
5	57	480	1	27	470	1	28	420
5	59	0	88	 	0	88	 	0
6	1	14	15	11	14	15	12	13
6	2	135	1	25	130	1	26	128
6	3	220	1	23	215	1	24	200
6	4	190	1	23	200	1	24	185
6	5	300	1	23	300	1	24	285
6	6	240	1	23	235	1	24	225
6	7	16.5	9	21	16.5	9	22	15.3999996185303
6	8	2	9	21	2	9	22	1.5
6	9	12	9	21	13	9	22	10
6	10	14.5	9	21	14	9	22	13.5
6	11	16	1	27	16	1	36	15
6	12	10	1	27	10	1	36	9
6	13	30	1	27	29	1	36	20
6	14	25	1	27	24.5	1	36	23.5
6	15	35	1	27	35	1	36	33.5
6	16	64	1	27	62	1	36	61
6	17	34	1	27	34	1	36	33
6	18	36	1	27	36	1	36	35
6	19	76	1	27	76	1	36	75
6	20	64	1	27	63.5	1	36	62
6	21	72	1	27	71	1	36	70
6	22	42	1	27	42	1	36	41
6	23	15	1	32	16	1	33	14
6	24	45	1	27	44	1	36	43
6	25	44	1	30	48	1	31	40
6	26	115	1	27	112	1	36	110
6	27	210	1	30	210	1	31	205
6	28	145	1	30	140	1	31	135
6	29	48	1	30	48	1	31	40
6	30	4	1	27	4	1	36	3.5
6	31	135	1	30	140	1	31	130
6	32	95	6	17	95	6	18	85
6	33	490	6	17	490	6	18	465
6	34	135	6	15	135	6	16	115
6	35	490	6	17	490	6	18	450
6	36	120	6	19	120	6	19	100
6	37	400	6	19	390	6	20	375
6	39	22	5	13	22	5	14	20
6	40	20	5	13	20	5	14	18
6	41	12	5	13	12	5	14	11
6	42	18	5	13	18	5	14	17
6	43	10	5	13	10	5	14	9
6	44	210	1	27	212	1	36	207
6	45	560	1	27	550	1	36	545
6	46	48	1	27	48	1	36	46
6	47	85	1	27	85	1	36	82
6	48	10	1	27	10	1	36	9
6	49	320	1	27	315	1	36	305
6	50	32	1	27	30	1	36	29
6	51	110	1	27	110	1	36	100
6	52	160	1	32	165	1	33	150
6	53	28	1	28	28	1	29	26
6	54	20	1	28	21	1	29	18
6	55	70	1	28	70	1	29	65
6	56	12	1	32	12	1	33	11
6	57	500	1	34	500	1	35	480
6	59	0	88	 	0	88	 	0
7	1	12	1	4	12	1	5	12
7	2	150	1	6	200	1	7	175
7	3	200	1	6	250	1	7	225
7	4	300	1	6	300	1	7	300
7	5	300	1	6	250	1	7	275
7	6	300	1	6	300	1	7	300
7	7	25	9	8	25	9	9	25
7	8	1	9	8	1	9	9	1
7	9	3	9	8	3	9	9	3
7	10	14	9	8	14	9	9	14
7	11	40	1	4	40	1	5	40
7	12	10	1	4	10	1	5	10
7	13	30	1	4	30	1	5	30
7	14	30	1	4	30	1	5	30
7	15	35	1	4	35	1	5	35
7	16	40	1	4	40	1	5	40
7	17	30	1	4	30	1	5	30
7	18	35	1	4	35	1	5	35
7	19	70	1	4	75	1	5	72.5
7	20	60	1	4	60	1	5	60
7	21	90	1	4	90	1	5	90
7	22	40	1	4	40	1	5	40
7	23	15	1	4	15	1	5	15
7	24	42	1	4	42	1	5	42
7	25	40	1	4	40	1	5	40
7	26	150	1	4	225	1	5	187.5
7	27	350	1	4	350	1	5	350
7	28	190	1	4	180	1	5	185
7	29	40	1	4	40	1	5	40
7	30	4	1	4	4	1	5	4
7	31	250	1	4	250	1	5	250
7	32	130	1	12	130	1	13	130
7	33	380	1	12	400	1	13	390
7	34	140	1	12	140	1	13	140
7	35	350	1	12	350	1	13	350
7	36	120	1	12	140	1	13	130
7	37	300	1	12	300	1	13	300
7	39	20	1	10	20	1	11	20
7	40	30	1	10	30	1	11	30
7	41	20	1	10	20	1	11	20
7	42	20	1	10	20	1	11	20
7	43	20	1	10	20	1	11	20
7	44	410	1	4	400	1	5	405
7	45	1300	1	4	1300	1	5	1300
7	46	40	1	4	40	1	5	40
7	47	70	1	4	70	1	5	70
7	48	20	1	4	20	1	5	20
7	49	450	1	4	450	1	5	450
7	50	80	1	4	75	1	5	77.5
7	51	150	1	4	150	1	5	150
7	52	250	1	4	275	1	5	262.5
7	53	40	1	10	40	1	11	40
7	54	25	1	10	25	1	11	25
7	55	60	1	10	60	1	11	60
7	56	12	1	10	12	1	11	12
7	57	700	1	10	700	1	11	700
7	59	0	88	 	0	88	 	0
8	1	12	1	4	12	1	5	12
8	2	150	1	6	150	1	7	150
8	3	200	1	6	180	1	7	190
8	4	200	1	6	250	1	7	225
8	5	250	1	6	280	1	7	265
8	6	300	1	6	270	1	7	285
8	7	25	9	8	25	9	9	25
8	8	1	9	8	1	9	9	1
8	9	3	9	8	3	9	9	3
8	10	14	9	8	14	9	9	14
8	11	40	1	4	40	1	5	40
8	12	10	1	4	10	1	5	10
8	13	40	1	4	40	1	5	40
8	14	30	1	4	30	1	5	30
8	15	35	1	4	35	1	5	35
8	16	40	1	4	40	1	5	40
8	17	30	1	4	30	1	5	30
8	18	35	1	4	35	1	5	35
8	19	70	1	4	70	1	5	70
8	20	65	1	4	65	1	5	65
8	21	85	1	4	90	1	5	87.5
8	22	40	1	4	40	1	5	40
8	23	15	1	4	15	1	5	15
8	24	40	1	4	40	1	5	40
8	25	40	1	4	40	1	5	40
8	26	180	1	4	200	1	5	190
8	27	400	1	4	400	1	5	400
8	28	190	1	4	190	1	5	190
8	29	40	1	4	40	1	5	40
8	30	4	1	4	4	1	5	4
8	31	250	1	4	250	1	5	250
8	32	110	1	12	110	1	13	110
8	33	400	1	12	400	1	13	400
8	34	130	1	12	130	1	13	130
8	35	380	1	12	380	1	13	380
8	36	120	1	12	120	1	13	120
8	37	250	1	12	300	1	13	275
8	39	20	1	10	20	1	11	20
8	40	30	1	10	30	1	11	30
8	41	18	1	10	18	1	11	18
8	42	15	1	10	15	1	11	15
8	43	16	1	10	16	1	11	16
8	44	400	1	4	400	1	5	400
8	45	1250	1	4	1300	1	5	1275
8	46	40	1	4	40	1	5	40
8	47	70	1	4	70	1	5	70
8	48	18	1	4	18	1	5	18
8	49	340	1	4	350	1	5	345
8	50	80	1	4	80	1	5	80
8	51	150	1	4	200	1	5	175
8	52	200	1	4	200	1	5	200
8	53	35	1	10	35	1	11	35
8	54	25	1	10	25	1	11	25
8	55	45	1	10	45	1	11	45
8	56	12	1	10	12	1	11	12
8	57	700	1	10	700	1	10	700
8	59	0	88	 	0	88	 	0
9	1	12	1	4	10	1	5	11
9	2	250	1	6	225	1	7	237.5
9	3	250	1	6	200	1	7	225
9	4	150	1	6	200	1	7	175
9	5	250	1	6	300	1	7	275
9	6	300	1	6	280	1	7	290
9	7	25	9	8	25	9	9	25
9	8	1	9	8	1	9	9	1
9	9	3	9	8	3	9	9	3
9	10	14	9	8	14	9	9	14
9	11	40	1	4	40	1	5	40
9	12	10	1	4	10	1	5	10
9	13	40	1	4	40	1	5	40
9	14	32	1	4	30	1	5	31
9	15	35	1	4	35	1	5	35
9	16	40	1	4	40	1	5	40
9	17	30	1	4	30	1	5	30
9	18	35	1	4	35	1	5	35
9	19	70	1	4	70	1	5	70
9	20	65	1	4	65	1	5	65
9	21	85	1	4	85	1	5	85
9	22	28	1	4	30	1	5	29
9	23	15	1	4	15	1	5	15
9	24	40	1	4	40	1	5	40
9	25	40	1	4	40	1	5	40
9	26	225	1	4	225	1	5	225
9	27	350	1	4	380	1	5	365
9	28	190	1	4	200	1	5	195
9	29	40	1	4	40	1	5	40
9	30	4	1	4	4	1	5	4
9	31	180	1	4	185	1	5	182.5
9	32	120	1	12	120	1	13	120
9	33	400	1	12	400	1	13	400
9	34	120	1	12	120	1	13	120
9	35	380	1	12	380	1	13	380
9	36	110	1	12	110	1	13	110
9	37	280	1	12	280	1	13	280
9	39	20	1	10	20	1	11	20
9	40	28	1	10	28	1	11	28
9	41	15	1	10	15	1	11	15
9	42	30	1	10	30	1	11	30
9	43	16	1	10	16	1	11	16
9	44	400	1	4	400	1	5	400
9	45	1300	1	4	1300	1	5	1300
9	46	40	1	4	40	1	5	40
9	47	75	1	4	75	1	5	75
9	48	18	1	4	18	1	5	18
9	49	450	1	4	450	1	5	450
9	50	75	1	4	75	1	5	75
9	51	150	1	4	150	1	5	150
9	52	225	1	4	250	1	5	237.5
9	53	30	1	10	30	1	11	30
9	54	20	1	10	20	1	11	20
9	55	50	1	10	50	1	11	50
9	56	12	1	10	12	1	11	12
9	57	700	1	10	700	1	11	700
9	59	0	88	 	0	88	 	0
10	1	12	1	4	10	1	5	11
10	2	300	1	6	280	1	7	290
10	3	250	1	6	250	1	7	250
10	4	175	1	6	200	1	7	187.5
10	5	250	1	6	300	1	7	275
10	6	250	1	6	250	1	7	250
10	7	25	9	8	25	9	9	25
10	8	1	9	8	1	9	9	1
10	9	3	9	8	3	9	9	3
10	10	14	9	8	14	9	9	14
10	11	40	1	4	40	1	5	40
10	12	10	1	4	10	1	5	10
10	13	40	1	4	40	1	5	40
10	14	34	1	4	32	1	5	33
10	15	36	1	4	34	1	5	35
10	16	40	1	4	40	1	5	40
10	17	28	1	4	28	1	5	28
10	18	32	1	4	32	1	5	32
10	19	76	1	4	78	1	5	77
10	20	70	1	4	70	1	5	70
10	21	95	1	4	95	1	5	95
10	22	38	1	4	40	1	5	39
10	23	15	1	4	15	1	5	15
10	24	42	1	4	40	1	5	41
10	25	40	1	4	40	1	5	40
10	26	175	1	4	250	1	5	212.5
10	27	450	1	4	450	1	5	450
10	28	180	1	4	180	1	5	180
10	29	40	1	4	40	1	5	40
10	30	4	1	4	4	1	5	4
10	31	200	1	4	200	1	5	200
10	32	120	1	12	120	1	13	120
10	33	400	1	12	400	1	13	400
10	34	140	1	12	120	1	13	120
10	35	350	1	12	350	1	13	350
10	36	130	1	12	130	1	13	130
10	37	300	1	12	300	1	13	300
10	39	20	1	10	20	1	11	20
10	40	28	1	10	28	1	11	28
10	41	14	1	10	14	1	11	14
10	42	45	1	10	45	1	11	45
10	43	20	1	10	20	1	11	20
10	44	400	1	4	400	1	5	400
10	45	1275	1	4	1300	1	5	1287.5
10	46	40	1	4	40	1	5	40
10	47	75	1	4	75	1	5	75
10	48	18	1	4	18	1	5	18
10	49	350	1	4	350	1	5	350
10	50	80	1	4	80	1	5	80
10	51	250	1	4	245	1	5	247.5
10	52	150	1	4	150	1	5	150
10	53	40	1	10	40	1	11	40
10	54	25	1	10	25	1	11	25
10	55	80	1	10	80	1	11	89
10	56	12	1	10	12	1	11	12
10	57	700	1	10	700	1	11	700
10	59	0	88	 	0	88	 	0
11	1	12	1	4	12	1	5	12
11	2	250	1	6	250	1	7	250
11	3	250	1	6	250	1	7	250
11	4	300	1	6	300	1	7	300
11	5	350	1	6	300	1	7	325
11	6	400	1	6	350	1	7	375
11	7	25	9	8	25	9	9	25
11	8	1	9	8	1	9	9	1
11	9	3	9	8	3	9	9	3
11	10	14	9	8	14	9	9	14
11	11	35	1	4	35	1	5	35
11	12	10	1	4	10	1	5	10
11	13	30	1	4	30	1	5	30
11	14	32	1	4	34	1	5	33
11	15	32	1	4	32	1	5	32
11	16	40	1	4	40	1	5	40
11	17	34	1	4	35	1	5	34.5
11	18	35	1	4	35	1	5	35
11	19	70	1	4	70	1	5	70
11	20	65	1	4	65	1	5	65
11	21	90	1	4	90	1	5	90
11	22	35	1	4	35	1	5	35
11	23	15	1	4	15	1	5	15
11	24	40	1	4	42	1	5	41
11	25	40	1	4	40	1	5	40
11	26	250	1	4	250	1	5	250
11	27	400	1	4	400	1	5	400
11	28	200	1	4	200	1	5	200
11	29	40	1	4	40	1	5	40
11	30	4	1	4	4	1	5	4
11	31	150	1	4	150	1	5	150
11	32	100	1	12	100	1	13	100
11	33	380	1	12	380	1	13	380
11	34	100	1	12	100	1	13	100
11	35	340	1	12	340	1	13	340
11	36	90	1	12	90	1	12	90
11	37	250	1	12	250	1	13	250
11	39	20	1	10	20	1	11	20
11	40	28	1	10	30	1	11	29
11	41	18	1	10	18	1	11	18
11	42	16	1	10	16	1	11	16
11	43	15	1	10	15	1	11	15
11	44	410	1	4	410	1	5	410
11	45	1300	1	4	1300	1	5	1300
11	46	40	1	4	40	1	5	40
11	47	75	1	4	75	1	5	75
11	48	20	1	4	18	1	5	19
11	49	450	1	4	450	1	5	450
11	50	90	1	4	90	1	5	90
11	51	200	1	4	200	1	5	200
11	52	250	1	4	250	1	5	250
11	53	32	1	10	32	1	11	32
11	54	20	1	10	20	1	11	20
11	55	45	1	10	45	1	11	45
11	56	12	1	10	12	1	11	12
11	57	700	1	10	700	1	11	700
11	59	0	88	 	0	88	 	0
12	1	10	1	12	10	1	19	9
12	2	260	1	13	260	1	14	220
12	3	230	1	15	230	1	20	200
12	4	140	1	15	140	1	20	120
12	5	220	1	15	220	1	20	200
12	6	130	1	15	130	1	20	120
12	7	17	1	16	17	1	17	16
12	8	2	1	16	2	1	17	1.5
12	9	5	1	16	5	1	17	4
12	10	15	1	16	15	1	17	13
12	11	8	1	18	8	1	19	7
12	12	10	1	18	10	1	19	9
12	13	37	1	18	37	1	19	32
12	14	25	1	18	25	1	19	23
12	15	30	1	18	30	1	19	27
12	16	40	1	18	40	1	19	38
12	17	30	1	18	30	1	19	28
12	18	32	1	18	32	1	19	29
12	19	72	1	18	72	1	19	68
12	20	58	1	18	58	1	19	54
12	21	74	1	18	74	1	19	70
12	22	29	1	18	29	1	19	26
12	23	10	1	21	10	1	22	9
12	24	28	1	18	28	1	19	26
12	25	40	1	24	40	1	23	37
12	26	175	1	18	175	1	19	170
12	27	0	88	28	0	88	4	0
12	28	148	1	23	148	1	22	145
12	29	45	1	23	45	1	22	42
12	30	4	1	18	4	1	19	3.5
12	31	0	88	7	0	88	7	0
12	32	0	1	27	0	1	3	0
12	33	410	6	26	410	6	25	390
12	34	120	6	26	120	6	25	100
12	35	390	6	26	390	6	25	365
12	36	110	6	27	110	6	28	85
12	37	360	6	27	360	6	28	325
12	39	17	5	29	17	5	30	15
12	40	16	5	29	16	5	30	14
12	41	16	5	29	16	5	30	13
12	42	50	5	29	50	5	30	48
12	43	45	5	29	45	5	30	40
12	44	208	1	18	208	1	19	195
12	45	650	1	18	650	1	19	620
12	46	43	1	18	43	1	19	40
12	47	72	1	18	72	1	19	68
12	48	10	1	18	10	1	19	9
12	49	300	1	18	300	1	19	290
12	50	45	1	18	45	1	18	42
12	51	115	1	21	115	1	22	95
12	52	200	1	21	200	1	22	185
12	53	30	1	31	30	1	31	26
12	54	15	1	31	15	1	32	12
12	55	80	1	31	80	1	32	65
12	56	10	1	21	10	1	22	9
12	57	550	1	33	550	1	34	490
12	59	0	88	1	0	88	29	0
13	1	10	1	5	10	15	12	9
13	2	180	1	13	180	1	14	145
13	3	300	1	23	310	1	24	280
13	4	85	1	23	80	1	24	76
13	5	350	1	23	340	1	24	320
13	6	185	1	23	180	1	24	165
13	7	17.5	9	19	18	9	20	17.2000007629395
13	8	2	9	19	2	9	20	1.29999995231628
13	9	6.5	9	19	7	9	20	6.09999990463257
13	10	10	9	19	10	9	20	8.75
13	11	5	1	5	5	1	15	4.5
13	12	15	1	5	15	1	15	4.5
13	13	35	1	15	30	1	16	25
13	14	24	1	15	23	1	16	22
13	15	24	1	5	23	1	15	21
13	16	40	1	15	40	1	16	38
13	17	32	1	15	32	1	16	30
13	18	31	1	15	31	1	16	30
13	19	76	1	5	75	1	15	74
13	20	54	1	15	54	1	16	52
13	21	76	1	5	76	1	15	74
13	22	35	1	15	35	1	16	32
13	23	10	1	29	11	1	30	9
13	24	32	1	5	32	1	15	29
13	25	42	1	5	42	1	17	40
13	26	200	1	15	200	1	16	180
13	27	0	88	17	0	88	18	0
13	28	170	1	17	170	1	18	160
13	29	42	1	5	42	1	18	40
13	30	4	1	5	4	1	15	3.75
13	31	0	88	17	0	88	18	0
13	32	4	1	5	4	1	15	3.75
13	33	450	6	25	450	6	26	400
13	34	120	6	25	120	6	26	100
13	35	450	6	25	450	6	26	420
13	36	100	6	21	100	6	22	85
13	37	320	1	15	320	1	16	290
13	39	20	5	27	20	5	28	17
13	40	16	5	27	16	5	28	14
13	41	20	5	27	20	5	28	18
13	42	60	5	27	60	5	28	56
13	43	50	5	27	50	5	28	46
13	44	200	1	15	200	1	16	195
13	45	650	1	15	650	1	16	645
13	46	38	1	5	36	1	15	34
13	47	65	1	5	62	1	15	60
13	48	10	1	5	10	1	15	9
13	49	300	1	15	300	1	16	290
13	50	50	1	5	45	1	15	40
13	51	100	1	15	100	1	16	90
13	52	220	1	17	220	1	18	180
13	53	24	1	31	25	1	32	20
13	54	15	1	31	15	1	32	12
13	55	100	1	31	100	1	32	70
13	56	11	1	5	10	1	18	9
13	57	530	1	33	545	1	34	505
13	59	0	88	15	0	88	16	0
14	1	10	1	5	10	15	13	9
14	2	180	1	14	180	1	15	145
14	3	230	1	22	230	1	23	215
14	4	80	1	22	80	1	23	75
14	5	230	1	22	220	1	23	200
14	6	150	1	22	150	1	23	130
14	7	17.5	9	20	17.5	9	21	16.25
14	8	1.5	9	20	1.5	9	21	1.14999997615814
14	9	4	9	20	4	9	21	3.5
14	10	12	9	20	12	9	21	10.3000001907349
14	11	5	1	5	5	8	16	4.5
14	12	18	1	5	18	8	16	17
14	13	40	8	16	40	8	17	32
14	14	24	1	5	23	8	16	22
14	15	25	1	5	23	8	16	21
