PLACEID	PRGIDR4	CURRPROG	PROGSTOP
11	55	1	 
11	62	1	 
11	63	0	88
11	65	1	 
11	66	1	 
11	67	1	 
11	68	1	 
12	10	1	 
12	11	0	88
12	12	0	88
12	13	1	 
12	15	0	88
12	16	0	88
12	17	1	 
12	18	0	88
12	21	0	88
12	24	0	88
12	25	1	 
12	26	0	88
12	27	0	88
12	29	0	88
12	34	0	88
12	35	1	 
12	37	1	 
12	38	0	88
12	39	0	88
12	40	1	 
12	44	0	88
12	45	0	88
12	46	0	88
12	47	0	88
12	50	0	88
12	51	1	 
12	52	1	 
12	53	1	 
12	55	0	88
12	62	0	88
12	63	0	88
12	65	0	88
12	66	0	88
12	67	1	 
12	68	0	88
13	10	1	 
13	11	1	 
13	12	0	88
13	13	0	88
13	15	0	88
13	16	0	88
13	17	1	 
13	18	0	88
13	21	1	 
13	24	1	 
13	25	1	 
13	26	1	 
13	27	1	 
13	29	1	 
13	34	1	 
13	35	1	 
13	37	0	88
13	38	0	88
13	39	1	 
13	40	1	 
13	44	0	88
13	45	0	88
13	46	0	88
13	47	1	 
13	50	0	88
13	51	1	 
13	52	1	 
13	53	1	 
13	55	1	 
13	62	0	88
13	63	0	88
13	65	0	88
13	66	0	88
13	67	0	88
13	68	0	88
14	10	1	 
14	11	1	 
14	12	0	88
14	13	0	88
14	15	0	88
14	16	0	88
14	17	1	 
14	18	1	 
14	21	1	 
14	24	1	 
14	25	1	 
14	26	1	 
14	27	1	 
14	29	1	 
14	34	0	88
14	35	0	88
14	37	1	 
14	38	1	 
14	39	0	88
14	40	1	 
14	44	0	88
14	45	0	88
14	46	0	88
14	47	1	 
14	50	0	88
14	51	1	 
14	52	1	 
14	53	1	 
14	55	1	 
14	62	1	 
14	63	0	88
14	65	1	 
14	66	0	88
14	67	1	 
14	68	1	 
15	10	1	 
15	11	1	 
15	12	0	88
15	13	1	 
15	15	0	88
15	16	0	88
15	17	1	 
15	18	0	88
15	21	1	 
15	24	1	 
15	25	0	88
15	26	1	 
15	27	0	88
15	29	1	 
15	34	0	88
15	35	1	 
15	37	0	88
15	38	0	88
15	39	0	88
15	40	1	 
15	44	0	88
15	45	0	88
15	46	0	88
15	47	0	88
15	50	0	88
15	51	1	 
15	52	1	 
15	53	1	 
15	55	0	88
15	62	0	88
15	63	0	88
15	65	0	88
15	66	0	88
15	67	1	 
15	68	0	88
16	10	1	 
16	11	1	 
16	12	1	 
16	13	1	 
16	15	1	 
16	16	1	 
16	17	1	 
16	18	1	 
16	21	1	 
16	24	1	 
16	25	1	 
16	26	1	 
16	27	1	 
16	29	1	 
16	34	1	 
16	35	1	 
16	37	1	 
16	38	1	 
16	39	1	 
16	40	1	 
16	44	0	88
16	45	0	88
16	46	0	88
16	47	0	88
16	50	0	88
16	51	1	 
16	52	1	 
16	53	1	 
16	55	1	 
16	62	1	 
16	63	0	88
16	65	0	88
16	66	0	88
16	67	1	 
16	68	1	 
17	10	1	 
17	11	1	 
17	12	1	 
17	13	1	 
17	15	0	88
17	16	1	 
17	17	1	 
17	18	1	 
17	21	1	 
17	24	1	 
17	25	1	 
17	26	1	 
17	27	1	 
17	29	1	 
17	34	0	88
17	35	1	 
17	37	0	88
17	38	0	88
17	39	0	88
17	40	1	 
17	44	0	88
17	45	0	88
17	46	0	88
17	47	1	 
17	50	1	 
17	51	1	 
17	52	1	 
17	53	1	 
17	55	1	 
17	62	1	 
17	63	0	88
17	65	0	88
17	66	0	88
17	67	1	 
17	68	1	 
18	10	1	 
18	11	1	 
18	12	0	88
18	13	1	 
18	15	0	88
18	16	0	88
18	17	1	 
18	18	0	88
18	21	1	 
18	24	1	 
18	25	0	88
18	26	0	88
18	27	0	88
18	29	0	88
18	34	0	88
18	35	1	 
18	37	0	88
18	38	0	88
18	39	0	88
18	40	1	 
18	44	0	88
18	45	0	88
18	46	0	88
18	47	0	88
18	50	0	88
18	51	0	88
18	52	1	 
18	53	0	88
18	55	0	88
18	62	0	88
18	63	0	88
18	65	0	88
18	66	0	88
18	67	0	88
18	68	0	88
19	10	1	 
19	11	1	 
19	12	0	88
19	13	1	 
19	15	1	 
19	16	0	88
19	17	1	 
19	18	1	 
19	21	1	 
19	24	1	 
19	25	1	 
19	26	1	 
19	27	1	 
19	29	0	88
19	34	1	 
19	35	1	 
19	37	1	 
19	38	0	88
19	39	0	88
19	40	1	 
19	44	0	88
19	45	0	88
19	46	0	88
19	47	1	 
19	50	0	88
19	51	1	 
19	52	1	 
19	53	1	 
19	55	1	 
19	62	1	 
19	63	0	88
19	65	0	88
19	66	0	88
19	67	1	 
19	68	1	 
20	10	1	 
20	11	1	 
20	12	0	88
20	13	1	 
20	15	1	 
20	16	0	88
20	17	1	 
20	18	1	 
20	21	0	4
20	24	1	 
20	25	1	 
20	26	1	 
20	27	1	 
20	29	1	 
20	34	0	88
20	35	1	 
20	37	1	 
20	38	1	 
20	39	0	88
20	40	1	 
20	44	0	88
20	45	1	 
20	46	1	 
20	47	0	88
20	50	0	88
20	51	1	 
20	52	1	 
20	53	1	 
20	55	1	 
20	62	1	 
20	63	0	88
20	65	0	88
20	66	0	88
20	67	1	 
20	68	1	 
21	10	1	 
21	11	1	 
21	12	0	3
21	13	0	88
21	15	1	 
21	16	0	88
21	17	1	 
21	18	1	 
21	21	1	 
21	24	1	 
21	25	1	 
21	26	1	 
21	27	1	 
21	29	1	 
21	34	0	88
21	35	0	2
21	37	0	2
21	38	0	3
21	39	0	88
21	40	1	 
21	44	0	88
21	45	0	88
21	46	0	88
21	47	0	88
21	50	0	88
21	51	1	 
21	52	1	 
21	53	1	 
21	55	1	 
21	62	1	 
21	63	0	88
21	65	0	88
21	66	0	88
21	67	0	3
21	68	1	 
22	10	1	 
22	11	1	 
22	12	0	88
22	13	1	 
22	15	1	 
22	16	0	3
22	17	1	 
22	18	1	 
22	21	1	 
22	24	1	 
22	25	1	 
22	26	1	 
22	27	1	 
22	29	0	4
22	34	0	88
22	35	1	 
22	37	0	88
22	38	0	88
22	39	0	88
