CHILDCODE	MOVEIDR5	YRMOVER5	MTHSTYR5	WHMOVER5	TYPKEBR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPFMR5	MVOTRLR5	MVNONHR5	RSNMVR51
20081	1	2016	1	1	1	Y	 	 	 	 	 	 	 	12
20081	2	2015	1	1	1	Y	 	 	 	 	 	 	 	12
20086	1	2014	12	1	1	Y	 	 	 	 	 	 	 	1
20086	2	2015	12	1	1	Y	 	 	 	 	 	 	 	1
20086	3	2016	3	1	1	Y	 	 	 	 	 	 	 	1
20088	1	2015	1	2	1	Y	 	 	 	 	 	 	 	12
30007	1	2015	0	5	2	N	N	N	N	N	N	Y	Y	9
40017	1	2015	1	1	1	Y	 	 	 	 	 	 	 	12
40027	1	2016	1	1	1	Y	 	 	 	 	 	 	 	1
40059	1	2016	3	3	4	N	N	N	N	N	N	Y	N	12
40059	2	2015	1	3	4	N	N	N	N	N	N	Y	N	12
40059	3	2014	1	3	4	N	N	N	N	N	N	Y	N	12
40060	1	2016	1	3	4	N	N	N	Y	N	N	Y	N	12
40061	1	2016	1	4	6	N	N	N	N	N	N	Y	N	12
40090	1	2016	2	2	1	N	Y	N	N	N	N	N	N	12
50031	1	2015	1	1	1	Y	 	 	 	 	 	 	 	15
50038	1	2016	6	4	3	N	N	N	N	N	N	N	Y	1
50038	2	2015	12	4	3	N	N	N	N	N	N	N	Y	1
50038	3	2014	8	4	3	N	N	N	N	N	N	N	Y	1
50056	1	2014	2	3	4	N	Y	Y	N	N	N	N	N	1
50080	1	2016	1	1	1	N	N	Y	N	N	N	N	N	12
50080	2	2015	1	1	1	N	N	Y	N	N	N	N	N	12
50095	1	2015	1	3	4	N	N	N	N	N	N	Y	N	1
60085	1	2016	1	2	2	N	N	N	Y	N	N	N	N	1
70015	1	2016	1	1	1	N	Y	Y	N	N	N	N	N	12
70031	1	2016	1	3	3	N	N	N	N	N	N	N	Y	1
70034	1	2015	1	2	1	N	N	N	Y	N	N	N	N	12
70067	1	2015	0	3	1	Y	 	 	 	 	 	 	 	15
80005	1	2015	16	4	4	Y	 	 	 	 	 	 	 	1
80006	1	2016	10	4	4	N	Y	N	N	N	N	N	N	2
80010	1	2015	16	4	4	Y	 	 	 	 	 	 	 	1
80013	1	2016	11	5	7	Y	 	 	 	 	 	 	 	1
80013	2	2015	7	5	7	Y	 	 	 	 	 	 	 	1
80029	1	2016	1	4	2	N	Y	N	N	N	N	N	N	1
80029	2	2016	1	4	2	N	N	N	N	N	N	N	Y	1
80038	1	2015	0	2	1	N	N	N	N	N	Y	N	N	15
80039	1	2014	2	2	2	N	N	N	N	N	N	Y	N	12
80039	2	2015	1	2	2	N	Y	N	N	N	N	N	N	12
80042	1	2015	16	4	4	Y	 	 	 	 	 	 	 	1
80047	1	2016	1	3	4	N	N	N	N	N	N	N	Y	1
80051	1	2016	30	2	4	N	N	N	Y	N	N	N	Y	3
80062	1	2014	2	5	8	N	N	N	N	Y	N	N	N	1
80062	2	2015	6	1	1	N	N	Y	N	N	N	N	N	4
80078	1	2015	2	2	1	Y	 	 	 	 	 	 	 	12
80078	2	2016	1	2	1	N	N	N	N	N	N	Y	N	12
80079	1	2014	60	2	1	N	Y	N	N	N	N	N	N	3
80082	1	2016	1	2	2	Y	 	 	 	 	 	 	 	2
90005	1	2016	1	3	2	N	N	Y	N	N	N	N	N	12
90005	2	2015	1	3	2	N	N	Y	N	N	N	N	N	12
90007	1	2016	1	2	1	Y	 	 	 	 	 	 	 	12
90011	1	2016	3	1	1	Y	 	 	 	 	 	 	 	2
90011	2	2015	6	1	1	Y	 	 	 	 	 	 	 	2
90014	1	2016	1	2	2	N	Y	Y	N	N	N	N	N	12
90028	1	2016	1	2	1	N	Y	N	N	N	N	Y	N	12
90031	1	2014	0	2	1	N	N	N	N	Y	N	N	N	15
90036	1	2015	1	2	1	N	Y	N	N	N	N	N	N	12
90041	1	2015	0	2	1	N	N	N	N	Y	N	N	N	15
90042	1	2016	35	2	1	Y	 	 	 	 	 	 	 	12
90055	1	2014	4	5	7	Y	 	 	 	 	 	 	 	1
90055	2	2015	3	5	7	Y	 	 	 	 	 	 	 	1
90055	3	2016	4	5	7	Y	 	 	 	 	 	 	 	1
90057	1	2014	10	1	2	Y	 	 	 	 	 	 	 	2
90057	2	2015	10	1	2	Y	 	 	 	 	 	 	 	2
90057	3	2016	10	2	2	Y	 	 	 	 	 	 	 	2
90060	1	2016	1	2	1	N	N	N	N	N	N	Y	N	12
90061	1	2014	9	3	2	Y	 	 	 	 	 	 	 	2
90061	2	2015	9	3	2	Y	 	 	 	 	 	 	 	2
90061	3	2016	9	3	2	Y	 	 	 	 	 	 	 	2
90084	1	2016	35	2	1	N	N	N	Y	N	N	N	N	12
90085	1	2015	30	5	6	N	N	N	N	N	N	Y	N	1
100058	1	2013	2	1	2	N	Y	N	N	N	N	N	N	2
110005	1	2016	1	4	1	N	Y	N	N	N	N	N	N	4
110008	1	2016	1	5	4	N	N	N	Y	N	N	N	N	12
110014	1	2015	1	2	2	Y	 	 	 	 	 	 	 	12
110015	1	2015	1	2	1	Y	 	 	 	 	 	 	 	12
110020	1	2015	0	2	1	N	N	N	N	Y	N	N	N	15
110024	1	2016	1	2	2	N	N	Y	N	N	N	N	N	12
110033	1	2016	1	2	1	Y	 	 	 	 	 	 	 	12
110036	1	2014	3	3	1	Y	 	 	 	 	 	 	 	1
110036	2	2015	11	4	4	Y	 	 	 	 	 	 	 	1
110038	1	2015	0	2	1	Y	 	 	 	 	 	 	 	1
110039	1	2015	1	1	1	N	N	Y	Y	N	N	Y	N	12
110045	1	2013	1	2	1	N	N	N	N	N	N	N	Y	10
110050	1	2014	1	2	3	N	N	Y	Y	N	N	N	N	12
110050	2	2015	1	2	3	N	N	Y	Y	N	N	N	N	12
110050	3	2016	1	2	3	N	N	Y	Y	N	N	N	N	12
110063	1	2016	1	3	1	N	Y	N	N	N	N	N	N	1
110066	1	2014	0	2	4	Y	 	 	 	 	 	 	 	2
110075	1	2014	31	2	1	Y	 	 	 	 	 	 	 	12
110076	1	2015	12	2	1	Y	 	 	 	 	 	 	 	2
110079	1	2015	1	1	1	N	N	N	N	N	N	Y	N	15
110091	1	2014	6	5	1	N	Y	Y	N	N	N	N	N	2
110096	1	2015	1	3	1	N	Y	N	N	N	N	N	N	12
120001	1	2016	2	2	1	N	N	Y	Y	N	N	N	N	12
120004	1	2015	1	4	6	N	Y	Y	Y	N	N	N	N	15
120011	1	2014	0	2	2	N	Y	Y	N	N	N	N	N	2
120017	1	2014	3	5	4	N	Y	Y	Y	N	N	N	N	5
120019	1	2014	1	2	1	Y	 	 	 	 	 	 	 	1
120026	1	2013	0	2	4	N	N	Y	Y	N	N	N	N	2
120036	1	2014	1	4	6	N	N	N	Y	N	N	N	N	12
120036	2	2015	1	4	6	N	N	N	Y	N	N	N	N	12
120042	1	2015	0	2	1	N	N	N	N	Y	N	N	N	15
120046	1	2016	1	2	1	N	N	N	N	N	N	Y	N	12
120054	1	2016	5	5	1	Y	 	 	 	 	 	 	 	1
120062	1	2016	1	2	1	Y	 	 	 	 	 	 	 	12
120078	1	2014	10	4	4	N	Y	Y	N	N	N	N	N	2
120078	2	2015	10	5	4	N	Y	Y	N	N	N	N	N	2
120078	3	2016	1	4	4	N	Y	Y	N	N	N	N	N	12
120080	1	2016	0	4	2	N	N	N	N	N	N	N	Y	1
120092	1	2014	8	4	6	N	Y	Y	N	N	N	N	N	5
120100	1	2015	1	4	6	N	N	Y	N	N	N	N	N	12
120101	1	2014	2	2	2	Y	 	 	 	 	 	 	 	12
120101	2	2015	2	2	2	Y	 	 	 	 	 	 	 	12
120101	3	2016	2	2	2	Y	 	 	 	 	 	 	 	12
130004	1	2016	0	4	5	N	N	N	N	N	N	N	Y	1
130032	1	2014	40	4	5	N	Y	Y	N	N	N	N	N	5
130032	2	2015	35	4	5	N	Y	Y	N	N	N	N	N	5
130032	3	2016	30	4	5	N	N	Y	N	N	N	N	N	5
130036	1	2016	1	4	1	N	Y	Y	N	N	N	N	N	5
130045	1	2015	46	4	1	Y	 	 	 	 	 	 	 	12
130049	1	2016	7	4	6	Y	 	 	 	 	 	 	 	1
130053	1	2015	1	3	1	Y	 	 	 	 	 	 	 	12
130058	1	2016	4	4	1	Y	 	 	 	 	 	 	 	2
130067	1	2016	1	4	6	Y	 	 	 	 	 	 	 	1
130075	1	2016	0	4	2	N	N	N	Y	N	N	N	N	1
140006	1	2015	1	2	2	N	N	Y	Y	N	N	N	N	15
140040	1	2014	0	4	7	Y	 	 	 	 	 	 	 	2
140041	1	2016	0	2	1	N	N	N	Y	N	N	N	N	2
140043	1	2016	31	4	4	N	N	N	Y	N	N	N	N	15
150017	1	2016	2	4	6	N	Y	Y	N	N	N	N	N	1
150017	2	2016	3	3	2	Y	 	 	 	 	 	 	 	1
150018	1	2016	6	2	4	Y	 	 	 	 	 	 	 	2
150062	1	2015	10	1	1	Y	 	 	 	 	 	 	 	2
150075	1	2016	2	1	1	Y	 	 	 	 	 	 	 	1
150084	1	2015	32	3	1	N	Y	Y	Y	N	N	N	N	12
150099	1	2016	3	2	3	Y	 	 	 	 	 	 	 	2
160014	1	2014	0	1	1	N	N	N	N	Y	N	N	N	15
160038	1	2015	32	2	1	Y	 	 	 	 	 	 	 	1
160046	1	2013	0	4	1	N	N	N	N	N	N	Y	N	2
160067	1	2016	5	3	6	Y	 	 	 	 	 	 	 	1
160070	1	2014	0	1	1	N	N	Y	N	N	N	N	N	5
160076	1	2014	0	1	1	N	N	N	N	N	N	Y	N	5
160084	1	2016	5	3	6	N	Y	Y	Y	N	N	N	N	2
160091	1	2014	1	3	2	N	N	N	N	N	N	N	Y	1
170014	1	2016	5	4	7	N	N	N	N	N	N	N	Y	1
170014	2	2015	12	4	7	N	N	N	N	N	N	N	Y	1
170014	3	2014	12	4	7	N	N	N	N	N	N	N	Y	1
170014	4	2013	12	4	7	N	N	N	N	N	N	N	Y	1
170018	1	2014	1	3	6	N	Y	N	N	N	N	N	Y	5
170038	1	2016	2	3	6	N	N	N	N	N	N	N	Y	1
170038	2	2013	2	3	6	N	N	N	N	N	N	N	Y	1
170043	1	2014	10	2	1	Y	 	 	 	 	 	 	 	2
170044	1	2016	1	3	6	N	N	N	N	N	N	N	Y	1
170052	1	2016	2	2	4	Y	 	 	 	 	 	 	 	1
170062	1	2016	2	2	4	N	N	N	N	N	N	Y	N	1
170063	1	2015	1	2	1	N	Y	Y	N	N	N	N	N	1
170064	1	2016	0	1	1	Y	 	 	 	 	 	 	 	15
170066	1	2016	1	2	4	N	N	N	N	N	N	N	Y	1
170076	1	2014	8	3	6	N	N	N	N	N	N	N	Y	1
170078	1	2016	3	2	1	N	Y	N	N	N	N	N	N	5
170078	2	2015	1	2	1	N	Y	N	N	N	N	N	N	5
170078	3	2014	2	2	1	N	Y	N	N	N	N	N	N	5
170078	4	2013	1	2	1	N	Y	N	N	N	N	N	N	5
170092	1	2016	8	2	1	Y	 	 	 	 	 	 	 	2
170092	2	2015	10	2	1	Y	 	 	 	 	 	 	 	2
170092	3	2014	10	2	1	Y	 	 	 	 	 	 	 	2
170094	1	2016	0	3	1	Y	 	 	 	 	 	 	 	15
180004	1	2016	0	3	6	N	Y	Y	N	N	N	N	N	5
180004	2	2015	10	3	6	N	Y	Y	N	N	N	N	N	5
180004	3	2014	10	3	6	N	Y	Y	N	N	N	N	N	5
180007	1	2016	6	3	6	Y	 	 	 	 	 	 	 	1
180007	2	2015	7	3	6	Y	 	 	 	 	 	 	 	1
180018	1	2016	5	2	2	Y	 	 	 	 	 	 	 	2
180018	2	2015	10	2	2	Y	 	 	 	 	 	 	 	2
180018	3	2014	10	2	2	Y	 	 	 	 	 	 	 	2
180019	1	2016	2	3	6	N	Y	Y	Y	N	N	N	N	5
180019	2	2015	12	3	6	N	Y	Y	Y	N	N	N	N	5
180021	1	2015	8	4	1	Y	 	 	 	 	 	 	 	1
180021	2	2014	6	3	1	Y	 	 	 	 	 	 	 	1
180021	3	2013	2	4	1	Y	 	 	 	 	 	 	 	1
180026	1	2014	10	2	1	N	Y	Y	N	N	N	N	N	1
180026	2	2013	8	2	1	N	Y	Y	N	N	N	N	N	1
180027	1	2014	12	3	6	N	Y	Y	Y	N	N	N	N	5
180027	2	2015	5	3	6	N	N	Y	Y	N	N	N	N	5
180038	1	2015	0	3	6	N	Y	Y	Y	N	N	N	N	5
180039	1	2016	8	3	1	Y	 	 	 	 	 	 	 	1
180039	2	2015	10	3	1	Y	 	 	 	 	 	 	 	1
180040	1	2016	9	2	1	Y	 	 	 	 	 	 	 	15
180047	1	2016	0	3	1	Y	 	 	 	 	 	 	 	2
180047	2	2015	12	3	1	Y	 	 	 	 	 	 	 	2
180047	3	2014	12	3	1	Y	 	 	 	 	 	 	 	2
180050	1	2015	11	3	2	Y	 	 	 	 	 	 	 	1
180053	1	2016	1	3	6	N	Y	Y	N	N	N	N	N	5
180053	2	2015	1	3	6	N	Y	Y	N	N	N	N	N	5
180056	1	2016	1	2	2	Y	 	 	 	 	 	 	 	1
180059	1	2016	0	1	1	Y	 	 	 	 	 	 	 	2
180059	2	2015	10	1	1	Y	 	 	 	 	 	 	 	2
180059	3	2014	6	1	1	Y	 	 	 	 	 	 	 	2
180060	1	2016	5	2	1	Y	 	 	 	 	 	 	 	2
180060	2	2015	10	2	1	Y	 	 	 	 	 	 	 	2
180060	3	2014	10	2	1	Y	 	 	 	 	 	 	 	2
180060	4	2013	2	2	1	Y	 	 	 	 	 	 	 	2
180061	1	2016	6	2	1	N	Y	N	N	N	N	N	N	15
180061	2	2015	8	3	1	N	Y	N	N	N	N	N	N	15
180061	3	2014	6	3	1	N	Y	N	N	N	N	N	N	15
180063	1	2014	5	3	6	N	Y	Y	N	N	N	N	N	5
180063	2	2015	8	2	6	N	Y	Y	N	N	N	N	N	5
180063	3	2016	8	3	1	N	Y	Y	N	N	N	N	N	5
180064	1	2016	2	2	4	Y	 	 	 	 	 	 	 	1
180066	1	2015	2	4	4	N	Y	Y	Y	N	N	N	N	5
180066	2	2014	6	2	2	N	Y	Y	Y	N	N	N	N	5
180067	1	2016	0	2	1	Y	 	 	 	 	 	 	 	2
180067	2	2015	10	2	1	Y	 	 	 	 	 	 	 	2
180067	3	2014	10	2	1	Y	 	 	 	 	 	 	 	2
180067	4	2013	6	2	1	Y	 	 	 	 	 	 	 	2
180069	1	2013	2	2	1	Y	 	 	 	 	 	 	 	2
180070	1	2016	1	1	1	N	N	N	N	N	N	N	Y	1
180071	1	2016	0	2	1	Y	 	 	 	 	 	 	 	15
180084	1	2016	0	3	1	Y	 	 	 	 	 	 	 	15
180085	1	2016	1	1	1	N	Y	N	N	N	N	N	N	5
180086	1	2016	10	3	1	N	N	N	N	N	N	N	Y	2
180086	2	2015	12	3	1	N	N	N	N	N	N	N	Y	2
180086	3	2014	6	3	1	N	N	N	N	N	N	N	Y	2
180087	1	2016	6	3	6	Y	 	 	 	 	 	 	 	2
180087	2	2015	10	3	6	Y	 	 	 	 	 	 	 	2
180088	1	2016	0	2	1	Y	 	 	 	 	 	 	 	2
180094	1	2016	0	2	1	Y	 	 	 	 	 	 	 	12
180098	1	2016	4	2	4	Y	 	 	 	 	 	 	 	2
180098	2	2015	10	2	4	Y	 	 	 	 	 	 	 	2
180098	3	2014	10	2	4	Y	 	 	 	 	 	 	 	2
180098	4	2013	2	2	4	Y	 	 	 	 	 	 	 	2
190005	1	2016	1	2	4	Y	 	 	 	 	 	 	 	1
190008	1	2014	3	2	4	Y	 	 	 	 	 	 	 	15
190009	1	2016	2	3	6	N	Y	N	N	N	N	N	N	1
190013	1	2016	5	3	2	Y	 	 	 	 	 	 	 	2
190013	2	2015	10	2	2	Y	 	 	 	 	 	 	 	2
190013	3	2014	10	2	2	Y	 	 	 	 	 	 	 	2
190013	4	2013	1	2	2	Y	 	 	 	 	 	 	 	2
190014	1	2014	11	2	1	N	Y	Y	Y	N	N	N	N	5
190029	1	2016	6	2	4	Y	 	 	 	 	 	 	 	2
190029	2	2015	10	2	2	N	Y	Y	N	N	N	N	N	2
190029	3	2014	10	4	1	N	Y	Y	N	N	N	N	N	2
190031	1	2016	6	3	4	Y	 	 	 	 	 	 	 	2
190031	2	2015	10	3	4	Y	 	 	 	 	 	 	 	2
190031	3	2014	10	3	4	Y	 	 	 	 	 	 	 	2
190035	1	2014	4	2	1	N	Y	Y	Y	N	N	N	N	2
190043	1	2016	0	2	2	Y	 	 	 	 	 	 	 	15
190053	1	2016	8	3	1	N	N	N	N	Y	N	N	N	1
190053	2	2015	12	4	1	Y	 	 	 	 	 	 	 	15
190055	1	2016	6	2	2	Y	 	 	 	 	 	 	 	2
190055	2	2015	10	2	2	Y	 	 	 	 	 	 	 	2
190055	3	2014	10	2	2	Y	 	 	 	 	 	 	 	2
190057	1	2016	1	4	4	Y	 	 	 	 	 	 	 	15
190057	2	2016	7	2	1	Y	 	 	 	 	 	 	 	15
190071	1	2013	0	4	3	Y	 	 	 	 	 	 	 	2
190074	1	2015	4	1	1	N	Y	Y	N	N	N	N	N	9
190078	1	2014	2	2	4	N	N	N	N	N	N	Y	N	15
190085	1	2015	10	2	1	Y	 	 	 	 	 	 	 	2
190085	2	2016	6	2	1	Y	 	 	 	 	 	 	 	2
190095	1	2016	0	2	1	Y	 	 	 	 	 	 	 	15
200010	1	2015	1	3	1	N	N	N	N	N	Y	N	N	10
200033	1	2015	2	1	2	N	Y	Y	N	N	N	N	N	12
200033	2	2016	9	1	2	N	Y	Y	N	N	N	N	N	12
200048	1	2014	0	2	6	N	Y	Y	Y	N	N	N	N	2
200064	1	2016	8	2	2	Y	 	 	 	 	 	 	 	2
200064	2	2015	12	2	2	Y	 	 	 	 	 	 	 	2
200064	3	2014	12	2	2	Y	 	 	 	 	 	 	 	2
