CHILDID	CROPID	CROP	QNTHARV	QNTUNIT	ESTVLCRP	VLCRSLD	CROPCOST
VN031002	1	80	300000	1	150000	150000	50000
VN031002	2	21	0	1	-99	-99	0
VN031002	3	99	0	1	-99	-99	0
VN031003	1	1	500	1	1500	0	800
VN031004	1	80	50000	1	25000	25000	10000
VN031005	1	80	320000	1	140000	140000	57000
VN031005	2	15	180	1	2100	2100	120
VN031005	3	45	150	1	650	0	0
VN031005	4	69	70	1	80	0	0
VN031006	1	80	400000	1	12000	12000	7000
VN031006	2	15	800	1	4000	4000	2000
VN031006	3	85	1500	1	3000	1000	500
VN031007	1	80	140000	1	75000	75000	25000
VN031008	1	80	60000	1	20600	20500	6800
VN031008	2	15	800	1	2200	2000	300
VN031008	3	85	1000	1	1100	1000	100
VN031009	1	1	2000	1	4500	0	1200
VN031009	2	15	450	1	3200	3200	1000
VN031009	3	60	870	1	6200	6000	1300
VN031009	4	69	30	1	40	0	0
VN031009	5	45	300	1	1200	0	200
VN031010	1	80	24000	1	12000	12000	5000
VN031010	2	60	35	1	300	300	200
VN031010	3	25	60	1	450	450	200
VN031011	1	80	320000	1	100000	100000	60000
VN031011	2	44	2500	1	5000	5000	2000
VN031012	1	80	50000	1	10000	10000	8000
VN031013	1	80	20000	1	7500	7500	0
VN031013	2	25	15	1	60	0	0
VN031018	1	80	160000	1	48000	48000	21000
VN031018	2	31	8000	1	0	0	300
VN031018	3	1	700	1	1800	0	400
VN031018	4	45	300	1	0	77	77
VN031020	1	1	336	1	700	0	360
VN031020	2	60	87	1	410	410	100
VN031021	1	80	12000	1	6000	6000	1000
VN031023	1	80	140000	1	50000	50000	8500
VN031023	2	15	500	1	2500	2400	0
VN031023	3	44	300	1	540	540	0
VN031023	4	15	20	1	50	0	0
VN031023	5	116	30	4	15	0	0
VN031023	6	126	40	4	20	0	0
VN031024	1	1	80	1	160	0	60
VN031024	2	15	1200	1	4800	400	1200
VN031024	3	80	70000	1	21000	21000	10000
VN031025	1	80	60000	1	21000	21000	3800
VN031025	2	15	600	1	2400	2400	0
VN031025	3	85	700	1	950	900	0
VN031025	4	1	300	1	630	0	0
VN031025	5	45	0	99	0	0	0
VN031025	6	4	70	5	80	0	0
VN031025	7	25	80	1	130	0	0
VN031027	1	15	1250	1	3200	3200	200
VN031027	2	44	400	1	700	0	55
VN031027	3	1	300	1	750	0	100
VN031027	4	69	300	1	400	-77	0
VN031028	1	15	750	1	1400	1400	40
VN031028	2	1	500	1	1200	0	120
VN031028	3	69	300	1	240	0	15
VN031029	1	80	260000	1	96000	96000	28000
VN031029	2	15	2500	1	4500	4000	95
VN031029	3	1	1000	1	2400	0	170
VN031029	4	45	320	1	620	0	0
VN031031	1	15	700	1	4200	4200	70
VN031031	2	1	420	1	1150	0	170
VN031031	3	69	200	1	210	0	0
VN031032	1	80	150000	1	70000	70000	21000
VN031032	2	15	350	1	1500	1500	30
VN031032	3	45	300	1	450	0	0
VN031033	1	80	85000	1	31000	31000	13000
VN031033	2	15	700	1	4400	4000	240
VN031033	3	1	900	1	2300	0	180
VN031034	1	15	850	1	1800	1600	680
VN031034	2	25	230	1	230	500	0
VN031034	3	93	4	1	4	0	-77
VN031035	1	80	83000	1	24000	15000	9000
VN031035	2	1	200	1	400	0	100
VN031038	1	31	24000	1	12000	0	1000
VN031038	2	85	20000	1	14000	13000	6000
VN031038	3	15	1100	1	8000	8000	1200
VN031039	1	80	190000	1	62000	62000	14000
VN031039	2	45	350	1	4200	0	0
VN031040	1	4	25	5	38	0	0
VN031041	1	1	800	1	1600	0	400
VN031041	2	45	50	1	150	0	15
VN031041	3	110	0	99	0	0	0
VN031041	4	25	0	99	0	0	0
VN031043	1	44	100	1	200	200	50
VN031043	2	15	100	1	200	200	50
VN031043	3	60	100	1	400	390	100
VN031044	1	15	2000	1	13000	10000	500
VN031044	2	80	90000	1	32000	32000	13000
VN031044	3	85	4000	1	2400	2400	300
VN031044	4	4	250	1	750	0	0
VN031044	5	69	50	1	120	0	0
VN031045	1	31	3600	1	1800	0	240
VN031045	2	126	180	1	90	0	20
VN031045	3	10	30	1	30	0	5
VN031047	1	1	1600	1	4000	500	700
VN031047	2	71	300	1	1200	1200	400
VN031047	3	45	0	1	0	0	0
VN031047	4	4	24	5	80	20	0
VN031047	5	25	0	1	0	0	0
VN031049	1	114	5	1	30	0	-77
VN031049	2	25	10	1	40	0	-77
VN031049	3	21	0	99	0	0	0
VN031049	4	15	200	1	1300	1300	300
VN031049	5	80	0	99	0	0	0
VN031049	6	60	200	1	2000	2000	500
VN031050	1	15	300	1	900	900	1080
VN031052	1	80	240000	1	120000	120000	52000
VN031052	2	1	450	1	1100	0	250
VN031052	3	15	800	1	800	800	100
VN031052	4	85	280	1	240	0	25
VN031052	5	69	300	1	500	0	15
VN031058	1	15	200	1	1800	1800	100
VN031059	1	80	80000	1	24000	24000	10000
VN031059	2	1	180	1	3900	0	50
VN031059	3	15	30	1	300	0	0
VN031059	4	69	200	1	300	0	0
VN031060	1	80	280000	1	60000	60000	25000
VN031060	2	1	400	1	1000	0	250
VN031060	3	85	400	1	3700	0	150
VN031060	4	15	200	1	2400	2400	200
VN031060	5	45	350	1	1500	0	0
VN031060	6	69	30	1	35	0	0
VN031079	1	80	30000	1	6000	5000	1000
VN031096	1	80	280000	1	86000	86000	27000
VN031096	2	15	580	1	1250	1250	55
VN031096	3	1	700	1	1800	0	150
VN031096	4	45	170	1	230	0	0
VN031098	1	80	5000	1	16000	16000	6000
VN031098	2	45	0	1	-99	-99	0
VN031098	3	54	5	1	20	0	0
VN031098	4	1	1000	1	2000	0	1000
VN031108	1	80	100000	1	35000	35000	6000
VN031108	2	1	400	1	800	0	200
VN031108	3	45	0	99	-99	-99	-99
VN031108	4	4	42	5	45	0	0
VN031108	5	126	60	4	30	0	0
VN031134	1	15	450	1	2100	2100	100
VN031134	2	1	1000	1	2400	0	300
VN031134	3	45	120	1	180	0	0
VN041005	1	109	0	2	0	0	0
VN041007	1	109	0	2	0	0	0
VN041014	1	109	0	99	0	0	0
VN041019	1	21	0	3	0	0	0
VN041042	1	1	1050	1	2.5	0	60
VN041043	1	109	400	2	450	450	0
VN041043	2	126	500	4	25	0	5
VN041043	3	1	1600	1	3800	1000	600
VN041049	1	109	150	2	390	400	0
VN041109	1	77	0	3	0	0	0
VN041110	1	109	100	2	2.5	2.5	0
VN041130	1	109	500	2	500	500	0
VN051002	1	109	2000	2	2000	1900	500
VN051003	1	109	2500	2	3000	1000	300
VN051004	1	109	1200	2	1200	1000	80
VN051005	1	45	0	99	-99	-99	0
VN051005	2	109	0	99	-99	-99	0
VN051011	1	1	1500	1	3900	0	5800
VN051019	1	45	0	1	-99	-99	0
VN051019	2	25	10	1	15	0	0
VN051024	1	109	720	2	720	700	150
VN051026	1	111	4000	1	16000	15800	3500
VN051027	1	111	500	1	3000	2500	1000
VN051027	2	4	100	1	200	100	0
VN051029	1	1	100	1	300	0	100
VN051031	1	111	2500	1	7500	7000	9000
VN051032	1	111	0	99	-99	-99	0
VN051032	2	109	0	99	-99	-99	0
VN051032	3	4	70	1	100	0	0
VN051033	1	111	1600	1	6400	6000	1500
VN051033	2	109	0	99	-99	-99	0
VN051033	3	25	0	99	-99	-99	0
VN051033	4	1	2000	1	4500	0	3000
VN051034	1	109	0	99	-99	-99	0
VN051034	2	4	1640	1	1640	1412	0
VN051034	3	25	24	1	96	0	0
VN051035	1	111	20000	1	70900	70000	20000
VN051036	1	1	1700	1	4600	2500	2300
VN051036	2	111	100	1	900	700	100
VN051037	1	109	0	99	-99	-99	0
VN051037	2	1	12000	1	36000	30000	27000
VN051037	3	111	1000	1	3000	3000	800
VN051038	1	111	550	1	2320	2000	800
VN051038	2	25	0	99	-99	-99	0
VN051040	1	111	50	1	150	150	700
VN051041	1	111	1070	1	3215	3200	1500
VN051041	2	72	420	1	1050	1000	1000
VN051041	3	74	805	1	1208	1200	800
VN051041	4	1	2160	1	4536	2100	3600
VN051042	1	1	4500	1	10125	8500	7000
VN051043	1	109	1200	2	1800	1000	500
VN051043	2	111	400	1	1250	1100	500
VN051043	3	74	230	1	900	0	100
VN051044	1	109	1800	2	3600	3200	280
VN051044	2	1	1600	1	3600	0	3000
VN051045	1	111	600	1	1500	1480	3000
VN051045	2	109	0	1	-99	-99	-99
VN051046	1	111	600	1	1080	900	150
VN051047	1	111	4100	1	17400	17000	4000
VN051047	2	4	72	1	120	0	0
VN051048	1	111	5005	1	15220	15200	3500
VN051048	2	25	0	1	-99	-99	-99
VN051048	3	1	1800	1	4680	0	3120
VN051049	1	111	300	1	700	650	400
VN051049	2	109	0	99	-99	-99	0
VN051050	1	111	76	1	460	400	140
VN051050	2	109	0	99	-99	-99	0
VN051050	3	4	45	1	120	50	0
VN051050	4	25	10	1	20	0	0
VN051050	5	74	5	1	10	0	0
VN051070	1	45	100	1	450	0	200
VN051070	2	4	60	1	120	0	0
VN051070	3	74	20	2	40	0	0
VN061003	1	1	400	1	1200	0	200
VN061008	1	1	200	1	500	0	300
VN061016	1	45	168	1	840	600	0
VN061017	1	1	1400	1	4900	2100	4000
VN061021	1	1	200	1	700	0	105
VN061036	1	1	1000	1	3000	1200	1000
VN061038	1	1	2040	1	6120	1850	1500
VN061040	1	109	0	99	-99	-99	0
VN061040	2	111	166	1	300	300	250
VN061040	3	1	9600	1	23520	19560	11600
VN061041	1	1	2400	1	6000	4000	1500
VN061041	2	109	0	99	-99	-99	0
VN061044	1	1	6780	1	13560	9560	11400
VN061044	2	109	2490	2	4731	4651	1740
VN061044	3	4	200	5	360	250	0
VN061046	1	1	4800	1	12000	7000	7500
VN061046	2	109	0	99	0	0	-99
VN061047	1	111	3334	1	10200	10000	5000
VN061047	2	1	6000	1	13500	11250	5600
VN061047	3	109	500	2	1500	1500	200
VN061048	1	1	7200	1	18000	12500	9225
VN061057	1	1	120	1	360	0	325
VN061104	1	109	1727	2	3800	3600	540
VN061104	2	111	0	99	0	0	0
VN061104	3	25	0	99	0	0	0
VN071002	1	109	140	2	210	200	0
VN071002	2	4	301	1	770	0	0
VN071002	3	111	100	1	350	170	0
VN071003	1	74	500	1	700	100	100
VN071003	2	44	50	1	200	0	30
VN071005	1	111	210	1	1050	1000	700
VN071005	2	109	750	2	2000	1940	0
VN071006	1	109	60	2	120	0	0
VN071006	2	111	10	1	20	0	0
VN071007	1	1	6800	1	20400	17800	11500
VN071007	2	109	2160	2	4320	4000	400
VN071007	3	31	2000	1	400	0	0
VN071007	4	51	1650	1	8250	8000	2000
VN071007	5	25	1300	1	11700	11400	2000
VN071008	1	111	400	1	550	450	200
VN071008	2	109	0	99	-99	-99	0
VN071008	3	4	21	1	21	0	0
VN071011	1	1	1500	1	3750	1500	1800
VN071011	2	109	6000	2	7500	2000	150
VN071011	3	111	6	1	20	0	0
VN071011	4	4	75	1	180	100	0
VN071013	1	111	3000	1	6000	5800	1500
VN071013	2	25	2500	1	7500	7300	3500
VN071014	1	111	3000	1	6000	5950	1400
VN071014	2	25	3000	1	12000	11950	2500
VN071014	3	51	200	1	650	620	100
VN071014	4	55	1	1	8	0	0
VN071015	1	111	8100	1	16200	16000	5000
VN071015	2	25	3050	1	6100	6000	700
VN071015	3	25	3000	1	15000	14800	1200
VN071015	4	126	120	4	252	0	30
VN071015	5	74	20	1	300	0	25
VN071018	1	111	2500	1	4060	4000	4000
VN071018	2	25	300	1	1500	1400	1000
VN071018	3	109	1320	1	2036	2000	0
VN071018	4	93	10	1	20	8	50
VN071019	1	111	4000	1	7400	7000	10000
VN071019	2	109	0	1	-99	-99	-99
VN071020	1	51	1000	1	5000	4800	1500
VN071020	2	25	100	1	800	700	500
VN071020	3	126	600	1	600	0	100
VN071021	1	111	1000	1	2200	2000	500
VN071021	2	4	500	1	850	700	70
VN071021	3	25	30	1	390	360	20
VN071023	1	111	2300	1	6500	6450	2200
VN071023	2	51	20	1	100	0	20
VN071024	1	111	20000	1	305000	304000	180000
VN071024	2	25	1000	1	20000	19000	3000
VN071026	1	51	150	1	450	400	1000
VN071026	2	25	0	1	0	0	0
VN071026	3	74	400	1	400	0	0
VN071027	1	51	0	1	0	0	0
VN071028	1	111	200	1	400	350	750
VN071028	2	51	1300	1	4550	4000	1500
VN071028	3	25	100	1	1100	1000	700
VN071028	4	109	0	99	0	0	0
VN071028	5	110	0	99	0	0	0
VN071028	6	4	100	1	200	0	0
VN071029	1	111	30	1	100	0	100
VN071029	2	25	30	1	90	0	100
VN071029	3	51	0	1	0	0	0
VN071031	1	4	100	1	200	100	0
VN071031	2	51	100	1	400	350	0
VN071031	3	74	350	1	600	0	100
VN071032	1	111	1000	1	1900	1800	600
VN071032	2	109	30	2	60	0	0
VN071032	3	4	36	6	252	150	0
VN071033	1	109	130	2	260	200	0
VN071034	1	51	365	1	845	800	150
VN071034	2	111	90	1	855	760	250
VN071034	3	74	32	1	114	54	300
VN071035	1	25	5000	1	40000	39800	10000
VN071035	2	51	500	1	2000	1900	2000
VN071035	3	4	25	1	50	50	0
VN071037	1	51	40	1	148	111	84
VN071037	2	111	100	1	400	350	150
VN071037	3	25	0	99	-99	-99	0
VN071038	1	111	2200	1	2200	2000	700
VN071038	2	25	1100	1	7100	7000	1000
VN071038	3	109	90	2	216	190	25
VN071038	4	74	180	1	500	0	100
VN071039	1	25	1000	1	2700	2450	1000
VN071039	2	111	9000	1	23500	23000	5500
VN071041	1	111	2000	1	4000	3800	1500
VN071041	2	4	400	1	400	200	500
VN071041	3	51	300	1	1500	1300	800
VN071041	4	126	150	1	150	0	30
VN071041	5	74	100	1	160	0	40
VN071042	1	111	20	1	50	0	1200
VN071043	1	111	6000	1	10100	10000	1000
VN071043	2	74	300	1	300	0	-77
VN071044	1	111	5000	1	10200	10000	4000
VN071044	2	4	70	1	100	0	20
VN071044	3	25	20	1	100	0	50
VN071045	1	25	1000	1	6000	5800	1000
VN071045	2	111	0	1	0	0	0
VN071045	3	4	200	1	400	200	50
VN071045	4	74	300	1	350	0	60
VN071046	1	25	300	1	1800	1200	200
VN071046	2	4	240	1	360	300	15
VN071046	3	111	0	1	0	0	0
VN071047	1	25	35	1	1650	1500	1000
VN071047	2	74	10	1	50	0	700
VN071047	3	51	0	99	-99	-99	0
VN071048	1	25	5000	1	13000	12700	10000
VN071048	2	111	100	1	500	120	0
VN071048	3	51	100	1	240	0	0
VN071048	4	4	180	1	350	270	0
VN071049	1	111	950	1	3100	3000	1000
VN071049	2	74	220	1	1060	1000	300
VN071049	3	4	415	1	584	500	0
VN071073	1	111	3500	1	7000	6800	1500
VN071073	2	25	0	99	-99	-99	0
VN071073	3	74	200	1	300	0	0
VN071091	1	111	3000	1	15300	15000	10000
VN071091	2	25	1200	1	8500	8000	3000
VN071091	3	4	500	1	1000	1000	200
VN071091	4	25	2150	1	3200	3000	500
VN071091	5	51	0	1	-99	-99	0
VN071097	1	111	1250	1	1500	1490	350
VN071097	2	4	30	1	45	0	0
VN071097	3	51	100	1	420	250	30
VN071120	1	111	2000	1	12000	11800	4000
VN071120	2	109	2400	2	4800	4650	1000
VN071121	1	111	1100	1	1100	1000	500
VN071121	2	25	300	1	1200	1100	500
VN071121	3	51	120	1	480	400	200
VN081003	1	1	1800	1	4500	3000	1800
VN081004	1	111	500	1	2250	2000	1100
VN081006	1	111	1000	1	5500	5000	400
VN081007	1	1	4800	1	12000	8400	6300
VN081007	2	111	1000	1	2500	2000	800
VN081007	3	109	0	88	0	0	0
VN081008	1	111	120	1	360	300	80
VN081010	1	111	550	1	3025	2750	100
VN081013	1	111	215	1	645	600	80
VN081017	1	111	600	1	2400	2300	850
VN081017	2	51	0	1	0	0	0
VN081018	1	51	312	1	2500	2000	515
VN081019	1	1	2040	1	7140	1500	3200
VN081020	1	99	700	1	1260	1200	300
VN081020	2	4	400	1	720	600	200
VN081024	1	111	2700	1	8960	8900	195
VN081026	1	111	615	1	1845	1800	58
VN081028	1	111	1355	1	4665	4600	610
VN081029	1	111	1000	1	3000	3000	1000
VN081029	2	25	0	99	0	0	0
VN081030	1	111	195	1	5600	5000	500
VN081030	2	45	0	99	0	0	0
VN081031	1	111	3000	1	16000	12000	2000
VN081032	1	109	580	 	1160	1100	0
VN081034	1	109	0	99	0	0	0
VN081034	2	25	0	99	0	0	0
VN081034	3	111	0	99	0	0	0
VN081036	1	109	1200	2	3600	3000	500
VN081036	2	25	0	99	0	0	0
VN081039	1	111	1000	1	5000	4800	1000
VN081041	1	109	1200	2	1800	1600	500
VN081041	2	4	100	1	150	0	0
VN081042	1	109	1200	2	2160	1900	100
VN081073	1	111	400	1	1200	1000	150
VN081092	1	1	1000	1	2500	2500	750
VN081105	1	111	500	1	1500	1400	200
VN081108	1	111	250	1	1000	800	500
VN081120	1	109	2400	10	6000	5950	1000
VN081145	1	109	1405	10	2107	2000	0
VN081150	1	4	150	5	300	200	50
VN081150	2	111	400	1	1000	800	400
VN091001	1	1	360	1	1640	0	200
VN091001	2	44	100	1	150	80	70
VN091001	3	85	0	1	0	0	0
VN091003	1	1	2000	1	5000	1500	500
VN091003	2	44	1000	1	2000	600	200
VN091003	3	15	60	1	300	150	0
VN091003	4	85	300	1	150	0	0
VN091003	5	116	60	1	120	30	0
VN091005	1	1	750	1	1775	0	60
VN091005	2	44	500	1	1200	600	49
VN091006	1	44	600	1	1200	0	270
VN091006	2	85	500	1	250	0	0
VN091006	3	52	50	1	300	0	36
VN091006	4	1	1700	1	4480	0	1000
VN091006	5	25	500	1	1500	1500	72
VN091008	1	1	2000	1	5000	1000	1500
VN091008	2	44	1000	1	1500	0	500
VN091008	3	85	1000	1	1000	0	0
VN091008	4	25	40	1	2000	2000	0
VN091008	5	74	0	1	-99	-99	-99
VN091009	1	1	2500	1	6250	2500	780
VN091009	2	44	1200	1	1200	0	50
VN091009	3	85	300	1	600	0	290
VN091009	4	116	730	1	1460	0	0
VN091010	1	1	1100	1	2750	0	2100
VN091010	2	85	600	1	600	0	0
VN091010	3	116	360	1	720	0	0
VN091011	1	1	1500	1	4500	0	360
VN091011	2	44	400	1	800	0	90
VN091011	3	85	200	1	200	0	0
VN091011	4	25	70	1	4200	4200	0
VN091012	1	25	100	1	6000	6000	0
VN091012	2	44	300	1	540	0	90
VN091012	3	1	1000	1	2500	0	800
VN091012	4	85	0	99	-99	-99	-99
VN091013	1	25	100	1	6000	6000	0
VN091013	2	44	500	1	900	0	100
VN091013	3	1	1000	1	2500	0	800
VN091014	1	25	50	1	2500	2500	0
VN091014	2	44	400	1	800	0	150
VN091014	3	1	1500	1	3750	0	400
VN091014	4	116	50	1	100	0	0
VN091014	5	80	30	1	150	0	0
VN091015	1	25	0	99	-99	-99	-99
VN091015	2	44	900	1	1800	0	200
VN091015	3	1	1750	1	4375	0	300
VN091015	4	116	30	1	60	0	0
VN091016	1	1	2000	1	5000	0	1000
VN091016	2	44	500	1	750	0	100
VN091016	3	85	300	1	150	0	0
VN091016	4	116	700	1	1400	0	40
VN091017	1	44	600	1	1200	0	90
VN091017	2	1	1000	1	2500	0	200
VN091017	3	116	50	1	100	0	0
VN091017	4	80	0	99	-99	-99	-99
VN091018	1	1	500	1	1500	0	100
VN091018	2	44	150	1	270	0	80
VN091018	3	25	25	1	1500	1500	0
VN091019	1	1	3000	1	9000	600	360
VN091019	2	44	1200	1	1800	0	300
VN091019	3	85	800	1	1500	0	0
VN091019	4	25	40	1	2400	2400	0
VN091019	5	116	720	1	1440	0	0
VN091020	1	1	6000	1	15000	0	1000
VN091020	2	44	300	1	540	0	50
VN091020	3	25	100	1	7000	7000	0
VN091020	4	80	400	1	400	0	0
VN091021	1	44	200	1	300	0	90
VN091021	2	1	300	1	750	0	180
VN091021	3	116	40	1	40	0	0
VN091022	1	25	100	1	200	0	10
VN091022	2	1	2000	1	5000	500	1000
VN091022	3	44	1000	1	1000	0	300
VN091022	4	85	800	1	400	0	50
VN091024	1	1	400	1	1000	0	250
VN091024	2	44	1200	1	2160	0	540
VN091024	3	85	3000	1	1500	0	0
VN091024	4	74	350	1	400	0	30
VN091024	5	25	150	1	3750	0	0
VN091025	1	1	1300	1	3380	0	610
VN091025	2	44	200	1	360	0	148
VN091025	3	69	80	1	120	0	28
VN091025	4	15	7	1	49	0	0
VN091025	5	4	80	1	60	0	0
VN091026	1	85	2000	1	1000	0	0
VN091026	2	44	600	1	600	50	0
VN091026	3	1	1500	1	3750	50	450
VN091027	1	1	1000	1	2500	0	370
VN091027	2	116	710	1	142	0	70
VN091028	1	1	3125	1	8125	0	2160
VN091028	2	44	300	1	600	0	90
VN091029	1	1	5250	1	13125	0	2500
VN091029	2	44	600	1	1200	0	250
VN091029	3	85	1000	1	500	0	50
VN091029	4	25	100	1	6000	0	100
VN091029	5	116	700	1	1400	0	0
VN091030	1	85	1000	1	500	0	0
VN091030	2	44	600	1	600	0	0
VN091030	3	1	1500	1	3750	1250	500
VN091031	1	1	1120	1	2780	0	570
VN091031	2	44	120	1	240	0	90
VN091031	3	85	400	1	400	0	0
VN091032	1	25	30	1	1800	1800	0
VN091032	2	1	1500	1	3750	0	600
VN091032	3	44	500	1	1000	0	200
VN091033	1	1	500	1	1500	0	100
VN091033	2	44	400	1	800	200	40
VN091033	3	85	600	1	600	0	0
VN091033	4	116	100	1	200	0	20
VN091036	1	44	500	1	750	0	150
VN091036	2	1	1000	1	3000	0	450
VN091036	3	25	20	1	1200	1200	0
VN091036	4	116	75	1	150	0	20
VN091037	1	44	400	1	480	0	100
VN091037	2	1	750	1	1800	0	500
VN091037	3	116	300	1	600	0	40
VN091039	1	1	4000	1	12000	0	450
VN091039	2	44	400	1	800	0	90
VN091039	3	25	20	1	600	600	0
VN091041	1	1	1000	1	2500	0	500
VN091041	2	44	600	1	720	0	100
VN091041	3	25	50	1	3000	3000	0
VN091041	4	116	500	1	1000	0	40
VN091042	1	1	1800	1	5400	0	380
VN091042	2	44	250	1	500	0	90
VN091042	3	25	80	1	4800	4800	0
VN091044	1	1	1000	1	2500	0	500
VN091044	2	44	800	1	1440	0	100
VN091044	3	15	200	1	-77	-77	-77
VN091044	4	25	60	1	4200	4200	0
VN091045	1	1	900	1	2700	0	340
VN091045	2	44	500	1	1000	0	90
VN091045	3	25	40	1	2400	2400	0
VN091049	1	1	750	1	2250	0	270
VN091049	2	44	600	1	1200	0	90
VN091049	3	25	10	1	600	600	0
VN091050	1	1	1000	1	3000	0	200
