CHILDID	SASSID	SASSET	NUMSASS	VALSASS	DECSASS
VN021094	1	30	1	12000	1
VN021094	2	5	1	1000	1
VN031001	1	1	3	100	2
VN031006	1	30	10	200	2
VN031009	1	1	3	370	80
VN031009	2	2	1	1100	80
VN031011	1	30	-99	-99	99
VN031012	1	1	3	50	1
VN031012	2	8	1	200	1
VN031020	1	1	4	110	1
VN031021	1	1	4	50	1
VN031021	2	8	1	500	1
VN031027	1	30	-99	-99	99
VN031028	1	13	4	230	3
VN031029	1	21	2	700	2
VN031031	1	30	-99	-99	99
VN031033	1	30	-99	-99	99
VN031035	1	1	3	180	1
VN031035	2	8	1	200	1
VN031036	1	30	3	1000	2
VN031037	1	23	3	1000	2
VN031039	1	1	4	350	80
VN031039	2	13	3	240	3
VN031039	3	25	1	7000	1
VN031041	1	8	1	700	1
VN031044	1	30	-99	-99	99
VN031045	1	8	1	200	2
VN031047	1	1	6	80	2
VN031047	2	3	1	50	90
VN031050	1	1	4	200	1
VN031050	2	8	1	500	1
VN031058	1	1	4	60	2
VN031079	1	30	2	50	5
VN031108	1	1	1	150	1
VN031134	1	13	4	520	1
VN041003	1	30	1	1500	1
VN041004	1	30	1	1000	1
VN041006	1	23	1	20	2
VN041007	1	30	10	11000	1
VN041009	1	31	7	3000	1
VN041011	1	30	4	50	2
VN041015	1	23	-77	100	2
VN041017	1	23	1	100	2
VN041019	1	23	1	70	2
VN041019	2	30	6	210	2
VN041021	1	23	1	2000	2
VN041022	1	30	2	1000	1
VN041024	1	15	77	77	2
VN041024	2	23	30	3000	2
VN041025	1	23	1	500	2
VN041026	1	30	1	17000	1
VN041027	1	31	1	15000	1
VN041028	1	23	2	150	4
VN041030	1	30	6	36	2
VN041037	1	15	2	2500	2
VN041038	1	30	1	50	2
VN041042	1	1	2	15	2
VN041043	1	1	5	55	80
VN041046	1	31	1	5000	1
VN041046	2	30	1	50	1
VN041047	1	30	2	1000	3
VN041047	2	30	1	400	3
VN041049	1	30	4	3200	1
VN041050	1	30	3	3000	1
VN041092	1	23	1	2000	2
VN041130	1	8	1	300	2
VN051003	1	1	3	60	18
VN051004	1	1	3	20	1
VN051005	1	15	7	500	3
VN051010	1	25	1	6000	5
VN051010	2	30	2	200	5
VN051011	1	3	1	100	1
VN051011	2	1	3	60	1
VN051015	1	25	1	12000	1
VN051016	1	25	1	3000	1
VN051017	1	23	3	150	2
VN051020	1	30	1	0	1
VN051025	1	5	1	400	1
VN051026	1	23	8	3000	2
VN051034	1	5	1	500	1
VN051034	2	3	2	800	1
VN051034	3	1	3	50	1
VN051035	1	31	1	5000	3
VN051035	2	23	41	1000	3
VN051036	1	15	8	850	2
VN051040	1	3	1	40	4
VN051042	1	15	3	1200	2
VN051045	1	21	1	150	2
VN051045	2	30	-99	50	2
VN051047	1	25	1	1000	1
VN051047	2	23	-77	0	1
VN051049	1	1	2	60	2
VN061004	1	30	1	500	1
VN061004	2	88	-99	-99	99
VN061004	3	88	-99	-99	99
VN061006	1	25	1	3000	1
VN061006	2	88	-99	-99	99
VN061006	3	88	-99	-99	99
VN061008	1	23	1	50	2
VN061009	1	23	4	1000	2
VN061013	1	1	2	15	2
VN061014	1	8	2	0	2
VN061017	1	1	3	15	1
VN061019	1	5	2	3600	1
VN061019	2	8	5	14900	1
VN061021	1	88	-99	-99	99
VN061021	2	88	-99	-99	99
VN061021	3	88	-99	-99	99
VN061026	1	23	2	40	2
VN061026	2	30	1	1000	2
VN061030	1	30	4	200	2
VN061031	1	23	4	60	2
VN061032	1	30	2	0	1
VN061037	1	23	10	100	3
VN061038	1	1	2	58	1
VN061038	2	30	1	115	2
VN061040	1	25	2	400	80
VN061040	2	88	-99	-99	99
VN061040	3	88	-99	-99	99
VN061041	1	88	-99	-99	99
VN061041	2	88	-99	-99	99
VN061041	3	88	-99	-99	99
VN061042	1	21	2	1400	2
VN061042	2	31	4	180	2
VN061046	103	3	1	200	3
VN061048	1	88	-99	-99	99
VN061048	2	88	-99	-99	99
VN061048	3	88	-99	-99	99
VN061049	1	88	-99	-99	99
VN061049	2	88	-99	-99	99
VN061049	3	88	-99	-99	99
VN061052	1	8	3	0	1
VN061079	1	13	2	0	1
VN061104	1	1	2	0	3
VN061104	2	3	1	65	3
VN071001	1	25	1	-77	3
VN071002	1	1	3	30	1
VN071003	1	1	4	80	1
VN071006	1	1	3	15	1
VN071007	1	25	1	8000	3
VN071008	1	1	3	100	1
VN071008	2	5	1	250	1
VN071009	1	30	7	9000	2
VN071013	1	30	10	300	2
VN071014	1	31	1	6000	1
VN071015	1	9	11	500	1
VN071020	1	1	5	100	3
VN071020	2	5	1	350	1
VN071024	1	23	9	5000	1
VN071031	1	1	2	60	1
VN071032	1	8	2	12	1
VN071034	1	5	1	200	1
VN071034	2	3	1	30	1
VN071034	3	1	5	30	1
VN071035	1	25	1	300	2
VN071035	2	23	5	450	2
VN071036	1	23	2	20	2
VN071037	1	5	1	1000	1
VN071037	2	3	1	100	1
VN071037	3	1	6	150	1
VN071044	1	30	-99	-99	99
VN071046	1	30	-99	-99	99
VN071048	1	15	17	1000	2
VN071073	1	25	1	4000	2
VN071091	1	8	2	200	1
VN071097	1	21	1	400	5
VN081003	1	3	1	50	2
VN081006	1	1	5	15	80
VN081007	1	15	1	-77	2
VN081010	1	1	2	0	2
VN081012	1	25	1	300	2
VN081022	1	25	1	3000	1
VN081026	1	1	2	26	1
VN081028	1	25	1	150	3
VN081030	1	5	1	-77	80
VN081030	2	1	3	-77	2
VN081031	1	31	1	10000	1
VN081034	1	1	1	80	1
VN081034	2	3	1	51	1
VN081036	1	30	10	-77	2
VN081041	1	15	10	100	2
VN081042	1	1	2	0	2
VN081092	1	1	2	0	1
VN081105	1	25	1	200	1
VN081120	1	1	3	40	1
VN081139	1	8	3	500	2
VN081145	1	25	1	200	3
VN081150	1	23	3	1500	2
VN081152	1	8	2	-77	1
VN091001	1	13	2	50	2
VN091005	1	1	4	20	80
VN091008	1	15	10	700	1
VN091009	1	30	1	8000	3
VN091024	1	15	3	250	2
VN091026	1	13	3	50	2
VN091027	1	15	3	250	2
VN091029	1	15	3	250	80
VN091032	1	1	2	10	1
VN091047	1	30	5	1000	1
VN091052	1	15	3	250	1
VN091053	1	15	13	550	1
VN091056	1	30	8	300	3
VN101005	1	1	5	150	2
VN101005	2	3	1	30	2
VN101005	3	5	1	300	2
VN101006	1	1	2	50	1
VN101010	1	30	10	800	1
VN101011	1	30	4	100	1
VN101013	1	30	3	500	1
VN101017	1	15	4	400	2
VN101019	1	23	4	12000	1
VN101020	1	2	2	2000	1
VN101021	1	30	8	4000	1
VN101022	1	15	5	5000	1
VN101025	1	30	1	50	3
VN101026	1	31	1	10000	1
VN101028	1	30	2	20000	1
VN101029	1	25	1	1500	3
VN101030	1	30	3	9000	1
VN101031	1	25	1	1500	1
VN101034	1	30	2	500	2
VN101035	1	30	2	15	1
VN101040	1	30	2	150	1
VN101041	1	13	3	50	1
VN101043	1	2	1	50	1
VN101044	1	13	2	50	90
VN101048	1	8	1	5000	4
VN101049	1	30	1	60	3
VN101051	1	1	6	300	3
VN101051	2	3	1	80	3
VN101051	3	6	1	300	3
VN101054	1	13	1	15	1
VN101059	1	23	1	50	2
VN101064	1	23	4	50	1
VN111001	1	30	3	1500	2
VN111008	1	88	-99	-99	99
VN111010	1	1	15	300	80
VN111011	1	88	-99	-99	99
VN111012	1	13	6	300	1
VN111012	2	88	99	99	99
VN111012	3	88	99	99	99
VN111014	1	30	7	1300	80
VN111015	1	21	3	4000	2
VN111015	2	88	-99	-99	99
VN111015	3	88	-99	-99	99
VN111016	1	1	4	60	80
VN111018	1	30	1	2500	1
VN111022	1	30	1	6000	80
VN111033	1	1	5	200	80
VN111033	2	8	4	500	80
VN111035	1	31	20	600	1
VN111039	1	13	10	120	1
VN111039	2	88	-99	-99	99
VN111041	1	30	1	5000	80
VN111041	2	88	-99	-99	99
VN111043	1	23	8	6300	80
VN111047	1	4	0	0	0
VN111047	2	1	9	50	80
VN111047	3	30	0	0	0
VN111069	1	30	1	7000	2
VN121001	1	15	2	100	80
VN121005	1	30	3	3000	2
VN121007	1	7	5	5000	2
VN121009	1	13	10	200	1
VN121014	1	25	1	6000	80
VN121021	1	1	1	400	80
VN121022	1	25	1	6000	2
VN121023	1	22	-77	0	2
VN121028	1	1	6	30	80
VN121036	1	30	2	7000	1
VN121040	1	6	1	9000	80
VN121045	1	30	1	500	3
VN121048	1	30	2	10000	80
VN121094	1	30	3	8000	80
VN121126	1	13	4	50	2
VN131001	1	3	1	30	2
VN131001	2	25	1	50	2
VN131001	3	1	5	5	2
VN131002	1	21	2	3500	1
VN131003	1	19	2	10	1
VN131004	1	21	2	5000	1
VN131005	1	21	1	3000	2
VN131006	1	1	7	50	2
VN131006	2	3	1	70	2
VN131006	3	5	1	300	1
VN131007	1	1	1	20	1
VN131008	1	5	1	700	2
VN131008	2	3	1	50	2
VN131008	3	1	4	-77	88
VN131009	1	1	5	10	2
VN131010	1	1	2	30	2
VN131012	1	1	5	20	2
VN131013	1	1	-77	-77	77
VN131017	1	1	5	-77	1
VN131017	2	3	1	-77	1
VN131020	1	21	1	1500	1
VN131021	1	1	5	0	2
VN131022	1	3	1	10	1
VN131022	2	1	4	10	1
VN131023	1	1	5	30	2
VN131023	2	3	1	30	2
VN131023	3	5	1	50	2
VN131024	1	1	4	20	2
VN131025	1	1	8	10	3
VN131025	2	3	1	0	4
VN131026	1	1	4	20	3
VN131026	2	3	1	30	3
VN131026	3	25	1	100	3
VN131027	1	5	1	300	3
VN131027	2	3	1	20	3
VN131027	3	1	6	0	88
VN131028	1	21	1	2500	2
VN131033	1	3	1	20	1
VN131033	2	1	1	2	1
VN131036	1	25	1	200	1
VN131036	2	3	1	50	1
VN131036	3	1	7	10	1
VN131037	1	30	3	10	1
VN131038	1	5	1	20	1
VN131038	2	1	7	20	1
VN131038	3	3	1	10	1
VN131039	1	5	1	400	2
VN131039	2	3	1	10	2
VN131039	3	1	6	100	2
VN131040	1	23	10	7000	2
VN131041	1	1	5	50	2
VN131041	2	3	1	150	1
VN131042	1	25	1	300	1
VN131042	2	23	6	100	1
VN131045	1	30	3	500	1
VN131047	1	25	1	250	2
VN131047	2	23	1	50	1
VN131048	1	1	5	20	1
VN131048	2	3	1	20	1
VN131049	1	5	1	300	1
VN131049	2	3	1	0	1
VN131049	3	1	6	10	1
VN131050	1	25	1	150	2
VN131050	2	23	3	140	2
VN131052	1	1	1	100	2
VN131052	2	5	1	200	2
VN131053	1	1	5	100	1
VN131053	2	3	1	400	1
VN131053	3	5	1	200	1
VN131055	1	6	1	200	1
VN131055	2	3	1	10	1
VN131055	3	2	1	400	1
VN131056	1	6	1	50	2
VN131056	2	3	1	0	2
VN131056	3	1	5	10	2
VN131058	1	1	4	10	1
VN141001	1	3	1	10	1
VN141001	2	1	5	30	1
VN141002	1	23	1	50	1
VN141002	2	25	1	10000	1
VN141003	1	23	1	250	3
VN141004	1	1	3	100	1
VN141005	1	25	1	150	3
VN141006	1	5	1	20	1
VN141006	2	3	1	300	1
VN141007	1	23	1	70	1
VN141007	2	25	1	2000	1
VN141008	1	30	1	4000	3
VN141008	2	25	1	5000	3
VN141008	3	23	1	1500	3
VN141010	1	1	3	100	2
VN141011	1	23	4	5000	2
VN141012	1	18	3	10000	1
VN141014	1	1	1	10	1
VN141014	2	5	1	150	1
VN141018	1	25	1	6000	2
VN141019	1	23	3	1000	1
VN141020	1	25	1	8000	1
VN141025	1	99	13	15	1
VN141027	1	5	2	1000	1
VN141027	2	3	1	30	1
VN141027	3	1	2	10	1
VN141033	1	5	2	400	2
VN141033	2	3	1	100	2
VN141033	3	1	5	100	2
VN141034	1	25	1	300	3
VN141034	2	23	1	300	3
VN141036	1	13	5	200	2
VN141036	2	88	-99	-99	99
VN141037	1	23	3	70	4
VN141037	2	25	1	200	4
VN141040	1	5	1	300	2
VN141040	2	30	1	500	2
VN141040	3	3	1	700	2
VN141041	1	1	4	100	1
VN141043	1	25	1	1000	2
VN141043	2	30	2	77	2
VN141044	1	30	1	300	2
VN141044	2	5	1	100	2
VN141044	3	3	1	30	2
VN141045	1	1	3	50	1
VN141045	2	3	1	70	1
VN141045	3	5	1	300	1
VN141049	1	25	1	200	2
VN141049	2	30	2	50	2
VN141050	1	14	1	11000	1
VN141051	1	25	3	1000	4
VN141051	2	23	3	650	4
VN141062	1	1	3	10	1
VN141066	1	5	1	600	1
VN141066	2	3	1	400	1
VN141066	3	1	7	100	1
VN141073	1	88	-99	-99	99
VN151001	1	30	1	300	1
VN151001	2	4	0	-77	88
VN151001	3	3	1	50	1
VN151002	1	30	5	20	18
VN151003	1	2	1	500	1
VN151003	2	1	5	100	1
VN151003	3	6	0	-77	88
VN151004	1	1	3	30	2
VN151005	1	23	2	400	2
VN151006	1	30	2	900	2
VN151006	2	30	2	40	2
VN151007	1	30	1	200	2
VN151008	1	2	1	400	3
VN151010	1	1	2	100	1
VN151012	1	30	3	2500	2
VN151013	1	1	1	1000	2
VN151013	2	30	1	500	2
VN151013	3	6	0	-77	88
VN151014	1	30	2	1500	2
VN151015	1	21	1	900	2
VN151017	1	30	4	40	1
VN151017	2	1	5	15	1
VN151017	3	5	1	100	1
VN151018	1	1	4	125	1
VN151019	1	1	4	100	2
VN151021	1	30	0	-77	88
VN151022	1	2	4	50	2
VN151022	2	3	1	700	2
VN151022	3	6	0	-77	88
VN151023	1	30	0	-77	88
VN151024	1	13	5	65	1
VN151028	1	1	1	300	18
VN151028	2	1	4	50	18
VN151029	1	1	6	5	3
VN151029	2	3	1	15	3
VN151029	3	30	1	200	3
VN151030	1	1	4	10	1
VN151030	2	3	1	20	1
VN151030	3	30	1	150	1
VN151031	1	1	4	30	3
VN151034	1	11	4	700	2
VN151035	1	30	0	-77	1
VN151036	1	23	3	400	2
VN151037	1	1	3	6	2
VN151037	2	3	1	20	2
VN151038	1	5	1	200	3
VN151038	2	1	5	50	3
VN151038	3	4	0	-77	88
VN151039	1	1	4	110	2
VN151044	1	30	1	30	1
VN151044	2	1	3	17	1
VN151045	1	1	2	10	2
VN151046	1	30	1	300	2
VN151046	2	1	6	30	2
VN151046	3	4	0	-77	88
VN151047	1	23	4	2500	2
VN151047	2	23	2	700	2
VN151049	1	1	4	4	2
VN151049	2	3	1	15	2
VN151049	3	30	1	50	2
VN151051	1	1	3	120	4
VN151075	1	2	1	300	1
VN151075	2	3	1	60	1
VN151079	1	3	1	45	2
VN151079	2	2	1	500	2
VN151079	3	30	1	100	2
VN161002	1	30	1	800	1
VN161002	2	30	3	20	1
VN161002	3	30	2	10	1
VN161004	1	1	4	30	2
VN161004	2	30	1	80	1
VN161005	1	2	1	500	1
VN161005	2	3	1	55	1
VN161005	3	1	0	-77	88
VN161007	1	15	30	350	3
VN161008	1	3	1	40	1
VN161008	2	30	1	100	1
VN161008	3	1	2	25	1
VN161011	1	30	1	100	2
VN161011	2	1	-77	-77	2
VN161011	3	3	1	60	2
VN161013	1	30	1	300	1
VN161013	2	3	1	50	1
VN161013	3	1	9	100	1
VN161014	1	1	2	120	1
VN161015	1	2	1	500	1
VN161015	2	1	2	95	2
VN161016	1	8	1	5600	1
VN161016	2	1	77	-77	1
VN161016	3	3	1	60	1
VN161018	1	21	0	-77	88
VN161019	1	30	1	200	2
VN161019	2	3	1	65	2
VN161019	3	1	4	50	2
VN161022	1	30	1	500	3
VN161022	2	3	1	20	3
VN161022	3	30	1	200	3
VN161023	1	30	1	200	2
VN161023	2	3	1	50	1
VN161023	3	1	4	15	1
VN161024	1	30	1	120	1
VN161024	2	1	3	18	1
VN161028	1	1	3	5	19
VN161029	1	30	1	100	1
VN161029	2	30	1	1000	1
VN161029	3	3	1	15	1
VN161033	1	30	1	200	2
VN161033	2	3	1	20	2
VN161033	3	30	2	3000	80
VN161036	1	3	1	10	1
VN161036	2	1	3	5	1
VN161036	3	30	1	3	1
VN161039	1	1	2	70	3
VN161041	1	30	1	130	1
VN161041	2	3	1	20	1
VN161041	3	1	4	22	1
VN161042	1	30	1	50	2
VN161042	2	3	1	5	2
VN161042	3	1	3	18	2
VN161043	1	30	3	2000	1
VN161043	2	30	2	1000	1
VN161043	3	3	1	50	1
VN161045	1	31	2	500	1
VN161046	1	1	4	5	1
VN161046	2	30	1	1000	1
VN161046	3	30	1	100	1
VN161048	1	30	1	100	1
VN161048	2	30	1	1000	1
VN161048	3	3	1	20	1
VN171003	1	30	3	200	4
VN171014	1	15	2	-77	6
VN171015	1	23	-77	400	2
VN171021	1	25	1	3000	2
VN171022	1	15	15	50	1
VN171024	1	30	1	5	2
VN171026	1	25	2	10000	80
VN171027	1	25	1	600	1
VN171031	1	88	-99	-99	99
VN171034	1	21	1	1000	2
VN171038	1	14	3	12000	1
VN171038	2	25	1	8000	1
VN171040	1	23	2	200	2
VN171042	1	25	1	5000	2
VN171043	1	23	-77	500	3
VN171049	1	23	2	100	2
VN171052	1	30	1	0	90
VN171052	2	23	1	500	2
VN171053	1	23	2	50	2
VN171059	1	10	-77	300	2
VN171063	1	23	3	300	3
VN181003	1	88	-99	-99	99
VN181011	1	30	1	500	1
VN181015	1	23	1	200	3
VN181026	1	23	1	2500	90
VN181036	1	30	1	15000	1
VN181039	1	25	1	6000	2
VN181044	1	30	1	20	1
VN181054	1	23	5	800	4
VN181058	1	30	1	3000	2
VN181059	1	30	3	5000	2
VN181059	2	30	1	10000	2
VN181078	1	23	1	1000	90
VN191002	1	15	1	1500	2
VN191003	1	23	1	3500	2
VN191004	1	9	1	100	80
VN191020	1	15	1	300	2
VN191021	1	23	1	20000	1
VN191022	1	23	1	50	1
VN191023	1	30	1	0	2
VN191024	1	21	1	500	2
VN191027	1	30	1	0	2
VN191028	1	15	1	200	80
VN191048	1	1	-77	-77	77
VN191070	1	30	3	800	80
VN201006	1	23	3	2000	80
VN201009	1	9	-77	100	2
VN201009	2	10	3	2000	2
VN201010	1	25	1	1000	1
VN201013	1	17	-77	1000	1
VN201015	1	23	-77	-77	2
VN201024	1	25	1	10000	80
VN201025	1	25	1	5000	1
VN201039	1	21	2	1000	2
VN201042	1	15	-77	500	2
VN201049	1	30	-77	700	1
VN201052	1	25	1	4000	1
VN201054	1	88	-99	-99	99
VN201054	2	99	-99	-99	99
VN201054	3	99	-99	-99	99
VN201056	1	23	1	300	2
VN201071	1	13	3	1800	1
VN201073	1	25	1	50	80
VN201073	2	30	10	10	1
VN201104	1	31	1	150000	80
