CHILDID	PASSID	PASSET	NUMPASS	VALPASS	DECPASS
VN061015	1	1	3	160	2
VN061015	2	5	1	1800	2
VN061015	3	8	2	2000	2
VN061016	1	5	1	1800	3
VN061016	2	8	3	1600	3
VN061016	3	30	1	460	4
VN061019	1	88	-99	-99	99
VN061019	2	88	-99	-99	99
VN061019	3	88	-99	-99	99
VN061020	1	88	-99	-99	99
VN061020	2	88	-99	-99	99
VN061020	3	88	-99	-99	99
VN061021	1	5	2	1000	1
VN061021	2	8	2	1000	1
VN061023	1	1	3	256	2
VN061023	2	5	1	1200	2
VN061023	3	30	1	145	1
VN061024	1	8	2	200	1
VN061026	1	25	1	4000	1
VN061028	1	8	3	0	1
VN061030	1	23	5	1000	1
VN061033	1	31	1	75000	1
VN061034	1	25	1	100	1
VN061034	2	9	7	250	1
VN061037	1	5	3	3000	2
VN061037	2	8	2	500	2
VN061038	1	13	2	35	1
VN061040	1	1	3	55	80
VN061040	2	4	0	-99	88
VN061040	3	31	0	-99	88
VN061041	1	1	2	15	1
VN061041	2	3	1	200	1
VN061042	1	30	-77	18000	1
VN061042	2	88	-99	-99	99
VN061042	3	88	-99	-99	99
VN061043	1	1	3	68	1
VN061043	2	30	1	300	2
VN061044	1	5	1	500	2
VN061044	2	3	1	140	2
VN061044	3	1	4	0	2
VN061047	1	1	3	15	80
VN061047	2	3	1	20	80
VN061047	3	30	4	140	80
VN061048	1	5	1	1000	1
VN061048	2	3	1	500	1
VN061048	3	1	3	0	1
VN061049	1	23	10	2000	2
VN061050	1	1	4	130	2
VN061050	2	8	1	60	3
VN061050	3	 	 	 	 
VN061079	1	8	2	0	2
VN071001	1	23	5	100	4
VN071002	1	31	1	6000	1
VN071002	2	30	5	29000	1
VN071003	1	31	1	600	1
VN071004	1	31	2	150000	1
VN071004	2	30	1	10000	1
VN071005	1	1	7	100	2
VN071006	1	23	5	200	2
VN071007	1	30	1	30000	3
VN071007	2	5	1	100	3
VN071007	3	3	1	200	3
VN071008	1	30	1	15000	1
VN071008	2	15	10	350	1
