CHILDID	LOANID	LOANTYPE	LOANSRCE	LOANIMPT	LOANKIDS	LOANREPY
VN121020	1	2	8	2	2	2
VN121025	1	1	2	1	1	2
VN121030	1	1	1	2	2	3
VN121031	1	2	8	2	2	1
VN121032	1	1	1	2	2	2
VN121034	1	2	8	2	2	3
VN121036	1	1	2	2	2	1
VN121038	1	1	2	2	2	3
VN121040	1	1	2	1	1	1
VN121041	1	1	2	2	2	3
VN121042	1	1	2	2	2	3
VN121045	1	2	8	2	2	1
VN121050	1	1	2	2	2	1
VN121063	1	1	2	1	1	2
VN121124	1	1	1	2	2	3
VN131001	1	2	8	3	3	2
VN131002	1	2	8	2	2	2
VN131004	1	1	2	1	1	2
VN131004	2	1	6	1	1	2
VN131006	1	2	8	3	3	2
VN131008	1	1	1	3	3	2
VN131010	1	1	1	3	3	1
VN131010	2	2	7	3	3	1
VN131010	3	2	8	3	3	1
VN131011	1	2	7	4	4	3
VN131011	2	1	6	3	3	3
VN131012	1	1	5	2	3	1
VN131020	1	2	8	2	3	1
VN131021	1	1	6	3	3	2
VN131024	1	99	7	2	3	2
VN131025	1	2	8	3	3	1
VN131027	1	2	7	2	2	1
VN131030	1	1	6	2	2	2
VN131037	1	1	1	3	3	2
VN131037	2	2	8	3	3	2
VN131038	1	1	1	3	3	2
VN131038	2	1	2	3	3	2
VN131039	1	2	8	3	3	99
VN131042	1	2	8	3	1	1
VN131045	1	1	2	3	3	2
VN131046	1	2	8	4	3	2
VN131048	1	2	8	1	1	3
VN131049	1	2	8	2	3	1
VN131052	1	1	3	3	3	1
VN131053	1	1	6	3	3	1
VN131054	1	2	7	1	1	2
VN131058	1	2	8	3	3	1
VN141002	1	1	1	2	2	2
VN141004	1	2	8	3	3	2
VN141007	1	1	1	3	3	2
VN141008	1	1	3	1	1	2
VN141010	1	1	1	2	2	2
VN141011	1	2	8	2	3	1
VN141012	1	1	1	2	2	1
VN141012	2	2	8	2	2	1
VN141013	1	1	2	1	1	2
VN141014	1	2	8	3	3	3
VN141014	2	2	6	3	3	3
VN141015	1	99	8	3	3	2
VN141016	1	1	1	2	2	2
VN141016	2	2	8	2	2	1
VN141017	1	1	1	3	3	2
VN141017	2	1	6	3	3	2
VN141019	1	1	6	3	4	1
VN141019	2	2	8	3	4	1
VN141020	1	1	1	3	3	3
VN141020	2	2	8	3	3	2
VN141025	1	1	1	2	3	2
VN141025	2	1	5	2	3	2
VN141025	3	2	8	2	3	2
VN141027	1	1	5	3	3	2
VN141027	2	2	8	3	3	2
VN141029	1	1	1	1	1	3
VN141029	2	2	8	1	1	2
VN141030	1	1	2	2	2	1
VN141031	1	1	1	1	1	1
VN141033	1	1	2	1	2	2
VN141033	2	2	7	1	2	2
VN141034	1	1	2	1	1	1
VN141035	1	1	1	2	2	1
VN141037	1	1	1	2	3	2
VN141037	2	2	8	2	3	1
VN141041	1	2	7	4	2	2
VN141042	1	1	6	3	3	1
VN141042	2	2	8	3	3	1
VN141044	1	1	6	1	1	3
VN141049	1	2	7	4	4	2
VN141062	1	1	3	2	2	2
VN141062	2	1	10	2	2	2
VN151001	1	2	7	2	3	1
VN151002	1	1	1	1	2	2
VN151003	1	1	2	2	2	2
VN151005	1	1	2	1	1	3
VN151006	1	2	8	2	3	2
VN151008	1	2	8	3	3	2
VN151010	1	1	2	1	1	2
VN151011	1	2	6	2	3	2
VN151011	2	2	8	2	3	2
VN151012	1	1	2	4	3	2
VN151013	1	2	7	2	2	2
VN151014	1	1	2	4	4	2
VN151015	1	2	7	1	1	1
VN151017	1	1	2	2	3	2
VN151020	1	2	8	2	2	2
VN151021	1	2	8	4	3	2
VN151023	1	2	7	4	3	2
VN151024	1	2	8	1	1	1
VN151030	1	2	8	3	3	2
VN151031	1	1	2	2	2	2
VN151031	2	2	8	2	2	2
VN151032	1	2	8	4	3	3
VN151036	1	2	7	1	1	2
VN151037	1	2	7	4	4	2
VN151038	1	1	3	2	2	2
VN151038	2	2	8	2	2	2
VN151040	1	1	2	4	3	3
VN151040	2	2	8	4	3	2
VN151041	1	2	8	4	3	3
VN151043	1	2	8	2	2	2
VN151044	1	1	2	2	2	2
VN151044	2	2	8	2	2	2
VN151045	1	1	3	4	3	3
VN151045	2	1	6	4	3	3
VN151045	3	1	8	4	3	3
VN151046	1	2	8	2	2	1
VN151047	1	1	1	2	2	1
VN151049	1	2	8	3	3	1
VN151051	1	2	8	1	1	3
VN151075	1	2	8	1	1	2
VN151079	1	2	8	2	2	2
VN151081	1	1	6	4	3	3
VN161001	1	1	2	3	3	1
VN161001	2	2	8	3	3	1
VN161004	1	2	7	2	2	2
VN161006	1	2	8	3	3	2
VN161007	1	2	8	2	2	2
VN161007	2	1	2	2	2	2
VN161008	1	2	8	1	1	2
VN161009	1	2	8	1	1	3
VN161010	1	1	2	2	2	1
VN161011	1	2	8	1	1	2
VN161013	1	2	8	3	3	2
VN161015	1	1	2	1	1	3
VN161016	1	1	2	1	1	2
VN161016	2	1	6	1	1	2
VN161016	3	2	8	1	1	2
VN161017	1	2	8	3	3	3
VN161017	2	2	7	3	3	3
VN161020	1	1	2	1	1	1
VN161020	2	2	8	1	1	1
VN161022	1	2	8	4	4	2
VN161023	1	1	2	4	3	2
VN161025	1	1	2	4	4	3
VN161027	1	1	6	1	1	3
VN161028	1	1	3	2	2	2
VN161028	2	2	8	3	3	2
VN161029	1	2	6	3	3	2
VN161031	1	2	7	2	2	2
VN161032	1	1	1	2	2	2
VN161033	1	1	2	2	2	1
VN161034	1	2	2	2	2	2
VN161035	1	1	6	1	1	2
VN161035	2	2	8	1	1	2
VN161036	1	1	5	4	4	2
VN161036	2	2	8	4	4	2
VN161037	1	1	2	1	1	3
VN161037	2	2	8	1	1	3
VN161038	1	2	6	2	2	2
VN161039	1	1	2	2	2	3
VN161039	2	2	8	2	2	3
VN161040	1	1	2	1	1	2
VN161041	1	2	7	3	3	2
VN161042	1	2	7	2	2	2
VN161043	1	1	3	2	2	1
VN161043	2	2	8	2	2	1
VN161044	1	2	7	3	3	3
VN161045	1	1	6	1	2	3
VN161046	1	1	2	4	3	2
VN161047	1	1	2	1	1	3
VN161047	2	1	6	1	1	3
VN161048	1	1	2	2	2	2
VN161049	1	1	2	2	2	2
VN161049	2	1	6	2	2	2
VN161050	1	2	8	2	2	2
VN171004	1	1	1	2	2	1
VN171004	2	2	7	2	2	1
VN171006	1	2	8	2	2	2
VN171012	1	1	1	2	2	1
VN171013	1	1	3	5	5	3
VN171017	1	1	3	2	2	2
VN171018	1	1	2	2	3	1
VN171027	1	2	8	3	4	2
VN171037	1	2	7	2	3	2
VN171040	1	2	8	2	2	2
VN171043	1	1	6	2	2	2
VN171046	1	1	1	2	3	1
VN171059	1	2	7	2	2	2
VN171063	1	2	7	3	3	2
VN171080	1	2	8	3	3	2
VN181011	1	1	6	2	3	1
VN181014	1	1	1	2	2	2
VN181015	1	2	8	2	2	3
VN181015	2	2	7	2	2	3
VN181017	1	1	2	1	1	2
VN181022	1	2	8	2	1	2
VN181023	1	1	1	2	2	3
VN181023	2	2	8	2	2	3
VN181024	1	2	7	2	2	2
VN181026	1	2	8	1	2	3
VN181029	1	1	6	2	2	1
VN181033	1	1	6	1	3	1
VN181036	1	1	3	1	1	3
VN181042	1	1	1	2	1	3
VN181043	1	1	3	3	3	3
VN181044	1	2	8	2	2	3
VN181045	1	1	3	2	2	77
VN181046	1	2	7	2	2	2
VN181047	1	2	7	2	4	2
VN181049	1	1	6	1	1	2
VN181050	1	2	10	1	2	2
VN181073	1	1	1	2	2	2
VN181078	1	1	1	2	2	1
VN191001	1	2	8	2	2	2
VN191003	1	2	7	2	3	3
VN191006	1	1	1	1	1	1
VN191007	1	1	1	2	3	3
VN191008	1	1	1	2	2	2
VN191009	1	1	1	2	3	3
VN191012	1	1	1	2	2	2
VN191015	1	1	1	2	2	2
VN191016	1	1	2	3	4	2
VN191018	1	1	1	2	3	3
VN191021	1	1	3	2	2	2
VN191022	1	1	1	2	2	2
VN191026	1	2	8	2	3	2
VN191028	1	1	1	2	2	2
VN191033	1	1	6	1	1	3
VN191035	1	1	1	1	2	1
VN191038	1	1	1	1	1	3
VN191039	1	2	7	2	2	2
VN191040	1	1	1	2	2	3
VN191041	1	1	2	1	1	2
VN191045	1	1	1	2	2	1
VN191046	1	1	6	2	2	1
VN191047	1	1	1	2	2	2
VN191049	1	1	1	1	1	2
VN191050	1	2	8	2	2	1
VN191052	1	2	7	2	2	2
VN191057	1	2	7	2	2	1
VN191070	1	1	3	2	2	2
VN201002	1	2	7	2	3	2
VN201003	1	2	7	2	3	1
VN201004	1	2	8	2	3	2
VN201009	1	1	3	3	4	3
VN201011	1	2	7	2	2	3
VN201012	1	2	7	3	2	2
VN201012	2	2	8	3	2	2
VN201015	1	2	7	3	3	2
VN201016	1	2	8	2	2	1
VN201017	1	2	7	2	2	3
VN201025	1	1	3	2	2	3
VN201031	1	1	3	2	3	1
