CHILDID	ACTID	ACTYEST	ACTSUPER	ACTCARE	CHOICE
VN021017	3	2	0	0	1
VN021017	4	12	0	0	1
VN021018	1	1	0	1	1
VN021018	2	2	0	0	1
VN021018	3	5	0	0	1
VN021018	4	10	0	1	1
VN021018	5	12	0	0	1
VN021020	1	1	0	0	1
VN021020	2	2	0	0	1
VN021020	3	5	0	0	1
VN021020	4	10	0	0	1
VN021020	5	12	0	0	1
VN021022	1	3	0	0	1
VN021022	2	2	0	1	1
VN021022	3	5	0	1	1
VN021022	4	1	0	0	1
VN021022	5	12	0	0	1
VN021023	1	5	0	0	1
VN021023	2	2	0	0	1
VN021023	3	23	0	0	1
VN021023	4	1	0	0	1
VN021023	5	12	0	0	1
VN021024	1	5	0	0	1
VN021024	2	2	0	0	1
VN021024	3	1	1	0	1
VN021024	4	10	1	0	1
VN021024	5	12	1	0	1
VN021025	1	1	0	0	1
VN021025	2	2	1	0	1
VN021025	3	5	0	0	1
VN021025	4	11	0	0	1
VN021025	5	10	0	0	1
VN021025	6	12	0	0	1
VN021026	1	23	1	0	1
VN021026	2	5	0	0	1
VN021026	3	12	0	0	1
VN021027	1	1	0	0	1
VN021027	2	6	0	0	1
VN021027	3	10	0	0	1
VN021027	4	2	0	0	1
VN021029	1	2	0	0	1
VN021029	2	3	0	1	1
VN021029	3	5	0	0	1
VN021029	4	1	0	0	1
VN021029	5	12	0	0	1
VN021030	1	1	1	0	1
VN021030	2	2	0	0	1
VN021030	3	7	0	0	1
VN021030	4	5	1	0	1
VN021030	5	12	1	0	1
VN021031	1	1	0	0	1
VN021031	2	2	0	0	1
VN021031	3	5	0	0	1
VN021031	4	7	0	0	1
VN021031	5	12	0	0	1
VN021032	1	1	1	0	1
VN021032	2	7	0	0	1
VN021032	3	2	0	0	1
VN021032	4	12	1	1	1
VN021033	1	7	0	0	1
VN021033	2	1	0	0	0
VN021033	3	12	0	0	1
VN021033	4	2	0	0	1
VN021034	1	5	0	0	1
VN021034	2	7	0	0	1
VN021034	3	1	0	0	1
VN021034	4	10	0	0	1
