CHILDID	ID	AGE	MEMSEX	RELATE	LIVHSE	GRADE	STILL	CHGRADE	CHSTILL	WHYNOT	AGEGRADE	AGESTSCH	HHSCHTYP	PERF	SCHOOLEN	DISAB	ACT1	MONTHS1	DAYS1	HOURS1	ACT2	MONTHS2	DAYS2	HOURS2	ACT3	MONTHS3	DAYS3	HOURS3	SLEEP	CHCARE	HHCHORE	NPAYWORK	PAYWORK	SCHOOL	STUDY	PLAY
VN011024	5	17	1	7	1	 	 	9	0	11	15	6	 	 	 	0	1	6	15	8	15	3	12	2	88	88	88	88	10	0	0	8	0	0	0	6
VN011025	0	11	2	0	1	 	 	5	1	88	88	6	3	1	2	0	15	10	8	1	17	88	88	88	88	88	88	88	10	0	1	0	0	4	2	7
VN011025	1	47	2	1	1	3	0	 	 	 	 	 	 	 	 	0	4	12	20	5	15	12	30	2	88	88	88	88	 	 	 	 	 	 	 	 
VN011025	2	41	1	1	1	5	0	 	 	 	 	 	 	 	 	0	1	6	15	4	4	12	20	4	88	88	88	88	 	 	 	 	 	 	 	 
VN011025	3	22	2	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011025	4	15	1	7	1	 	 	9	1	88	88	6	3	3	2	0	15	10	20	5	17	88	88	88	88	88	88	88	8	1	4	0	0	4	3	4
VN011025	5	14	2	7	1	 	 	7	1	88	88	6	3	2	2	0	15	10	15	2	17	88	88	88	88	88	88	88	9	0	2	0	0	4	3	6
VN011026	0	12	2	0	1	 	 	6	1	88	88	6	3	3	2	0	15	10	15	2	17	88	88	88	88	88	88	88	8	0	2	0	0	5	3	6
VN011026	1	48	1	1	1	6	0	 	 	 	 	 	 	 	 	0	1	6	20	12	12	6	30	8	88	88	88	88	 	 	 	 	 	 	 	 
VN011026	2	46	2	1	1	6	0	 	 	 	 	 	 	 	 	0	1	6	20	12	15	9	30	6	88	88	88	88	 	 	 	 	 	 	 	 
VN011026	3	20	2	7	1	9	0	 	 	 	 	 	 	 	 	0	13	12	30	8	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN011026	4	18	2	7	1	9	0	 	 	 	 	 	 	 	 	0	13	12	30	8	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN011026	5	14	2	7	1	 	 	8	1	88	88	6	3	2	2	0	15	12	20	3	17	88	88	88	88	88	88	88	8	0	2	0	0	5	3	6
VN011028	0	12	1	0	1	 	 	6	1	88	88	6	3	2	2	0	15	10	15	3	17	88	88	88	88	88	88	88	10	1	2	0	0	4	2	5
VN011028	1	36	1	1	1	6	0	 	 	 	 	 	 	 	 	0	12	5	20	8	1	5	9	8	15	2	4	2	 	 	 	 	 	 	 	 
VN011028	2	34	2	1	1	9	0	 	 	 	 	 	 	 	 	0	1	6	10	8	5	3	18	8	15	12	30	3	 	 	 	 	 	 	 	 
VN011028	3	11	2	7	1	 	 	5	1	88	88	6	3	2	2	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	4	2	8
VN011029	0	12	1	0	1	 	 	6	1	88	88	6	3	3	2	0	15	12	20	3	17	88	88	88	88	88	88	88	9	0	3	0	0	5	2	5
VN011029	1	32	1	1	1	7	0	 	 	 	 	 	 	 	 	0	1	6	10	7	5	2	30	9	88	88	88	88	 	 	 	 	 	 	 	 
VN011029	2	35	2	1	1	10	0	 	 	 	 	 	 	 	 	0	15	12	30	4	1	6	10	8	12	4	27	8	 	 	 	 	 	 	 	 
VN011029	3	11	2	7	1	 	 	5	1	88	88	6	3	3	2	0	15	10	20	2	17	88	88	88	88	88	88	88	9	0	2	0	0	5	2	5
