CHILDID	OUTID	REMREL	REMEST	REMGOOD
VN031037	3	15	200	0
VN031037	4	5	300	0
VN031037	5	6	300	0
VN031038	1	21	150	0
VN031038	2	5	300	0
VN031038	3	5	300	0
VN031039	1	5	150	30
VN031039	2	13	100	20
VN031040	1	21	100	0
VN031041	1	19	300	0
VN031041	2	13	200	50
VN031044	1	5	280	400
VN031044	2	6	200	150
VN031044	3	13	300	0
VN031045	1	5	1000	0
VN031045	2	6	1000	0
VN031046	1	5	0	200
VN031047	1	13	500	0
VN031047	2	19	600	0
VN031047	3	15	100	0
VN031047	4	21	200	0
VN031048	1	5	1200	150
VN031048	2	6	1200	150
VN031048	3	13	150	50
VN031048	4	21	40	0
VN031049	1	5	200	100
VN031052	1	5	350	120
VN031052	2	6	350	120
VN031052	3	13	200	50
VN031059	1	5	100	30
VN031059	2	6	100	30
VN031060	1	13	100	30
VN031096	1	5	150	30
VN031096	2	6	150	30
VN031096	3	13	70	10
VN031098	1	19	150	0
VN031108	1	13	100	50
VN031108	2	19	50	0
VN031134	1	5	400	150
VN031134	2	6	350	120
VN031134	3	13	200	30
VN041001	1	21	40	-77
VN041002	1	21	15	0
VN041003	1	21	40	-77
VN041004	1	21	50	-88
VN041005	1	21	20	0
VN041005	2	19	150	0
VN041006	1	6	200	0
VN041006	2	21	20	0
VN041007	1	21	50	0
VN041007	2	19	100	0
VN041008	1	21	300	0
VN041009	1	21	100	0
VN041010	1	6	1000	200
VN041010	2	13	2500	0
VN041010	3	21	100	0
VN041011	1	21	20	0
VN041014	1	21	10	0
VN041015	1	21	40	-88
VN041016	1	21	-77	-77
VN041017	1	21	60	-88
VN041019	1	5	600	-88
VN041020	1	5	200	0
VN041020	2	21	50	0
VN041021	1	21	200	-88
VN041021	2	5	200	-88
VN041021	3	6	200	-88
VN041022	1	21	30	0
VN041023	1	19	200	0
VN041024	1	21	70	0
VN041025	1	21	40	-88
VN041025	2	19	2000	-88
VN041025	3	6	300	-88
VN041025	4	5	300	-88
VN041026	1	6	3000	0
VN041026	2	21	150	0
VN041027	1	21	20	0
VN041027	2	6	5000	0
VN041028	1	5	0	100
VN041028	2	6	0	100
VN041030	1	21	30	0
VN041031	1	2	100	0
VN041031	2	21	20	0
VN041032	1	9	600	0
VN041032	2	21	20	0
VN041034	1	21	60	0
VN041036	1	21	77	0
VN041037	1	21	30	0
VN041038	1	13	400	0
VN041039	1	5	100	0
VN041039	2	6	100	0
VN041040	1	5	100	0
VN041040	2	6	100	0
VN041040	3	13	200	0
VN041041	1	21	30	0
VN041042	1	1	100	60
VN041042	2	21	20	0
VN041043	1	21	36	0
VN041046	1	21	20	0
VN041047	1	21	10	0
VN041049	1	1	500	0
VN041049	2	21	30	0
VN041050	1	5	0	50
VN041050	2	6	0	50
VN041059	1	21	50	0
VN041092	1	5	0	100
VN041109	1	21	10	0
VN041110	1	21	150	0
VN041114	1	21	20	0
VN041130	1	5	300	150
VN041130	2	6	300	150
VN051001	1	5	50	20
VN051001	2	6	50	20
VN051001	3	21	40	0
VN051002	1	5	500	0
VN051002	2	21	100	0
VN051004	1	21	100	0
VN051009	1	21	80	0
VN051011	1	5	0	200
VN051011	2	6	0	200
VN051011	3	21	200	0
VN051013	1	5	400	200
VN051015	1	21	40	0
VN051017	1	5	500	300
VN051017	2	6	500	300
VN051022	1	6	200	0
VN051022	2	21	50	0
VN051023	1	21	10	0
VN051024	1	13	150	150
VN051025	1	5	200	150
VN051025	2	6	200	150
VN051025	3	21	30	0
VN051026	1	21	500	0
VN051031	1	13	500	0
VN051031	2	21	450	0
VN051034	1	21	50	0
VN051035	1	5	1000	300
VN051037	1	6	200	100
VN051038	1	6	300	100
VN051038	2	21	200	0
VN051042	1	5	200	50
VN051042	2	6	200	50
VN051042	3	21	100	0
VN051043	1	6	2400	300
VN051043	2	5	1000	500
VN051043	3	21	300	0
VN051045	1	21	100	-99
VN051046	1	21	10	0
VN051047	1	1	700	300
VN051048	1	21	427	0
VN051048	2	7	20000	0
VN061008	1	13	100	0
VN061009	1	13	1500	0
VN061032	1	6	100	50
VN061032	2	5	200	0
VN061033	1	21	70	0
VN061039	1	21	150	0
VN061047	1	21	30	0
VN061076	1	5	100	0
VN061104	1	19	1000	0
VN061104	2	21	500	0
VN071002	1	21	5	0
VN071004	1	5	3000	200
VN071004	2	6	3000	200
VN071006	1	13	0	50
VN071007	1	5	100	1000
VN071007	2	6	100	1000
VN071008	1	21	40	0
VN071009	1	5	0	300
VN071009	2	6	0	300
VN071010	1	6	16000	0
VN071015	1	6	0	100
VN071015	2	5	0	100
VN071015	3	14	0	1000
VN071018	1	13	1000	0
VN071019	1	21	50	0
VN071024	1	21	700	0
VN071028	1	6	50	50
VN071028	2	21	20	20
VN071032	1	21	10	10
VN071037	1	5	350	150
VN071038	1	21	10	0
VN071039	1	14	1000	0
VN071046	1	21	20	10
VN071048	1	13	1100	0
VN071048	2	14	200	0
VN071048	3	21	10	0
VN071073	1	5	100	0
VN071091	1	6	600	400
VN071091	2	5	600	400
VN071091	3	13	200	1800
VN071091	4	21	50	-99
VN071097	1	21	140	0
VN071112	1	21	100	0
VN071121	1	14	300	300
VN081004	1	21	4	0
VN081005	1	6	200	0
VN081010	1	5	400	0
VN081010	2	6	600	0
VN081010	3	21	100	0
VN081020	1	5	0	3650
VN081021	1	21	15	0
VN081030	1	19	100	0
VN081031	1	21	300	0
VN081031	2	6	1500	0
VN081034	1	6	500	0
VN081035	1	21	70	200
VN081038	1	5	200	2200
VN081038	2	21	100	0
VN081045	1	21	50	0
VN081049	1	6	0	1000
VN081049	2	21	300	-77
VN081139	1	6	700	0
VN081139	2	21	20	0
VN091022	1	5	50	0
VN091024	1	1	500	0
VN091047	1	18	500	0
VN091048	1	5	-77	200
VN101005	1	13	400	0
VN101005	2	6	200	0
VN101006	1	5	200	200
VN101009	1	6	0	50
VN101011	1	6	50	100
VN101011	2	5	50	80
VN101013	1	6	0	250
VN101014	1	13	0	30
VN101015	1	13	20000	0
VN101016	1	5	0	1000
VN101016	2	6	0	1000
VN101017	1	5	0	100
VN101017	2	6	0	100
VN101019	1	5	300	100
VN101019	2	6	300	100
VN101020	1	13	1000	0
VN101022	1	5	1200	100
VN101024	1	5	0	50
VN101024	2	6	0	50
VN101027	1	14	200	50
VN101028	1	13	500	0
VN101034	1	5	0	70
VN101035	1	5	0	60
VN101035	2	6	0	50
VN101036	1	5	0	50
VN101036	2	6	0	100
VN101039	1	5	0	40
VN101040	1	5	0	80
VN101040	2	6	0	100
VN101041	1	5	0	50
VN101041	2	6	0	70
VN101042	1	5	0	30
VN101043	1	6	0	100
VN101051	1	6	0	30
VN101054	1	5	100	50
VN101054	2	6	100	50
VN101059	1	13	200	0
VN101064	1	5	0	100
VN101064	2	6	0	80
VN101067	1	5	100	50
VN101075	1	6	250	150
VN101075	2	5	300	150
VN111001	1	21	300	0
VN111001	2	19	100	0
VN111002	1	5	20	0
VN111002	2	7	20	0
VN111002	3	21	500	0
VN111003	1	21	1000	0
VN111003	2	19	1000	0
VN111004	1	13	50	0
VN111004	2	19	300	0
VN111005	1	19	300	100
VN111005	2	21	400	0
VN111006	1	6	50	0
VN111006	2	21	20	0
VN111008	1	21	50	0
VN111008	2	19	150	0
VN111009	1	21	360	0
VN111010	1	19	1000	0
VN111010	2	21	500	0
VN111011	1	19	600	20
VN111011	2	21	200	0
VN111012	1	5	1100	100
VN111012	2	6	1000	100
VN111012	3	21	300	100
VN111013	1	5	300	100
VN111013	2	6	300	100
VN111013	3	21	400	200
VN111014	1	19	1000	0
VN111015	1	19	1000	0
VN111015	2	21	1000	0
VN111016	1	19	1200	0
VN111016	2	21	200	0
VN111017	1	5	200	100
VN111017	2	6	200	100
VN111017	3	21	0	400
VN111018	1	19	600	0
VN111018	2	21	600	0
VN111019	1	19	10000	0
VN111019	2	21	200	0
VN111020	1	13	0	10
VN111020	2	21	100	10
VN111021	1	19	500	50
VN111021	2	21	200	0
VN111022	1	21	60	60
VN111022	2	19	1000	1000
VN111025	1	5	0	30
VN111025	2	6	0	30
VN111025	3	21	0	50
VN111027	1	21	300	0
VN111027	2	6	30	50
VN111028	1	19	300	0
VN111028	2	21	200	0
VN111030	1	14	500	500
VN111030	2	19	10	10
VN111030	3	21	50	0
VN111032	1	6	2000	0
VN111032	2	21	1000	0
VN111033	1	21	3000	0
VN111033	2	19	1000	0
VN111034	1	19	1000	0
VN111034	2	21	500	0
VN111035	1	5	200	100
VN111035	2	6	200	100
VN111035	3	21	500	0
VN111036	1	19	1500	0
VN111036	2	21	50	0
VN111038	1	5	100	20
VN111038	2	6	100	20
VN111038	3	7	100	15
VN111038	4	21	200	15
VN111039	1	19	2000	0
VN111039	2	21	20	0
VN111040	1	21	1000	0
VN111041	1	19	7000	0
VN111041	2	21	400	0
VN111042	1	5	200	0
VN111042	2	6	200	0
VN111042	3	21	400	0
VN111043	1	19	1700	0
VN111043	2	21	200	0
VN111044	1	21	50	0
VN111045	1	19	2000	0
VN111045	2	21	0	100
VN111047	1	6	300	100
VN111047	2	21	500	0
VN111048	1	19	20	20
VN111048	2	14	800	800
VN111050	1	21	50	0
VN111057	1	5	0	100
VN111057	2	6	0	100
VN111057	3	21	20	0
VN111065	1	13	500	0
VN111065	2	19	1500	0
VN111065	3	21	70	0
VN111069	1	5	100	100
VN111069	2	21	200	200
VN111086	1	19	500	200
VN111109	1	19	1000	0
VN111109	2	21	1000	0
VN111111	1	13	1000	0
VN111111	2	19	4000	0
VN111111	3	21	2000	0
VN111119	1	5	500	0
VN111119	2	6	500	0
VN111119	3	21	1000	0
VN121001	1	19	2000	0
VN121001	2	21	1000	0
VN121002	1	19	1000	0
VN121002	2	21	30	0
VN121003	1	13	500	100
VN121003	2	19	800	0
VN121003	3	21	700	0
VN121004	1	5	50	50
VN121004	2	6	50	50
VN121004	3	21	200	200
VN121005	1	19	500	0
VN121005	2	21	1000	0
VN121006	1	21	300	100
VN121006	2	19	200	200
VN121007	1	19	300	0
VN121007	2	21	400	0
VN121008	1	6	50	50
VN121008	2	21	200	200
VN121009	1	19	2000	0
VN121009	2	21	300	0
VN121011	1	5	0	300
VN121011	2	21	500	100
VN121012	1	19	1000	0
VN121012	2	21	500	0
VN121013	1	19	2000	0
VN121013	2	21	300	0
VN121014	1	19	1000	0
VN121014	2	21	200	0
VN121019	1	19	2000	0
VN121019	2	21	300	0
VN121020	1	19	1000	0
VN121020	2	21	1000	0
VN121021	1	5	0	20
VN121021	2	21	50	50
VN121022	1	19	0	300
VN121022	2	21	2000	0
VN121023	1	19	1000	100
VN121023	2	21	1000	0
VN121025	1	19	1000	0
VN121025	2	21	500	0
VN121028	1	21	100	300
VN121030	1	6	0	24
VN121030	2	21	100	0
VN121031	1	21	1200	0
VN121032	1	19	2000	0
VN121032	2	21	100	0
VN121033	1	21	500	0
VN121034	1	19	300	0
VN121034	2	21	2000	0
VN121035	1	13	300	100
VN121035	2	19	300	0
VN121035	3	21	200	0
VN121036	1	21	1500	0
VN121037	1	17	0	30
VN121037	2	21	500	0
VN121038	1	19	1500	0
VN121038	2	21	300	0
VN121039	1	13	100	200
VN121039	2	19	200	0
VN121039	3	21	400	0
VN121040	1	14	200	0
VN121040	2	15	200	0
VN121040	3	21	600	0
VN121041	1	19	0	34
VN121041	2	21	250	0
VN121042	1	19	700	0
VN121042	2	21	80	0
VN121043	1	21	300	0
VN121044	1	19	600	0
VN121044	2	21	900	0
VN121047	1	19	500	0
VN121047	2	21	200	0
VN121048	1	19	300	100
VN121048	2	21	600	0
VN121049	1	21	200	200
VN121050	1	19	2500	0
VN121050	2	21	30	0
VN121057	1	5	100	100
VN121057	2	21	700	0
VN121061	1	21	700	0
VN121061	2	19	700	100
VN121063	1	13	1800	200
VN121063	2	19	700	0
VN121063	3	21	500	0
VN121074	1	13	400	500
VN121074	2	19	600	0
VN121074	3	21	300	0
VN121088	1	5	100	100
VN121088	2	6	100	100
VN121088	3	21	400	0
VN121094	1	19	1200	0
VN121094	2	21	50	0
VN121109	1	19	200	0
VN121109	2	21	300	0
VN121124	1	19	1500	0
VN121124	2	21	300	0
VN121126	1	19	700	0
VN121126	2	21	1000	0
VN131001	1	5	20	0
VN131001	2	6	20	0
VN131001	3	21	30	0
VN131001	4	19	50	50
VN131002	1	6	150	0
VN131002	2	5	100	0
VN131002	3	13	100	0
VN131002	4	19	150	0
VN131002	5	21	100	0
VN131003	1	5	1000	60
VN131003	2	6	500	60
VN131003	3	13	1000	40
VN131003	4	21	20	0
VN131004	1	19	400	0
VN131004	2	21	500	0
VN131005	1	5	500	0
VN131005	2	19	0	200
VN131006	1	13	200	50
VN131006	2	21	100	0
VN131007	1	6	200	0
VN131007	2	5	200	0
VN131007	3	21	400	0
VN131008	1	6	100	20
VN131008	2	5	0	20
VN131008	3	13	200	0
VN131008	4	21	30	0
VN131009	1	5	300	0
VN131009	2	15	500	0
VN131010	1	13	300	0
VN131010	2	5	400	0
VN131010	3	6	400	0
VN131011	1	17	0	150
VN131011	2	18	0	150
VN131011	3	13	200	200
VN131012	1	13	200	0
VN131013	1	13	100	50
VN131013	2	5	200	50
VN131013	3	6	200	50
VN131014	1	13	200	0
VN131017	1	13	0	200
VN131017	2	5	100	0
VN131017	3	6	100	0
VN131019	1	1	500	200
VN131019	2	14	1000	0
VN131019	3	19	1000	0
VN131020	1	13	200	0
VN131020	2	5	100	0
VN131020	3	6	100	0
VN131021	1	1	100	0
VN131021	2	15	200	0
VN131023	1	5	200	0
VN131023	2	13	200	100
VN131024	1	13	200	50
VN131024	2	5	100	50
VN131025	1	5	300	0
VN131025	2	15	100	0
VN131025	3	19	300	0
VN131026	1	21	200	0
VN131027	1	13	500	0
VN131027	2	14	300	0
VN131028	1	19	100	30
VN131028	2	21	15	0
VN131030	1	13	600	200
VN131030	2	21	200	30
VN131031	1	13	100	30
VN131031	2	21	20	0
VN131033	1	13	300	0
VN131033	2	21	30	0
VN131036	1	13	50	0
VN131036	2	21	30	0
VN131037	1	6	400	50
VN131037	2	5	200	50
VN131037	3	13	0	100
VN131037	4	17	40	0
VN131037	5	21	150	0
VN131038	1	6	100	50
VN131038	2	5	100	50
VN131038	3	13	500	0
VN131038	4	21	40	0
VN131039	1	13	200	0
VN131039	2	17	0	50
VN131039	3	18	0	50
VN131040	1	6	250	200
VN131040	2	5	250	200
VN131040	3	13	200	50
VN131040	4	19	100	0
VN131041	1	13	200	100
VN131041	2	5	200	0
VN131041	3	6	200	0
VN131042	1	6	150	0
VN131042	2	13	0	200
VN131042	3	21	20	0
VN131043	1	6	300	0
VN131043	2	5	200	0
VN131045	1	21	30	0
VN131046	1	13	0	100
VN131046	2	5	0	50
VN131047	1	5	100	0
VN131047	2	6	100	0
VN131047	3	13	0	300
VN131047	4	21	20	0
VN131048	1	21	30	0
VN131049	1	6	600	50
VN131049	2	5	200	50
VN131049	3	13	200	0
VN131050	1	13	150	150
VN131050	2	19	60	0
VN131051	1	6	200	100
VN131051	2	14	100	100
VN131052	1	13	200	0
VN131052	2	19	100	0
VN131052	3	21	100	0
VN131053	1	13	240	0
VN131053	2	19	30	0
VN131053	3	21	20	0
VN131054	1	13	200	0
VN131055	1	13	0	50
VN131055	2	19	100	0
VN131055	3	21	100	0
VN131055	4	6	0	100
VN131056	1	14	200	0
VN131058	1	14	0	70
VN131058	2	5	200	100
VN141002	1	5	500	0
VN141002	2	13	400	0
VN141003	1	19	50	50
VN141004	1	5	0	200
VN141004	2	6	300	300
VN141004	3	19	700	0
VN141004	4	21	40	0
VN141006	1	6	200	0
VN141006	2	13	100	0
VN141006	3	21	150	0
VN141007	1	1	300	0
VN141008	1	13	800	0
VN141008	2	5	200	0
VN141008	3	19	300	0
VN141009	1	14	5000	0
VN141010	1	13	50	0
VN141010	2	1	30	0
VN141010	3	7	30	0
VN141012	1	5	300	0
VN141012	2	6	300	0
VN141013	1	19	200	30
VN141013	2	21	30	0
VN141014	1	13	200	100
VN141014	2	 	 	 
VN141015	1	19	300	0
VN141015	2	21	200	0
VN141016	1	13	400	100
VN141017	1	13	200	50
VN141017	2	21	40	0
VN141017	3	19	100	0
VN141018	1	5	300	0
VN141018	2	13	500	0
VN141019	1	13	1000	0
VN141019	2	21	50	0
VN141019	3	19	100	50
VN141020	1	17	100	0
VN141020	2	13	200	0
VN141025	1	13	150	100
VN141025	2	19	200	0
VN141027	1	6	300	200
VN141027	2	19	180	0
VN141027	3	21	15	0
VN141028	1	15	100	0
VN141028	2	21	100	0
VN141029	1	19	1000	0
VN141029	2	13	1000	0
VN141030	1	14	500	0
VN141030	2	13	200	0
VN141031	1	13	200	100
VN141031	2	5	100	0
VN141031	3	21	500	0
VN141032	1	19	150	0
VN141032	2	21	20	0
VN141033	1	5	100	0
VN141033	2	6	0	100
VN141033	3	19	200	0
VN141034	1	13	200	0
VN141035	1	13	500	0
VN141035	2	5	200	0
VN141035	3	6	200	0
VN141036	1	13	500	0
VN141037	1	13	150	0
VN141037	2	21	50	0
VN141039	1	13	200	0
VN141040	1	5	100	0
VN141040	2	6	100	0
VN141041	1	13	400	0
VN141042	1	13	300	200
VN141042	2	5	50	100
VN141043	1	13	100	0
VN141043	2	5	100	100
VN141044	1	19	100	0
VN141044	2	21	10	0
VN141045	1	13	150	0
VN141045	2	5	20	0
VN141045	3	6	20	0
VN141047	1	13	200	0
VN141047	2	5	100	50
VN141047	3	19	100	0
VN141048	1	13	200	0
VN141048	2	21	10	0
VN141049	1	19	100	100
VN141049	2	13	50	0
VN141050	1	5	200	50
VN141050	2	6	200	50
VN141050	3	13	300	100
VN141050	4	19	50	100
VN141051	1	13	100	0
VN141051	2	21	15	0
VN141052	1	13	5000	0
VN141066	1	5	3000	0
VN141073	1	21	100	0
VN141073	2	19	10	0
VN151001	1	5	150	100
VN151001	2	6	150	100
VN151003	1	6	250	0
VN151004	1	1	200	20
VN151006	1	21	30	0
VN151007	1	13	500	0
VN151008	1	21	60	0
VN151012	1	21	50	0
VN151014	1	1	30	0
VN151016	1	6	400	0
VN151017	1	21	30	0
VN151021	1	21	30	0
VN151022	1	5	1000	0
VN151025	1	21	100	0
VN151029	1	21	80	0
VN151030	1	21	50	0
VN151030	2	1	100	0
VN151031	1	6	300	0
VN151031	2	5	400	0
VN151031	3	21	15	0
VN151032	1	21	50	0
VN151036	1	5	100	-77
VN151036	2	6	100	-77
VN151036	3	21	150	-77
VN151037	1	21	20	0
VN151038	1	21	320	0
VN151040	1	21	100	0
VN151040	2	1	500	0
VN151042	1	21	20	0
VN151043	1	21	15	0
VN151044	1	21	50	0
VN151046	1	21	20	0
VN151049	1	21	50	0
VN151079	1	21	100	0
VN161001	1	21	20	0
VN161002	1	21	50	0
VN161002	2	1	1000	0
VN161004	1	21	50	0
VN161004	2	19	40	20
VN161004	3	5	0	50
VN161004	4	6	0	50
VN161005	1	1	300	100
VN161006	1	13	400	100
VN161006	2	5	0	200
VN161006	3	6	300	100
VN161006	4	21	30	-99
VN161007	1	21	20	0
VN161010	1	21	100	0
VN161011	1	1	300	-77
VN161012	1	21	20	0
VN161012	2	7	50	0
VN161013	1	21	50	0
VN161017	1	21	5	0
VN161020	1	21	50	0
VN161020	2	1	200	0
VN161021	1	1	50	0
VN161022	1	21	20	0
VN161023	1	21	20	0
VN161024	1	21	35	0
VN161024	2	6	200	0
VN161025	1	21	20	0
VN161026	1	21	15	8
VN161028	1	21	50	0
VN161029	1	21	20	0
VN161030	1	21	50	0
VN161030	2	1	0	100
VN161031	1	21	0	12
VN161031	2	13	120	0
VN161032	1	21	200	0
VN161032	2	6	500	0
VN161032	3	5	500	0
VN161033	1	21	30	0
VN161033	2	1	300	0
VN161034	1	21	80	0
VN161034	2	5	50	0
VN161034	3	6	50	0
VN161035	1	21	15	0
VN161036	1	21	10	0
VN161036	2	1	50	0
VN161037	1	5	100	50
VN161038	1	21	18	0
VN161038	2	5	0	60
VN161038	3	6	0	30
VN161042	1	21	20	18
VN161042	2	5	20	0
VN161042	3	6	20	0
VN161043	1	21	30	0
VN161043	2	1	500	200
VN161044	1	21	12	8
VN161046	1	21	20	0
VN161048	1	21	20	0
VN161048	2	1	0	50
VN161049	1	21	10	12
VN171003	1	21	100	0
VN171005	1	21	100	0
VN171006	1	14	150	0
VN171007	1	21	200	0
VN171008	1	21	10	0
VN171012	1	21	100	0
VN171013	1	14	200	50
VN171013	2	21	400	0
VN171015	1	14	200	0
VN171017	1	19	200	0
VN171017	2	21	200	0
VN171017	3	6	500	100
VN171017	4	5	500	100
VN171017	5	14	200	0
VN171018	1	5	2000	300
VN171018	2	6	2000	300
VN171018	3	19	500	0
VN171018	4	21	500	0
VN171019	1	21	100	0
VN171020	1	21	-77	0
VN171022	1	21	4500	0
VN171023	1	6	7200	2000
VN171023	2	13	8000	3000
VN171023	3	21	200	0
VN171024	1	21	100	0
VN171027	1	14	400	0
VN171027	2	21	600	0
VN171034	1	14	300	0
VN171034	2	19	400	0
VN171038	1	21	10	0
VN171040	1	19	0	50
VN171040	2	21	50	0
VN171042	1	14	200	0
VN171043	1	14	300	0
VN171044	1	21	-77	0
VN171045	1	21	200	0
VN171045	2	6	2400	0
VN171046	1	21	0	36
VN171049	1	14	500	0
VN171049	2	19	700	100
VN171051	1	21	-77	0
VN171052	1	5	2500	0
VN171052	2	6	2500	0
VN171053	1	19	200	0
VN171053	2	21	200	0
VN171057	1	14	500	0
VN171057	2	13	1200	0
VN171057	3	19	1000	100
VN171057	4	21	1500	0
VN171063	1	14	240	0
VN171063	2	21	300	0
VN171080	1	14	200	0
VN181001	1	21	70	0
VN181002	1	21	500	0
VN181003	1	19	1200	0
VN181003	2	21	200	0
VN181005	1	21	300	0
VN181006	1	21	500	0
VN181006	2	1	1000	0
VN181009	1	21	300	0
VN181011	1	19	600	0
VN181011	2	21	50	0
VN181012	1	21	5600	0
VN181013	1	7	2000	0
VN181013	2	14	2000	0
VN181013	3	21	2000	0
VN181014	1	21	32	0
VN181015	1	21	10	0
VN181016	1	21	70	0
VN181017	1	21	400	0
VN181018	1	7	700	0
VN181019	1	21	250	0
