PLACEID	HLEQIDR4	HAVEEQ	EQPWRK
1507	3	0	 
1507	4	1	1
1507	5	0	 
1507	6	0	 
1507	7	0	 
1507	8	1	1
1507	9	0	 
1507	10	1	1
1507	11	0	 
1507	12	0	 
1507	13	0	 
1507	14	1	2
1507	15	0	 
1507	16	1	1
1507	17	0	 
1507	18	0	 
1507	19	1	1
1507	20	1	1
1508	1	0	 
1508	2	0	 
1508	3	0	 
1508	4	1	2
1508	5	0	 
1508	6	0	 
1508	7	0	 
1508	8	1	1
1508	9	0	 
1508	10	1	1
1508	11	0	 
1508	12	0	 
1508	13	0	 
1508	14	0	 
1508	15	0	 
1508	16	0	 
1508	17	0	 
1508	18	0	 
1508	19	0	 
1508	20	0	 
1509	1	1	1
1509	2	1	4
1509	3	1	1
1509	4	1	2
1509	5	0	 
1509	6	0	 
1509	7	0	 
1509	8	1	1
1509	9	1	1
1509	10	1	1
1509	11	1	1
1509	12	1	1
1509	13	1	4
1509	14	0	 
1509	15	1	2
1509	16	1	1
1509	17	0	 
1509	18	1	1
1509	19	1	1
1509	20	1	1
1601	1	0	 
1601	2	0	 
1601	3	1	1
1601	4	1	1
1601	5	0	 
1601	6	0	 
1601	7	0	 
1601	8	1	1
1601	9	0	 
1601	10	1	1
1601	11	1	1
1601	12	1	1
1601	13	0	 
1601	14	1	1
1601	15	0	 
1601	16	1	1
1601	17	0	 
1601	18	1	1
1601	19	0	 
1601	20	0	 
1602	1	0	 
1602	2	0	 
1602	3	1	1
1602	4	1	1
1602	5	0	 
1602	6	0	 
1602	7	0	 
1602	8	1	1
1602	9	0	 
1602	10	0	 
1602	11	1	1
1602	12	0	 
1602	13	0	 
1602	14	1	1
1602	15	0	 
1602	16	1	1
1602	17	0	 
1602	18	1	1
1602	19	0	 
1602	20	0	 
1603	1	0	 
1603	2	0	 
1603	3	0	 
1603	4	1	1
1603	5	0	 
1603	6	0	 
1603	7	0	 
1603	8	0	 
1603	9	0	 
1603	10	0	 
1603	11	0	 
1603	12	0	 
1603	13	0	 
1603	14	1	1
1603	15	0	 
1603	16	0	 
1603	17	0	 
1603	18	0	 
1603	19	0	 
1603	20	0	 
1604	1	0	 
1604	2	0	 
1604	3	0	 
1604	4	1	1
1604	5	0	 
1604	6	0	 
1604	7	0	 
1604	8	0	 
1604	9	0	 
1604	10	0	 
1604	11	0	 
1604	12	0	 
1604	13	0	 
1604	14	1	1
1604	15	0	 
1604	16	0	 
1604	17	0	 
1604	18	0	 
1604	19	0	 
1604	20	0	 
1605	1	0	 
1605	2	0	 
1605	3	0	 
1605	4	0	 
1605	5	0	 
1605	6	0	 
1605	7	0	 
1605	8	0	 
1605	9	0	 
1605	10	0	 
1605	11	0	 
1605	12	0	 
1605	13	0	 
1605	14	0	 
1605	15	0	 
1605	16	1	1
1605	17	1	1
1605	18	0	 
1605	19	0	 
1605	20	0	 
1606	1	0	 
1606	2	0	 
1606	3	0	 
1606	4	1	1
1606	5	0	 
1606	6	0	 
1606	7	0	 
1606	8	0	 
1606	9	0	 
1606	10	0	 
1606	11	0	 
1606	12	0	 
1606	13	0	 
1606	14	1	1
1606	15	0	 
1606	16	1	1
1606	17	0	 
1606	18	0	 
1606	19	1	1
1606	20	0	 
1607	1	0	 
1607	2	0	 
1607	3	0	 
1607	4	1	1
1607	5	0	 
1607	6	0	 
1607	7	0	 
1607	8	0	 
1607	9	0	 
1607	10	0	 
1607	11	0	 
1607	12	0	 
1607	13	0	 
1607	14	1	1
1607	15	0	 
1607	16	0	 
1607	17	0	 
1607	18	0	 
1607	19	0	 
1607	20	0	 
1608	1	0	 
1608	2	0	 
1608	3	0	 
1608	4	1	1
1608	5	0	 
1608	6	0	 
1608	7	0	 
1608	8	0	 
1608	9	0	 
1608	10	0	 
1608	11	0	 
1608	12	0	 
1608	13	0	 
1608	14	1	1
1608	15	0	 
1608	16	1	1
1608	17	0	 
1608	18	0	 
1608	19	1	1
1608	20	0	 
1701	1	0	 
1701	2	0	 
1701	3	0	 
1701	4	0	 
1701	5	0	 
1701	6	0	 
1701	7	0	 
1701	8	0	 
1701	9	0	 
1701	10	0	 
1701	11	0	 
1701	12	0	 
1701	13	0	 
1701	14	1	2
1701	15	0	 
1701	16	0	 
1701	17	0	 
1701	18	0	 
1701	19	0	 
1701	20	0	 
1702	1	0	 
1702	2	0	 
1702	3	0	 
1702	4	1	3
1702	5	0	 
1702	6	0	 
1702	7	0	 
1702	8	1	1
1702	9	0	 
1702	10	1	1
1702	11	0	 
1702	12	0	 
1702	13	0	 
1702	14	0	 
1702	15	0	 
1702	16	1	1
1702	17	0	 
1702	18	1	1
1702	19	0	 
1702	20	0	 
1703	1	0	 
1703	2	0	 
1703	3	0	 
1703	4	1	1
1703	5	0	 
1703	6	0	 
1703	7	0	 
1703	8	0	 
1703	9	0	 
1703	10	0	 
1703	11	0	 
1703	12	0	 
1703	13	0	 
1703	14	0	 
1703	15	0	 
1703	16	0	 
1703	17	0	 
1703	18	0	 
1703	19	1	1
1703	20	0	 
1704	1	0	 
1704	2	0	 
1704	3	0	 
1704	4	1	1
1704	5	0	 
1704	6	0	 
1704	7	0	 
1704	8	0	 
1704	9	0	 
1704	10	0	 
1704	11	0	 
1704	12	0	 
1704	13	0	 
1704	14	0	 
1704	15	0	 
1704	16	0	 
1704	17	0	 
1704	18	0	 
1704	19	1	1
1704	20	0	 
1705	1	0	 
1705	2	0	 
1705	3	0	 
1705	4	1	2
1705	5	0	 
1705	6	0	 
1705	7	0	 
1705	8	1	1
1705	9	0	 
1705	10	1	1
1705	11	0	 
1705	12	1	1
1705	13	1	1
1705	14	1	1
1705	15	0	 
1705	16	1	1
1705	17	1	1
1705	18	1	2
1705	19	0	 
1705	20	0	 
1706	1	0	 
1706	2	0	 
1706	3	0	 
1706	4	1	2
1706	5	0	 
1706	6	0	 
1706	7	0	 
1706	8	1	1
1706	9	0	 
1706	10	1	1
1706	11	0	 
1706	12	0	 
1706	13	0	 
1706	14	0	 
1706	15	0	 
1706	16	1	1
1706	17	0	 
1706	18	1	1
1706	19	0	 
1706	20	0	 
1708	1	0	 
1708	2	0	 
1708	3	0	 
1708	4	1	2
1708	5	0	 
1708	6	0	 
1708	7	0	 
1708	8	1	1
1708	9	0	 
1708	10	1	1
1708	11	0	 
1708	12	1	1
1708	13	1	1
1708	14	1	1
1708	15	0	 
1708	16	1	1
1708	17	1	1
1708	18	1	2
1708	19	0	 
1708	20	0	 
1709	1	0	 
1709	2	0	 
1709	3	0	 
1709	4	1	1
1709	5	0	 
1709	6	0	 
1709	7	0	 
1709	8	1	1
1709	9	0	 
1709	10	1	1
1709	11	0	 
1709	12	1	1
1709	13	1	1
1709	14	1	1
1709	15	0	 
1709	16	1	1
1709	17	1	1
1709	18	1	1
1709	19	0	 
1709	20	0	 
1710	1	1	2
1710	2	1	1
1710	3	1	1
1710	4	1	1
1710	5	0	 
1710	6	0	 
1710	7	0	 
1710	8	1	1
1710	9	1	1
1710	10	1	1
1710	11	1	1
1710	12	1	1
1710	13	1	1
1710	14	1	1
1710	15	1	1
1710	16	1	1
1710	17	1	1
1710	18	1	1
1710	19	0	 
1710	20	0	 
1711	1	0	 
1711	2	0	 
1711	3	0	 
1711	4	1	1
1711	5	0	 
1711	6	0	 
1711	7	0	 
1711	8	0	 
1711	9	0	 
1711	10	0	 
1711	11	0	 
1711	12	0	 
1711	13	0	 
1711	14	0	 
1711	15	0	 
1711	16	0	 
1711	17	0	 
1711	18	0	 
1711	19	1	1
1711	20	0	 
1801	1	0	 
1801	2	0	 
1801	3	0	 
1801	4	1	1
1801	5	0	 
1801	6	0	 
1801	7	0	 
1801	8	0	 
1801	9	0	 
1801	10	0	 
1801	11	0	 
1801	12	0	 
1801	13	0	 
1801	14	1	1
1801	15	0	 
1801	16	1	1
1801	17	0	 
1801	18	1	1
1801	19	1	1
1801	20	1	1
1802	1	0	 
1802	2	0	 
1802	3	0	 
1802	4	1	1
1802	5	0	 
1802	6	0	 
1802	7	0	 
1802	8	0	 
1802	9	0	 
1802	10	0	 
1802	11	0	 
1802	12	0	 
1802	13	0	 
1802	14	1	1
1802	15	0	 
1802	16	1	1
1802	17	0	 
1802	18	1	1
1802	19	1	1
1802	20	1	1
1803	1	0	 
1803	2	0	 
1803	3	0	 
1803	4	1	1
1803	5	0	 
1803	6	0	 
1803	7	0	 
1803	8	0	 
1803	9	0	 
1803	10	0	 
1803	11	0	 
1803	12	0	 
1803	13	0	 
1803	14	0	 
1803	15	0	 
1803	16	1	1
1803	17	0	 
1803	18	0	 
1803	19	0	 
1803	20	0	 
1804	1	0	 
1804	2	0	 
1804	3	0	 
1804	4	1	1
1804	5	0	 
1804	6	0	 
1804	7	0	 
1804	8	0	 
1804	9	0	 
1804	10	0	 
1804	11	0	 
1804	12	0	 
1804	13	0	 
1804	14	1	2
1804	15	0	 
1804	16	1	1
1804	17	0	 
1804	18	1	1
1804	19	1	1
1804	20	1	1
1806	1	0	 
1806	2	0	 
1806	3	0	 
1806	4	1	1
1806	5	0	 
1806	6	0	 
1806	7	0	 
1806	8	0	 
1806	9	0	 
1806	10	0	 
1806	11	0	 
1806	12	0	 
1806	13	0	 
1806	14	0	 
1806	15	0	 
1806	16	1	1
1806	17	0	 
1806	18	0	 
1806	19	0	 
1806	20	0	 
1807	1	0	 
1807	2	1	1
1807	3	1	1
1807	4	1	1
1807	5	0	 
1807	6	0	 
1807	7	0	 
1807	8	0	 
1807	9	1	1
1807	10	1	1
1807	11	0	 
1807	12	1	1
1807	13	0	 
1807	14	1	1
1807	15	0	 
1807	16	1	1
1807	17	0	 
1807	18	1	1
1807	19	0	 
1807	20	0	 
1901	1	0	 
1901	2	0	 
1901	3	0	 
1901	4	1	1
1901	5	0	 
1901	6	0	 
1901	7	0	 
1901	8	1	1
1901	9	0	 
1901	10	1	1
1901	11	0	 
1901	12	0	 
1901	13	0	 
1901	14	0	 
1901	15	0	 
1901	16	1	1
1901	17	1	1
1901	18	1	1
1901	19	1	1
1901	20	1	1
1902	1	0	 
1902	2	0	 
1902	3	0	 
1902	4	1	1
1902	5	0	 
1902	6	0	 
1902	7	0	 
1902	8	0	 
1902	9	0	 
1902	10	0	 
1902	11	0	 
1902	12	0	 
1902	13	0	 
1902	14	1	1
1902	15	0	 
1902	16	0	 
1902	17	0	 
1902	18	0	 
1902	19	1	1
1902	20	0	 
1903	1	0	 
1903	2	0	 
1903	3	0	 
1903	4	0	 
1903	5	0	 
1903	6	0	 
1903	7	0	 
1903	8	0	 
1903	9	0	 
1903	10	0	 
1903	11	0	 
1903	12	0	 
1903	13	0	 
1903	14	1	1
1903	15	0	 
1903	16	0	 
1903	17	0	 
1903	18	0	 
1903	19	0	 
1903	20	0	 
1904	1	1	1
1904	2	1	4
1904	3	1	1
1904	4	1	1
1904	5	0	 
1904	6	0	 
1904	7	0	 
1904	8	1	1
1904	9	1	4
1904	10	1	1
1904	11	1	4
1904	12	1	4
1904	13	1	4
1904	14	1	1
1904	15	1	4
1904	16	1	1
1904	17	1	4
1904	18	1	1
1904	19	0	 
1904	20	0	 
1905	1	0	 
1905	2	0	 
1905	3	0	 
1905	4	1	1
1905	5	0	 
1905	6	0	 
1905	7	0	 
1905	8	0	 
1905	9	0	 
1905	10	0	 
1905	11	0	 
1905	12	0	 
1905	13	0	 
1905	14	1	1
1905	15	0	 
1905	16	0	 
1905	17	0	 
1905	18	1	1
1905	19	0	 
1905	20	0	 
2001	1	0	 
2001	2	0	 
2001	3	1	1
2001	4	1	1
2001	5	0	 
2001	6	0	 
2001	7	0	 
2001	8	1	1
2001	9	0	 
2001	10	1	1
2001	11	0	 
2001	12	1	2
2001	13	0	 
2001	14	1	2
2001	15	0	 
2001	16	1	1
2001	17	0	 
2001	18	1	1
2001	19	0	 
2001	20	0	 
2002	1	1	1
2002	2	1	1
2002	3	1	1
2002	4	1	1
2002	5	1	1
2002	6	0	 
2002	7	0	 
2002	8	1	1
2002	9	1	1
2002	10	1	1
2002	11	1	1
2002	12	1	1
2002	13	1	1
2002	14	1	1
2002	15	1	1
2002	16	1	1
2002	17	1	1
2002	18	1	1
2002	19	0	 
2002	20	0	 
2003	1	0	 
2003	2	0	 
2003	3	0	 
2003	4	1	1
2003	5	0	 
2003	6	0	 
2003	7	0	 
2003	8	0	 
2003	9	0	 
2003	10	0	 
2003	11	0	 
2003	12	0	 
2003	13	0	 
2003	14	0	 
2003	15	0	 
2003	16	1	1
2003	17	0	 
2003	18	1	1
2003	19	0	 
2003	20	0	 
2004	1	0	 
2004	2	0	 
2004	3	1	1
2004	4	1	1
2004	5	0	 
2004	6	0	 
2004	7	0	 
2004	8	1	1
2004	9	0	 
2004	10	1	1
2004	11	0	 
2004	12	1	2
2004	13	0	 
2004	14	1	2
2004	15	0	 
2004	16	1	1
2004	17	0	 
2004	18	1	1
2004	19	0	 
2004	20	0	 
2005	1	0	 
2005	2	0	 
2005	3	0	 
2005	4	1	1
2005	5	0	 
2005	6	0	 
2005	7	0	 
2005	8	0	 
2005	9	0	 
2005	10	0	 
2005	11	0	 
2005	12	0	 
2005	13	0	 
2005	14	0	 
2005	15	0	 
2005	16	1	1
2005	17	0	 
2005	18	1	1
2005	19	0	 
2005	20	0	 
2006	1	0	 
2006	2	0	 
2006	3	0	 
2006	4	1	1
2006	5	0	 
2006	6	0	 
2006	7	0	 
2006	8	0	 
2006	9	0	 
2006	10	0	 
2006	11	0	 
2006	12	0	 
2006	13	0	 
2006	14	0	 
2006	15	0	 
2006	16	1	1
2006	17	0	 
2006	18	1	1
2006	19	1	1
2006	20	0	 
2007	1	0	 
2007	2	0	 
2007	3	1	1
2007	4	1	1
2007	5	0	 
2007	6	0	 
2007	7	0	 
2007	8	1	1
2007	9	0	 
2007	10	1	1
2007	11	1	4
2007	12	1	1
2007	13	0	 
2007	14	1	1
2007	15	1	4
2007	16	1	1
2007	17	0	 
2007	18	1	1
2007	19	0	 
2007	20	0	 
2008	1	0	 
2008	2	0	 
2008	3	0	 
2008	4	0	 
2008	5	0	 
2008	6	0	 
2008	7	0	 
2008	8	0	 
2008	9	0	 
2008	10	0	 
2008	11	0	 
2008	12	0	 
2008	13	0	 
2008	14	0	 
2008	15	0	 
2008	16	1	1
2008	17	0	 
2008	18	0	 
2008	19	0	 
2008	20	0	 
8002	1	1	1
8002	2	1	1
8002	3	1	1
8002	4	1	1
8002	5	1	1
8002	6	1	1
8002	7	1	1
8002	8	1	1
8002	9	1	1
8002	10	1	1
8002	11	1	1
8002	12	1	1
8002	13	1	1
8002	14	1	1
8002	15	1	1
8002	16	1	1
8002	17	1	1
8002	18	1	1
8002	19	1	1
8002	20	0	88
8003	1	0	 
8003	2	1	1
8003	3	1	1
8003	4	1	1
8003	5	0	 
8003	6	0	 
8003	7	0	 
8003	8	1	1
8003	9	0	 
8003	10	1	1
8003	11	1	1
8003	12	0	 
8003	13	0	 
8003	14	0	 
8003	15	0	 
8003	16	1	1
8003	17	1	1
8003	18	1	1
8003	19	1	1
8003	20	1	1
8004	1	1	2
8004	2	1	2
8004	3	1	1
8004	4	1	1
8004	5	0	 
8004	6	0	 
8004	7	0	 
8004	8	1	1
8004	9	1	1
8004	10	1	1
8004	11	1	1
8004	12	1	1
8004	13	1	1
8004	14	1	1
8004	15	1	1
8004	16	1	1
8004	17	0	 
8004	18	1	3
8004	19	1	3
8004	20	0	 
8006	1	0	 
8006	2	0	 
8006	3	1	1
8006	4	1	1
8006	5	0	 
8006	6	0	 
8006	7	0	 
8006	8	1	2
8006	9	0	 
8006	10	1	2
8006	11	0	 
8006	12	1	3
8006	13	0	 
8006	14	1	2
8006	15	0	 
8006	16	1	1
8006	17	0	 
8006	18	1	2
8006	19	1	1
8006	20	1	1
8007	1	1	1
8007	2	0	 
8007	3	1	1
8007	4	1	1
8007	5	0	 
8007	6	0	 
8007	7	0	 
8007	8	1	1
8007	9	0	 
8007	10	1	1
8007	11	1	1
8007	12	0	 
8007	13	0	 
8007	14	0	 
8007	15	0	 
8007	16	1	1
8007	17	0	 
8007	18	1	1
8007	19	0	 
8007	20	0	 
8008	1	1	1
8008	2	1	1
8008	3	1	1
8008	4	1	1
8008	5	1	1
8008	6	0	 
8008	7	1	1
8008	8	1	1
8008	9	1	1
8008	10	1	1
8008	11	1	1
8008	12	1	1
8008	13	1	1
8008	14	1	1
8008	15	1	1
8008	16	1	1
8008	17	1	1
8008	18	1	1
8008	19	1	1
8008	20	0	 
8010	1	1	1
8010	2	1	1
8010	3	1	1
8010	4	1	1
8010	5	0	 
8010	6	0	 
8010	7	0	 
8010	8	1	1
8010	9	1	1
8010	10	1	1
8010	11	1	1
8010	12	1	1
8010	13	1	1
8010	14	1	1
8010	15	1	1
8010	16	1	1
8010	17	0	 
8010	18	1	1
8010	19	0	 
8010	20	0	 
8011	1	0	 
8011	2	0	 
8011	3	0	 
8011	4	1	1
8011	5	0	 
8011	6	0	 
8011	7	0	 
8011	8	0	 
8011	9	0	 
8011	10	1	1
8011	11	0	 
8011	12	0	 
8011	13	0	 
8011	14	0	 
8011	15	0	 
8011	16	0	 
8011	17	0	 
8011	18	0	 
8011	19	1	1
8011	20	1	1
8012	1	0	 
8012	2	0	 
8012	3	1	1
8012	4	1	1
8012	5	0	 
8012	6	0	 
8012	7	0	 
8012	8	1	1
8012	9	0	 
8012	10	1	1
8012	11	0	 
8012	12	1	1
8012	13	0	 
8012	14	1	1
8012	15	0	 
8012	16	1	1
8012	17	0	 
8012	18	1	1
8012	19	1	1
8012	20	1	1
8014	1	1	1
8014	2	1	1
8014	3	1	1
8014	4	1	2
8014	5	0	 
8014	6	0	 
8014	7	0	 
8014	8	1	1
8014	9	1	1
8014	10	1	1
8014	11	1	1
8014	12	1	1
8014	13	1	1
8014	14	1	1
8014	15	1	1
8014	16	1	2
8014	17	1	1
8014	18	1	1
8014	19	1	1
8014	20	0	 
8015	1	1	1
8015	2	1	1
8015	3	1	1
8015	4	1	2
8015	5	0	 
8015	6	0	 
8015	7	0	 
8015	8	1	1
8015	9	1	1
8015	10	1	1
8015	11	1	1
8015	12	1	1
8015	13	1	1
8015	14	1	1
8015	15	1	1
8015	16	1	2
8015	17	1	1
8015	18	1	1
8015	19	1	1
8015	20	0	 
8016	1	1	1
8016	2	1	2
8016	3	1	1
8016	4	1	1
8016	5	0	 
8016	6	0	 
8016	7	0	 
8016	8	1	1
8016	9	0	 
8016	10	1	1
8016	11	1	1
8016	12	1	1
8016	13	1	1
8016	14	1	2
8016	15	1	1
8016	16	1	1
8016	17	0	 
8016	18	1	1
8016	19	0	 
8016	20	0	 
8017	1	1	1
8017	2	1	1
8017	3	1	1
8017	4	1	2
8017	5	1	2
8017	6	0	 
8017	7	0	 
8017	8	1	2
8017	9	1	2
8017	10	1	1
8017	11	1	1
8017	12	1	1
8017	13	1	2
8017	14	1	1
8017	15	1	1
8017	16	1	1
8017	17	1	3
8017	18	1	1
8017	19	0	 
8017	20	0	 
8018	1	0	 
8018	2	0	 
8018	3	0	 
8018	4	1	1
8018	5	0	 
8018	6	0	 
8018	7	0	 
8018	8	1	1
8018	9	0	 
8018	10	1	1
8018	11	0	 
8018	12	0	 
8018	13	0	 
8018	14	1	1
8018	15	0	 
8018	16	1	88
8018	17	0	 
8018	18	1	88
8018	19	0	 
8018	20	0	 
8019	1	0	 
8019	2	0	 
8019	3	0	 
8019	4	1	3
8019	5	0	 
8019	6	0	 
8019	7	0	 
8019	8	1	1
8019	9	0	 
8019	10	1	1
8019	11	0	 
8019	12	0	 
8019	13	0	 
8019	14	1	1
8019	15	0	 
8019	16	1	2
8019	17	0	 
8019	18	1	1
8019	19	1	1
8019	20	1	3
8020	1	0	 
8020	2	1	2
8020	3	1	1
8020	4	1	1
8020	5	0	 
8020	6	0	 
8020	7	0	 
8020	8	1	1
8020	9	0	 
8020	10	1	1
8020	11	1	1
8020	12	1	1
8020	13	1	1
8020	14	1	1
8020	15	0	 
8020	16	1	1
8020	17	0	 
8020	18	1	1
8020	19	0	 
8020	20	0	 
8021	1	0	 
8021	2	0	 
8021	3	1	4
8021	4	1	1
8021	5	0	 
8021	6	0	 
8021	7	0	 
8021	8	0	 
8021	9	0	 
8021	10	1	1
8021	11	0	 
8021	12	0	 
8021	13	0	 
8021	14	1	1
8021	15	0	 
8021	16	0	 
8021	17	1	1
8021	18	1	1
8021	19	1	1
8021	20	0	 
8022	1	0	 
8022	2	1	1
8022	3	1	2
8022	4	1	2
8022	5	0	 
8022	6	0	 
8022	7	0	 
8022	8	1	1
8022	9	0	 
8022	10	1	1
8022	11	0	 
8022	12	1	4
8022	13	0	 
8022	14	1	2
8022	15	1	4
8022	16	1	1
8022	17	1	2
8022	18	1	1
8022	19	0	 
8022	20	0	 
8023	1	0	 
8023	2	0	 
8023	3	0	 
8023	4	1	1
8023	5	0	 
8023	6	0	 
8023	7	0	 
8023	8	1	1
8023	9	0	 
8023	10	1	1
8023	11	0	 
8023	12	0	 
8023	13	0	 
8023	14	1	1
8023	15	0	 
8023	16	1	1
8023	17	0	 
8023	18	1	1
8023	19	1	1
8023	20	1	1
8024	1	0	 
8024	2	0	 
8024	3	0	 
8024	4	1	1
8024	5	0	 
8024	6	0	 
8024	7	0	 
8024	8	1	1
8024	9	0	 
8024	10	1	1
8024	11	0	 
8024	12	0	 
8024	13	0	 
8024	14	0	 
8024	15	0	 
8024	16	1	1
8024	17	0	 
8024	18	0	 
8024	19	1	1
8024	20	1	1
8025	1	1	2
8025	2	1	2
8025	3	1	2
8025	4	1	2
8025	5	0	 
8025	6	0	 
8025	7	0	 
8025	8	1	2
8025	9	1	2
8025	10	1	2
8025	11	1	2
8025	12	1	2
8025	13	1	2
8025	14	1	2
8025	15	1	2
8025	16	1	2
8025	17	1	2
8025	18	1	2
8025	19	1	2
8025	20	1	2
8026	1	1	2
8026	2	1	2
8026	3	1	2
8026	4	1	2
8026	5	1	1
8026	6	0	 
8026	7	0	 
8026	8	1	2
8026	9	1	2
8026	10	1	2
8026	11	1	2
8026	12	1	2
8026	13	1	2
8026	14	1	1
8026	15	1	2
8026	16	1	2
8026	17	1	2
8026	18	1	2
8026	19	1	2
8026	20	1	3
8027	1	1	1
8027	2	1	1
8027	3	1	1
8027	4	1	1
8027	5	1	1
8027	6	0	 
8027	7	0	 
8027	8	1	1
8027	9	1	1
8027	10	1	1
8027	11	1	1
8027	12	1	1
8027	13	1	1
8027	14	1	1
8027	15	1	1
8027	16	1	1
8027	17	1	1
8027	18	1	1
8027	19	0	 
8027	20	0	 
8028	1	1	1
8028	2	1	1
8028	3	1	1
8028	4	1	1
8028	5	0	 
8028	6	0	 
8028	7	0	 
8028	8	1	1
8028	9	0	 
8028	10	1	1
8028	11	0	 
8028	12	0	 
8028	13	0	 
8028	14	0	 
8028	15	0	 
8028	16	1	1
8028	17	0	 
8028	18	1	1
8028	19	1	1
8028	20	1	1
