PLACEID	HLTHIDR4	HLTHCURR	HLTHTIM	HLTHTRN
507	3	0	25	6
507	4	0	10	3
507	5	0	25	6
507	6	0	25	6
507	7	0	5	3
507	8	0	25	6
507	9	0	25	6
507	10	0	5	5
507	11	0	25	6
507	12	88	 	 
508	1	0	20	5
508	2	0	30	6
508	3	0	20	6
508	4	0	10	5
508	5	0	20	6
508	6	0	20	5
508	7	0	15	5
508	8	0	20	5
508	9	0	30	6
508	10	0	15	5
508	11	0	30	6
508	12	88	 	 
509	1	0	20	6
509	2	0	25	6
509	3	0	20	6
509	4	1	 	 
509	5	0	20	6
509	6	0	20	6
509	7	0	20	6
509	8	1	20	6
509	9	0	25	6
509	10	1	 	 
509	11	0	25	6
509	12	88	 	 
510	1	0	20	6
510	2	0	25	6
510	3	0	20	6
510	4	1	 	 
510	5	0	20	6
510	6	0	20	6
510	7	0	15	5
510	8	1	 	 
510	9	0	25	6
510	10	1	 	 
510	11	0	25	6
510	12	88	 	 
511	1	0	60	6
511	2	0	90	6
511	3	0	90	6
511	4	0	10	6
511	5	0	90	6
511	6	0	60	6
511	7	0	5	6
511	8	0	10	6
511	9	0	90	6
511	10	0	5	6
511	11	0	60	6
511	12	88	 	 
512	1	0	60	6
512	2	0	90	6
512	3	0	60	6
512	4	1	 	 
512	5	0	30	6
512	6	0	60	6
512	7	0	10	5
512	8	0	60	5
512	9	0	60	5
512	10	1	 	 
512	11	0	180	6
512	12	88	 	 
601	1	0	5	5
601	2	0	15	5
601	3	0	5	5
601	4	1	 	 
601	5	0	10	5
601	6	0	5	5
601	7	0	3	5
601	8	0	5	5
601	9	0	5	5
601	10	1	 	 
601	11	0	5	5
601	12	88	 	 
602	1	1	 	 
602	2	1	 	 
602	3	1	 	 
602	4	1	 	 
602	5	1	 	 
602	6	1	 	 
602	7	0	10	5
602	8	1	 	 
602	9	1	 	 
602	10	1	 	 
602	11	1	 	 
602	12	88	 	 
701	1	0	30	7
701	2	0	15	7
701	3	0	15	7
701	4	0	10	7
701	5	0	40	7
701	6	0	15	7
701	7	1	 	 
701	8	1	 	 
701	9	0	15	7
701	10	1	 	 
701	11	0	-77	88
701	12	88	 	 
702	1	0	30	7
702	2	0	15	7
702	3	0	15	7
702	4	1	 	 
702	5	0	40	7
702	6	0	15	7
702	7	0	20	7
702	8	1	 	 
702	9	0	15	7
702	10	1	 	 
702	11	0	-77	88
702	12	88	 	 
703	1	0	30	7
703	2	0	15	7
703	3	0	15	7
703	4	1	 	 
703	5	0	40	7
703	6	0	15	7
703	7	0	20	7
703	8	1	 	 
703	9	0	15	7
703	10	0	5	1
703	11	0	-77	88
703	12	88	 	 
704	1	0	15	7
704	2	0	20	7
704	3	0	15	7
704	4	0	10	7
704	5	0	20	7
704	6	0	10	7
704	7	0	10	5
704	8	0	15	7
704	9	0	15	7
704	10	1	 	 
704	11	0	-77	88
704	12	88	 	 
801	1	1	 	 
801	2	0	30	7
801	3	0	30	7
801	4	0	5	5
801	5	0	5	5
801	6	1	 	 
