PLACEID	SCPRIDR4	PRBLCTLY	AGSTPRB	O4YRDIMS
305	6	0	0	88
305	7	0	0	88
305	8	0	0	88
305	9	0	0	88
305	10	0	0	88
305	11	88	 	 
306	1	0	0	88
306	2	1	1	1
306	3	0	0	88
306	4	0	0	88
306	5	0	0	88
306	6	0	0	88
306	7	0	0	88
306	8	0	0	88
306	9	1	1	1
306	10	1	1	1
306	11	88	 	 
307	1	0	0	88
307	2	0	0	88
307	3	0	0	88
307	4	0	0	88
307	5	0	0	88
307	6	0	0	88
307	7	0	0	88
307	8	0	0	88
307	9	0	0	88
307	10	88	 	 
307	11	88	 	 
308	1	1	1	1
308	2	0	0	88
308	3	0	0	88
308	4	0	0	88
308	5	0	0	88
308	6	0	0	88
308	7	0	0	88
308	8	1	1	1
308	9	0	0	88
308	10	1	1	1
308	11	88	 	 
309	1	0	0	88
309	2	0	0	88
309	3	0	0	88
309	4	0	0	88
309	5	0	0	88
309	6	0	0	88
309	7	0	0	88
309	8	0	0	88
309	9	0	0	88
309	10	1	1	1
309	11	1	1	1
310	1	0	0	88
310	2	0	0	88
310	3	0	0	88
310	4	0	0	88
310	5	0	0	88
310	6	0	0	88
310	7	0	0	88
310	8	0	0	88
310	9	0	0	88
310	10	88	 	 
310	11	88	 	 
311	1	0	0	88
311	2	1	1	1
311	3	0	0	88
311	4	0	0	88
311	5	0	0	88
311	6	0	0	88
311	7	0	0	88
311	8	1	1	1
311	9	0	0	88
311	10	1	0	5
311	11	0	0	0
312	1	0	0	88
312	2	0	0	88
312	3	0	0	88
312	4	0	0	88
312	5	0	0	88
312	6	0	0	88
312	7	0	0	88
312	8	0	0	88
312	9	0	0	88
312	10	88	 	 
312	11	88	 	 
313	1	0	0	88
313	2	0	0	88
313	3	0	0	88
313	4	0	0	88
313	5	0	0	88
313	6	0	0	88
313	7	0	0	88
313	8	0	0	88
313	9	0	0	88
313	10	0	0	88
313	11	0	0	88
314	1	1	1	1
314	2	0	0	88
314	3	0	0	88
314	4	0	0	88
314	5	0	0	88
314	6	0	0	88
314	7	0	0	88
314	8	0	0	88
314	9	0	0	88
314	10	1	1	1
314	11	1	1	1
401	1	0	0	88
401	2	1	1	1
401	3	0	0	88
401	4	0	0	88
401	5	0	0	88
401	6	0	0	88
401	7	0	0	88
401	8	1	0	88
401	9	0	0	88
401	10	1	1	2
401	11	88	 	 
402	1	1	0	1
402	2	0	0	88
402	3	0	0	88
402	4	0	0	88
402	5	0	0	88
402	6	0	0	88
402	7	0	0	88
402	8	0	0	88
402	9	0	0	88
402	10	88	 	 
402	11	88	 	 
403	1	0	0	88
403	2	0	0	88
403	3	0	0	88
403	4	0	0	88
403	5	0	0	88
403	6	0	0	88
403	7	0	0	88
403	8	0	0	88
403	9	0	0	88
403	10	1	1	1
403	11	88	 	 
404	1	0	0	88
404	2	0	0	88
404	3	0	0	88
404	4	0	0	88
404	5	0	0	88
404	6	0	0	88
404	7	0	0	88
404	8	0	0	88
404	9	0	0	88
404	10	0	0	88
404	11	0	0	88
405	1	0	0	88
405	2	0	0	88
405	3	0	0	88
405	4	0	0	88
405	5	0	0	88
405	6	0	0	88
405	7	0	0	88
405	8	1	0	4
405	9	0	0	88
405	10	88	 	 
405	11	88	 	 
406	1	0	0	88
406	2	0	0	88
406	3	0	0	88
406	4	0	0	88
406	5	0	0	88
406	6	0	0	88
406	7	0	0	88
406	8	0	0	88
406	9	0	0	88
406	10	0	0	88
406	11	0	0	88
408	1	0	0	88
408	2	0	0	88
408	3	0	0	88
408	4	0	0	88
408	5	0	0	88
408	6	0	0	88
408	7	0	0	88
408	8	1	0	4
408	9	0	0	88
408	10	1	1	0
408	11	88	 	 
501	1	1	1	1
501	2	0	0	88
501	3	0	0	88
501	4	0	0	88
501	5	0	0	88
501	6	0	0	88
501	7	0	0	88
501	8	1	0	88
501	9	0	0	88
501	10	1	0	88
501	11	88	 	 
503	1	0	0	88
503	2	0	0	88
503	3	0	0	88
503	4	0	0	88
503	5	0	0	88
503	6	0	0	88
503	7	0	0	88
503	8	0	0	88
503	9	0	0	88
503	10	0	0	88
503	11	0	0	88
504	1	1	1	1
504	2	1	1	1
504	3	0	0	88
504	4	1	1	1
504	5	0	0	88
504	6	0	0	1
504	7	1	1	1
504	8	1	0	5
504	9	0	0	88
504	10	1	0	5
504	11	1	0	4
505	1	1	1	4
505	2	1	1	1
505	3	0	0	88
505	4	0	0	88
505	5	0	0	88
505	6	0	0	88
505	7	0	0	88
505	8	0	0	88
505	9	0	0	88
505	10	88	 	 
505	11	88	 	 
507	1	0	0	88
507	2	0	0	88
507	3	0	0	88
507	4	0	0	88
507	5	0	0	88
507	6	0	0	88
507	7	0	0	88
507	8	0	0	88
507	9	0	0	88
507	10	0	0	88
507	11	0	0	88
508	1	1	1	1
508	2	1	1	1
508	3	0	0	88
508	4	0	0	88
508	5	0	0	88
508	6	0	0	88
508	7	0	0	88
508	8	0	0	88
508	9	0	0	88
508	10	88	 	 
508	11	88	 	 
509	1	0	0	88
509	2	1	1	0
509	3	0	0	88
509	4	0	0	88
509	5	0	0	88
509	6	0	0	88
509	7	0	0	88
509	8	0	0	88
509	9	0	0	88
509	10	0	0	88
509	11	0	0	88
510	1	1	1	1
510	2	0	0	88
510	3	0	0	88
510	4	0	0	88
510	5	0	0	88
510	6	0	0	88
510	7	1	1	1
510	8	1	0	4
510	9	0	0	88
510	10	88	 	 
510	11	88	 	 
511	1	0	0	88
511	2	0	0	88
511	3	0	0	88
511	4	0	0	88
511	5	0	0	88
511	6	0	0	88
511	7	0	0	88
511	8	0	0	88
511	9	0	0	88
511	10	1	0	4
511	11	88	 	 
512	1	1	1	1
512	2	0	0	88
512	3	1	1	1
512	4	0	0	88
512	5	0	0	88
512	6	1	1	1
512	7	1	1	1
512	8	1	1	1
512	9	1	1	1
512	10	1	1	1
512	11	1	1	1
601	1	1	1	1
601	2	0	0	88
601	3	0	0	88
601	4	1	1	1
601	5	0	0	88
601	6	0	0	88
601	7	0	0	88
601	8	1	0	4
601	9	0	0	88
601	10	0	0	88
601	11	88	 	 
602	1	1	1	0
602	2	0	0	88
602	3	1	1	1
602	4	0	0	88
602	5	0	0	88
602	6	1	1	1
602	7	1	1	1
602	8	1	1	1
602	9	1	1	1
602	10	1	1	1
602	11	1	1	1
701	1	1	0	5
701	2	0	0	88
701	3	0	0	88
701	4	0	0	88
701	5	0	0	88
701	6	0	0	88
701	7	1	0	4
701	8	1	0	4
701	9	1	0	2
701	10	1	0	5
701	11	0	0	88
702	1	1	1	3
702	2	0	0	6
702	3	0	0	6
702	4	0	0	6
702	5	0	0	6
702	6	0	0	6
702	7	1	0	4
702	8	1	1	3
702	9	0	0	6
702	10	1	0	4
702	11	0	0	88
703	1	1	1	5
703	2	0	0	6
703	3	0	0	6
703	4	0	0	6
703	5	0	0	6
703	6	1	1	5
703	7	1	0	5
703	8	1	0	5
703	9	1	0	3
703	10	1	0	4
703	11	88	 	 
704	1	1	1	1
704	2	0	0	88
704	3	0	0	88
704	4	1	1	1
704	5	0	0	88
704	6	0	0	88
704	7	1	0	2
704	8	1	0	4
704	9	0	0	88
704	10	1	0	4
704	11	0	0	88
801	1	1	1	1
801	2	0	0	88
801	3	1	0	5
801	4	1	1	1
801	5	0	0	88
801	6	1	0	5
801	7	1	0	5
801	8	1	0	4
801	9	1	0	4
801	10	1	0	5
801	11	1	0	4
802	1	1	0	4
802	2	0	0	0
802	3	0	0	0
802	4	1	0	4
802	5	0	0	0
802	6	1	0	5
802	7	1	0	5
802	8	1	0	4
802	9	1	0	5
802	10	1	0	5
802	11	1	0	4
901	1	0	1	0
901	2	1	1	1
901	3	0	0	6
901	4	0	0	6
901	5	0	0	6
901	6	0	0	6
901	7	0	0	6
901	8	1	0	4
901	9	0	1	0
901	10	1	0	5
901	11	1	0	4
902	1	1	0	3
902	2	1	0	5
902	3	0	0	6
902	4	0	0	6
902	5	0	0	6
902	6	0	0	6
902	7	0	0	6
902	8	0	0	4
902	9	0	0	6
902	10	1	0	4
902	11	0	0	88
903	1	1	1	1
903	2	1	1	1
903	3	0	0	6
903	4	0	0	6
903	5	0	0	6
903	6	0	0	6
903	7	0	0	6
903	8	1	0	4
903	9	0	0	0
903	10	1	0	6
903	11	0	0	88
904	1	0	0	3
904	2	1	0	4
904	3	0	0	6
904	4	0	0	6
904	5	0	0	6
904	6	0	0	6
904	7	0	0	6
904	8	1	0	4
904	9	0	0	6
904	10	1	0	4
904	11	1	0	4
905	1	1	0	4
905	2	1	0	4
905	3	0	0	6
905	4	0	0	6
905	5	0	0	6
905	6	0	0	6
905	7	0	0	6
905	8	1	0	4
905	9	0	0	6
905	10	1	1	4
905	11	88	 	 
906	1	1	0	4
906	2	1	0	4
906	3	0	0	6
906	4	0	0	6
906	5	0	0	6
906	6	0	0	6
906	7	0	0	6
906	8	1	0	4
906	9	0	0	6
906	10	1	0	4
906	11	88	 	 
907	1	1	0	4
907	2	1	0	4
907	3	0	0	6
907	4	0	0	6
907	5	0	0	6
907	6	0	0	6
907	7	0	0	6
907	8	1	0	4
907	9	0	0	6
907	10	1	0	4
907	11	0	0	88
908	1	1	0	4
908	2	1	0	4
908	3	0	0	6
908	4	0	0	6
908	5	1	0	4
908	6	0	0	6
908	7	0	0	6
908	8	1	0	4
908	9	1	0	6
908	10	1	0	5
908	11	0	0	88
909	1	0	0	1
909	2	1	0	1
909	3	0	0	6
909	4	0	0	6
909	5	0	0	6
909	6	0	0	6
909	7	0	0	6
909	8	1	0	4
909	9	0	0	6
909	10	1	0	5
909	11	0	0	88
910	1	1	0	4
910	2	1	0	4
910	3	0	0	6
910	4	0	0	6
910	5	0	0	6
910	6	0	0	6
910	7	0	0	6
910	8	1	0	4
910	9	0	0	3
910	10	1	0	4
910	11	0	0	88
911	1	1	1	0
911	2	0	0	6
911	3	0	0	6
911	4	0	0	6
911	5	0	0	6
911	6	0	0	6
911	7	0	0	6
911	8	0	0	6
911	9	0	0	88
911	10	1	0	4
911	11	1	0	4
912	1	1	0	4
912	2	1	1	1
912	3	0	0	6
912	4	0	0	6
912	5	0	0	6
912	6	0	0	6
912	7	0	0	6
912	8	1	0	4
912	9	0	0	6
912	10	1	0	1
912	11	0	0	88
1001	1	1	0	5
1001	2	0	0	6
1001	3	1	0	4
1001	4	0	0	6
1001	5	0	0	6
1001	6	1	0	5
1001	7	1	0	5
1001	8	1	1	5
1001	9	1	0	5
1001	10	1	1	5
1001	11	1	0	5
1003	1	1	0	4
1003	2	0	0	6
1003	3	0	0	6
1003	4	0	0	6
1003	5	0	0	6
1003	6	0	0	6
1003	7	1	0	5
1003	8	1	0	5
1003	9	0	0	6
1003	10	1	0	5
1003	11	1	0	4
1004	1	1	0	5
1004	2	0	0	6
1004	3	1	0	5
1004	4	1	0	3
1004	5	0	0	6
1004	6	0	0	6
1004	7	0	0	6
1004	8	1	0	5
1004	9	0	0	6
1004	10	1	0	5
1004	11	1	1	3
1005	1	1	1	0
1005	2	0	0	6
1005	3	0	0	6
1005	4	0	0	6
1005	5	0	0	6
1005	6	0	0	6
1005	7	0	0	6
1005	8	1	1	4
1005	9	0	0	6
1005	10	1	1	4
1005	11	88	 	 
1006	1	1	1	4
1006	2	0	0	6
1006	3	0	0	6
1006	4	0	0	6
1006	5	0	0	6
1006	6	0	0	6
1006	7	1	0	4
1006	8	1	0	4
1006	9	1	0	5
1006	10	1	0	4
1006	11	1	0	4
1101	1	1	0	4
1101	2	1	0	4
1101	3	0	0	6
1101	4	0	0	6
1101	5	0	0	6
1101	6	0	0	6
1101	7	0	0	6
1101	8	1	0	4
1101	9	0	0	6
1101	10	1	0	4
1101	11	88	 	 
1102	1	1	0	4
1102	2	1	0	4
1102	3	0	0	6
1102	4	0	0	6
1102	5	0	0	6
1102	6	0	0	6
1102	7	0	0	6
1102	8	1	0	4
1102	9	1	0	4
1102	10	1	0	4
1102	11	0	0	88
1103	1	1	1	1
1103	2	1	0	4
1103	3	0	0	6
1103	4	0	0	6
1103	5	0	0	6
1103	6	0	0	6
1103	7	0	0	6
1103	8	1	0	4
1103	9	1	0	4
1103	10	1	0	4
1103	11	88	 	 
1104	1	1	0	5
1104	2	1	0	4
1104	3	0	0	6
1104	4	0	0	6
1104	5	0	0	6
1104	6	0	0	6
1104	7	0	0	6
1104	8	1	0	4
1104	9	1	0	4
1104	10	1	0	5
1104	11	0	0	88
1105	1	1	1	1
1105	2	1	1	1
1105	3	0	0	6
1105	4	0	0	6
1105	5	0	0	6
1105	6	0	0	6
1105	7	0	0	6
1105	8	1	1	4
1105	9	0	0	6
1105	10	1	1	4
1105	11	0	0	88
1106	1	0	0	6
1106	2	1	0	5
1106	3	0	0	6
1106	4	0	0	6
1106	5	0	0	6
1106	6	0	0	6
1106	7	0	0	6
1106	8	1	0	5
1106	9	0	0	6
1106	10	1	0	5
1106	11	0	0	88
1107	1	1	0	4
1107	2	1	0	5
1107	3	0	0	6
1107	4	0	0	6
1107	5	0	0	6
1107	6	0	0	6
1107	7	0	0	6
1107	8	1	0	4
1107	9	1	0	3
1107	10	1	0	4
1107	11	0	0	88
1108	1	1	0	4
1108	2	1	0	4
1108	3	0	0	6
1108	4	0	0	6
1108	5	0	0	6
1108	6	0	0	6
1108	7	0	0	6
1108	8	1	0	3
1108	9	0	0	6
1108	10	1	0	4
1108	11	0	0	88
1202	1	1	0	4
1202	2	0	0	88
1202	3	1	0	5
1202	4	1	1	1
1202	5	0	1	88
1202	6	1	1	2
1202	7	1	1	2
1202	8	1	1	5
1202	9	1	0	4
1202	10	88	 	 
1202	11	88	 	 
1203	1	1	1	4
1203	2	0	0	88
1203	3	1	0	4
1203	4	1	0	4
1203	5	0	0	88
1203	6	1	0	4
1203	7	1	0	4
1203	8	1	0	4
1203	9	1	0	4
1203	10	88	 	 
1203	11	88	 	 
1302	1	1	1	5
1302	2	0	0	88
1302	3	1	1	4
1302	4	1	1	4
1302	5	0	0	88
1302	6	1	1	4
1302	7	1	1	4
1302	8	1	1	4
1302	9	1	1	2
1302	10	1	1	5
1302	11	88	 	 
1303	1	1	1	5
1303	2	0	0	0
1303	3	1	1	4
1303	4	1	1	4
1303	5	0	0	88
1303	6	1	1	4
1303	7	1	1	4
1303	8	1	1	4
1303	9	1	1	2
1303	10	1	1	5
1303	11	88	 	 
1304	1	1	1	5
1304	2	0	0	88
1304	3	1	0	5
1304	4	1	1	5
1304	5	0	0	88
1304	6	1	1	5
1304	7	1	0	5
1304	8	1	1	4
1304	9	1	1	5
1304	10	1	1	5
1304	11	1	1	5
1402	1	1	0	5
1402	2	0	0	6
1402	3	0	0	1
1402	4	1	0	5
1402	5	0	0	6
1402	6	1	0	4
1402	7	1	0	4
1402	8	0	0	4
1402	9	0	0	6
1402	10	0	0	6
1402	11	0	0	6
1403	1	1	1	1
1403	2	0	0	6
1403	3	0	1	4
1403	4	1	1	3
1403	5	1	1	4
1403	6	1	1	4
1403	7	1	1	4
1403	8	1	1	4
1403	9	1	0	2
1403	10	0	0	88
1403	11	0	0	88
1404	1	1	1	1
1404	2	0	0	6
1404	3	0	0	77
1404	4	1	1	1
1404	5	0	0	6
1404	6	1	1	1
1404	7	1	1	1
1404	8	1	1	4
1404	9	1	0	2
1404	10	88	 	 
1404	11	88	 	 
1501	1	1	1	5
1501	2	1	0	5
1501	3	1	0	5
1501	4	1	1	1
1501	5	1	0	5
1501	6	0	0	6
1501	7	1	1	1
1501	8	0	0	6
1501	9	1	1	1
1501	10	1	1	1
1501	11	0	0	88
1502	1	1	1	5
1502	2	0	0	6
1502	3	0	0	6
1502	4	0	0	3
1502	5	0	0	6
1502	6	0	0	6
1502	7	0	0	3
1502	8	1	0	5
1502	9	0	0	6
1502	10	1	0	5
1502	11	88	 	 
1503	1	1	1	4
1503	2	0	0	6
1503	3	0	0	6
1503	4	0	0	6
1503	5	0	0	6
1503	6	0	0	6
1503	7	1	1	5
1503	8	0	0	6
1503	9	88	 	 
1503	10	1	0	4
1503	11	88	 	 
1504	1	1	1	4
1504	2	0	0	6
1504	3	0	0	6
1504	4	1	0	4
1504	5	0	0	6
1504	6	0	0	6
1504	7	1	0	4
1504	8	1	0	4
1504	9	0	0	6
1504	10	1	0	4
1504	11	88	 	 
1505	1	1	1	4
1505	2	0	0	6
1505	3	0	1	6
1505	4	0	1	6
1505	5	0	0	6
1505	6	0	1	6
1505	7	0	1	6
1505	8	0	1	0
1505	9	0	1	6
1505	10	1	0	4
1505	11	88	 	 
1506	1	1	1	1
1506	2	0	1	0
1506	3	0	1	6
1506	4	0	0	6
1506	5	0	0	6
1506	6	1	0	4
1506	7	1	1	1
1506	8	1	0	4
1506	9	1	0	4
1506	10	1	0	4
1506	11	1	1	4
1507	1	1	1	5
1507	2	0	0	6
1507	3	0	0	6
1507	4	0	0	6
1507	5	0	0	6
1507	6	0	0	6
1507	7	1	1	1
1507	8	1	0	5
1507	9	0	0	6
1507	10	1	0	4
1507	11	0	0	88
1508	1	1	1	5
1508	2	0	0	6
1508	3	0	0	6
1508	4	1	0	5
1508	5	0	0	6
1508	6	0	0	6
1508	7	1	1	0
1508	8	1	0	4
1508	9	0	0	6
1508	10	1	0	5
1508	11	88	 	 
1509	1	1	0	5
1509	2	0	0	6
1509	3	1	0	5
1509	4	1	0	5
1509	5	0	0	6
1509	6	1	0	5
1509	7	1	0	5
1509	8	1	0	5
1509	9	1	0	5
1509	10	1	0	4
1509	11	1	1	1
1601	1	0	1	1
1601	2	1	1	1
1601	3	0	0	6
1601	4	0	0	6
1601	5	0	0	6
1601	6	0	0	6
1601	7	0	0	6
1601	8	1	0	4
1601	9	0	0	6
1601	10	0	0	6
1601	11	0	0	6
1602	1	1	1	1
1602	2	1	1	1
1602	3	0	0	6
1602	4	0	0	6
1602	5	0	0	6
1602	6	0	1	6
1602	7	0	1	6
1602	8	1	0	5
1602	9	0	0	0
1602	10	88	 	 
1602	11	88	 	 
1603	1	1	1	1
1603	2	1	1	1
1603	3	0	0	6
1603	4	0	0	6
1603	5	0	0	6
1603	6	0	0	6
1603	7	0	0	6
1603	8	0	0	0
1603	9	0	0	6
1603	10	0	0	77
1603	11	0	0	77
1604	1	1	1	1
1604	2	1	1	1
1604	3	0	0	6
1604	4	0	0	6
1604	5	0	0	6
1604	6	0	0	6
1604	7	0	0	6
1604	8	1	0	4
1604	9	0	0	6
1604	10	0	0	6
1604	11	0	0	6
1605	1	0	1	1
1605	2	0	1	1
1605	3	0	0	6
1605	4	0	1	6
1605	5	0	1	6
1605	6	0	1	6
1605	7	0	1	6
1605	8	1	0	1
1605	9	0	1	1
1605	10	0	0	6
1605	11	0	0	6
1606	1	0	1	0
1606	2	0	1	6
1606	3	0	1	6
1606	4	0	1	6
1606	5	0	1	6
1606	6	0	1	6
1606	7	0	1	6
1606	8	1	0	4
1606	9	0	0	6
1606	10	88	 	 
1606	11	88	 	 
1607	1	0	1	0
1607	2	0	1	0
1607	3	0	0	6
1607	4	0	0	6
1607	5	0	1	6
1607	6	0	1	6
1607	7	0	1	6
1607	8	0	1	0
1607	9	0	0	6
1607	10	0	0	6
1607	11	0	0	6
1608	1	1	1	1
1608	2	1	1	1
1608	3	0	0	6
1608	4	0	0	6
1608	5	0	0	6
1608	6	0	0	6
1608	7	0	0	6
1608	8	1	0	4
1608	9	0	0	6
1608	10	0	0	6
1608	11	0	0	6
1701	1	1	0	4
1701	2	1	0	4
1701	3	0	0	6
1701	4	0	0	6
1701	5	0	0	6
1701	6	0	0	6
1701	7	0	0	6
1701	8	1	0	4
1701	9	0	0	6
1701	10	0	0	6
1701	11	0	0	6
1702	1	1	0	4
1702	2	1	0	4
1702	3	0	0	6
1702	4	0	0	6
1702	5	0	0	6
1702	6	0	0	6
1702	7	0	0	6
1702	8	1	0	4
1702	9	1	0	0
1702	10	0	0	6
1702	11	0	0	6
1703	1	1	1	5
1703	2	1	1	1
1703	3	0	0	6
1703	4	0	0	6
1703	5	1	1	4
1703	6	0	1	6
1703	7	0	1	6
1703	8	1	1	4
1703	9	0	0	6
1703	10	0	0	6
1703	11	0	0	6
1704	1	1	1	1
1704	2	1	1	1
1704	3	0	0	6
1704	4	0	0	6
1704	5	0	0	6
1704	6	0	0	6
1704	7	0	0	6
1704	8	1	0	6
1704	9	0	1	3
1704	10	0	0	6
1704	11	0	0	6
1705	1	0	0	6
1705	2	0	0	4
1705	3	0	0	6
1705	4	0	0	6
1705	5	0	0	6
1705	6	0	0	6
1705	7	0	0	6
1705	8	1	0	4
1705	9	0	0	6
1705	10	0	0	6
1705	11	0	0	6
1706	1	1	0	4
1706	2	1	0	4
1706	3	0	0	6
1706	4	0	0	6
1706	5	0	0	6
1706	6	0	0	6
1706	7	0	0	6
1706	8	0	0	6
1706	9	1	0	6
1706	10	0	0	6
1706	11	0	0	6
1708	1	0	0	6
1708	2	0	0	6
1708	3	0	0	6
1708	4	0	0	6
1708	5	0	0	6
1708	6	0	0	6
1708	7	0	0	6
1708	8	1	0	4
1708	9	0	0	6
1708	10	0	0	6
1708	11	0	0	6
1709	1	1	1	1
1709	2	1	1	1
1709	3	0	0	6
1709	4	0	0	6
1709	5	0	0	6
1709	6	0	0	6
1709	7	0	0	6
1709	8	0	1	4
1709	9	0	0	6
1709	10	1	1	1
1709	11	1	1	1
1710	1	1	1	5
1710	2	1	1	4
1710	3	0	0	6
1710	4	0	0	6
1710	5	0	0	6
1710	6	1	1	5
1710	7	1	1	5
1710	8	1	1	1
1710	9	1	1	5
1710	10	0	0	6
1710	11	0	0	6
1711	1	0	1	0
1711	2	1	1	1
1711	3	0	1	6
1711	4	0	1	6
1711	5	0	1	6
1711	6	0	1	6
1711	7	0	1	6
1711	8	0	1	6
1711	9	0	1	6
1711	10	0	0	88
1711	11	0	0	88
1801	1	0	1	0
1801	2	0	1	0
1801	3	0	1	6
1801	4	0	1	6
1801	5	0	1	6
1801	6	0	1	6
1801	7	0	1	6
1801	8	0	1	6
1801	9	0	1	4
1801	10	0	0	88
1801	11	0	0	88
1802	1	1	1	1
1802	2	0	1	0
1802	3	0	1	6
1802	4	0	1	6
1802	5	0	1	6
1802	6	0	1	6
1802	7	0	1	6
1802	8	1	1	4
1802	9	0	1	6
1802	10	1	0	4
1802	11	0	0	6
1803	1	1	1	1
1803	2	1	1	1
1803	3	0	1	6
1803	4	0	1	6
1803	5	0	1	6
1803	6	0	1	6
1803	7	0	1	6
1803	8	1	1	4
1803	9	0	1	6
1803	10	0	0	77
1803	11	0	0	77
1804	1	0	1	6
1804	2	0	1	6
1804	3	0	1	6
1804	4	0	1	6
1804	5	0	0	6
1804	6	0	1	6
1804	7	0	1	6
1804	8	1	1	6
1804	9	0	1	6
1804	10	0	0	6
1804	11	0	0	6
1806	1	1	1	1
1806	2	1	1	1
1806	3	0	0	6
1806	4	0	0	6
1806	5	0	0	6
1806	6	0	0	6
1806	7	0	0	6
1806	8	1	0	4
1806	9	0	0	6
1806	10	0	0	77
1806	11	0	0	77
1807	1	1	1	5
1807	2	0	1	4
1807	3	0	1	6
1807	4	0	1	6
1807	5	0	1	6
1807	6	0	1	6
1807	7	0	1	6
1807	8	1	1	5
1807	9	0	1	4
1807	10	0	0	6
1807	11	0	0	6
1901	1	1	1	0
1901	2	0	0	6
1901	3	0	0	6
1901	4	0	0	6
1901	5	1	0	4
1901	6	1	0	4
1901	7	1	0	4
1901	8	1	0	4
1901	9	1	0	0
1901	10	1	0	5
1901	11	0	0	6
1902	1	1	1	0
1902	2	0	0	6
1902	3	0	0	6
1902	4	0	0	6
1902	5	0	0	0
1902	6	0	0	0
1902	7	1	0	0
1902	8	0	0	0
1902	9	0	0	6
1902	10	0	0	0
1902	11	0	0	0
1903	1	0	1	0
1903	2	0	1	6
1903	3	0	1	6
1903	4	0	0	6
1903	5	0	0	6
1903	6	0	0	6
1903	7	0	0	6
1903	8	1	0	5
1903	9	0	0	6
1903	10	0	0	6
1903	11	0	0	6
1904	1	1	1	0
1904	2	0	1	6
1904	3	1	1	3
1904	4	0	1	3
1904	5	0	0	88
1904	6	1	1	3
1904	7	1	1	3
1904	8	1	1	4
1904	9	0	0	0
1904	10	0	0	6
1904	11	0	0	6
1905	1	1	0	5
1905	2	0	0	6
1905	3	0	0	6
1905	4	0	0	6
1905	5	1	0	4
1905	6	0	0	6
1905	7	0	0	6
1905	8	1	0	4
1905	9	0	0	6
1905	10	0	0	6
1905	11	0	0	6
2001	1	1	0	4
2001	2	0	0	6
2001	3	1	0	4
2001	4	1	0	1
2001	5	0	0	6
2001	6	0	0	6
2001	7	0	0	6
2001	8	1	0	6
2001	9	1	0	6
2001	10	0	0	6
2001	11	0	0	6
2002	1	1	0	4
2002	2	0	0	6
2002	3	0	0	6
2002	4	0	0	6
2002	5	0	0	6
2002	6	0	0	6
2002	7	1	0	4
2002	8	1	0	4
2002	9	0	0	6
2002	10	88	 	 
2002	11	88	 	 
2003	1	1	1	3
2003	2	0	0	6
2003	3	1	0	4
2003	4	1	0	4
2003	5	0	0	6
2003	6	0	0	6
2003	7	0	0	6
2003	8	1	0	4
2003	9	0	0	6
2003	10	0	0	6
2003	11	0	0	6
2004	1	1	1	1
2004	2	0	0	6
2004	3	0	0	77
2004	4	1	1	1
2004	5	0	0	6
2004	6	0	0	6
2004	7	0	0	6
2004	8	1	0	4
2004	9	0	0	6
2004	10	88	 	 
2004	11	88	 	 
2005	1	1	0	3
2005	2	0	0	6
2005	3	0	0	6
2005	4	0	0	6
2005	5	0	0	6
2005	6	0	0	6
2005	7	0	0	6
2005	8	1	0	4
2005	9	0	0	6
2005	10	0	0	6
2005	11	0	0	6
2006	1	1	1	1
