PLACEID	HCHRIDR4	OPENDAYS	OPENHRS
1708	2	LUNES A DOMINGO	24 HORAS
1708	3	88	-88
1708	4	88	-88
1709	1	7	10
1709	2	7	24
1709	3	-88	-88
1709	4	-88	-88
1710	1	LUNES A SABADO	08:00 A 17:00
1710	2	LUNES A DOMINGO	24 HORAS
1710	3	LUNES A SABADO	08:00 A 17:00
1710	4	88	-88
1711	1	7	24
1711	2	7	24
1711	3	-88	-88
1711	4	-88	-88
1801	1	LUNES A DOMINGO	08:00 A 18:00
1801	2	LUNES A DOMINGO	24 HORAS
1801	3	88	-88
1801	4	88	-88
1802	1	LUNES  A DOMINGO	08:00 A 18:00
1802	2	LUNES A DOMINGO	24 HORAS
1802	3	88	88
1802	4	88	88
1803	1	LUNES A DOMINGO	08:00 A 16:00
1803	2	88	-88
1803	3	88	-88
1803	4	88	-88
1804	1	LUNES A DOMINGO	08:00  A  18:00
1804	2	LUNES  A DOMINGO	24 HORAS
1804	3	-88	-88
1804	4	-88	-88
1806	1	LUNES A DOMINGO	08.00  A  16:00
1806	2	-88	-88
1806	3	-88	-88
1806	4	-88	-88
1807	1	LUNES A DOMINGO	08:00 A 20:00
1807	2	LUNES A DOMINGO	24 HORAS
1807	3	-88	-88
1807	4	-88	-88
1901	1	LUN- DOM	8AM A 8PM
1901	2	LUN- DOM	8AM A 8PM
1901	3	-88	-88
1901	4	-88	-88
1902	1	LUN- DOM	8AM A 8 PM
1902	2	-88	-88
1902	3	-88	-88
1902	4	-88	-88
1903	1	LUN-DOM	6:30AM A 4:30 PM
1903	2	LUN-DOM	6:30AM A 4:30 PM
1903	3	-88	-88
1903	4	-88	-88
1904	1	LUN - DOM	8AM A 8PM
1904	2	LUN - DOM	8AM A 8PM
1904	3	-88	-88
1904	4	-88	-88
1905	1	LUN-DOM	8AM A 8PM
1905	2	-88	-88
1905	3	-88	-88
1905	4	-88	-88
2001	1	7	7:30 A 19:30
2001	2	7	24
2001	3	-88	-88
2001	4	-88	-88
2002	1	6	8AM A 2PM
2002	2	7	24
2002	3	6	8AM A 2 PM
2002	4	-88	-88
2003	1	6	07:30 AM A 01:30PM  (6)
2003	2	7	07:30 AM A 1:30 PM (6)
2003	3	-88	-88
2003	4	-88	-88
2004	1	7	07:30 AM A 07:30 PM  (13)
2004	2	7	24
2004	3	-88	-88
2004	4	-88	-
2005	1	6	07:30AM A 01:30PM (6H)
2005	2	7	07:30AM A 01:30PM (6H)
2005	3	-88	-88
2005	4	-88	-88
2006	1	6	7:30AM A 13:30PM
2006	2	-88	-88
2006	3	-88	-88
2006	4	-88	-88
2007	1	6	7AM A 1PM (6H)  2PM A 7PM (5H)
2007	2	7	8 AM A 12 PM (6H)
2007	3	-88	-88
2007	4	-88	-88
2008	1	6	8AM A 2 PM (6H)
2008	2	-88	-88
2008	3	-88	-88
2008	4	-88	-88
8002	1	LUNES A DOMINGO	24 HORAS
8002	2	LUNES A DOMINGO	24 HORAS
8002	3	LUNES A SABADO	6 HORAS
8002	4	-88	-88
8003	1	LUNES A SABADO	7 A 13 HORAS Y DE 13 HORAS A 7
8003	2	LUNES A DOMINGO	LAS 24 HORAS
8003	3	LUNES A SABADO	7 A 19 HORAS
8003	4	-88	-88
8004	1	LUNES -DOMINGO	24
8004	2	LUNES	24
8004	3	LUNES-DOMINGO	6
8004	4	LUNES-SABADO	0
8006	1	DE LUNES A VIERNES (5) SABADO	12 HRS Y 06 HRS
8006	2	LUNES A DOMINGO	24 HRS
8006	3	-88	-88
8006	4	-88	-88
8007	1	L-S	7:30AM A 13:30PM
8007	2	-88	-88
8007	3	-88	-88
8007	4	-88	-88
8008	1	LUNES A DOMINGO	06:00-13:00 Y 15:00-17:00
8008	2	LUNES A DOMINGO	24 HORAS
8008	3	-88	-88
8008	4	-88	-88
8010	1	L- V	08AM A 2PM
8010	2	L- D	24 HORAS
8010	3	L- V	08AM A 2 PM
8010	4	-88	-88
8011	1	6	12
8011	2	-88	-88
8011	3	-88	-88
8011	4	-88	-88
8012	1	06	8AM A 2PM
8012	2	06	8AM A 8 PM
8012	3	-	-
8012	4	-	-
8014	1	L-S	7 HORAS
8014	2	L-D	24 HORAS
8014	3	L-S	7HORAS
8014	4	-88	-88
8015	1	L-S	7 HORAS
8015	2	L-D	24 HORAS
8015	3	L-S	7 HORAS
8015	4	-88	-88
8016	1	6	8
8016	2	7	24
8016	3	-88	-88
8016	4	-88	-88
8017	1	L-S	12 HORAS
8017	2	L-D	24 HORAS
8017	3	L-S	12 HORAS
8017	4	-88	-88
8018	1	L-D	07:30AM A 19:30PM
8018	2	L-D	07:30AM A 19:30PM
8018	3	-88	-88
8018	4	-88	-88
8019	1	6 DIAS	8AM A 2PM (6H)    /    2PM A 8PM (6H)
8019	2	-88	-88
8019	3	-88	-88
8019	4	URGENCIAS (6DIAS)	12 HORAS
8020	1	L-S	6 HORAS
8020	2	L-D	24 HORAS
8020	3	L-S	6 HORAS
8020	4	-88	-88
8021	1	LUNES A DOMINGO	24 HORAS
8021	2	-88	-88
8021	3	-88	-88
8021	4	TOPICO- LUNES A DOMINGO	24 HORAS
8022	1	LUNES A SABADO, DOMINGO	24
8022	2	LUNES A DOMINGO	24
8022	3	LUNES A SABADO	12
8022	4	-88	-88
8023	1	LUNES A SABADO	7 AM A 19 PM- SON 12 HORAS
8023	2	LUNES A DOMINGO	LAS 24 HORAS
8023	3	-88	-88
8023	4	-88	-88
8024	1	LUNES A  SABADO	7 A 19 HORAS -12 HORAS
8024	2	LUNES A DOMINGO	7 A19 Y 19 A 7- 24 HORAS
8024	3	-88	-88
8024	4	-88	-88
8025	1	LUNES A DOMINGO	LAS 24 HORAS
8025	2	LUNES A DOMINGO	24 HORAS
8025	3	LUNES A SABADO	6  HORAS
8025	4	NO APLICA	NO APLICA
8026	1	7	24 HORAS
8026	2	7	24 HORAS
8026	3	6	6 HORAS
8026	4	-88	-88
8027	1	LUNES A VIERNES	12
8027	2	TODOS LOS DIAS	24
8027	3	LUNES A SABADO	11
8027	4	NO HAY	-88
8028	1	LUNES A SABADO- SABADO  MEDIO TURNO	8 A 20 PM
8028	2	-88	-88
8028	3	LUNES A SABADO	8 A 20PM
8028	4	-88	-88
