PLACEID	TYWKIDR4	TYPEMALE	TYPEFMLE	TYPECHLD
310	5	 	 	-11
310	6	 	 	-11
310	7	 	 	-11
310	8	 	 	-11
310	9	-88	-88	-88
310	10	-88	-88	-88
310	11	 	 	-88
310	12	 	 	-88
311	1	-11	-11	-11
311	2	-11	-11	-11
311	3	40	-11	-11
311	4	-11	-11	-11
311	5	 	 	-11
311	6	 	 	-11
311	7	 	 	-11
311	8	 	 	-11
311	9	-88	-88	-88
311	10	-88	-88	-88
311	11	 	 	-88
311	12	 	 	-88
312	1	-11	-11	-11
312	2	-11	-11	-11
312	3	50	-11	-11
312	4	-11	-11	-11
312	5	 	 	-11
312	6	 	 	-11
312	7	 	 	-11
312	8	 	 	-11
312	9	-88	-88	-88
312	10	-88	-88	-88
312	11	 	 	-88
312	12	 	 	-88
313	1	-11	-11	-11
313	2	-11	-11	-11
313	3	-11	-11	-11
313	4	-11	-11	-11
313	5	 	 	-11
313	6	 	 	-11
313	7	 	 	-11
313	8	 	 	-11
313	9	-88	-88	-88
313	10	-88	-88	-88
313	11	 	 	-88
313	12	 	 	-88
314	1	-11	20	-11
314	2	-11	-11	-11
314	3	25	-11	-11
314	4	-11	-11	-11
314	5	 	 	-11
314	6	 	 	-11
314	7	 	 	-11
314	8	 	 	-11
314	9	-88	-88	-88
314	10	-88	-88	-88
314	11	 	 	-88
314	12	 	 	-88
401	1	-11	-11	-11
401	2	-11	-11	-11
401	3	-11	-11	-11
401	4	-11	0	-11
401	5	 	 	-11
401	6	 	 	-11
401	7	 	 	-11
401	8	 	 	-11
401	9	-88	-88	-88
401	10	-88	-88	-88
401	11	 	 	-88
401	12	 	 	-88
402	1	-11	15	-11
402	2	30	-11	-11
402	3	30	-11	-11
402	4	-11	-11	-11
402	5	 	 	-11
402	6	 	 	-11
402	7	 	 	-11
402	8	 	 	-11
402	9	-88	-88	-88
402	10	-88	-88	-88
402	11	 	 	-88
402	12	 	 	-88
403	1	-11	-11	-11
403	2	25	-11	-11
403	3	30	-11	-11
403	4	-11	-11	-11
403	5	 	 	-11
403	6	 	 	-11
403	7	 	 	-11
403	8	 	 	-11
403	9	50	-11	-11
403	10	-88	-88	-88
403	11	 	 	-88
403	12	 	 	-88
404	1	-11	-11	-11
404	2	20	-11	-11
404	3	25	-11	-11
404	4	-11	-11	-11
404	5	 	 	-11
404	6	 	 	-11
404	7	 	 	-11
404	8	 	 	-11
404	9	-88	-88	-88
404	10	-88	-88	-88
404	11	 	 	-88
404	12	 	 	-88
405	1	-11	-11	-11
405	2	-11	-11	-11
405	3	30	-11	-11
405	4	-11	-11	-11
405	5	 	 	-11
405	6	 	 	-11
405	7	 	 	-11
405	8	 	 	-11
405	9	-88	-88	-88
405	10	-88	-88	-88
405	11	 	 	-88
405	12	 	 	-88
406	1	-11	15	-11
406	2	-11	-11	-11
406	3	35	-11	-11
406	4	-11	-11	-11
406	5	 	 	-11
406	6	 	 	-11
406	7	 	 	-11
406	8	 	 	-11
406	9	-88	-88	-88
406	10	-88	-88	-88
406	11	 	 	-88
406	12	 	 	-88
408	1	-11	-11	-11
408	2	-11	-11	-11
408	3	30	-11	-11
408	4	-11	-11	-11
408	5	 	 	-11
408	6	 	 	-11
408	7	 	 	-11
408	8	 	 	-11
408	9	-88	-88	-88
408	10	-88	-88	-88
408	11	 	 	-88
408	12	 	 	-88
501	1	-11	-11	-11
501	2	30	-11	-11
501	3	40	-11	-11
501	4	-11	-11	-11
501	5	 	 	-11
501	6	 	 	-11
501	7	 	 	-11
501	8	 	 	-11
501	9	-88	-88	-88
501	10	-88	-88	-88
501	11	 	 	-88
501	12	 	 	-88
503	1	-11	-11	-11
503	2	20	-11	-11
503	3	20	-11	-11
503	4	-11	-11	-11
503	5	 	 	-11
503	6	 	 	-11
503	7	 	 	-11
503	8	 	 	-11
503	9	20	-11	-11
503	10	-88	-88	-88
503	11	 	 	-88
503	12	 	 	-88
504	1	-11	-11	-11
504	2	30	-11	-11
504	3	20	-11	-11
504	4	-11	-11	-11
504	5	 	 	-11
504	6	 	 	-11
504	7	 	 	-11
504	8	 	 	-11
504	9	-88	-88	-88
504	10	-88	-88	-88
