PLACEID	HCSWIDR4	SEWSRVC	SEWSTS
1508	4	0	 
1508	5	0	 
1509	1	1	2
1509	2	0	 
1509	3	0	 
1509	4	0	 
1509	5	0	 
1601	1	1	1
1601	2	0	 
1601	3	0	 
1601	4	0	 
1601	5	0	 
1602	1	1	1
1602	2	0	 
1602	3	0	 
1602	4	0	 
1602	5	0	 
1603	1	0	 
1603	2	0	 
1603	3	1	1
1603	4	0	 
1603	5	0	 
1604	1	1	1
1604	2	0	 
1604	3	0	 
1604	4	0	 
1604	5	0	 
1605	1	0	 
1605	2	0	 
1605	3	1	1
1605	4	0	 
1605	5	0	 
1606	1	1	88
1606	2	0	 
1606	3	0	 
1606	4	0	 
1606	5	0	 
1607	1	1	1
1607	2	0	 
1607	3	0	 
1607	4	0	 
1607	5	0	 
1608	1	1	1
1608	2	0	 
1608	3	0	 
1608	4	0	 
1608	5	0	 
1701	1	1	1
1701	2	0	 
1701	3	0	 
1701	4	0	 
1701	5	0	 
1702	1	1	2
1702	2	0	 
1702	3	0	 
1702	4	0	 
1702	5	0	 
1703	1	1	1
1703	2	0	 
1703	3	0	 
1703	4	0	 
1703	5	0	 
1704	1	1	2
1704	2	0	 
1704	3	0	 
1704	4	0	 
1704	5	0	 
1705	1	1	2
1705	2	0	 
1705	3	0	 
1705	4	0	 
1705	5	0	 
1706	1	1	2
1706	2	0	 
1706	3	0	 
1706	4	0	 
1706	5	0	 
1708	1	1	2
1708	2	0	 
1708	3	0	 
1708	4	0	 
1708	5	0	 
1709	1	1	2
1709	2	0	 
1709	3	0	 
1709	4	0	 
1709	5	0	 
1710	1	1	2
1710	2	0	 
1710	3	0	 
1710	4	0	 
1710	5	0	 
1711	1	1	2
1711	2	0	 
1711	3	0	 
1711	4	0	 
1711	5	0	 
1801	1	1	3
1801	2	0	 
1801	3	0	 
1801	4	0	 
1801	5	0	 
1802	1	1	3
1802	2	0	 
1802	3	0	 
1802	4	0	 
1802	5	0	 
1803	1	1	1
1803	2	0	 
1803	3	0	 
1803	4	0	 
1803	5	0	 
1804	1	1	3
1804	2	0	 
1804	3	0	 
1804	4	0	 
1804	5	0	 
1806	1	1	1
1806	2	0	 
1806	3	0	 
1806	4	0	 
1806	5	0	 
1807	1	1	1
1807	2	0	 
1807	3	0	 
1807	4	0	 
1807	5	0	 
1901	1	1	1
1901	2	0	 
1901	3	0	 
1901	4	0	 
1901	5	0	 
1902	1	1	1
1902	2	0	 
1902	3	0	 
1902	4	0	 
1902	5	0	 
1903	1	0	 
1903	2	1	1
1903	3	0	 
1903	4	0	 
1903	5	0	 
1904	1	1	1
1904	2	0	 
1904	3	0	 
1904	4	0	 
1904	5	0	 
1905	1	1	1
1905	2	0	 
1905	3	0	 
1905	4	0	 
1905	5	0	 
2001	1	1	2
2001	2	0	 
2001	3	0	 
2001	4	0	 
2001	5	0	 
2002	1	1	1
2002	2	0	 
2002	3	0	 
2002	4	0	 
2002	5	0	 
2003	1	1	2
2003	2	0	 
2003	3	0	 
2003	4	0	 
2003	5	0	 
2004	1	1	2
2004	2	0	 
2004	3	0	 
2004	4	0	 
2004	5	0	 
2005	1	1	2
2005	2	0	 
2005	3	0	 
2005	4	0	 
2005	5	0	 
2006	1	1	2
2006	2	0	 
2006	3	0	 
2006	4	0	 
2006	5	0	 
2007	1	1	2
2007	2	0	 
2007	3	0	 
2007	4	0	 
2007	5	0	 
2008	1	0	 
2008	2	0	 
2008	3	0	 
2008	4	0	 
2008	5	0	 
8002	1	1	1
8002	2	0	 
8002	3	0	 
8002	4	0	 
8002	5	0	 
8003	1	1	2
8003	2	0	 
8003	3	0	 
8003	4	0	 
8003	5	0	 
8004	1	1	2
8004	2	0	 
8004	3	0	 
8004	4	0	 
8004	5	0	 
8006	1	1	3
8006	2	0	 
8006	3	0	 
8006	4	0	 
8006	5	0	 
8007	1	1	1
8007	2	0	 
8007	3	0	 
8007	4	0	 
8007	5	0	 
8008	1	1	3
8008	2	0	 
8008	3	0	 
8008	4	0	 
8008	5	0	 
8010	1	1	1
8010	2	0	 
8010	3	0	 
8010	4	0	 
8010	5	0	 
8011	1	1	1
8011	2	0	 
8011	3	0	 
8011	4	0	 
8011	5	0	 
8012	1	1	2
8012	2	0	 
8012	3	0	 
8012	4	0	 
8012	5	0	 
8014	1	1	3
8014	2	0	 
8014	3	0	 
8014	4	0	 
8014	5	0	 
8015	1	1	3
8015	2	0	 
8015	3	0	 
8015	4	0	 
8015	5	0	 
8016	1	1	2
8016	2	0	 
8016	3	0	 
8016	4	0	 
8016	5	0	 
8017	1	1	2
8017	2	0	 
8017	3	0	 
8017	4	0	 
8017	5	0	 
8018	1	1	1
8018	2	0	 
8018	3	0	 
8018	4	0	 
8018	5	0	 
8019	1	1	1
8019	2	0	 
8019	3	0	 
8019	4	0	 
8019	5	0	 
8020	1	1	2
8020	2	0	 
8020	3	0	 
8020	4	0	 
8020	5	0	 
8021	1	1	1
8021	2	0	 
8021	3	0	 
8021	4	0	 
8021	5	0	 
8022	1	1	2
8022	2	0	 
8022	3	0	 
8022	4	0	 
8022	5	0	 
8023	1	1	1
8023	2	0	 
8023	3	0	 
8023	4	0	 
8023	5	0	 
8024	1	1	2
8024	2	0	 
8024	3	0	 
8024	4	0	 
8024	5	0	 
8025	1	1	2
8025	2	0	 
8025	3	0	 
8025	4	0	 
8025	5	0	 
8026	1	1	2
8026	2	0	 
8026	3	0	 
8026	4	0	 
8026	5	0	 
8027	1	1	1
8027	2	0	 
8027	3	0	 
8027	4	0	 
8027	5	0	 
8028	1	1	1
8028	2	0	 
8028	3	0	 
8028	4	0	 
8028	5	0	 
