PLACEID	DWAGIDR4	EARNMALE	MMON	EARNFMLE	FMON	EARNCHLD	CMON
503	2	-11	88	-11	88	-11	88
503	3	-88	88	-88	88	-88	88
504	1	20	0	20	0	-11	88
504	2	-11	88	-11	88	-11	88
504	3	-88	88	-88	88	-88	88
505	1	15	0	15	0	-11	88
505	2	-11	88	-11	88	-11	88
505	3	-88	88	-88	88	-88	88
507	1	40	0	30	0	-11	88
507	2	-11	88	-11	88	-11	88
507	3	0	88	0	88	0	88
508	1	40	0	30	0	20	0
508	2	-11	88	-11	88	-11	88
508	3	-88	88	-88	88	-88	88
509	1	30	0	30	0	20	0
509	2	-11	88	-11	88	-11	88
509	3	-88	88	-88	88	-88	88
510	1	30	0	30	0	-11	88
510	2	-11	88	-11	88	-11	88
510	3	-11	88	-11	88	-11	88
511	1	15	0	15	0	-11	88
511	2	-11	88	-11	88	-11	88
511	3	-88	88	-88	88	-88	88
512	1	20	0	20	0	-11	88
512	2	-11	88	-11	88	-11	88
512	3	-88	88	-88	88	-88	88
601	1	-11	88	-11	88	-11	88
601	2	-11	88	-11	88	-11	88
601	3	-88	88	-88	88	-88	88
602	1	-88	88	-88	88	-88	88
602	2	-88	88	-88	88	-88	88
602	3	-88	88	-88	88	-88	88
701	1	-11	88	-11	88	-11	88
701	2	-11	88	-11	88	-11	88
701	3	-77	88	-77	88	-77	88
702	1	20	0	-11	88	-11	88
702	2	-11	88	-11	88	-11	88
702	3	-88	88	-88	88	-88	88
703	1	30	77	-11	88	-11	88
703	2	-88	88	-88	88	-88	88
703	3	-88	88	-88	88	-88	88
704	1	-11	88	-11	88	-11	88
704	2	-11	88	-11	88	-11	88
704	3	-77	88	-77	88	-77	88
801	1	-88	88	-88	88	-88	88
801	2	-88	88	-88	88	-88	88
801	3	-88	88	-88	88	-88	88
802	1	-11	88	-11	88	-11	88
802	2	-11	88	-11	88	-11	88
802	3	-88	88	-88	88	-88	88
901	1	20	2	15	2	15	2
901	2	-11	88	-11	88	-11	88
901	3	-88	88	-88	88	-88	88
902	1	20	6	-11	88	-11	88
902	2	15	0	15	0	-11	88
902	3	-88	88	-88	88	-88	88
903	1	20	6	-11	88	-11	88
903	2	-11	88	-11	88	-11	88
903	3	-88	88	-88	88	-88	88
904	1	30	0	-11	88	-11	88
904	2	-11	88	-11	88	-11	88
904	3	-88	88	-88	88	-88	88
905	1	20	6	-11	88	-11	88
905	2	-11	88	-11	88	-11	88
905	3	-88	88	-88	88	-88	88
906	1	20	6	-11	88	-11	88
906	2	-11	88	-11	88	-11	88
906	3	-88	88	-88	88	-88	88
907	1	20	6	-11	88	-11	88
907	2	-11	88	-11	88	-11	88
907	3	-88	88	-88	88	-88	88
908	1	30	0	-11	0	-11	0
908	2	-11	88	-11	88	-11	88
908	3	-88	88	-88	88	-88	88
909	1	30	88	20	6	-11	88
909	2	-11	88	-11	88	-11	88
909	3	-88	88	-88	88	-88	88
910	1	20	6	-11	88	-11	88
910	2	-11	88	-22	6	-11	88
910	3	-88	88	-88	88	-88	88
911	1	20	6	-11	88	-11	88
911	2	-11	88	-11	88	-11	88
911	3	-88	88	-88	88	-88	88
912	1	20	6	-11	88	-11	88
912	2	-11	88	-11	88	-11	88
912	3	-88	88	-88	88	-88	88
1001	1	-88	88	-88	88	-88	88
1001	2	-88	88	-88	88	-88	88
1001	3	-88	88	-88	88	-88	88
1003	1	-88	88	-88	88	-88	88
1003	2	-88	88	-88	88	-88	88
1003	3	-88	88	-88	88	-88	88
1004	1	-88	88	-88	88	-88	88
1004	2	-88	88	-88	88	-88	88
1004	3	-88	88	-88	88	-88	88
1005	1	-88	88	-88	88	-88	88
1005	2	-88	88	-88	88	-88	88
1005	3	-88	88	-88	88	-88	88
1006	1	-88	88	-88	88	-88	88
1006	2	-88	88	-88	88	-88	88
1006	3	-88	88	-88	88	-88	88
1101	1	15	6	15	6	15	6
1101	2	-11	88	-11	88	-11	88
1101	3	-88	88	-88	88	-88	88
1102	1	20	88	-11	88	-11	88
1102	2	-11	88	-11	88	-11	88
1102	3	-88	88	-88	88	-88	88
1103	1	20	6	-11	88	-11	88
1103	2	-11	88	-22	88	-22	88
1103	3	-88	88	-88	88	-88	88
1104	1	15	6	15	6	12	2
1104	2	-11	88	-11	88	-11	88
1104	3	-88	88	-88	88	-88	88
1105	1	15	6	-11	88	-11	88
1105	2	-11	88	-11	88	-11	88
1105	3	-88	88	-88	88	-88	88
1106	1	20	88	-22	6	-22	6
1106	2	-11	88	-11	88	-11	88
1106	3	-88	88	-88	88	-88	88
1107	1	20	6	-11	88	-11	88
1107	2	-11	88	-11	88	-11	88
1107	3	-88	88	-88	88	-88	88
1108	1	15	6	15	6	-11	88
1108	2	-11	88	-11	88	-11	88
1108	3	-88	88	-88	88	-88	88
1202	1	-88	88	-88	88	-88	88
1202	2	-88	88	-88	88	-88	88
1202	3	-88	88	-88	88	-88	88
1203	1	-88	88	-88	88	-88	88
1203	2	-88	88	-88	88	-88	88
1203	3	-88	88	-88	88	-88	88
1302	1	-11	88	-11	88	-11	88
1302	2	-11	88	-11	88	-11	88
1302	3	-11	88	-11	88	-11	88
1303	1	-88	88	-88	88	-88	88
1303	2	-88	88	-88	88	-88	88
1303	3	-88	88	-88	88	-88	88
1304	1	-88	88	-88	88	-88	88
1304	2	-88	88	-88	88	-88	88
1304	3	-88	88	-88	88	-88	88
1402	1	-88	88	-88	88	-88	88
1402	2	-88	88	-88	88	-88	88
1402	3	-88	88	-88	88	-88	88
1403	1	-88	88	-88	88	-88	88
1403	2	-88	88	-88	88	-88	88
1403	3	-88	88	-88	88	-88	88
1404	1	-88	88	-88	88	-88	88
1404	2	-88	88	-88	88	-88	88
1404	3	-88	88	-88	88	-88	88
1501	1	25	0	20	0	15	2
1501	2	-11	88	-11	88	-11	88
1501	3	-88	88	-88	88	-88	88
1502	1	20	6	20	6	-11	88
1502	2	-11	88	-11	88	-11	88
1502	3	-88	88	-88	88	-88	88
1503	1	25	0	25	0	-11	88
1503	2	-11	88	-11	88	-11	88
1503	3	-88	88	-88	88	-88	88
1504	1	20	6	20	6	20	6
1504	2	-11	88	-11	88	-11	88
1504	3	-88	88	-88	88	-88	88
1505	1	20	2	20	2	15	2
1505	2	-11	88	-11	88	-11	88
1505	3	-88	88	-88	88	-88	88
1506	1	20	2	20	2	-11	88
1506	2	-11	88	-11	88	-11	88
1506	3	-88	88	-88	88	-88	88
1507	1	30	0	20	6	-11	88
1507	2	-11	88	-11	88	-11	88
1507	3	-88	88	-88	88	-88	88
1508	1	20	2	20	2	10	2
1508	2	-11	88	-11	88	-11	88
1508	3	-88	88	-88	88	-88	88
1509	1	25	0	25	0	15	0
1509	2	-11	88	-11	88	-11	88
1509	3	-88	88	-88	88	-88	88
1601	1	20	6	15	6	15	2
1601	2	-22	88	-22	88	-22	88
1601	3	-88	88	-88	88	-88	88
1602	1	25	6	20	6	20	2
1602	2	-22	88	-22	88	-22	88
1602	3	-88	88	-88	88	-88	88
1603	1	25	6	18	6	10	2
1603	2	-22	88	-22	88	-22	88
1603	3	-88	88	-88	88	-88	88
1604	1	20	6	15	6	15	2
1604	2	-22	88	-22	88	-22	88
1604	3	-88	88	-88	88	-88	88
1605	1	20	6	15	6	15	2
1605	2	-22	88	-22	88	-22	88
1605	3	-88	88	-88	88	-88	88
1606	1	25	6	15	6	20	2
1606	2	-22	88	-22	88	-22	88
1606	3	-88	88	-88	88	-88	88
1607	1	25	6	15	6	15	2
1607	2	-22	88	-22	88	-22	88
1607	3	-88	88	-88	88	-88	88
1608	1	25	6	20	6	15	2
1608	2	-22	88	-22	88	-22	88
1608	3	-88	88	-88	88	-88	88
1701	1	20	6	10	6	-11	88
1701	2	-11	88	-22	88	-22	88
1701	3	-88	88	-88	88	-88	88
1702	1	35	2	30	2	-11	88
1702	2	-11	88	-11	88	-11	88
1702	3	-88	88	-88	88	-88	88
1703	1	35	6	30	6	-11	88
1703	2	-11	88	-11	88	-11	88
1703	3	-88	88	-88	88	-88	88
1704	1	20	6	10	6	-22	88
1704	2	10	6	5	6	2	6
1704	3	-88	88	-88	88	-88	88
1705	1	25	6	25	6	-11	88
1705	2	-22	88	-22	88	-22	88
1705	3	-88	88	-88	88	-88	88
1706	1	30	6	-11	88	-11	88
1706	2	-11	88	-11	88	-11	88
1706	3	-88	88	-88	88	-88	88
1708	1	15	6	10	6	-11	88
1708	2	-22	88	-22	88	-22	88
1708	3	-88	88	-88	88	-88	88
1709	1	35	2	30	2	-11	88
1709	2	-11	88	-11	88	-11	88
1709	3	-88	88	-88	88	-88	88
1710	1	30	6	25	2	-22	88
1710	2	-11	88	-11	88	-22	88
1710	3	-88	88	-88	88	-88	88
1711	1	20	6	10	6	-11	88
1711	2	-22	88	-22	88	-22	88
1711	3	-88	88	-88	88	-88	88
1801	1	25	6	20	6	15	2
1801	2	-11	88	-11	88	-11	88
1801	3	-88	88	-88	88	-88	88
1802	1	25	0	20	0	15	0
1802	2	-22	88	-22	88	-22	88
1802	3	-88	88	-88	88	-88	88
1803	1	35	0	30	0	20	0
1803	2	-22	0	-22	0	-22	0
1803	3	-88	88	-88	88	-88	88
1804	1	25	6	20	6	15	2
1804	2	-22	88	-22	88	-22	88
1804	3	-88	88	-88	88	-88	88
1806	1	30	0	25	0	15	0
1806	2	-22	88	-22	88	-22	88
1806	3	-88	88	-88	88	-88	88
1807	1	35	2	30	2	25	2
1807	2	-22	88	-22	88	-22	88
1807	3	-88	88	-88	88	-88	88
1901	1	50	0	45	0	35	0
1901	2	-11	88	-11	88	-11	88
1901	3	-11	88	-11	88	-11	88
1902	1	60	0	50	0	20	0
1902	2	-11	88	-11	88	-11	88
1902	3	-88	88	-88	88	-88	88
1903	1	50	0	50	0	-11	88
1903	2	-11	88	-11	88	-11	88
1903	3	-11	88	-11	88	-11	88
1904	1	70	0	35	0	-11	88
1904	2	-11	88	-11	88	-11	88
1904	3	-11	88	-11	88	-11	88
1905	1	50	0	45	0	45	0
1905	2	-22	88	-22	88	-22	88
1905	3	-88	88	-88	88	-88	88
2001	1	-88	88	-88	88	-88	88
2001	2	-88	88	-88	88	-88	88
2001	3	-88	88	-88	88	-88	88
2002	1	-88	88	-88	88	-88	88
2002	2	-88	88	-88	88	-88	88
2002	3	-88	88	-88	88	-88	88
2003	1	-88	88	-88	88	-88	88
2003	2	-88	88	-88	88	-88	88
2003	3	-88	88	-88	88	-88	88
2004	1	-88	88	-88	88	-88	88
2004	2	-88	88	-88	88	-88	88
2004	3	-88	88	-88	88	-88	88
2005	1	-88	88	-88	88	-88	88
2005	2	-88	88	-88	88	-88	88
2005	3	-88	88	-88	88	-88	88
2006	1	-88	88	-88	88	-88	88
2006	2	-88	88	-88	88	-88	88
2006	3	-88	88	-88	88	-88	88
2007	1	-88	88	-88	88	-88	88
2007	2	-88	88	-88	88	-88	88
2007	3	-88	88	-88	88	-88	88
2008	1	-88	88	-88	88	-88	88
2008	2	-88	88	-88	88	-88	88
2008	3	-88	88	-88	88	-88	88
8002	1	25	0	25	0	-11	88
8002	2	25	0	25	0	-11	88
8002	3	-88	88	-88	88	-88	88
8003	1	25	0	-11	88	25	0
8003	2	35	0	-11	88	-11	88
8003	3	25	0	25	0	-11	88
8004	1	30	0	30	0	-11	88
8004	2	30	0	-11	0	-11	0
8004	3	0	88	0	88	0	88
8006	1	-11	88	-11	88	-11	88
8006	2	-11	88	-11	88	-11	88
8006	3	-88	88	-88	88	-88	88
8007	1	-11	88	-11	88	-11	88
8007	2	-11	88	-11	88	-11	88
8007	3	-88	88	-88	88	-88	88
8008	1	-88	88	-88	88	0	88
8008	2	-88	88	-88	88	-88	88
8008	3	-88	88	-88	88	-88	88
8010	1	50	0	45	0	-11	88
8010	2	50	0	45	0	-11	88
8010	3	-88	88	-88	88	-88	88
8011	1	-88	88	-88	88	-88	88
8011	2	-88	88	-88	88	-88	88
8011	3	-88	88	-88	88	-88	88
8012	1	35	0	30	0	-11	88
8012	2	-11	88	-11	88	-11	88
8012	3	-88	88	-88	88	-88	88
8014	1	25	0	-11	88	-11	88
8014	2	-11	88	-11	88	-11	88
8014	3	-88	88	-88	88	-88	88
8015	1	30	0	25	0	-11	88
8015	2	-11	88	-11	88	-11	88
8015	3	-88	88	-88	88	-88	88
8016	1	-88	88	-88	88	-88	88
8016	2	-88	88	-88	88	-88	88
8016	3	-88	88	-88	88	-88	88
8017	1	-88	88	-88	88	-88	88
8017	2	-88	88	-88	88	-88	88
8017	3	-88	88	-88	88	-88	88
8018	1	50	0	45	0	40	0
8018	2	50	0	45	0	40	0
8018	3	-88	88	-88	88	-88	88
8019	1	-11	88	-11	88	-11	88
8019	2	-11	88	-11	88	-11	88
8019	3	-88	88	-88	88	-88	88
8020	1	30	0	-11	88	-11	88
8020	2	-11	88	-11	88	-11	88
8020	3	-88	88	-88	88	-88	88
8021	1	30	6	30	6	-11	88
8021	2	-11	88	-11	88	-11	88
8021	3	-88	88	-88	88	-88	88
8022	1	25	0	25	0	-11	88
8022	2	30	0	-11	88	-11	88
8022	3	-88	88	-88	88	-88	88
8023	1	30	0	20	0	10	0
8023	2	-11	88	-11	88	-11	88
8023	3	-88	88	-88	88	88	88
8024	1	40	0	20	0	20	0
8024	2	-11	88	-11	88	-11	88
8024	3	-88	88	-88	88	-88	88
8025	1	25	2	25	2	-11	88
8025	2	-11	88	-11	88	-11	88
8025	3	-88	88	-88	88	-88	88
8026	1	20	6	20	6	-22	6
8026	2	-88	88	-88	88	-88	88
8026	3	-88	88	-88	88	-88	88
8027	1	35	0	35	0	15	0
8027	2	35	0	35	0	15	0
8027	3	-88	88	-88	88	-88	88
8028	1	-88	88	-88	88	-88	88
8028	2	-88	88	-88	88	-88	88
8028	3	-88	88	-88	88	-88	88
