PLACEID	EDAVIDR4	EDCURAVL	EDHOWLNG	EDTRSNPT
312	9	0	180	8
312	10	0	180	8
312	11	0	15	1
312	12	0	240	8
312	13	0	240	8
312	14	0	180	8
312	15	0	120	8
312	17	0	300	8
312	18	0	300	8
312	19	88	 	 
312	20	0	15	1
312	21	0	120	8
312	22	0	180	8
312	63	0	300	8
313	1	1	 	 
313	2	0	120	8
313	3	0	120	8
313	4	1	 	 
313	5	0	240	8
313	6	0	120	8
313	7	0	15	1
313	8	0	240	8
313	9	0	240	8
313	10	0	120	8
313	11	0	15	8
313	12	0	240	8
313	13	0	240	8
313	14	0	120	8
313	15	0	120	8
313	17	0	120	8
313	18	0	120	8
313	19	88	 	 
313	20	0	240	8
313	21	0	240	8
313	22	0	240	8
313	63	0	240	8
314	1	0	15	1
314	2	0	240	8
314	3	0	240	8
314	4	0	15	1
314	5	0	240	8
314	6	0	240	8
314	7	0	15	1
314	8	0	240	8
314	9	0	240	8
314	10	0	240	8
314	11	0	15	1
314	12	0	240	8
314	13	0	240	8
314	14	0	240	8
314	15	0	120	8
314	17	0	240	8
314	18	0	120	8
314	19	1	 	 
314	20	0	15	1
314	21	0	240	8
314	22	88	 	 
314	63	0	300	8
401	1	0	120	7
401	2	0	120	7
401	3	0	45	1
401	4	1	 	 
401	5	0	300	8
401	6	0	120	7
401	7	1	 	 
401	8	0	300	8
401	9	0	120	7
401	10	0	120	7
401	11	1	 	 
401	12	0	300	8
401	13	0	120	7
401	14	0	120	7
401	15	0	30	7
401	17	0	120	7
401	18	0	120	7
401	19	88	 	 
401	20	0	30	7
401	21	0	120	7
401	22	0	120	7
401	63	0	120	7
402	1	0	90	7
402	2	3	 	 
402	3	0	30	1
402	4	1	 	 
402	5	0	210	7
402	6	0	90	7
402	7	1	 	 
402	8	0	210	7
402	9	0	90	7
402	10	0	90	7
402	11	1	 	 
402	12	0	210	7
402	13	0	90	7
402	14	0	90	7
402	15	0	45	7
402	17	0	90	7
402	18	0	90	7
402	19	88	 	 
402	20	0	45	7
402	21	0	90	7
402	22	3	 	 
402	63	0	90	7
403	1	0	180	7
403	2	0	180	7
403	3	1	 	 
403	4	1	 	 
403	5	0	480	8
403	6	0	180	7
403	7	1	 	 
403	8	0	480	8
403	9	0	180	7
403	10	0	180	7
403	11	1	 	 
403	12	0	480	8
403	13	0	180	7
403	14	0	180	7
403	15	0	180	7
403	17	0	180	7
403	18	0	180	7
403	19	88	 	 
403	20	0	180	7
403	21	0	180	7
403	22	0	360	7
403	63	0	180	7
404	1	0	60	7
404	2	0	120	7
404	3	0	40	1
404	4	1	 	 
404	5	3	 	 
404	6	0	120	7
404	7	1	 	 
404	8	3	 	 
404	9	3	 	 
404	10	0	120	7
404	11	1	 	 
404	12	3	 	 
404	13	3	 	 
404	14	0	120	7
404	15	0	90	7
404	17	0	120	7
404	18	0	120	7
404	19	88	 	 
404	20	0	129	7
404	21	0	120	7
404	22	3	 	 
404	63	0	120	7
405	1	0	120	7
405	2	0	120	7
405	3	1	 	 
405	4	0	60	1
405	5	3	 	 
405	6	0	120	7
405	7	1	 	 
405	8	3	 	 
405	9	0	120	7
405	10	0	120	7
405	11	0	60	1
405	12	3	 	 
405	13	0	120	7
405	14	0	120	7
405	15	0	120	7
405	17	0	120	7
405	18	0	120	7
405	19	88	 	 
405	20	0	120	7
405	21	0	120	7
405	22	3	 	 
405	63	0	120	7
406	1	0	30	1
406	2	0	120	7
406	3	0	30	1
406	4	1	 	 
406	5	0	360	6
406	6	0	120	7
406	7	1	 	 
406	8	0	360	6
406	9	0	120	7
406	10	0	120	7
406	11	0	30	1
406	12	0	360	6
406	13	0	120	7
406	14	0	120	7
406	15	0	120	7
406	17	0	120	7
406	18	0	120	7
406	19	88	 	 
406	20	0	120	7
406	21	0	120	7
406	22	0	120	7
406	63	0	120	7
408	1	0	120	7
408	2	0	120	7
408	3	0	40	1
408	4	1	 	 
408	5	3	 	 
408	6	0	120	7
408	7	1	 	 
408	8	3	 	 
408	9	0	120	7
408	10	0	120	7
408	11	0	15	1
408	12	3	 	 
408	13	0	120	7
408	14	0	120	7
408	15	0	45	7
408	17	0	120	7
408	18	0	120	7
408	19	88	 	 
408	20	0	120	7
408	21	0	120	7
408	22	0	120	7
408	63	0	120	7
501	1	0	15	6
501	2	0	90	6
501	3	0	10	6
501	4	1	 	 
501	5	0	180	6
501	6	0	90	6
501	7	1	 	 
501	8	0	180	6
501	9	0	120	6
501	10	0	15	6
501	11	1	 	 
501	12	0	180	6
501	13	0	120	6
501	14	0	15	6
501	15	0	90	6
501	17	0	15	6
501	18	0	120	6
501	19	0	120	6
501	20	0	15	6
501	21	0	249	6
501	22	0	60	6
501	63	0	90	6
503	1	0	60	6
503	2	3	 	 
503	3	0	10	6
503	4	1	 	 
503	5	3	 	 
503	6	0	60	6
503	7	1	 	 
503	8	3	 	 
503	9	3	 	 
503	10	0	20	6
503	11	1	 	 
503	12	3	 	 
503	13	3	 	 
503	14	0	15	6
503	15	0	60	6
503	17	0	15	6
503	18	0	120	6
503	19	88	 	 
503	20	0	15	6
503	21	0	60	6
503	22	0	60	6
503	63	0	60	6
504	1	0	90	6
504	2	0	240	6
504	3	0	30	1
504	4	1	 	 
504	5	0	360	6
504	6	0	75	6
504	7	1	 	 
504	8	0	360	6
504	9	0	240	6
504	10	0	240	6
504	11	1	 	 
504	12	0	360	6
504	13	0	240	6
504	14	0	75	6
504	15	0	30	6
504	17	0	75	6
504	18	0	75	6
504	19	88	 	 
504	20	0	5	6
504	21	0	5	6
504	22	0	120	6
504	63	0	30	6
505	1	0	90	6
505	2	0	120	6
505	3	1	 	 
505	4	1	 	 
505	5	3	 	 
505	6	0	40	6
505	7	1	 	 
505	8	3	 	 
505	9	0	120	6
505	10	0	40	6
505	11	0	10	5
505	12	77	 	 
505	13	0	120	6
505	14	0	10	5
505	15	0	40	6
505	17	0	40	6
505	18	0	40	6
505	19	88	 	 
505	20	0	10	5
505	21	0	40	6
505	22	3	 	 
505	63	0	40	6
507	1	0	30	6
507	2	0	30	6
507	3	0	15	5
507	4	0	5	5
507	5	0	-77	88
507	6	0	30	6
507	7	1	 	 
507	8	0	-77	88
507	9	0	30	6
507	10	0	30	6
507	11	0	15	6
507	12	0	-77	88
507	13	0	-77	88
507	14	0	30	6
507	15	0	30	6
507	17	0	15	5
507	18	0	50	6
507	19	88	 	 
507	20	0	30	6
507	21	0	15	5
507	22	0	30	6
507	63	0	30	6
508	1	0	25	5
508	2	3	 	 
508	3	0	20	5
508	4	0	25	5
508	5	3	 	 
508	6	0	25	5
508	7	1	 	 
508	8	3	 	 
508	9	0	25	5
508	10	0	25	5
508	11	0	25	5
508	12	3	 	 
508	13	0	25	5
508	14	0	25	5
508	15	0	25	5
508	17	0	15	5
508	18	0	25	5
508	19	88	 	 
508	20	0	60	5
508	21	0	25	5
508	22	3	 	 
508	63	0	25	5
509	1	0	30	6
509	2	0	30	6
509	3	1	 	 
509	4	0	20	5
509	5	77	 	 
509	6	0	20	5
509	7	1	 	 
509	8	77	 	 
509	9	0	20	5
509	10	0	15	5
509	11	0	15	5
509	12	77	 	 
509	13	0	20	5
509	14	0	20	5
509	15	0	20	5
509	17	0	20	5
509	18	3	 	 
509	19	88	 	 
509	20	0	60	6
509	21	0	20	5
509	22	0	30	6
509	63	0	20	5
510	1	0	30	6
510	2	0	30	6
510	3	0	30	6
510	4	1	 	 
510	5	0	30	6
510	6	0	30	6
510	7	1	 	 
510	8	0	30	6
510	9	0	30	6
510	10	0	30	6
510	11	1	 	 
510	12	0	30	6
510	13	0	30	6
510	14	0	30	6
510	15	0	30	6
510	17	1	 	 
510	18	0	30	6
510	19	88	 	 
510	20	0	30	6
510	21	0	30	6
510	22	0	30	6
510	63	0	30	6
511	1	0	90	6
511	2	3	 	 
511	3	0	5	6
511	4	1	 	 
511	5	3	 	 
511	6	0	60	6
511	7	1	 	 
511	8	3	 	 
511	9	0	60	6
511	10	0	15	6
511	11	1	 	 
511	12	3	 	 
511	13	0	60	6
511	14	0	15	6
511	15	0	60	6
511	17	0	60	6
511	18	0	60	6
511	19	88	 	 
511	20	0	15	6
511	21	0	60	6
511	22	0	90	6
511	63	0	60	6
512	1	0	90	6
512	2	0	90	6
512	3	1	 	 
512	4	1	 	 
512	5	0	180	6
512	6	0	30	6
512	7	1	 	 
512	8	0	180	6
512	9	0	30	6
512	10	0	30	6
512	11	1	 	 
512	12	0	180	6
512	13	0	30	6
512	14	0	30	6
512	15	0	30	6
512	17	1	 	 
512	18	0	30	6
512	19	88	 	 
512	20	0	60	6
512	21	0	60	6
512	22	0	90	6
512	63	0	60	6
601	1	0	10	1
601	2	1	 	 
601	3	0	10	1
601	4	1	 	 
601	5	3	 	 
601	6	0	15	1
601	7	1	 	 
601	8	3	 	 
601	9	0	30	5
601	10	0	5	5
601	11	1	 	 
601	12	3	 	 
601	13	0	30	5
601	14	0	5	5
601	15	1	 	 
601	17	0	10	5
601	18	0	15	1
601	19	88	 	 
601	20	0	5	5
601	21	0	15	1
601	22	0	10	1
601	63	0	15	1
602	1	1	 	 
602	2	1	 	 
602	3	1	 	 
602	4	1	 	 
602	5	3	 	 
602	6	1	 	 
602	7	1	 	 
602	8	3	 	 
602	9	1	 	 
602	10	1	 	 
602	11	1	 	 
602	12	3	 	 
602	13	1	 	 
602	14	1	 	 
602	15	1	 	 
602	17	1	 	 
602	18	1	 	 
602	19	88	 	 
602	20	77	 	 
602	21	1	 	 
602	22	1	 	 
602	63	1	 	 
701	1	0	10	1
701	2	0	15	7
701	3	1	 	 
701	4	1	 	 
701	5	0	15	7
701	6	1	 	 
701	7	0	15	7
701	8	0	15	7
701	9	0	10	1
701	10	1	 	 
701	11	0	15	7
701	12	0	15	7
701	13	0	15	7
701	14	1	 	 
701	15	1	 	 
701	17	0	15	7
701	18	0	10	7
701	19	88	 	 
701	20	0	15	7
701	21	0	15	7
701	22	0	15	7
701	63	0	30	7
702	1	1	 	 
702	2	0	15	1
702	3	1	 	 
702	4	1	 	 
702	5	0	25	7
702	6	0	15	1
702	7	1	 	 
702	8	0	25	7
702	9	0	10	1
702	10	0	5	7
702	11	0	15	7
702	12	0	25	7
702	13	0	20	7
702	14	0	20	7
702	15	0	20	7
702	17	0	15	8
702	18	0	20	7
702	19	0	15	7
702	20	0	15	7
702	21	0	15	7
702	22	0	-77	88
702	63	0	25	7
703	1	1	 	 
703	2	0	15	1
703	3	1	 	 
703	4	1	 	 
703	5	0	30	7
703	6	0	15	1
703	7	0	10	1
703	8	0	30	7
703	9	1	 	 
703	10	0	10	7
703	11	0	15	7
703	12	0	30	7
703	13	0	25	7
703	14	0	20	7
703	15	0	20	7
703	17	0	15	7
703	18	0	20	7
703	19	0	15	7
703	20	0	15	7
703	21	0	15	7
703	22	0	-77	88
703	63	0	30	7
704	1	1	 	 
704	2	0	15	5
704	3	0	15	7
704	4	0	10	5
704	5	0	25	7
704	6	0	15	7
704	7	0	10	5
704	8	0	25	7
704	9	0	10	5
704	10	0	10	5
704	11	0	25	7
704	12	0	25	7
704	13	0	25	7
704	14	0	15	7
704	15	0	15	7
704	17	0	25	7
704	18	0	20	7
704	19	77	 	 
704	20	0	25	7
704	21	0	15	7
704	22	0	-77	88
704	63	0	25	7
801	1	1	 	 
801	2	1	 	 
801	3	1	 	 
801	4	1	 	 
801	5	0	10	5
801	6	1	 	 
801	7	1	 	 
801	8	0	10	5
801	9	1	 	 
801	10	1	 	 
801	11	1	 	 
801	12	0	10	5
801	13	1	 	 
801	14	1	 	 
801	15	1	 	 
801	17	1	 	 
801	18	0	45	7
801	19	88	 	 
801	20	0	30	7
801	21	0	20	7
801	22	0	-77	88
801	63	0	30	7
802	1	1	 	 
802	2	1	 	 
802	3	1	 	 
802	4	1	 	 
802	5	0	10	5
802	6	1	 	 
802	7	1	 	 
802	8	0	10	5
802	9	0	10	5
802	10	1	 	 
802	11	1	 	 
802	12	0	10	5
802	13	0	20	5
802	14	0	10	5
802	15	0	15	5
802	17	1	 	 
802	18	1	 	 
802	19	88	 	 
802	20	0	10	5
802	21	0	30	7
802	22	0	-77	88
802	63	0	30	7
901	1	0	90	7
901	2	0	90	7
901	3	1	 	 
901	4	1	 	 
901	5	0	180	7
901	6	0	90	7
901	7	1	 	 
901	8	0	180	7
901	9	0	110	7
901	10	0	90	7
901	11	1	 	 
901	12	0	180	7
901	13	0	110	7
901	14	0	90	7
901	15	0	90	7
901	17	0	90	7
901	18	0	90	7
901	19	0	-88	88
901	20	0	90	7
901	21	0	90	7
901	22	0	-77	88
901	63	0	90	7
902	1	0	90	1
902	2	0	90	7
902	3	0	90	7
902	4	0	20	1
902	5	0	180	7
902	6	0	90	7
902	7	1	 	 
902	8	0	180	7
902	9	0	120	7
902	10	0	90	7
902	11	1	 	 
902	12	0	180	7
902	13	0	120	7
902	14	0	90	7
902	15	0	90	7
902	17	0	90	7
902	18	0	120	7
902	19	0	-88	88
902	20	0	90	7
902	21	0	90	7
902	22	3	 	 
902	63	0	90	7
903	1	0	60	6
903	2	0	60	6
903	3	0	60	6
903	4	1	 	 
903	5	0	150	6
903	6	0	60	6
903	7	1	 	 
903	8	0	150	6
903	9	0	159	6
903	10	0	60	6
903	11	0	60	6
903	12	0	150	6
903	13	0	150	6
903	14	0	60	6
903	15	0	60	6
903	17	0	60	6
903	18	0	60	6
903	19	0	-88	88
903	20	0	60	6
903	21	0	60	6
903	22	0	60	6
903	63	0	150	6
904	1	0	20	6
904	2	0	20	6
904	3	0	5	6
904	4	1	 	 
904	5	0	100	6
904	6	0	20	6
904	7	1	 	 
904	8	0	100	6
904	9	0	35	6
904	10	0	20	6
904	11	1	 	 
904	12	0	100	6
904	13	0	35	6
904	14	0	20	6
904	15	0	20	6
904	17	0	20	6
904	18	0	35	6
904	19	88	 	 
904	20	0	20	6
904	21	0	20	6
904	22	3	 	 
904	63	0	20	6
905	1	0	60	7
905	2	0	60	7
905	3	0	60	7
905	4	1	 	 
905	5	0	150	7
905	6	0	60	7
905	7	1	 	 
905	8	0	150	7
905	9	0	60	7
905	10	0	60	7
905	11	1	 	 
905	12	0	150	7
905	13	0	60	7
905	14	0	60	7
905	15	0	60	7
905	17	0	60	7
905	18	0	60	7
905	19	0	60	7
905	20	0	60	7
905	21	0	60	7
905	22	3	 	 
905	63	0	60	7
906	1	0	-77	88
906	2	0	90	7
906	3	1	 	 
906	4	1	 	 
906	5	0	180	7
906	6	0	60	7
906	7	1	 	 
906	8	0	180	7
906	9	0	60	7
906	10	0	90	7
906	11	1	 	 
906	12	0	180	7
906	13	0	60	7
906	14	0	90	7
906	15	0	90	7
906	17	0	90	7
906	18	0	90	7
906	19	0	-88	88
906	20	0	90	7
906	21	0	90	7
906	22	0	-77	88
906	63	0	90	7
907	1	0	90	7
907	2	0	90	7
907	3	3	 	 
907	4	1	 	 
907	5	0	180	7
907	6	0	90	7
907	7	1	 	 
907	8	0	180	7
907	9	0	90	7
907	10	0	90	7
907	11	0	30	7
907	12	0	180	7
907	13	0	90	7
907	14	0	90	7
907	15	0	90	7
907	17	0	90	7
907	18	0	90	7
907	19	88	 	 
907	20	0	90	7
907	21	0	90	7
907	22	3	 	 
907	63	0	90	7
908	1	0	25	6
908	2	0	25	6
908	3	0	10	6
908	4	1	 	 
908	5	0	100	6
908	6	0	25	6
908	7	1	 	 
908	8	0	100	6
908	9	0	35	6
908	10	0	25	6
908	11	0	20	1
908	12	0	100	6
908	13	0	35	6
908	14	0	25	6
908	15	0	25	6
908	17	0	25	6
908	18	0	35	6
908	19	88	 	 
908	20	0	25	6
908	21	0	25	5
908	22	3	 	 
908	63	0	25	3
909	1	0	15	6
909	2	0	-88	88
909	3	1	 	 
909	4	1	 	 
909	5	0	100	6
909	6	0	15	6
909	7	1	 	 
909	8	0	100	6
909	9	0	30	6
909	10	0	15	6
909	11	0	10	6
909	12	0	100	6
909	13	0	30	6
909	14	0	15	6
909	15	0	15	6
909	17	0	15	6
909	18	0	30	6
909	19	0	-88	6
909	20	0	15	6
909	21	0	15	6
909	22	3	 	 
909	63	0	15	6
910	1	0	90	7
910	2	0	90	7
910	3	3	 	 
910	4	1	 	 
910	5	0	180	7
910	6	0	90	7
910	7	1	 	 
910	8	0	180	7
910	9	0	90	7
910	10	0	90	7
910	11	0	30	1
910	12	0	180	7
910	13	0	90	7
910	14	0	90	7
910	15	0	90	7
910	17	0	90	7
910	18	0	90	7
910	19	0	-88	7
910	20	0	90	7
910	21	0	90	7
910	22	3	 	 
910	63	0	90	7
911	1	0	60	6
911	2	0	60	6
911	3	1	 	 
911	4	0	20	1
911	5	0	150	6
911	6	0	60	6
911	7	1	 	 
911	8	0	150	6
911	9	0	60	6
911	10	0	60	6
911	11	0	60	1
911	12	0	150	6
911	13	0	60	6
911	14	0	60	6
911	15	0	60	6
911	17	0	60	6
911	18	0	60	6
911	19	88	 	 
911	20	0	60	6
911	21	0	60	6
911	22	3	 	 
911	63	0	60	6
912	1	0	45	7
912	2	0	45	7
912	3	0	45	7
912	4	1	 	 
912	5	0	150	7
912	6	0	45	7
912	7	1	 	 
912	8	0	150	7
912	9	0	70	7
912	10	0	45	7
912	11	0	20	1
912	12	0	150	7
912	13	0	70	7
912	14	0	45	7
912	15	0	45	7
912	17	0	45	7
912	18	0	45	7
912	19	88	 	 
912	20	0	45	7
912	21	0	45	7
912	22	3	 	 
912	63	0	45	7
1001	1	1	 	 
1001	2	1	 	 
1001	3	0	15	1
1001	4	1	 	 
1001	5	3	 	 
1001	6	1	 	 
1001	7	0	5	1
1001	8	0	20	7
1001	9	1	 	 
1001	10	1	 	 
1001	11	0	5	1
1001	12	0	20	7
1001	13	1	 	 
1001	14	1	 	 
1001	15	1	 	 
1001	17	0	10	1
1001	18	0	10	7
1001	19	88	 	 
1001	20	0	5	1
1001	21	1	 	 
1001	22	0	15	1
1001	63	1	 	 
1003	1	1	 	 
1003	2	1	 	 
1003	3	1	 	 
1003	4	1	 	 
1003	5	3	 	 
1003	6	1	 	 
1003	7	0	25	1
1003	8	0	30	1
1003	9	0	10	1
1003	10	0	20	1
1003	11	0	25	1
1003	12	0	30	1
1003	13	0	10	1
1003	14	0	20	1
1003	15	1	 	 
1003	17	0	15	1
1003	18	0	35	1
1003	19	0	-88	88
1003	20	0	25	1
1003	21	0	10	7
1003	22	0	15	1
1003	63	0	10	1
1004	1	1	 	 
1004	2	0	15	1
1004	3	0	10	1
1004	4	0	15	1
1004	5	3	 	 
1004	6	1	 	 
1004	7	0	15	1
1004	8	0	15	7
1004	9	0	15	1
1004	10	0	20	7
1004	11	0	15	1
1004	12	0	15	7
1004	13	0	15	1
1004	14	0	20	7
1004	15	0	20	1
1004	17	0	15	7
1004	18	0	20	7
1004	19	88	 	 
1004	20	0	15	1
1004	21	0	15	7
1004	22	0	15	1
1004	63	0	20	7
1005	1	0	5	1
1005	2	0	5	1
1005	3	1	 	 
1005	4	0	10	1
1005	5	3	 	 
1005	6	0	5	1
1005	7	0	10	1
1005	8	0	8	1
1005	9	0	5	1
1005	10	1	 	 
1005	11	0	10	1
1005	12	0	8	1
1005	13	0	5	1
1005	14	0	10	1
1005	15	0	5	1
1005	17	0	10	1
1005	18	0	15	7
1005	19	88	 	 
1005	20	0	10	1
1005	21	0	15	1
1005	22	0	10	1
1005	63	0	10	1
1006	1	1	 	 
1006	2	0	15	7
1006	3	1	 	 
1006	4	1	 	 
1006	5	3	 	 
1006	6	0	15	1
1006	7	1	 	 
1006	8	0	15	7
1006	9	0	15	7
1006	10	0	20	7
1006	11	0	15	7
1006	12	0	15	7
1006	13	0	15	7
1006	14	0	20	7
1006	15	0	15	7
1006	17	0	15	7
1006	18	0	20	7
1006	19	88	 	 
1006	20	0	15	7
1006	21	0	20	7
1006	22	0	15	7
1006	63	0	20	7
1101	1	0	45	7
1101	2	3	 	 
1101	3	0	15	1
1101	4	1	 	 
1101	5	3	 	 
1101	6	3	 	 
1101	7	1	 	 
1101	8	3	 	 
1101	9	3	 	 
1101	10	0	90	7
1101	11	1	 	 
1101	12	3	 	 
1101	13	3	 	 
1101	14	0	90	7
1101	15	0	90	7
1101	17	0	90	7
1101	18	0	90	7
1101	19	88	 	 
1101	20	0	90	7
1101	21	0	300	7
1101	22	3	 	 
1101	63	0	300	7
1102	1	3	 	 
1102	2	3	 	 
1102	3	3	 	 
1102	4	1	 	 
1102	5	3	 	 
1102	6	3	 	 
1102	7	1	 	 
1102	8	3	 	 
1102	9	3	 	 
