PLACEID	PRLDIDR4	AVLNDPRC	MNLNDPRC	MXLDNPRC
507	2	1500	 	 
507	3	5	 	 
508	1	45000	 	 
508	2	35000	 	 
508	3	3,5	 	 
509	1	30000	 	 
509	2	20000	 	 
509	3	15	 	 
510	1	40000	 	 
510	2	20000	 	 
510	3	-77	4	8
511	1	-88	 	 
511	2	4000	 	 
511	3	10	 	 
512	1	20000	 	 
512	2	10000	 	 
512	3	100	 	 
601	1	-88	 	 
601	2	-88	 	 
601	3	-77	30	500
602	1	-88	 	 
602	2	-88	 	 
602	3	250	 	 
701	1	-88	 	 
701	2	-88	 	 
701	3	500	 	 
702	1	-88	 	 
702	2	-88	 	 
702	3	-77	400	500
703	1	-88	 	 
703	2	-88	 	 
703	3	-77	100	150
704	1	-88	 	 
704	2	-88	 	 
704	3	300	 	 
801	1	-88	 	 
801	2	-88	 	 
801	3	100	 	 
802	1	-88	 	 
802	2	-88	 	 
802	3	200	 	 
901	1	7000	 	 
901	2	2000	 	 
901	3	5	 	 
902	1	5000	 	 
902	2	2500	 	 
902	3	10	 	 
903	1	50000	 	 
903	2	20000	 	 
903	3	10	 	 
904	1	100000	 	 
904	2	30000	 	 
904	3	50	 	 
905	1	50000	 	 
905	2	25000	 	 
905	3	25	 	 
906	1	30000	 	 
906	2	10000	 	 
906	3	3	 	 
907	1	50000	 	 
907	2	20000	 	 
907	3	5	 	 
908	1	100000	 	 
908	2	50000	 	 
908	3	80	 	 
909	1	80000	 	 
909	2	30000	 	 
909	3	31	 	 
910	1	50000	 	 
910	2	25000	 	 
910	3	5	 	 
911	1	100000	 	 
911	2	50000	 	 
911	3	20	 	 
912	1	50000	 	 
912	2	20000	 	 
912	3	8	 	 
1001	1	-88	 	 
1001	2	-88	 	 
1001	3	-77	2240	2800
1003	1	-88	 	 
1003	2	-88	 	 
1003	3	1120	 	 
1004	1	-88	 	 
1004	2	-88	 	 
1004	3	250	 	 
1005	1	-88	 	 
1005	2	-88	 	 
1005	3	1400	 	 
1006	1	-88	 	 
1006	2	-88	 	 
1006	3	-77	56	140
1101	1	-77	5000	7000
1101	2	3000	 	 
1101	3	100	 	 
1102	1	-77	5000	10000
1102	2	-77	2000	3000
1102	3	100	 	 
1103	1	-77	5000	10000
1103	2	-77	2000	3000
1103	3	20	 	 
1104	1	-77	5000	8000
1104	2	-77	2000	4000
1104	3	20	 	 
1105	1	-77	2000	5000
1105	2	-77	500	1000
1105	3	-77	25	30
1106	1	-77	5000	10000
1106	2	-77	2000	4000
1106	3	10	 	 
1107	1	-77	8000	12000
1107	2	-77	3000	5000
1107	3	-77	20	50
1108	1	10000	 	 
1108	2	2000	 	 
1108	3	30	 	 
1202	1	-88	 	 
1202	2	-88	 	 
1202	3	350	 	 
1203	1	-88	 	 
1203	2	-88	 	 
1203	3	-77	648	1350
1302	1	-88	 	 
1302	2	-88	 	 
1302	3	-77	250	350
1303	1	-88	 	 
1303	2	-88	 	 
1303	3	-77	250	300
1304	1	-88	 	 
1304	2	-88	 	 
1304	3	-77	500	800
1402	1	-88	 	 
1402	2	-88	 	 
1402	3	-77	300	500
1403	1	-88	 	 
1403	2	-88	 	 
1403	3	-77	-77	-77
1404	1	-88	 	 
1404	2	-88	 	 
1404	3	-77	35	40
1501	1	-88	 	 
1501	2	-77	100000	130000
1501	3	50	 	 
1502	1	-88	 	 
1502	2	-77	150000	200000
1502	3	-77	100	130
1503	1	-88	 	 
1503	2	-77	12000	14000
1503	3	30	 	 
1504	1	-88	 	 
1504	2	-77	10000	12000
1504	3	-77	30	50
1505	1	-88	 	 
1505	2	20000	 	 
1505	3	-77	60	100
1506	1	-88	 	 
1506	2	-77	8000	10000
1506	3	-77	100	200
1507	1	-88	 	 
1507	2	1200	 	 
1507	3	10	 	 
1508	1	-88	 	 
1508	2	-77	10000	15000
1508	3	50	 	 
1509	1	-88	 	 
1509	2	-77	5000	7000
1509	3	-77	120	150
1601	1	5000	 	 
1601	2	2500	 	 
1601	3	10	 	 
1602	1	7000	 	 
1602	2	3000	 	 
1602	3	50	 	 
1603	1	4000	 	 
1603	2	1500	 	 
1603	3	15	 	 
1604	1	20000	 	 
1604	2	7000	 	 
1604	3	50	 	 
1605	1	15000	 	 
1605	2	3000	 	 
1605	3	50	 	 
1606	1	10000	 	 
1606	2	2000	 	 
1606	3	20	 	 
1607	1	-88	 	 
1607	2	-88	 	 
1607	3	-88	 	 
1608	1	6000	 	 
1608	2	3000	 	 
1608	3	15	 	 
1701	1	-77	6000	8000
1701	2	-77	3000	5000
1701	3	-77	3	5
1702	1	20000	 	 
1702	2	5000	 	 
1702	3	-77	60	70
1703	1	8000	 	 
1703	2	4000	 	 
1703	3	30	 	 
1704	1	6000	 	 
1704	2	4000	 	 
1704	3	10	 	 
1705	1	4000	 	 
1705	2	2000	 	 
1705	3	-77	5	10
1706	1	-77	30000	40000
1706	2	-77	10000	12000
1706	3	-77	5	10
1708	1	6000	 	 
1708	2	3000	 	 
1708	3	5	 	 
1709	1	20000	 	 
1709	2	6000	 	 
1709	3	-77	50	60
1710	1	-77	6000	8000
1710	2	-77	2000	3000
1710	3	-77	200	1500
1711	1	12000	 	 
1711	2	6000	 	 
1711	3	10	 	 
1801	1	3000	 	 
1801	2	1500	 	 
1801	3	-88	 	 
1802	1	6000	 	 
1802	2	3000	 	 
1802	3	20	 	 
1803	1	-77	45000	50000
1803	2	-77	15000	30000
1803	3	70	 	 
1804	1	5000	 	 
1804	2	2000	 	 
1804	3	-77	5	8
1806	1	-77	40000	45000
1806	2	-77	15000	25000
1806	3	-88	 	 
1807	1	50000	 	 
1807	2	25000	 	 
1807	3	600	 	 
1901	1	200000	 	 
1901	2	-88	 	 
1901	3	300	 	 
1902	1	200	 	 
1902	2	200	 	 
1902	3	250	 	 
1903	1	180000	 	 
1903	2	-88	 	 
1903	3	20	 	 
1904	1	-77	180000	200000
1904	2	-88	 	 
1904	3	120	 	 
1905	1	210000	 	 
1905	2	-88	 	 
1905	3	100	 	 
2001	1	-88	 	 
2001	2	-88	 	 
2001	3	150	 	 
2002	1	-88	 	 
2002	2	-88	 	 
2002	3	200	 	 
2003	1	-88	 	 
2003	2	-88	 	 
2003	3	222	 	 
2004	1	-88	 	 
2004	2	-88	 	 
2004	3	-88	 	 
2005	1	-88	 	 
2005	2	-88	 	 
2005	3	200	 	 
2006	1	-88	 	 
2006	2	-88	 	 
2006	3	100	 	 
2007	1	-88	 	 
2007	2	-88	 	 
2007	3	150	 	 
2008	1	-88	 	 
2008	2	-88	 	 
2008	3	280	 	 
8002	1	-88	 	 
8002	2	5000	 	 
8002	3	800	 	 
8003	1	60000	 	 
8003	2	10000	 	 
8003	3	12	 	 
8004	1	50000	 	 
8004	2	25000	 	 
8004	3	21	 	 
8006	1	-88	 	 
8006	2	-88	 	 
8006	3	100	 	 
8007	1	-88	 	 
8007	2	-88	 	 
8007	3	-77	25	30
8008	1	-88	 	 
8008	2	-88	 	 
8008	3	-88	 	 
8010	1	210000	 	 
8010	2	-88	 	 
8010	3	1400	 	 
8011	1	-88	 	 
8011	2	-88	 	 
8011	3	60	 	 
8012	1	-77	16000	22160
8012	2	-77	8000	15000
8012	3	-77	55,4	138,5
8014	1	-77	300000	400000
8014	2	150000	 	 
8014	3	-77	280	700
8015	1	20050	 	 
8015	2	-88	 	 
8015	3	5	 	 
8016	1	-88	 	 
8016	2	-88	 	 
8016	3	-77	280	336
8017	1	-88	 	 
8017	2	-88	 	 
8017	3	-77	933	1400
8018	1	210000	 	 
8018	2	-88	 	 
8018	3	280	 	 
8019	1	-88	 	 
8019	2	-88	 	 
8019	3	-77	300	400
8020	1	500000	 	 
8020	2	100000	 	 
8020	3	150	 	 
8021	1	-77	190	400
8021	2	-88	 	 
8021	3	33	 	 
8022	1	-88	 	 
8022	2	-77	10000	40000
8022	3	200	 	 
8023	1	-88	 	 
8023	2	12000	 	 
8023	3	50	 	 
8024	1	30000	 	 
8024	2	10000	 	 
8024	3	60	 	 
8025	1	60000	 	 
8025	2	40000	 	 
8025	3	150	 	 
8026	1	-77	50000	200000
8026	2	-88	 	 
8026	3	-77	2240	4200
8027	1	112000	 	 
8027	2	-88	 	 
8027	3	-77	560	1120
8028	1	-88	 	 
8028	2	-88	 	 
8028	3	300	 	 
