PLACEID	HSTFIDR4	STAFFLL	STFFLNG1	STFFLNG2
313	5	0	 	 
313	6	1	1	88
313	7	1	1	88
313	8	1	1	88
313	9	0	 	 
313	10	1	1	88
313	11	0	 	 
313	12	1	1	88
313	13	1	1	88
313	14	1	1	88
313	15	1	1	88
313	16	1	1	88
313	17	1	1	88
314	1	11	1	88
314	2	0	 	 
314	3	1	1	88
314	4	0	 	 
314	5	0	 	 
314	6	1	1	88
314	7	1	1	88
314	8	1	1	88
314	9	0	 	 
314	10	1	1	88
314	11	0	 	 
314	12	1	1	88
314	13	1	1	88
314	14	1	1	88
314	15	1	1	88
314	16	1	1	88
314	17	1	1	88
401	1	0	 	 
401	2	0	 	 
401	3	0	 	 
401	4	0	 	 
401	5	0	 	 
401	6	0	 	 
401	7	2	1	88
401	8	0	 	 
401	9	0	 	 
401	10	0	 	 
401	11	0	 	 
401	12	0	 	 
401	13	0	 	 
401	14	1	1	88
401	15	0	 	 
401	16	0	 	 
401	17	0	 	 
402	1	1	1	88
402	2	0	 	 
402	3	0	 	 
402	4	0	 	 
402	5	0	 	 
402	6	2	1	88
402	7	3	1	88
402	8	0	 	 
402	9	0	 	 
402	10	1	1	1
402	11	0	 	 
402	12	0	 	 
402	13	0	 	 
402	14	1	1	88
402	15	1	1	88
402	16	1	1	88
402	17	0	 	 
403	1	2	1	88
403	2	0	 	 
403	3	1	1	88
403	4	0	 	 
403	5	0	 	 
403	6	2	1	88
403	7	3	1	88
403	8	1	1	88
403	9	0	 	 
403	10	0	 	 
403	11	0	 	 
403	12	1	1	88
403	13	0	 	 
403	14	2	1	88
403	15	1	1	88
403	16	1	1	88
403	17	0	 	 
404	1	1	1	88
404	2	0	 	 
404	3	0	 	 
404	4	0	 	 
404	5	0	 	 
404	6	0	 	 
404	7	1	1	88
404	8	0	 	 
404	9	0	 	 
404	10	0	 	 
404	11	0	 	 
404	12	0	 	 
404	13	0	 	 
404	14	0	 	 
404	15	0	 	 
404	16	0	 	 
404	17	0	 	 
405	1	0	 	 
405	2	0	 	 
405	3	0	 	 
405	4	0	 	 
405	5	0	 	 
405	6	0	 	 
405	7	1	1	88
405	8	0	 	 
405	9	0	 	 
405	10	0	 	 
405	11	0	 	 
405	12	0	 	 
405	13	0	 	 
405	14	0	 	 
405	15	0	 	 
405	16	0	 	 
405	17	0	 	 
406	1	0	 	 
406	2	0	 	 
406	3	0	 	 
406	4	0	 	 
406	5	0	 	 
406	6	0	 	 
406	7	1	1	88
406	8	0	 	 
406	9	0	 	 
406	10	0	 	 
406	11	0	 	 
406	12	0	 	 
406	13	0	 	 
406	14	0	 	 
406	15	88	88	88
406	16	0	 	 
406	17	0	 	 
408	1	0	 	 
408	2	0	 	 
408	3	0	 	 
408	4	0	 	 
408	5	0	 	 
408	6	0	 	 
408	7	1	1	88
408	8	0	 	 
408	9	0	 	 
408	10	0	 	 
408	11	0	 	 
408	12	0	 	 
408	13	0	 	 
408	14	1	1	88
408	15	0	 	 
408	16	0	 	 
408	17	0	 	 
501	1	1	1	88
501	2	0	 	 
501	3	0	 	 
501	4	0	 	 
501	5	0	 	 
501	6	0	 	 
501	7	2	1	88
501	8	0	 	 
501	9	0	 	 
501	10	0	 	 
501	11	0	 	 
501	12	0	 	 
501	13	0	 	 
501	14	1	1	88
501	15	1	1	88
501	16	0	 	 
501	17	0	 	 
503	1	1	1	88
503	2	0	 	 
503	3	0	 	 
503	4	0	 	 
503	5	0	 	 
503	6	0	 	 
503	7	2	1	88
503	8	0	 	 
503	9	0	 	 
503	10	0	 	 
503	11	0	 	 
503	12	0	 	 
503	13	0	 	 
503	14	1	1	88
503	15	0	 	 
503	16	0	 	 
503	17	0	 	 
504	1	0	 	 
504	2	0	 	 
504	3	0	 	 
504	4	0	 	 
504	5	0	 	 
504	6	0	 	 
504	7	1	1	88
504	8	0	 	 
504	9	0	 	 
504	10	0	 	 
504	11	0	 	 
504	12	0	 	 
504	13	0	 	 
504	14	1	1	88
504	15	88	88	88
504	16	0	 	 
504	17	0	 	 
505	1	1	1	88
505	2	0	 	 
505	3	1	1	88
505	4	1	1	88
505	5	0	 	 
505	6	3	1	88
505	7	6	1	88
505	8	2	1	88
505	9	0	 	 
505	10	0	 	 
505	11	0	 	 
505	12	1	1	88
505	13	0	 	 
505	14	4	1	88
505	15	1	1	88
505	16	1	1	88
505	17	3	1	88
507	1	1	1	1
507	2	0	 	 
507	3	1	1	1
507	4	0	 	 
507	5	0	 	 
507	6	1	1	1
507	7	6	1	1
507	8	0	 	 
507	9	0	 	 
507	10	0	 	 
507	11	0	 	 
507	12	1	1	1
507	13	0	 	 
507	14	1	1	1
507	15	0	 	 
507	16	0	 	 
507	17	0	 	 
508	1	1	1	88
508	2	0	 	 
508	3	1	1	88
508	4	0	 	 
508	5	0	 	 
508	6	1	1	88
508	7	6	1	88
508	8	0	 	 
508	9	0	 	 
508	10	0	 	 
508	11	0	 	 
508	12	1	1	88
508	13	0	 	 
508	14	1	1	88
508	15	1	1	88
508	16	1	1	88
508	17	1	1	88
509	1	1	1	88
509	2	0	 	 
509	3	0	 	 
509	4	1	1	88
509	5	0	 	 
509	6	1	1	88
509	7	6	1	88
509	8	0	 	 
509	9	0	 	 
509	10	0	 	 
509	11	0	 	 
509	12	1	1	88
509	13	0	 	 
509	14	1	1	88
509	15	1	1	88
509	16	1	1	88
509	17	1	1	88
510	1	1	1	88
510	2	0	 	 
510	3	1	1	88
510	4	0	 	 
510	5	0	 	 
510	6	1	1	88
510	7	6	1	88
510	8	0	 	 
510	9	0	 	 
510	10	0	 	 
510	11	0	 	 
510	12	1	1	88
510	13	0	 	 
510	14	1	1	88
510	15	1	1	88
510	16	1	1	88
510	17	1	1	88
511	1	1	1	88
511	2	0	 	 
511	3	0	 	 
511	4	0	 	 
511	5	0	 	 
511	6	0	 	 
511	7	2	1	88
511	8	0	 	 
511	9	0	 	 
511	10	0	 	 
511	11	0	 	 
511	12	0	 	 
511	13	0	 	 
511	14	1	1	88
511	15	0	 	 
511	16	0	 	 
511	17	0	 	 
512	1	1	1	88
512	2	0	 	 
512	3	1	1	88
512	4	1	1	88
512	5	0	 	 
512	6	36	1	88
512	7	6	1	88
512	8	2	1	88
512	9	0	 	 
512	10	0	 	 
512	11	0	 	 
512	12	2	1	88
