PLACEID	DISTIDR4	DISASTER	DISTYEAR	DISTMNTH	DISEFCT1	DISEFCT2	PRCEFFCT	RECVHLP1	RECVHLP2	RECVHLP3
402	1	6	2012	4	8	10	1	0	 	 
403	1	16	2010	2	10	6	3	0	 	 
404	1	11	2011	3	17	88	4	0	 	 
405	1	11	2011	5	6	88	4	0	 	 
406	1	7	2009	8	10	6	3	0	 	 
406	2	12	2009	8	5	6	1	0	 	 
406	3	13	2012	1	6	88	1	1	88	 
408	1	16	 	 	 	 	 	 	 	 
408	2	16	 	 	 	 	 	 	 	 
501	1	16	2010	11	10	8	1	1	0	 
501	2	13	2013	11	6	88	1	1	88	 
501	3	10	2013	3	10	6	3	1	88	 
501	4	12	2012	3	10	6	1	1	77	 
503	1	11	2009	7	12	88	1	0	 	 
503	2	10	2012	2	10	6	3	1	5	88
504	1	10	2013	1	10	6	4	0	 	 
504	2	12	2011	8	5	6	4	4	88	 
504	3	13	2013	4	6	6	1	1	88	 
505	1	10	2011	3	10	6	3	0	 	 
505	2	10	2012	3	10	6	3	0	 	 
505	3	13	2012	9	6	88	1	1	88	 
508	1	6	2010	4	10	4	2	1	88	 
509	1	3	2009	8	10	6	4	0	 	 
509	2	10	2009	1	10	6	3	0	 	 
509	3	10	2010	1	10	6	3	0	 	 
509	4	7	2011	6	10	6	3	0	 	 
510	1	6	2011	5	10	6	2	1	88	 
511	1	10	2012	3	10	6	4	0	 	 
512	1	10	2013	1	10	6	3	1	88	 
512	2	12	2010	3	5	6	1	1	88	 
512	3	12	2011	3	5	6	1	1	88	 
602	1	13	2012	10	6	88	1	1	4	88
602	2	13	2013	10	6	88	1	1	4	88
704	1	11	2010	3	8	12	1	3	88	 
704	2	11	2011	3	8	12	1	3	88	 
901	1	4	2009	3	8	5	1	0	 	 
902	1	11	2012	3	8	88	1	0	 	 
904	1	4	2012	3	12	88	4	1	88	 
905	1	4	2012	2	12	88	4	0	 	 
905	2	4	2013	3	12	88	4	0	 	 
905	3	11	2013	2	10	88	3	0	 	 
905	4	11	2013	3	10	88	3	0	 	 
906	1	4	2010	3	12	14	1	0	 	 
906	2	4	2011	3	12	14	1	0	 	 
906	3	4	2012	3	12	14	1	0	 	 
906	4	4	2013	3	12	14	1	0	 	 
907	1	11	2010	3	10	12	3	0	 	 
907	2	11	2011	3	10	12	3	0	 	 
907	3	11	2012	3	10	12	3	0	 	 
907	4	11	2013	3	10	12	3	0	 	 
910	1	11	2010	3	10	88	3	0	 	 
910	2	11	2011	3	10	88	3	0	 	 
910	3	11	2012	3	10	88	3	0	 	 
910	4	11	2013	3	10	88	3	0	 	 
912	1	4	2013	3	10	14	1	0	 	 
1102	1	7	2011	8	10	13	3	0	 	 
1103	1	4	2010	3	12	88	4	1	88	 
1103	2	4	2011	3	12	88	4	1	88	 
1103	3	4	2012	3	12	88	4	1	88	 
1103	4	4	2013	3	12	88	4	1	88	 
1104	1	4	2011	3	4	10	1	0	 	 
1104	2	4	2012	3	4	10	1	0	 	 
1106	1	7	2011	6	10	13	3	0	 	 
1106	2	7	2012	6	10	13	3	0	 	 
1107	1	4	2010	11	8	88	1	0	 	 
1107	2	4	2011	3	8	88	1	0	 	 
1202	1	14	2013	6	19	88	1	1	88	 
1202	2	13	2013	1	13	88	1	1	88	 
1303	1	13	2011	1	13	88	2	1	88	 
1303	2	13	2012	8	13	88	3	1	88	 
1304	1	13	2011	1	13	88	1	1	88	 
1304	2	13	2012	8	13	88	1	1	88	 
1402	1	7	2009	7	13	88	1	1	88	 
1402	2	7	2010	9	13	88	1	1	88	 
1402	3	7	2011	6	13	88	1	1	88	 
1402	4	7	2012	8	13	88	1	1	88	 
1403	1	13	2013	3	13	88	1	1	4	5
1404	1	13	2011	2	1	88	1	1	4	88
1501	1	13	2011	11	13	88	2	1	88	 
1501	2	13	2012	8	13	88	2	1	88	 
1502	1	11	2010	9	8	18	3	4	88	 
1503	1	11	2012	4	10	12	1	1	88	 
1504	1	6	2012	11	8	12	2	4	88	 
1504	2	11	2013	6	8	88	2	4	88	 
1506	1	11	2013	4	10	88	3	0	 	 
1506	2	13	2013	9	6	88	1	1	88	 
1509	1	13	2013	3	13	88	2	0	 	 
1509	2	10	2012	11	14	10	3	1	88	 
1509	3	10	2013	3	14	10	3	1	88	 
1602	1	6	2011	2	10	88	2	1	88	 
1603	1	6	2011	3	10	4	1	0	 	 
1604	1	7	2011	5	10	88	3	1	88	 
1605	1	7	2010	2	10	88	2	1	88	 
1606	1	4	2011	2	10	88	1	0	 	 
1606	2	7	2012	6	10	88	4	1	88	 
1607	1	7	2012	5	10	88	4	0	 	 
1608	1	7	2012	5	10	88	4	1	88	 
1701	1	12	2012	7	5	88	1	0	 	 
1701	2	12	2013	6	5	88	1	0	 	 
1701	3	7	2013	3	10	88	2	0	 	 
1701	4	11	2013	9	8	88	1	0	 	 
1702	1	7	2013	8	14	15	1	0	 	 
1702	2	7	2013	9	13	88	1	0	 	 
1702	3	7	2013	3	8	88	1	0	 	 
1702	4	11	2013	3	8	88	1	0	 	 
1703	1	7	2013	3	10	5	4	0	 	 
1704	1	7	2010	4	10	88	1	0	 	 
1704	2	7	2011	5	10	88	3	0	 	 
1704	3	7	2012	4	10	88	1	0	 	 
1704	4	7	2013	5	10	88	2	0	 	 
1704	5	10	2013	9	10	88	1	0	 	 
1705	1	12	2009	4	5	88	1	0	 	 
1705	2	12	2010	5	5	88	1	0	 	 
1705	3	12	2011	4	5	88	1	0	 	 
1705	4	12	2012	4	5	88	1	0	 	 
1705	5	12	2013	5	5	88	1	0	 	 
1706	1	16	 	 	 	 	 	 	 	 
1706	2	7	2012	4	5	13	1	0	 	 
1708	1	12	2009	4	5	88	1	0	 	 
1708	2	12	2010	5	5	88	1	0	 	 
1708	3	12	2011	6	5	88	1	0	 	 
1708	4	12	2012	5	5	88	1	0	 	 
1708	5	12	2013	5	5	88	1	0	 	 
1709	1	2	2013	8	8	88	1	0	 	 
1709	2	7	2013	7	10	5	3	4	0	 
1709	3	7	2012	8	13	15	3	4	88	 
1709	4	11	2013	6	6	88	1	1	88	 
1709	5	11	2013	10	6	88	1	1	88	 
1709	6	5	2013	9	7	88	1	0	 	 
1710	1	8	2013	8	5	10	1	1	0	 
1710	2	5	2013	8	9	88	1	1	0	 
1803	1	7	2011	2	10	88	1	0	 	 
1803	2	7	2012	12	10	88	1	0	 	 
1803	3	7	2013	9	10	88	1	0	 	 
1904	1	4	2011	2	10	4	1	1	88	 
1905	1	6	2012	1	5	10	1	1	88	 
2004	1	7	2012	5	13	88	1	0	 	 
2006	1	11	2012	2	13	12	2	1	3	88
2006	2	11	2011	2	13	6	3	1	3	88
2006	3	11	2010	2	13	6	3	1	3	88
2006	4	11	2009	2	13	6	4	1	3	88
8002	1	16	 	 	 	 	 	 	 	 
8003	1	13	2011	9	17	7	1	1	88	 
8003	2	10	2013	2	10	6	3	0	 	 
8003	3	13	2012	6	5	6	1	1	88	 
8007	1	11	2011	-88	8	11	1	2	3	88
8011	1	13	2012	7	6	88	1	1	88	 
8011	2	13	2012	2	6	88	1	1	88	 
8014	1	4	2013	2	10	12	1	1	88	 
8015	1	4	2010	3	10	12	2	0	 	 
8015	2	4	2011	3	10	12	2	0	 	 
8015	3	4	2012	3	10	12	2	0	 	 
8015	4	4	2013	3	10	12	2	0	 	 
8017	1	11	2010	2	8	88	1	1	3	88
8017	2	11	2011	1	8	88	1	1	3	88
8017	3	11	2012	1	8	88	1	1	3	88
8020	1	14	2013	3	8	11	1	1	88	 
8022	1	10	2012	6	10	88	3	1	88	 
8023	1	10	2012	1	10	6	3	0	 	 
8023	2	10	2013	1	10	6	4	0	 	 
8024	1	6	2012	2	6	88	1	0	 	 
8024	2	13	2009	3	6	88	1	1	88	 
8024	3	13	2010	3	6	88	1	1	88	 
8024	4	13	2011	3	6	88	1	1	88	 
8024	5	13	2012	3	6	88	1	1	88	 
8024	6	13	2013	2	6	88	1	1	88	 
8024	7	7	2012	8	10	6	1	0	 	 
8025	1	13	2009	3	6	88	1	1	88	 
8025	2	13	2010	3	6	88	1	1	88	 
8025	3	13	2011	2	6	88	1	1	88	 
8025	4	13	2012	3	6	88	1	1	88	 
8025	5	13	2013	3	6	88	1	1	88	 
8025	6	13	2011	11	6	88	1	1	88	 
