PLACEID	HCLOIDR4	CODE	ROUTE	TRNSPTNT	TIMEARRV
1302	3	6	1	1	15
1302	4	6	1	1	10
1302	5	6	1	1	10
1303	1	6	1	1	15
1303	2	6	1	1	10
1303	3	6	1	1	10
1303	4	6	1	1	10
1303	5	6	1	1	5
1304	1	6	1	7	10
1304	2	6	1	7	5
1304	3	6	1	7	5
1304	4	6	1	7	10
1304	5	6	1	7	10
1402	1	6	1	1	10
1402	2	6	1	1	5
1402	3	6	2	1	10
1402	4	6	2	1	10
1403	1	1	1	1	10
1403	2	6	5	5	4
1403	3	6	5	5	7
1404	1	1	1	1	10
1404	2	6	5	5	7
1404	3	6	5	5	7
1501	1	6	1	5	15
1501	2	6	2	5	40
1501	3	6	2	1	10
1502	1	6	2	5	60
1502	2	6	2	1	60
1502	3	6	2	1	20
1502	4	6	2	5	90
1502	5	6	2	5	30
1503	1	6	1	6	360
1503	2	6	1	6	180
1503	3	6	1	6	90
1503	4	6	1	6	60
1503	5	3	1	5	20
1504	1	3	2	4	45
1504	2	3	2	4	60
1504	3	3	2	4	90
1504	4	3	2	4	120
1504	5	3	2	4	180
1505	1	6	1	1	10
1505	2	6	2	4	90
1505	3	3	2	4	15
1505	4	6	2	4	150
1505	5	6	2	4	150
1506	1	3	2	5	10
1506	2	3	2	5	15
1506	3	3	2	5	45
1506	4	3	2	5	15
1506	5	3	2	5	15
1507	1	6	2	1	240
1507	2	6	2	1	120
1507	3	2	2	1	30
1507	4	6	2	1	20
1507	5	6	2	1	10
1508	1	3	2	5	10
1508	2	3	2	5	15
1508	3	3	2	5	45
1508	4	3	2	5	15
1508	5	3	2	5	15
1509	1	6	1	6	360
1509	2	6	1	6	180
1509	3	6	1	6	90
1509	4	6	1	6	60
1509	5	3	1	5	20
1601	1	6	2	1	5
1601	2	6	2	7	10
1601	3	2	2	7	15
1601	4	2	2	7	5
1601	5	2	2	7	10
1602	1	1	1	1	5
1602	2	2	1	7	10
1602	3	2	1	7	12
1602	4	2	1	7	5
1602	5	2	1	7	10
1603	1	1	1	1	5
1603	2	2	1	7	5
1603	3	2	1	7	10
1603	4	2	1	7	10
1603	5	2	2	1	90
1604	1	6	1	1	5
1604	2	6	1	7	5
1604	3	6	1	7	5
1604	4	2	1	7	8
1604	5	2	1	7	7
1605	1	6	2	1	5
1605	2	3	2	1	30
1605	3	3	2	1	30
1605	4	3	2	1	20
1605	5	3	2	1	150
1606	1	6	1	1	5
1606	2	6	1	7	5
1606	3	6	1	7	8
1606	4	2	1	7	8
1606	5	1	2	7	7
1607	1	6	1	1	5
1607	2	6	1	7	5
1607	3	6	1	7	5
1607	4	2	1	7	8
1607	5	2	1	7	7
1608	1	6	1	1	5
1608	2	6	1	7	5
1608	3	6	1	7	8
1608	4	2	1	7	8
1608	5	2	2	7	7
1701	1	4	3	1	5
1701	2	2	3	1	120
1701	3	2	1	6	30
1701	4	2	1	6	60
1701	5	2	3	1	240
1702	1	1	1	1	5
1702	2	3	2	7	10
1702	3	3	2	1	20
1702	4	3	2	1	40
1702	5	3	2	7	40
1703	1	1	2	1	5
1703	2	3	2	1	30
1703	3	3	2	1	30
1703	4	3	2	1	60
1703	5	3	2	1	60
1704	1	1	2	1	5
1704	2	3	2	1	30
1704	3	3	2	1	5
1704	4	3	2	1	60
1704	5	3	2	1	60
1705	1	1	1	1	10
1705	2	3	2	1	90
1705	3	3	2	1	45
1705	4	3	1	1	240
1706	1	1	1	1	5
1706	2	2	2	7	10
1706	3	3	2	1	20
1706	4	3	2	1	40
1706	5	3	2	7	40
1708	1	1	1	1	10
1708	2	3	2	1	90
1708	3	3	2	1	45
1708	4	3	1	1	240
1709	1	1	1	1	10
1709	2	3	2	1	90
1709	3	3	2	1	90
1709	4	3	2	1	240
1710	1	1	2	1	10
1710	2	1	2	7	120
1710	3	3	2	7	60
1710	4	3	2	7	60
1710	5	3	2	7	150
1711	1	1	2	5	5
1711	2	2	2	1	30
1711	3	3	2	1	30
1711	4	3	2	1	60
1711	5	3	2	1	60
1801	1	6	2	1	20
1801	2	3	2	1	60
1801	3	4	2	1	30
1802	1	6	2	1	20
1802	2	3	2	1	60
1802	3	4	2	1	30
1803	1	6	1	1	10
1803	2	6	2	1	20
1803	3	6	2	1	20
1804	1	6	2	1	20
1804	2	3	2	1	60
1804	3	4	2	1	30
1806	1	6	1	1	10
1806	2	6	2	1	20
1806	3	6	2	1	20
1807	1	1	1	1	8
1807	2	6	1	6	15
1807	3	6	2	7	20
1807	4	6	2	6	60
1807	5	6	2	6	45
1901	1	1	1	1	1
1901	2	6	1	1	10
1901	3	6	1	1	3
1901	4	6	1	1	10
1902	1	6	1	6	8
1902	2	6	2	6	15
1902	3	3	1	1	5
1902	4	6	1	1	8
1902	5	6	2	1	20
1903	1	1	2	1	5
1903	2	3	2	8	20
1903	3	3	2	8	30
1903	4	3	2	8	60
1904	1	1	1	1	5
1904	2	6	1	6	3
1904	3	6	1	6	5
1904	4	6	1	6	7
1904	5	2	2	7	120
1905	1	6	1	6	8
1905	2	6	2	6	15
1905	3	6	1	1	5
1905	4	6	1	1	8
1905	5	6	2	6	10
2001	1	6	5	1	5
2001	2	6	5	1	10
2001	3	6	5	1	15
2001	4	3	1	8	30
2001	5	3	1	8	40
2002	1	1	1	7	30
2002	2	1	2	7	30
2002	3	1	1	7	60
2002	4	1	1	7	60
2002	5	1	1	7	50
2003	1	6	2	7	10
2003	2	6	2	7	5
2003	3	6	2	7	7
2003	4	6	2	7	10
2003	5	6	2	7	7
2004	1	6	5	1	5
2004	2	6	5	1	10
2004	3	6	5	1	15
2004	4	3	1	8	30
2004	5	3	1	8	40
2005	1	6	2	1	10
2005	2	6	2	1	5
2005	3	6	2	1	10
2005	4	6	2	1	10
2005	5	6	2	5	5
2006	1	6	2	1	10
2006	2	6	1	1	5
2006	3	6	2	7	5
2006	4	6	2	1	8
2007	1	6	2	1	10
2007	2	6	2	1	10
2007	3	6	2	7	15
2007	4	6	2	7	15
2007	5	6	2	7	15
2008	1	6	1	1	10
2008	2	6	1	1	7
2008	3	6	1	1	13
2008	4	6	1	1	20
2008	5	6	1	1	30
8002	1	1	1	1	10
8002	2	1	1	6	120
8002	3	1	1	6	60
8002	4	1	1	6	120
8002	5	1	1	6	90
8003	1	1	1	1	10
8003	2	1	1	6	30
8003	3	1	1	6	20
8003	4	1	1	5	15
8003	5	1	2	5	20
8004	1	1	1	5	10
8004	2	1	1	6	25
8004	3	1	1	6	20
8004	4	1	1	6	20
8004	5	1	1	6	50
8006	1	6	2	5	10
8006	2	6	2	5	10
8006	3	6	2	5	5
8006	4	6	2	5	15
8006	5	6	2	5	20
8007	1	6	2	7	5
8007	2	6	2	7	10
8007	3	6	2	7	10
8007	4	6	2	1	15
8007	5	6	2	1	5
8008	1	1	1	7	10
8008	2	1	1	7	60
8008	3	1	1	7	180
8008	4	1	1	8	1440
8008	5	1	1	8	3680
8010	1	1	1	1	10
8010	2	1	1	6	120
8010	3	1	1	6	15
8010	4	1	1	6	20
8010	5	1	1	6	50
8011	1	3	1	7	30
8012	1	1	1	1	10
8012	2	6	1	6	5
8012	3	6	1	6	5
8012	4	6	1	6	8
8012	5	6	1	6	10
8014	1	1	1	7	90
8014	2	1	1	7	30
8014	3	1	1	7	40
8014	4	1	1	7	20
8014	5	1	1	7	35
8015	1	1	1	7	90
8015	2	1	1	7	30
8015	3	1	1	7	40
8015	4	1	1	7	20
8015	5	1	1	7	35
8016	1	6	1	1	15
8016	2	6	1	1	10
8016	3	6	1	1	10
8016	4	6	1	5	15
8016	5	6	1	1	10
8017	1	6	1	7	10
8017	2	6	1	7	10
8017	3	6	1	7	5
8017	4	6	1	7	5
8017	5	6	1	7	10
8018	1	1	1	1	5
8018	2	2	1	88	6
8018	3	2	1	88	6
8018	4	5	1	10	6
8018	5	6	1	8	6
8019	1	6	1	5	5
8019	2	6	1	5	5
8019	3	6	1	5	10
8019	4	6	1	5	8
8019	5	6	1	5	8
8020	1	6	3	1	20
8020	2	2	1	6	30
8020	3	2	1	6	25
8020	4	6	3	1	30
8020	5	6	3	1	25
8021	1	1	1	1	5
8021	2	6	1	6	5
8021	3	6	1	5	5
8022	1	1	1	1	10
8022	2	1	1	6	25
8022	3	1	1	6	45
8022	4	1	1	6	60
8022	5	2	1	6	120
8023	1	1	1	5	10
8023	2	2	2	5	30
8023	3	2	2	5	15
8023	4	2	2	5	40
8023	5	2	2	5	40
8024	1	1	3	1	10
8024	2	2	2	5	10
8024	3	2	2	5	20
8024	4	2	2	5	30
8024	5	2	2	5	45
8025	1	6	1	5	10
8025	2	6	1	6	100
8025	3	6	1	6	120
8025	4	6	1	6	120
8025	5	6	1	6	120
8026	1	1	1	7	30
8026	2	1	1	5	15
8026	3	1	1	5	15
8026	4	1	1	6	45
8026	5	6	1	5	20
8027	1	1	1	5	10
8027	2	4	1	6	120
8027	3	4	1	6	150
8027	4	4	1	6	120
8027	5	4	1	6	150
8028	1	6	1	7	5
8028	2	6	1	7	10
8028	3	6	1	7	15
8028	4	6	1	7	15
