commid	anmlfdid	item	price	account	specacct
PE19C01	3	CARNE DE CHANCHO	11	1	 
PE20C01	1	ALPACA	6	1	 
PE20C01	2	POLLO	8	1	 
PE20C01	3	CARNE CORDERO	10	1	 
PE20C06	1	CARNE DE ALPACA	6	1	 
PE20C06	2	CARNME DE CORDERO	7.5	1	 
PE20C06	3	PESCADO	3.5	1	 
PE80C06	1	CERDO	8	1	 
PE80C06	2	HUEVOS	.25	2	 
PE80C06	3	POLLO	7	1	 
PE80C11	1	POLLO	7.80000019073486	1	 
PE80C11	2	PESCADO	2.5	1	 
PE80C11	3	CERDO	9	1	 
PE80C15	1	GALLINA	25	2	 
PE80C15	2	CUY	15	2	 
PE80C15	3	CARNE DE CORDERO	10	1	 
