CHILDCODE	MEMIDR5	MEMMOVR5	RELATER5	LIVHSER5	YRDIEDR5	CAREGVR5	MEMAGER5	MEAGMTR5	MEMSEXR5	CHLBRNR5	PANELSIB	SEENMER5	EVRLVDR5	LNGLVDR5	GETMOMBIRTH	GETCHILDBIRTH	THSCOMR5	RELHHR5	MRTLSTR5	MTHRHHR5	FTHRHHR5	STRT18R5	GRDE18R5	STLL18R5	HSSTRTR5	STRYRR5	GRADER5	STILLR5	WHYNOTR5	AGEGRDR5	TYPLSTR5	TYPATDR5	WHSCHR5	FEESR5	EXTTUTR5	PERFR5	SLEEPR5	CHCARER5	HHCHRER5	NPYWRKR5	PAYWRKR5	SCHOOLR5	STUDYR5	PLAYR5	DISABR5	MEMAFCR5	MEMLNGR5	MLNHLR51	HTSFFR51	SEEKTRR5	WHSEEKR5	MEMTOBR5	MOTTOBR5	OFTSMKR5	MEMALCR5	OFTALCR5
10002	6	 	13	4	 	0	32	 	1	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10002	7	 	13	4	 	0	28	 	2	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10002	8	 	7	1	 	0	13	 	1	 	1	 	 	 	0	0	 	5	0	4	3	 	 	 	1	6	7	1	 	 	 	3	1	270	1800	2	9	0	1	0	0	5	3	6	0	 	0	 	 	 	 	0	0	 	0	6
10002	9	 	13	4	 	0	33	 	2	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10002	10	 	14	4	 	0	5	 	1	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10003	0	 	0	1	 	 	15	 	2	 	0	 	 	 	0	0	 	5	0	2	1	 	 	 	1	6	9	1	 	 	 	3	1	270	0	1	8	1	1	0	0	6	3	5	 	 	 	 	 	 	 	 	 	 	 	 
10003	1	 	1	1	 	0	43	 	1	 	0	 	 	 	0	0	 	1	1	98	98	1	9	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	1	17	8	2	1	0	0	 	0	6
10003	2	 	1	1	 	1	44	 	2	0	0	 	 	 	0	0	 	2	1	98	98	1	9	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	6
10003	3	 	7	4	 	0	20	 	2	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10003	4	 	7	1	 	0	12	 	2	 	1	 	 	 	0	0	 	5	0	2	1	 	 	 	1	6	5	1	 	 	 	3	1	0	0	1	10	0	0	0	0	8	2	3	0	 	0	 	 	 	 	0	0	 	0	6
10003	5	 	7	1	 	0	9	 	1	 	0	 	 	 	0	0	 	5	 	2	1	 	 	 	1	6	2	1	 	 	 	3	 	0	0	 	11	0	0	0	0	6	1	6	 	 	 	 	 	 	 	 	 	 	 	 
10004	0	 	0	1	 	 	15	 	2	 	0	 	 	 	0	0	 	5	0	2	1	 	 	 	1	6	9	1	 	 	 	3	1	270	2700	1	6	0	2	0	0	6	5	4	 	 	 	 	 	 	 	 	 	 	 	 
10004	1	 	1	1	 	0	49	 	1	 	0	 	 	 	0	0	 	1	1	98	98	1	7	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	1	4
10004	2	 	1	1	 	1	50	 	2	0	0	 	 	 	0	0	 	2	1	98	98	1	6	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	5
10004	3	 	7	2	 	0	28	 	1	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10004	4	 	7	1	 	0	26	 	1	 	0	 	 	 	0	0	 	5	1	2	1	1	9	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10004	5	 	16	1	 	0	24	 	2	 	0	 	 	 	0	0	 	6	1	98	98	1	9	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10004	6	 	15	1	 	0	4	 	2	 	0	 	 	 	0	0	 	7	 	5	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10005	0	1	0	1	 	 	16	 	2	 	0	 	 	 	0	0	 	4	0	98	98	 	 	 	1	6	9	0	33	14	3	 	 	 	 	 	8	0	1	0	8	0	0	6	 	 	 	 	 	 	 	 	 	 	 	 
10005	1	0	1	4	 	0	58	 	1	 	0	4	1	15	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10005	2	0	1	4	 	0	49	 	2	0	0	4	1	15	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10005	3	0	7	4	 	0	29	 	1	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10005	4	1	7	1	 	1	27	 	2	 	0	 	 	 	0	0	 	2	1	98	98	1	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	4
10005	5	0	7	4	 	0	23	 	1	 	1	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10005	6	 	16	1	 	0	37	 	1	 	 	 	 	 	 	 	 	1	1	98	98	1	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10006	0	 	0	1	 	 	16	 	1	 	0	 	 	 	0	0	 	5	0	2	1	 	 	 	1	6	9	0	8	16	3	 	 	 	 	 	10	0	5	0	0	0	0	9	 	 	 	 	 	 	 	 	 	 	 	 
10006	1	 	1	1	 	0	55	 	1	 	0	 	 	 	0	0	 	1	1	98	98	1	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	1	0	1	1	2
10006	2	 	1	1	 	1	52	 	2	0	0	 	 	 	0	0	 	2	1	98	98	1	6	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	6
10006	3	 	7	4	 	0	30	 	2	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10006	4	 	7	4	 	0	28	 	2	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10006	5	 	7	1	 	0	23	 	2	 	1	 	 	 	0	0	 	5	0	2	1	1	8	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	4
10007	0	 	0	1	 	 	15	 	2	 	0	 	 	 	0	0	 	5	0	2	1	 	 	 	1	6	9	1	 	 	 	3	5	1200	2200	2	8	0	2	2	0	5	3	4	 	 	 	 	 	 	 	 	 	 	 	 
10007	1	 	1	1	 	0	41	 	1	 	0	 	 	 	0	0	 	1	1	98	98	1	9	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	1	17	5	0	 	1	0	1	1	2
10007	2	 	1	1	 	1	42	 	2	0	0	 	 	 	0	0	 	2	1	98	98	1	8	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	5
10007	15	 	7	1	 	0	17	 	2	 	0	 	 	 	0	0	 	5	0	2	1	 	 	 	1	6	11	1	 	 	 	3	 	1200	3600	 	7.5	0	2.5	0	0	5	5	4	 	 	 	 	 	 	 	 	 	 	 	 
10007	16	 	7	1	 	0	11	 	2	 	1	 	 	 	0	0	 	5	 	2	1	 	 	 	1	6	4	1	 	 	 	3	1	0	1100	2	8	0	2	0	0	4	3	7	0	 	0	 	 	 	 	 	 	 	 	 
10008	0	 	0	1	 	 	15	 	2	 	0	 	 	 	0	0	 	5	0	2	1	 	 	 	1	6	9	1	 	 	 	3	1	270	4140	2	7	0	3	0	0	6	4	4	 	 	 	 	 	 	 	 	 	 	 	 
10008	1	 	1	1	 	0	50	 	1	 	0	 	 	 	0	0	 	1	1	98	4	1	9	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	1	0	1	0	4
10008	2	 	1	1	 	1	48	 	2	0	0	 	 	 	0	0	 	2	1	98	98	1	12	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	6
10008	3	 	7	1	 	0	22	 	1	 	1	 	 	 	0	0	 	5	0	2	1	1	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	1	3
10008	4	 	6	1	 	0	85	 	1	 	0	 	 	 	0	0	 	3	3	98	98	1	6	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10008	5	 	6	3	2012	 	 	 	 	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10009	0	 	0	1	 	 	15	 	1	 	0	 	 	 	0	0	 	5	0	3	2	 	 	 	1	7	9	1	 	 	 	3	77	600	450	77	8	2	1	5	0	5	2	1	0	 	0	 	 	 	 	0	0	 	0	6
10009	1	 	5	1	 	0	75	 	2	 	0	 	 	 	0	0	 	3	3	98	98	1	77	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10009	2	 	1	1	 	0	40	 	1	 	0	 	 	 	0	0	 	1	1	98	98	1	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	1	0	1	1	1
10009	3	 	1	1	 	1	41	 	2	0	0	 	 	 	0	0	 	2	1	1	98	1	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	6
10009	4	 	7	1	 	0	12	 	1	 	1	 	 	 	0	0	 	5	0	3	2	 	 	 	1	6	5	1	 	 	 	3	1	450	0	2	8	0	3	5	0	5	0	3	0	 	0	 	 	 	 	0	0	 	0	6
10010	0	 	0	1	 	 	15	 	2	 	0	 	 	 	0	0	 	5	0	2	1	 	 	 	1	6	9	1	 	 	 	3	5	270	4000	2	8	0	2	0	0	5	4	5	 	 	 	 	 	 	 	 	 	 	 	 
10010	1	 	1	1	 	0	46	 	1	 	0	 	 	 	0	0	 	1	1	98	98	1	12	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	5
10010	2	 	1	1	 	1	45	 	2	0	0	 	 	 	0	0	 	2	1	98	98	1	7	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	5
10010	3	 	7	4	 	0	23	 	1	 	1	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10011	0	 	0	1	 	 	15	 	1	 	0	 	 	 	0	0	 	5	0	2	98	 	 	 	1	6	9	0	31	15	3	 	 	 	 	 	10	0	2	0	0	0	8	4	 	 	 	 	 	 	 	 	 	 	 	 
10011	1	 	1	4	 	0	50	 	1	 	0	5	1	14	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10011	2	 	1	1	 	1	48	 	2	0	0	 	 	 	0	0	 	1	4	98	98	1	9	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	6
10011	3	 	7	1	 	0	23	 	2	 	0	 	 	 	0	0	 	5	0	2	98	1	12	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10011	4	 	7	2	 	0	20	 	1	 	1	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10012	0	 	0	1	 	 	15	 	2	 	0	 	 	 	0	0	 	5	0	2	1	 	 	 	1	6	9	1	 	 	 	3	1	270	7200	1	9	1	3	0	0	6	3	2	 	 	 	 	 	 	 	 	 	 	 	 
10012	1	 	1	1	 	0	44	 	1	 	0	 	 	 	0	0	 	1	1	98	98	1	9	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	1	17	3	0	 	0	0	 	1	2
10012	2	 	1	1	 	1	43	 	2	0	0	 	 	 	0	0	 	2	1	98	98	1	7	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	1	17	4	1	1	0	0	 	0	6
10012	3	 	7	2	 	0	21	 	2	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10012	4	 	7	2	 	0	18	 	2	 	1	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10012	5	 	7	1	 	0	4	 	2	 	0	 	 	 	0	0	 	5	 	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10013	0	 	0	1	 	 	14	 	2	 	0	 	 	 	0	0	 	5	0	4	3	 	 	 	1	6	8	1	 	 	 	3	1	270	9000	1	8	0	0	0	0	5	4	7	 	 	 	 	 	 	 	 	 	 	 	 
10013	1	 	6	4	 	0	66	 	1	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10013	2	 	6	4	 	0	64	 	2	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10013	3	 	1	1	 	0	47	 	1	 	0	 	 	 	0	0	 	1	1	98	98	1	12	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	1	2
10013	4	 	1	1	 	1	44	 	2	0	0	 	 	 	0	0	 	2	1	98	98	1	12	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	6
10013	5	 	7	2	 	0	19	 	2	 	1	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10014	0	 	0	1	 	 	15	 	1	 	0	 	 	 	0	0	 	5	0	2	3	 	 	 	1	6	8	1	 	 	 	3	1	270	13200	1	6	0	1	0	0	5	7	4	 	 	 	 	 	 	 	 	 	 	 	 
10014	2	 	1	1	 	1	50	 	2	0	0	 	 	 	0	0	 	1	1	98	98	1	9	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	1	27	4	2	1	0	0	 	0	6
10014	3	 	1	1	 	0	46	 	1	 	0	 	 	 	0	0	 	2	1	98	98	1	11	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	1	0	1	1	1
10014	4	 	7	1	 	0	11	 	1	 	1	 	 	 	0	0	 	5	 	2	3	 	 	 	1	6	5	1	 	 	 	3	1	0	3400	2	7	0	0	0	0	4	5	7	0	 	0	 	 	 	 	 	 	 	 	 
10015	0	 	0	1	 	 	15	 	1	 	0	 	 	 	0	0	 	5	0	2	1	 	 	 	1	6	9	0	31	15	3	 	 	 	 	 	12	0	3	4	0	0	0	5	 	 	 	 	 	 	 	 	 	 	 	 
10015	1	 	1	1	 	0	52	 	1	 	0	 	 	 	0	0	 	1	1	98	98	1	9	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	1	27	3	2	5	0	0	 	0	4
10015	2	 	1	1	 	1	51	 	2	0	0	 	 	 	0	0	 	2	1	98	98	1	6	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	5
10015	3	 	7	4	 	0	31	 	2	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10015	4	 	7	2	 	0	26	 	1	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10016	0	 	0	1	 	 	15	 	2	 	0	 	 	 	0	0	 	5	0	2	98	 	 	 	1	7	8	1	 	 	 	3	1	270	3600	1	7	1	2	0	0	5	6	3	 	 	 	 	 	 	 	 	 	 	 	 
10016	1	 	 	 	 	 	 	 	 	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10016	2	 	1	1	 	1	33	 	2	0	0	 	 	 	0	0	 	1	3	98	98	1	9	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	6
10016	3	 	7	1	 	0	13	 	1	 	1	 	 	 	0	0	 	5	0	2	98	 	 	 	1	6	8	1	 	 	 	3	1	270	0	3	8	0	0	0	0	5	5	6	0	 	0	 	 	 	 	0	0	 	0	6
10017	0	 	0	1	 	 	15	 	1	 	0	 	 	 	0	0	 	5	0	2	1	 	 	 	1	6	9	0	31	15	3	 	 	 	 	 	8	0	4	0	0	0	0	11	 	 	 	 	 	 	 	 	 	 	 	 
10017	1	 	1	1	 	0	43	 	1	 	0	 	 	 	0	0	 	1	1	98	98	1	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	1	0	1	1	3
10017	2	 	1	1	 	1	38	 	2	0	0	 	 	 	0	0	 	2	1	98	98	1	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	6
10017	3	 	7	1	 	0	11	 	1	 	1	 	 	 	0	0	 	5	 	2	1	 	 	 	1	6	5	1	 	 	 	3	1	0	0	3	8	0	1	0	0	5	3	7	0	 	0	 	 	 	 	 	 	 	 	 
10018	0	 	0	1	 	 	15	 	2	 	0	 	 	 	0	0	 	5	0	2	1	 	 	 	1	6	9	1	 	 	 	3	1	600	10500	1	9	2	0	0	0	5	5	2	 	 	 	 	 	 	 	 	 	 	 	 
10018	1	 	1	1	 	0	46	 	1	 	0	 	 	 	0	0	 	1	1	98	98	1	12	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	1	2
10018	2	 	1	1	 	1	41	 	2	0	0	 	 	 	0	0	 	2	1	98	98	1	8	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	6
10018	3	 	7	2	 	0	22	 	1	 	1	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10019	0	 	0	1	 	 	15	 	1	 	0	 	 	 	0	0	 	5	0	2	1	 	 	 	1	6	9	1	 	 	 	3	5	820	4400	2	8	0	1	0	0	5	2	7	 	 	 	 	 	 	 	 	 	 	 	 
10019	1	 	1	1	 	0	46	 	1	 	0	 	 	 	0	0	 	1	1	98	98	1	9	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	1	9	10	1	1	0	0	 	1	4
10019	2	 	1	1	 	1	43	 	2	0	0	 	 	 	0	0	 	2	1	98	98	1	9	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	1	21	3	1	1	0	0	 	0	6
10019	3	 	7	1	 	0	12	 	1	 	1	 	 	 	0	0	 	5	0	2	1	 	 	 	1	6	6	1	 	 	 	3	1	540	2200	2	8	0	0	0	0	5	2	8	0	 	0	 	 	 	 	0	0	 	0	6
10020	0	 	0	1	 	 	15	 	1	 	0	 	 	 	0	0	 	7	0	2	98	 	 	 	1	6	9	1	 	 	 	3	9	270	1440	3	8	0	0	0	0	6.5	2	7	 	 	 	 	 	 	 	 	 	 	 	 
10020	1	 	1	4	 	0	47	 	1	 	0	4	1	4	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10020	2	 	1	1	 	1	41	 	2	0	0	 	 	 	0	0	 	5	4	6	98	1	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	6
10020	3	 	6	4	 	0	78	 	1	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10020	4	 	6	4	 	0	71	 	2	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10020	5	 	13	4	 	0	41	 	2	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10020	6	 	5	1	 	0	85	 	2	 	0	 	 	 	0	0	 	1	3	98	98	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10021	0	 	0	1	 	 	15	 	2	 	0	 	 	 	0	0	 	5	0	2	1	 	 	 	1	6	9	1	 	 	 	3	5	860	1340	1	8	0	0	0	0	5	5	6	 	 	 	 	 	 	 	 	 	 	 	 
10021	1	 	1	1	 	0	50	 	1	 	0	 	 	 	0	0	 	1	1	98	98	1	12	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	1	0	1	1	2
10021	2	 	1	1	 	1	43	 	2	0	0	 	 	 	0	0	 	2	1	98	98	1	12	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	6
