CHILDCODE	FOODIDR5	HHCONSR5	VLRPR5	OWNVR5	GFTVR5	GFSRR5
10016	15	1	25	0	0	 
10016	16	1	20	0	0	 
10016	17	0	 	 	 	 
10016	18	0	 	 	 	 
10016	19	0	 	 	 	 
10016	20	0	 	 	 	 
10016	21	0	 	 	 	 
10016	24	0	 	 	 	 
10017	0	0	 	 	 	 
10017	1	1	24	0	0	 
10017	2	1	0	150	0	 
10017	3	0	 	 	 	 
10017	4	0	 	 	 	 
10017	5	0	 	 	 	 
10017	6	1	200	0	0	 
10017	7	0	 	 	 	 
10017	8	0	 	 	 	 
10017	9	1	100	0	0	 
10017	10	0	 	 	 	 
10017	11	1	0	15	0	 
10017	12	1	30	0	0	 
10017	13	0	 	 	 	 
10017	14	1	100	0	0	 
10017	15	1	25	0	0	 
10017	16	1	10	0	0	 
10017	17	0	 	 	 	 
10017	18	0	 	 	 	 
10017	19	1	10	0	0	 
10017	20	0	 	 	 	 
10017	21	0	 	 	 	 
10017	24	0	 	 	 	 
10018	0	0	 	 	 	 
10018	1	0	 	 	 	 
10018	2	1	150	0	0	 
10018	3	1	105	0	0	 
10018	4	0	 	 	 	 
10018	5	1	15	0	0	 
10018	6	1	225	0	0	 
10018	7	0	 	 	 	 
10018	8	0	 	 	 	 
10018	9	1	88	88	0	 
10018	10	0	 	 	 	 
10018	11	1	30	0	0	 
10018	12	1	45	0	0	 
10018	13	1	45	0	0	 
10018	14	1	15	0	0	 
10018	15	1	20	0	0	 
10018	16	1	10	0	0	 
10018	17	0	 	 	 	 
10018	18	0	 	 	 	 
10018	19	0	 	 	 	 
10018	20	0	 	 	 	 
10018	21	1	130	0	0	 
10018	24	0	 	 	 	 
10019	0	1	10	0	0	 
10019	1	0	 	 	 	 
10019	2	1	0	450	0	 
10019	3	0	 	 	 	 
10019	4	0	 	 	 	 
10019	5	0	 	 	 	 
10019	6	1	120	0	0	 
10019	7	0	 	 	 	 
10019	8	0	 	 	 	 
10019	9	1	90	0	0	 
10019	10	0	 	 	 	 
10019	11	1	30	0	0	 
10019	12	1	50	20	0	 
10019	13	1	20	0	0	 
10019	14	1	31	0	0	 
10019	15	1	35	0	0	 
10019	16	1	18	0	0	 
10019	17	0	 	 	 	 
10019	18	0	 	 	 	 
10019	19	1	15	0	0	 
10019	20	0	 	 	 	 
10019	21	1	28	0	0	 
10019	24	0	 	 	 	 
10020	0	1	15	0	0	 
10020	1	0	 	 	 	 
