CHILDCODE	SPPGIDR5	SUPKNDR5	SUPWHOR5	SUPSRTR5	SUPENDR5	SUPFRQR5
80142	1	19	1	1988	99	7
90002	1	1	1	2012	99	4
90006	1	1	1	2013	99	2
90007	1	1	1	2013	99	6
90010	1	1	1	2006	99	3
90012	1	1	1	2009	99	4
90014	1	1	1	2010	99	4
90015	1	1	1	2016	99	4
90016	1	4	1	2011	99	6
90018	1	1	1	2010	99	4
90019	1	1	1	2013	99	4
90025	1	1	1	2013	99	4
90026	1	1	1	-77	99	4
90028	1	1	1	2016	2016	4
90031	1	1	1	2016	2016	4
90033	1	1	1	2000	99	4
90034	1	1	1	2014	99	4
90038	1	1	1	2011	99	4
90043	1	1	1	2012	99	4
90045	1	1	1	2009	99	4
90047	1	14	1	2013	99	4
90049	1	1	1	2013	99	4
90050	1	1	1	2014	99	4
90052	1	14	1	2006	99	4
90054	1	1	1	2013	99	4
90056	1	14	1	2009	99	4
90062	1	1	1	2010	99	4
90063	1	1	1	2016	99	1
90066	1	1	1	2015	2015	4
90067	1	1	1	2011	99	4
90068	1	1	1	2012	99	4
90071	1	1	1	2009	99	4
90072	1	1	1	2013	99	5
90074	1	1	1	2013	99	4
90075	1	1	1	2013	99	4
90079	1	1	1	2013	99	4
90090	1	1	1	2013	99	4
90098	1	1	1	2013	99	4
90100	1	1	1	2009	99	4
90101	1	1	1	2005	99	4
90105	1	1	1	2010	2012	4
90106	1	1	1	2013	99	4
90120	1	1	1	2013	99	4
100002	1	14	1	2016	99	77
100003	1	1	1	2016	2016	4
100011	1	1	1	2013	2015	4
100012	1	12	1	2014	99	4
100018	1	1	1	2013	2016	4
100041	1	1	1	2013	99	4
100042	1	1	1	2013	2016	4
100052	1	16	1	2015	99	4
100060	1	1	1	2016	2016	4
100074	1	14	1	2012	2014	4
100079	1	1	1	2014	2014	4
100080	1	1	1	2013	2015	4
100081	1	1	1	2014	2014	4
100083	1	 	 	 	 	 
100086	1	1	1	2013	2015	4
100088	1	1	1	2015	99	4
100091	1	77	1	2013	99	4
100093	1	1	1	2014	99	4
100094	1	1	1	2013	99	4
100098	1	1	1	2012	99	5
100101	1	1	1	2014	99	4
100111	1	1	1	2016	2016	4
100115	1	1	1	2016	99	1
110002	1	19	1	2016	99	7
110002	2	19	1	2016	99	4
110002	3	12	1	2016	99	8
110014	1	14	1	2014	99	4
110018	1	1	1	2016	99	4
110018	2	12	1	2015	99	4
110018	3	19	1	2015	99	4
110019	1	14	1	2014	2014	4
110021	1	12	1	2016	99	4
110024	1	1	1	2015	2015	4
110025	1	19	1	2003	99	4
110025	2	19	1	2001	99	4
110026	1	12	1	2015	99	8
110027	1	19	1	2016	99	5
110027	2	19	1	2016	99	4
110027	3	19	1	2016	99	4
110034	1	19	1	2016	2016	4
110034	2	12	1	2016	99	4
110038	1	13	1	2012	99	8
110038	2	19	1	2010	99	4
110048	1	19	1	2011	99	4
110053	1	12	1	2015	99	8
110056	1	1	1	2016	2016	4
110061	1	19	1	2014	99	4
110062	1	19	1	2015	99	5
110062	2	19	1	2015	99	4
110062	3	12	1	2015	99	4
110064	1	14	1	2013	99	4
110066	1	19	1	2013	99	4
110066	2	12	1	2001	99	4
110066	3	19	1	2016	2016	4
110066	4	1	1	2016	2016	4
110067	1	19	1	2010	99	4
110068	1	12	1	2013	99	4
110068	2	19	1	2013	99	4
110068	3	19	1	2016	99	5
110072	1	12	1	2016	99	4
110072	2	19	1	2016	99	5
110074	1	1	1	2016	2016	1
110076	1	12	1	2015	99	4
110080	1	12	1	2015	99	4
110080	2	19	1	2016	99	4
110080	3	19	1	2016	99	4
110084	1	12	1	2016	99	8
110084	2	19	1	2011	99	7
110085	1	12	1	2007	99	4
110085	2	19	1	2001	99	4
110085	3	12	1	2016	99	4
110093	1	19	1	2003	99	4
110093	2	12	1	2016	99	4
110094	1	12	2	2013	99	4
110094	2	19	2	2013	99	4
110094	3	14	2	2015	99	4
110096	1	19	1	2003	99	4
110096	2	12	1	2015	2016	4
110099	1	1	1	2013	2013	4
110100	1	 	 	 	 	 
110108	1	19	1	2015	99	4
110115	1	19	1	2010	99	4
110121	1	12	1	2013	99	5
110121	2	14	1	2014	99	5
110121	3	14	1	2015	99	7
110121	4	3	1	2015	2015	88
110123	1	1	1	2013	99	4
110123	2	12	1	2016	99	5
110123	3	19	2	2013	2013	88
110123	4	19	1	2015	2015	88
110123	5	14	1	2013	99	5
120001	1	19	1	2003	99	4
120001	2	12	1	2007	99	6
120001	3	19	1	2016	99	5
120003	1	19	1	2005	99	4
120003	2	12	1	2007	99	5
120004	1	19	1	2013	99	4
120006	1	12	1	2015	99	4
120006	2	19	1	2013	99	4
120007	1	14	2	2013	99	4
120009	1	14	1	2013	99	4
120009	2	14	1	2006	99	5
120011	1	19	1	2003	99	4
120012	1	1	1	2015	99	4
120012	2	12	1	2013	99	4
120012	3	19	1	2013	99	4
120013	1	12	1	2013	99	5
120013	2	19	1	2013	99	4
120013	3	19	1	2014	99	4
120014	1	12	1	2013	99	4
120014	2	19	1	2013	99	4
120015	1	12	1	2013	99	4
120015	2	6	1	2013	99	7
120015	3	19	1	2013	99	4
120016	1	12	1	2013	99	4
120016	2	19	1	2016	99	4
120016	3	14	1	2016	99	6
120017	1	12	1	2016	99	5
120017	2	19	1	2003	99	4
120018	1	1	2	2015	2015	4
120018	2	12	2	2013	99	4
120018	3	19	2	2013	99	4
120018	4	19	1	2013	99	6
120020	1	14	1	2015	2015	4
120022	1	19	1	2003	99	4
120022	2	12	1	2011	99	8
120024	1	19	1	2013	99	4
120024	2	13	1	2013	99	8
120024	3	14	1	2015	2015	4
120024	4	19	1	2013	99	8
120026	1	13	1	2013	99	8
120026	2	19	1	2003	99	4
120027	1	9	1	2003	99	4
120027	2	1	1	2015	2015	1
120028	1	19	1	2013	99	4
120028	2	14	1	2016	99	6
120030	1	13	1	2013	99	8
120030	2	19	1	2003	99	4
120032	1	12	1	2013	99	4
120032	2	19	1	2013	99	4
120033	1	13	1	2011	99	8
120033	2	19	1	2003	99	4
120033	3	19	1	2016	99	3
120034	1	9	1	2013	99	4
120035	1	19	1	2003	99	4
120036	1	12	1	2013	99	4
120036	2	1	1	2013	99	4
120036	3	19	1	2013	99	4
120037	1	19	1	2010	99	4
120037	2	12	1	2010	99	5
120038	1	19	1	2010	99	4
120038	2	16	1	2010	99	5
120039	1	19	1	2013	99	4
120042	1	19	1	2010	99	4
120042	2	12	1	2010	99	5
120043	1	12	1	2013	99	4
120043	2	19	1	2013	99	4
120045	1	12	1	2013	99	4
120045	2	19	1	2013	99	4
120046	1	19	1	2003	99	4
120046	2	12	1	2008	99	5
120048	1	19	1	2013	99	4
120049	1	19	1	2013	99	4
120049	2	1	1	2016	99	4
120050	1	19	1	2003	99	4
120050	2	13	1	2015	99	8
120053	1	19	1	2016	99	4
120054	1	19	1	2016	99	4
120054	2	12	1	2016	99	5
120058	1	19	1	2003	99	4
120058	2	6	1	2010	99	77
120058	3	19	1	2012	99	5
120058	4	12	1	2012	99	5
120059	1	19	1	2013	99	4
120059	2	12	1	2015	99	5
120059	3	19	1	2007	99	5
120060	1	12	1	2013	99	4
120060	2	1	1	2013	99	4
120060	3	19	1	2016	99	4
120061	1	 	 	 	 	 
120062	1	19	1	2016	99	4
120063	1	19	1	2015	99	4
120063	2	12	1	2015	99	5
120065	1	19	1	2013	99	4
120066	1	12	1	2013	99	5
120066	2	19	1	2015	99	4
120067	1	12	1	2016	99	4
120067	2	19	1	2014	99	4
120069	1	12	1	2013	99	4
120069	2	19	1	2013	99	4
120070	1	19	1	2016	99	4
120076	1	12	1	2013	99	4
120076	2	19	1	2015	99	4
120077	1	19	1	2010	99	4
120077	2	12	1	2010	99	5
120078	1	19	1	2010	99	4
120080	1	12	1	2016	99	5
120080	2	19	1	2016	99	4
120081	1	19	1	2016	99	4
120081	2	12	1	2016	99	5
120084	1	12	1	2013	99	4
120084	2	19	1	2013	99	4
120085	1	12	1	2010	99	5
120085	2	1	1	2015	2016	4
120085	3	19	1	2010	99	4
120086	1	9	1	2016	99	4
120087	1	12	1	2016	99	4
120087	2	19	1	2016	99	4
120088	1	19	1	2016	99	4
120089	1	6	1	2006	99	8
120089	2	19	1	2008	99	6
120089	3	12	1	2016	99	4
120090	1	19	1	2013	99	4
120092	1	19	1	2003	99	4
120092	2	12	1	2010	99	5
120093	1	1	1	2016	2016	4
120093	2	19	1	2003	99	4
120093	3	12	1	2015	99	5
120094	1	12	1	2013	99	4
120094	2	19	1	2013	99	4
120097	1	12	1	2013	99	4
120097	2	19	1	2013	99	4
120098	1	12	1	2013	99	4
120098	2	19	1	2013	99	4
120099	1	19	1	2013	99	4
120100	1	19	1	2003	99	4
120100	2	12	1	2008	99	3
120100	3	19	1	2014	99	3
120121	1	19	1	2016	2016	4
120124	1	9	1	2003	99	4
120125	1	19	1	2003	99	4
120125	2	12	1	2008	99	6
120126	1	12	1	2013	99	4
120126	2	19	1	2013	99	4
120135	1	19	1	2003	99	4
120135	2	16	1	2015	99	5
120136	1	19	1	2003	99	4
120136	2	14	1	2015	2015	7
120136	3	14	1	2014	99	6
120139	1	12	1	2016	99	4
120139	2	14	1	2015	99	4
120140	1	19	1	2003	99	5
120142	1	12	1	2015	99	4
120142	2	19	1	2013	99	4
120146	1	19	1	2003	99	4
120146	2	12	1	2015	99	5
120146	3	19	1	2015	99	5
120148	1	19	1	2016	99	4
120148	2	6	1	2016	99	5
130005	1	19	1	2012	99	7
130005	2	19	1	2012	99	4
130026	1	 	 	 	 	 
130037	1	19	1	2013	99	7
130039	1	19	1	2003	99	4
130047	1	19	1	2002	99	4
130048	1	19	1	2003	99	8
130050	1	6	1	2000	99	8
130061	1	19	1	2015	99	8
130061	2	19	1	2007	99	5
130065	1	6	1	2002	99	8
130066	1	19	1	2015	2017	2
130073	1	19	1	2015	2016	4
130078	1	19	1	2006	99	7
130082	1	18	1	2011	99	8
130082	2	19	1	2011	99	8
130082	3	19	1	2016	99	7
130082	4	12	1	2011	99	8
130083	1	19	1	2005	99	7
130083	2	19	1	2005	99	4
130087	1	6	1	2012	99	7
130088	1	6	1	2014	99	8
130092	1	6	1	2011	2014	8
130093	1	19	1	2013	99	7
130098	1	19	1	2013	99	8
130103	1	19	1	2015	2015	7
140001	1	19	1	2014	99	8
140012	1	19	1	2013	99	8
140013	1	6	1	2014	99	7
140014	1	12	1	2013	99	4
140015	1	6	1	2016	99	8
140026	1	19	1	2014	99	4
140028	1	19	1	2014	2014	7
140032	1	19	1	2013	99	7
140034	1	14	1	2014	99	8
140049	1	19	1	2001	99	6
140051	1	19	1	2002	99	7
140063	1	19	1	2002	99	4
140065	1	6	1	2013	99	8
140072	1	6	1	2010	99	8
140073	1	 	 	 	 	 
140092	1	19	1	2015	99	7
140094	1	19	1	2010	99	5
140095	1	19	77	2015	99	7
140096	1	19	1	2012	99	7
140100	1	19	1	2013	99	8
150016	1	 	 	 	 	 
150024	1	19	1	2010	2016	8
150030	1	 	 	 	 	 
150042	1	19	1	2015	99	7
150042	2	19	1	2015	2015	7
150054	1	6	1	2011	99	8
150054	2	18	1	2013	2016	4
150060	1	19	1	2013	2015	7
150060	2	19	1	2015	99	7
150071	1	19	1	2006	99	7
150074	1	19	1	2014	99	7
150145	1	12	1	2015	99	4
160001	1	19	1	2014	99	7
160002	1	19	1	2010	99	7
160004	1	19	1	2015	99	4
160005	1	19	1	2002	99	7
160005	2	18	1	2011	2016	7
160011	1	19	1	2014	99	7
160015	1	19	1	2016	99	7
160019	1	19	1	2011	99	7
160023	1	19	1	2013	99	5
160033	1	6	1	2002	99	7
160033	2	19	1	2005	99	7
160040	1	19	1	2006	99	4
160040	2	19	1	-77	99	4
160045	1	19	1	2016	2017	4
160051	1	19	1	2007	99	8
160052	1	6	1	2015	99	7
160052	2	19	1	2012	99	7
160057	1	6	1	2012	99	8
160057	2	18	1	2015	99	4
160057	3	19	1	2004	99	7
160058	1	6	1	2013	99	7
160058	2	19	1	2013	99	4
160058	3	19	1	2013	99	4
160058	4	19	1	2013	99	7
160062	1	19	1	2012	99	7
160065	1	19	1	2010	99	7
160066	1	19	1	2013	99	7
160069	1	19	1	2016	99	4
160074	1	6	1	2011	99	7
160074	2	19	1	2015	2016	4
160088	1	6	1	2014	99	8
160090	1	19	1	2013	99	4
160092	1	19	1	2011	99	7
160094	1	6	1	2013	99	8
160099	1	19	1	2014	99	7
170008	1	 	 	 	 	 
170017	1	19	1	2015	2015	7
170017	2	18	1	2015	99	8
170055	1	19	1	2012	2017	4
170059	1	19	1	2016	99	4
170059	2	19	1	2016	99	4
170077	1	19	1	2014	99	8
170096	1	19	1	2015	99	4
170109	1	6	1	2012	99	8
170109	2	19	1	2012	99	4
180002	1	14	1	2016	99	4
180004	1	18	1	2014	2015	4
180005	1	19	1	2013	2014	3
180005	2	19	1	2015	2015	77
180005	3	12	1	2016	2016	77
180007	1	12	1	2016	99	4
180008	1	19	1	2012	99	8
180015	1	19	1	2014	2015	3
180015	2	19	1	2016	2016	77
180028	1	12	1	2015	99	8
180030	1	18	1	2016	99	4
180066	1	19	1	2014	2014	6
180069	1	6	1	-77	99	8
180076	1	 	 	 	 	 
180082	1	19	1	2013	99	4
180082	2	19	1	2014	2014	7
180084	1	19	2	2016	99	77
180085	1	19	1	2015	99	8
180094	1	6	1	2002	99	7
180109	1	6	1	2011	99	8
190002	1	12	1	2015	99	4
190003	1	12	2	2016	99	4
190003	2	19	1	2016	99	5
190011	1	12	1	2014	2015	4
190011	2	18	1	2014	2015	4
190012	1	19	1	2016	99	5
190020	1	12	1	2013	99	4
190020	2	19	1	2016	99	6
190022	1	6	1	2010	99	6
190024	1	18	1	2014	99	8
190035	1	19	1	2016	99	6
190035	2	19	1	2016	99	4
190037	1	19	1	2016	99	6
190037	2	19	1	2016	99	4
190039	1	19	1	2016	99	6
190039	2	19	1	2000	99	6
190047	2	19	1	2013	99	4
190047	3	19	1	2016	99	4
190048	1	19	1	2014	99	4
190066	1	19	1	2012	99	8
190067	1	12	1	2012	99	4
190067	2	19	1	2012	99	4
190070	1	12	1	2014	99	4
190070	2	19	1	2014	99	4
190070	3	19	1	2016	99	6
190081	1	6	2	2012	99	8
190081	2	19	1	2016	99	6
190082	1	19	1	2016	99	6
190083	1	19	1	2016	99	6
190087	1	19	1	2016	99	6
190089	1	19	1	2016	99	6
190094	1	19	1	2014	99	8
190100	1	18	1	2013	99	6
190113	1	12	1	2014	99	4
190113	2	19	1	2014	2015	6
190116	1	12	1	2016	99	4
190118	1	19	1	2013	99	8
190123	1	19	1	2014	99	8
200003	1	19	1	2016	99	6
200003	2	19	1	2014	99	4
200007	1	19	1	2013	99	4
200011	1	19	1	2012	99	4
200013	1	19	1	2010	99	4
200013	2	18	1	2010	99	4
200016	1	18	1	2015	2015	4
200028	1	18	1	2010	99	8
200035	1	6	1	2002	99	7
200062	1	12	1	2012	99	4
200063	1	19	1	2012	99	4
200064	1	19	1	2013	99	4
200064	2	19	1	2016	2016	4
200074	1	12	2	2006	99	4
200074	2	12	1	2016	99	4
200076	1	12	1	2012	99	4
200079	2	19	1	2016	99	4
200079	3	19	1	2016	99	4
200083	1	12	1	2010	2016	4
200085	1	19	1	2016	2016	7
200091	1	16	1	2012	99	4
200091	2	12	1	2012	99	4
200094	1	12	2	2014	99	4
200113	1	19	1	2016	99	6
200113	2	19	1	2014	99	4
200148	1	19	1	2012	99	7
200148	2	19	1	2016	2016	4
200148	3	16	1	2016	2016	77
