CHILDCODE	LVSKIDR5	AYANR5	NMAMR5
10047	8	 	 
10047	9	 	 
10047	13	 	 
10047	14	 	 
10047	15	 	 
10047	16	 	 
10047	17	 	 
10047	58	 	 
10048	1	0	 
10048	2	0	 
10048	3	1	1
10048	4	0	 
10048	7	0	 
10048	8	0	 
10048	9	0	 
10048	13	0	 
10048	14	0	 
10048	15	0	 
10048	16	0	 
10048	17	0	 
10048	58	0	 
10049	1	 	 
10049	2	 	 
10049	3	 	 
10049	4	 	 
10049	7	 	 
10049	8	 	 
10049	9	 	 
10049	13	 	 
10049	14	 	 
10049	15	 	 
10049	16	 	 
10049	17	 	 
10049	58	 	 
10050	1	 	 
10050	2	 	 
10050	3	 	 
10050	4	 	 
10050	7	 	 
10050	8	 	 
10050	9	 	 
10050	13	 	 
10050	14	 	 
10050	15	 	 
10050	16	 	 
10050	17	 	 
10050	58	 	 
10051	1	 	 
10051	2	 	 
10051	3	 	 
10051	4	 	 
10051	7	 	 
10051	8	 	 
10051	9	 	 
10051	13	 	 
10051	14	 	 
10051	15	 	 
10051	16	 	 
10051	17	 	 
10051	58	 	 
10052	1	0	 
10052	2	0	 
10052	3	1	4
10052	4	0	 
10052	7	0	 
10052	8	0	 
10052	9	0	 
10052	13	0	 
10052	14	0	 
10052	15	0	 
10052	16	1	5
10052	17	0	 
10052	58	0	 
10053	1	 	 
10053	2	 	 
10053	3	 	 
10053	4	 	 
10053	7	 	 
10053	8	 	 
10053	9	 	 
10053	13	 	 
10053	14	 	 
10053	15	 	 
10053	16	 	 
10053	17	 	 
10053	58	 	 
10054	1	 	 
10054	2	 	 
10054	3	 	 
10054	4	 	 
10054	7	 	 
10054	8	 	 
10054	9	 	 
10054	13	 	 
10054	14	 	 
10054	15	 	 
10054	16	 	 
10054	17	 	 
10054	58	 	 
10055	1	 	 
10055	2	 	 
10055	3	 	 
10055	4	 	 
10055	7	 	 
10055	8	 	 
10055	9	 	 
10055	13	 	 
10055	14	 	 
10055	15	 	 
10055	16	 	 
10055	17	 	 
10055	58	 	 
10056	1	 	 
10056	2	 	 
10056	3	 	 
10056	4	 	 
10056	7	 	 
10056	8	 	 
10056	9	 	 
10056	13	 	 
10056	14	 	 
10056	15	 	 
10056	16	 	 
10056	17	 	 
10056	58	 	 
10057	1	0	 
10057	2	1	1
10057	3	0	 
10057	4	0	 
10057	7	0	 
10057	8	0	 
10057	9	0	 
10057	13	0	 
10057	14	0	 
10057	15	0	 
10057	16	1	20
10057	17	0	 
10057	58	0	 
10058	1	0	 
10058	2	0	 
10058	3	0	 
10058	4	0	 
10058	7	0	 
10058	8	0	 
10058	9	0	 
10058	13	0	 
10058	14	0	 
10058	15	0	 
10058	16	1	10
10058	17	0	 
10058	58	0	 
10059	1	0	 
10059	2	1	2
10059	3	0	 
10059	4	0	 
10059	7	0	 
10059	8	0	 
10059	9	0	 
10059	13	0	 
10059	14	0	 
10059	15	0	 
10059	16	0	 
10059	17	0	 
10059	58	0	 
10060	1	 	 
10060	2	 	 
10060	3	 	 
10060	4	 	 
10060	7	 	 
10060	8	 	 
10060	9	 	 
10060	13	 	 
10060	14	 	 
10060	15	 	 
10060	16	 	 
10060	17	 	 
10060	58	 	 
10061	1	 	 
10061	2	 	 
10061	3	 	 
10061	4	 	 
10061	7	 	 
10061	8	 	 
10061	9	 	 
10061	13	 	 
10061	14	 	 
10061	15	 	 
10061	16	 	 
10061	17	 	 
10061	58	 	 
10062	1	0	 
10062	2	0	 
10062	3	0	 
10062	4	0	 
10062	7	1	3
10062	8	0	 
10062	9	0	 
10062	13	0	 
10062	14	0	 
10062	15	0	 
10062	16	0	 
10062	17	0	 
10062	58	0	 
10063	1	0	 
10063	2	0	 
10063	3	1	2
10063	4	0	 
10063	7	0	 
10063	8	0	 
10063	9	0	 
10063	13	0	 
10063	14	0	 
10063	15	0	 
10063	16	0	 
10063	17	0	 
10063	58	0	 
10064	1	0	 
10064	2	0	 
10064	3	0	 
10064	4	0	 
10064	7	1	1
10064	8	0	 
10064	9	0	 
10064	13	0	 
10064	14	0	 
10064	15	0	 
10064	16	1	7
10064	17	0	 
10064	58	0	 
10065	1	 	 
10065	2	 	 
10065	3	 	 
10065	4	 	 
10065	7	 	 
10065	8	 	 
10065	9	 	 
10065	13	 	 
10065	14	 	 
10065	15	 	 
10065	16	 	 
10065	17	 	 
10065	58	 	 
10067	1	0	 
10067	2	0	 
10067	3	0	 
10067	4	0	 
10067	7	1	4
10067	8	0	 
10067	9	0	 
10067	13	0	 
10067	14	0	 
10067	15	0	 
10067	16	0	 
10067	17	0	 
10067	58	0	 
10068	1	0	 
10068	2	0	 
10068	3	1	2
10068	4	0	 
10068	7	0	 
10068	8	0	 
10068	9	0	 
10068	13	0	 
10068	14	0	 
10068	15	0	 
10068	16	1	30
10068	17	0	 
10068	58	0	 
10069	1	0	 
10069	2	0	 
10069	3	0	 
10069	4	0	 
10069	7	0	 
10069	8	0	 
10069	9	0	 
10069	13	0	 
10069	14	0	 
10069	15	0	 
10069	16	1	6
10069	17	0	 
10069	58	1	1
10070	1	0	 
10070	2	0	 
10070	3	1	2
10070	4	0	 
10070	7	0	 
10070	8	0	 
10070	9	0	 
10070	13	0	 
10070	14	0	 
10070	15	0	 
10070	16	0	 
10070	17	0	 
10070	58	0	 
10071	1	0	 
10071	2	0	 
10071	3	0	 
10071	4	0	 
10071	7	0	 
10071	8	0	 
10071	9	0	 
10071	13	0	 
10071	14	0	 
10071	15	0	 
10071	16	0	 
10071	17	0	 
10071	58	1	1
10072	1	0	 
10072	2	0	 
10072	3	0	 
10072	4	0	 
10072	7	0	 
10072	8	0	 
10072	9	0	 
10072	13	0	 
10072	14	0	 
10072	15	0	 
10072	16	1	26
10072	17	0	 
10072	58	1	2
10073	1	0	 
10073	2	0	 
10073	3	0	 
10073	4	0	 
10073	7	1	1
10073	8	0	 
10073	9	0	 
10073	13	0	 
10073	14	0	 
10073	15	0	 
10073	16	0	 
10073	17	0	 
10073	58	1	3
10074	1	 	 
10074	2	 	 
10074	3	 	 
10074	4	 	 
10074	7	 	 
10074	8	 	 
10074	9	 	 
10074	13	 	 
10074	14	 	 
10074	15	 	 
10074	16	 	 
10074	17	 	 
10074	58	 	 
10075	1	0	 
10075	2	0	 
10075	3	1	1
10075	4	0	 
10075	7	0	 
10075	8	0	 
10075	9	0	 
10075	13	0	 
10075	14	0	 
10075	15	0	 
10075	16	0	 
10075	17	0	 
10075	58	0	 
10076	1	 	 
10076	2	 	 
10076	3	 	 
10076	4	 	 
10076	7	 	 
10076	8	 	 
10076	9	 	 
10076	13	 	 
10076	14	 	 
10076	15	 	 
