CHILDID	PLANID	PLAN
IN040082	1	8
IN040082	2	7
IN040083	1	10
IN040083	2	2
IN040084	1	8
IN040084	2	10
IN040085	1	10
IN040085	2	8
IN040086	1	7
IN040086	2	6
IN040087	1	8
IN040087	2	10
IN040088	1	3
IN040088	2	10
IN040089	1	3
IN040089	2	10
IN040090	1	1
IN040091	1	1
IN040092	1	1
IN040093	1	9
IN040093	2	2
IN040094	1	8
IN040094	2	3
IN040095	1	8
IN040095	2	3
IN040096	1	10
IN040096	2	6
IN040097	1	5
IN040097	2	8
IN040098	1	2
IN040098	2	8
IN040099	1	8
IN040099	2	10
IN040100	1	3
IN040100	2	8
IN050001	1	10
IN050002	1	8
IN050002	2	10
IN050003	1	8
IN050003	2	1
IN050004	1	8
IN050004	2	10
IN050005	1	6
IN050005	2	3
IN050006	1	8
IN050006	2	10
IN050007	1	8
IN050007	2	2
IN050008	1	2
IN050008	2	1
IN050009	1	8
IN050009	2	2
IN050010	1	8
IN050011	1	8
IN050011	2	10
IN050012	1	10
IN050012	2	10
IN050013	1	8
IN050013	2	2
IN050014	1	2
IN050014	2	1
IN050015	1	8
IN050015	2	10
IN050016	1	10
IN050016	2	10
IN050017	1	8
IN050017	2	10
IN050018	1	8
IN050018	2	10
IN050019	1	8
IN050019	2	10
IN050020	1	8
IN050021	1	8
IN050022	1	8
IN050022	2	10
IN050023	1	8
IN050023	2	10
IN050024	1	10
IN050024	2	10
IN050025	1	2
IN050025	2	1
IN050026	1	8
IN050027	1	2
IN050027	2	1
IN050028	1	8
IN050028	2	1
IN050029	1	8
IN050029	2	1
IN050030	1	8
IN050030	2	2
IN050031	1	10
IN050031	2	10
IN050032	1	10
IN050032	2	10
IN050033	1	8
IN050034	1	8
IN050034	2	10
IN050035	1	8
IN050035	2	10
IN050036	1	10
IN050036	2	10
IN050037	1	8
IN050037	2	10
IN050038	1	10
IN050038	2	10
IN050039	1	8
IN050040	1	10
IN050041	1	10
IN050041	2	1
IN050042	1	2
IN050042	2	1
IN050043	1	8
IN050043	2	10
IN050044	1	10
IN050044	2	10
IN050045	1	10
IN050045	2	10
IN050046	1	8
IN050047	1	10
IN050047	2	8
IN050048	1	8
IN050048	2	10
IN050049	1	10
IN050049	2	10
IN050050	1	8
IN050050	2	10
IN050051	1	8
IN050051	2	10
IN050052	1	8
IN050052	2	10
IN050053	1	8
IN050053	2	10
IN050054	1	8
IN050054	2	10
IN050055	1	8
IN050056	1	10
IN050056	2	10
IN050057	1	8
IN050058	1	8
IN050059	1	10
IN050060	1	3
IN050061	1	8
IN050061	2	10
IN050062	1	3
IN050063	1	2
IN050064	1	8
IN050064	2	10
IN050065	1	8
IN050065	2	1
IN050066	1	10
IN050066	2	1
IN050067	1	10
IN050067	2	10
IN050068	1	8
IN050069	1	10
IN050070	1	10
IN050071	1	10
IN050071	2	8
IN050072	1	8
IN050073	1	10
IN050074	1	8
IN050074	2	10
IN050075	1	5
IN050075	2	2
IN050076	1	8
IN050076	2	2
IN050077	1	8
IN050077	2	1
IN050078	1	8
IN050078	2	1
IN050079	1	8
IN050080	1	8
IN050081	1	8
IN050081	2	10
IN050082	1	10
IN050082	2	10
IN050083	1	8
IN050083	2	10
IN050084	1	8
IN050084	2	1
IN050085	1	8
IN050085	2	1
IN050086	1	8
IN050086	2	1
IN050087	1	8
IN050088	1	8
IN050089	1	8
IN050089	2	10
IN050090	1	10
IN050090	2	8
IN050091	1	8
IN050091	2	10
IN050092	1	8
IN050093	1	8
IN050093	2	1
IN050094	1	8
IN050094	2	10
IN050095	1	8
IN050095	2	1
IN050096	1	8
IN050096	2	1
IN050097	1	10
IN050097	2	10
IN050098	1	8
IN050098	2	10
IN050099	1	8
IN050099	2	10
IN050100	1	8
IN050100	2	1
IN060001	1	10
IN060002	1	6
IN060002	2	2
IN060003	1	3
IN060003	2	5
IN060004	1	8
IN060004	2	10
IN060005	1	8
IN060006	1	10
IN060006	2	10
IN060007	1	10
