CHILDID	REMID	REMREL	REMQNT	REMTYPE
IN030087	1	1	12	1
IN040009	1	3	2	3
IN040024	1	2	4	1
IN040033	1	1	4	2
IN040063	1	1	12	3
IN040078	1	3	6	3
IN040080	1	3	3	2
IN040080	2	3	3	2
IN040093	1	3	2	2
IN040096	1	3	3	3
IN050001	1	1	4	3
IN050010	1	1	1	3
IN050014	2	1	1	2
IN050020	1	1	3	3
IN050021	1	3	3	3
IN050023	1	1	4	3
IN050024	1	1	4	3
IN050041	1	1	5	3
IN050046	1	1	3	3
IN050057	1	1	3	2
IN050059	1	1	1	3
IN050060	1	1	3	3
IN050063	1	1	3	3
IN050068	1	1	3	3
IN050069	1	1	3	3
IN050070	1	1	1	3
IN050071	1	1	2	2
IN050073	1	1	3	3
IN050076	1	3	12	1
IN050079	1	1	3	3
IN050080	1	1	3	3
IN050087	1	1	4	3
IN050088	1	1	2	2
IN050090	1	1	3	3
IN050091	1	1	4	3
IN050092	1	1	2	2
IN060008	1	1	3	3
IN060008	2	4	3	3
IN060018	1	1	1	3
IN060019	1	1	1	3
IN060025	1	1	1	2
IN060034	1	1	10	3
IN060035	1	1	1	1
IN060036	1	1	10	3
IN060047	1	4	1	2
IN060054	1	1	4	1
IN060059	1	1	2	3
IN060060	1	4	2	2
IN060071	1	1	5	3
IN060074	1	4	2	3
IN060080	1	1	1	2
IN060080	2	1	1	2
IN060089	1	1	2	3
IN070002	1	1	3	3
IN070003	1	1	2	3
IN070004	1	1	2	2
IN070011	1	1	3	3
IN070026	1	1	3	3
IN070029	1	1	2	3
IN070053	1	1	3	3
IN070055	1	4	3	3
IN070068	1	1	2	2
IN070079	1	1	10	3
IN070091	1	2	12	3
IN070093	1	1	12	3
IN070094	1	1	3	3
IN070096	1	1	4	3
IN080001	1	3	1	1
IN080004	1	2	1	1
IN080006	1	3	2	2
IN080008	1	3	1	2
IN080011	1	3	1	1
IN080035	1	3	1	2
IN080036	1	2	1	2
IN080036	2	3	1	2
IN090025	1	1	6	3
IN090087	1	2	3	2
IN110005	1	3	2	2
IN110015	1	3	1	2
IN110027	1	3	4	3
IN110027	2	2	5	1
IN110033	1	3	2	2
IN110036	1	2	2	2
IN110040	1	2	1	2
IN110041	1	3	1	2
IN110044	1	2	1	2
IN110050	1	3	4	2
IN110052	1	3	1	2
IN110084	1	2	6	3
IN110087	1	3	1	1
IN110096	1	3	3	3
IN110096	2	4	1	3
IN110097	1	3	1	2
IN120008	1	3	3	2
IN120018	1	2	2	2
IN120020	1	3	1	2
IN120020	2	3	1	2
IN120028	1	2	2	3
IN120036	1	3	1	2
IN120039	1	3	1	2
IN120041	1	3	1	3
IN120048	1	3	1	2
IN120056	3	3	1	2
IN120057	1	3	1	2
IN120065	1	3	3	3
IN130002	1	3	1	2
IN130002	2	3	1	2
IN130010	1	3	1	2
IN130011	1	1	2	2
IN130011	2	2	2	2
IN130011	3	2	2	2
IN130011	4	2	2	2
IN130011	5	2	2	2
IN130013	1	2	2	3
IN130020	1	3	1	2
IN130022	1	1	7	2
IN130022	2	2	8	2
IN130025	1	3	3	3
IN130026	1	3	3	2
IN130027	1	3	1	2
IN130028	1	2	2	2
IN130028	2	2	2	2
IN130034	1	3	1	2
IN130035	1	2	1	2
IN130039	1	3	1	2
IN130040	1	2	2	3
IN130045	1	1	1	2
IN130046	1	2	2	2
IN130050	1	2	2	3
IN130056	1	2	1	2
IN130073	1	3	2	3
IN130085	1	3	1	2
IN130087	1	3	3	3
IN130091	1	3	2	3
IN140003	1	2	3	3
IN140003	2	3	2	3
IN140038	1	2	2	3
IN140038	2	2	2	3
IN140038	3	2	2	3
IN140038	4	2	2	3
IN140038	5	2	2	3
IN140060	1	1	4	3
IN140061	1	3	12	1
IN140063	1	2	10	3
IN140075	1	3	5	3
IN140084	1	3	3	3
IN140085	1	2	2	3
IN140088	1	4	2	1
IN140095	1	2	12	1
IN140097	1	3	3	2
IN140100	1	3	12	1
IN150014	1	5	1	1
IN150015	1	6	1	3
IN150015	2	6	1	3
IN150030	1	2	4	1
IN150073	1	3	12	1
IN150088	1	1	1	1
IN160005	1	2	1	1
IN160085	1	2	2	1
IN170003	1	5	4	1
IN170003	2	2	3	1
IN170004	1	2	1	2
IN170012	1	2	4	3
IN170025	1	3	4	3
IN170025	2	2	4	3
IN170043	1	3	2	2
IN170044	1	2	2	3
IN170047	1	3	5	3
IN170062	1	2	1	2
IN170062	2	3	1	2
IN180005	1	5	2	1
IN180006	1	2	1	2
IN180017	1	3	1	2
IN180018	1	3	3	3
IN180020	1	3	3	3
IN180022	1	3	2	2
IN180024	1	3	2	3
IN180059	1	3	2	2
IN180064	1	3	1	2
IN180078	1	3	4	2
IN190006	1	1	5	2
IN190008	1	3	2	1
IN190054	1	3	4	3
IN190060	1	3	3	2
IN190071	1	3	2	2
IN190081	1	3	2	2
IN190082	1	2	3	3
IN190098	1	2	2	3
IN200001	1	3	6	2
IN200002	1	3	1	2
IN200005	1	3	2	2
IN200009	1	3	1	2
IN200011	1	3	2	2
IN200011	2	3	6	2
IN200014	1	3	4	1
IN200014	2	5	2	2
IN200017	1	3	20	2
IN200018	1	3	6	3
IN200018	8	3	1	3
IN200019	1	3	1	3
IN200019	2	3	1	3
IN200022	1	3	5	2
IN200023	1	2	1	2
IN200026	1	3	1	2
IN200031	1	3	1	2
IN200035	1	3	1	1
IN200036	1	3	1	2
IN200039	1	3	1	3
IN200041	1	3	20	3
IN200044	1	3	24	3
IN200046	1	3	2	2
IN200051	1	3	10	3
IN200052	1	3	1	1
IN200055	1	3	3	3
IN200056	1	3	3	2
IN200057	1	3	1	2
IN200060	1	3	2	2
IN200060	2	2	2	2
IN200061	1	3	10	3
IN200061	2	2	5	2
IN200064	1	3	1	3
IN200065	1	2	1	2
IN200065	2	3	1	3
IN200069	1	3	3	2
IN200071	1	2	6	1
IN200072	1	3	1	3
IN200072	2	2	1	2
IN200075	1	3	2	3
IN200076	1	3	1	2
IN200083	1	2	2	2
IN200086	1	3	6	2
IN200088	1	2	1	2
IN200088	2	3	1	3
IN200094	1	2	2	2
IN200094	2	3	2	3
