childid	id	age	sex	relate	still	yrschool	disabled	care	support	grading
IN010038	2	55	2	3	2	0	2	2	2	0
IN010038	3	30	1	1	2	25	2	2	1	10
IN010038	4	23	2	1	2	25	2	1	2	10
IN010038	5	20	2	4	2	24	2	2	2	7
IN010038	6	18	1	4	2	24	2	2	2	7
IN010039	1	62	2	3	2	23	2	2	2	5
IN010039	2	28	1	1	2	25	2	2	1	12
IN010039	3	26	2	1	2	25	2	1	2	12
IN010040	1	29	1	1	2	24	2	2	1	7
IN010040	2	23	2	1	2	25	2	1	2	10
IN010040	28	2	2	5	 	 	2	 	 	 
IN010041	1	24	1	1	2	24	2	2	1	6
IN010041	2	19	2	1	2	25	2	1	2	10
IN010042	1	25	1	1	2	0	2	1	1	0
IN010042	2	22	2	1	2	25	2	1	1	10
IN010042	28	4	2	5	 	 	2	 	 	 
IN010043	1	24	1	1	2	0	2	1	1	0
IN010043	2	21	2	1	2	23	2	1	1	5
IN010044	1	32	1	1	2	25	2	1	1	15
IN010044	2	21	2	1	2	25	2	1	1	10
IN010044	28	4	1	5	 	 	2	 	 	 
IN010045	1	27	1	1	2	23	2	1	1	2
IN010045	2	20	2	1	2	0	2	1	1	0
IN010046	1	28	1	1	2	25	2	1	1	12
IN010046	2	25	2	1	2	25	2	1	2	10
IN010046	3	7	1	5	1	23	2	2	2	1
IN010047	1	25	1	1	2	25	2	2	1	10
IN010047	2	21	2	1	2	25	2	1	2	8
IN010048	1	36	1	1	2	25	2	2	1	15
IN010048	2	28	2	1	2	25	2	1	2	12
IN010048	28	3	2	5	 	 	2	 	 	 
IN010049	1	50	1	3	2	24	2	2	2	7
IN010049	2	30	1	1	2	25	2	2	1	10
IN010049	3	26	2	1	2	0	2	1	2	0
IN010049	28	3	2	5	 	 	2	 	 	 
IN010050	1	28	1	1	2	25	2	2	1	10
IN010050	2	25	2	1	2	25	2	1	2	10
IN010050	3	6	2	5	1	23	2	2	2	1
IN010051	1	30	1	1	2	0	2	2	1	0
IN010051	2	28	2	1	2	0	2	1	2	0
IN010051	3	10	1	5	1	23	2	2	2	5
IN010051	4	5	2	5	1	23	2	2	2	1
IN010052	1	30	1	1	2	25	2	2	1	15
IN010052	2	25	2	1	2	24	2	1	1	7
IN010053	1	30	1	1	2	25	2	1	1	15
IN010053	2	20	2	1	2	25	2	1	2	12
IN010054	1	45	2	3	2	0	2	2	2	0
IN010054	2	29	1	1	2	25	2	2	1	10
IN010054	3	25	2	1	2	25	2	1	2	12
IN010054	4	25	1	4	2	25	2	2	2	10
IN010055	1	50	2	3	2	0	2	2	2	0
IN010055	2	40	1	1	2	23	2	1	1	5
IN010055	3	35	2	1	2	0	2	1	1	0
IN010055	4	7	2	5	2	23	2	2	2	3
IN010056	1	29	1	1	2	25	2	1	1	10
IN010056	2	24	2	1	2	25	2	1	1	10
IN010057	1	30	1	1	2	25	2	1	1	15
IN010057	2	28	2	1	2	25	2	1	1	15
IN010057	28	4	2	4	 	 	2	 	 	 
IN010058	1	35	1	1	2	25	2	1	1	10
IN010058	2	30	2	1	2	24	2	1	1	6
IN010058	3	16	1	5	2	23	2	2	2	5
IN010058	4	6	1	5	2	23	2	2	2	1
IN010059	1	60	1	3	2	0	2	2	2	0
IN010059	2	50	2	3	2	0	2	2	2	0
IN010059	3	26	1	1	2	0	2	2	1	0
IN010059	4	19	2	1	2	0	2	1	2	0
IN010060	1	55	2	3	2	0	2	2	1	0
IN010060	2	30	1	1	2	0	2	1	1	0
IN010060	3	25	2	1	2	25	2	1	1	10
IN010060	4	7	2	5	1	23	2	2	2	1
IN010061	1	32	1	1	2	25	2	1	1	15
IN010061	2	28	2	1	2	25	2	1	1	15
IN010062	1	23	1	1	2	24	2	1	1	7
IN010062	2	20	2	1	2	25	2	1	2	10
IN010063	1	48	1	3	2	24	2	1	1	7
IN010063	2	36	2	3	2	0	2	1	2	0
IN010063	3	26	1	1	2	25	2	1	1	10
IN010063	4	24	2	1	2	25	2	1	2	10
IN010063	5	23	1	4	1	25	2	2	2	15
IN010063	6	8	1	4	1	23	2	2	2	3
IN010064	1	66	2	3	2	23	2	1	1	5
IN010064	2	50	1	4	2	25	2	2	2	10
IN010064	3	40	2	4	2	25	2	1	2	12
IN010064	4	14	1	6	1	25	2	2	2	8
IN010064	5	11	1	6	1	24	2	2	2	6
IN010065	1	25	1	1	2	23	2	2	1	4
IN010065	2	19	2	1	2	0	2	1	2	0
IN010066	1	72	1	3	2	23	2	2	2	5
IN010066	2	60	2	3	2	0	2	1	1	0
IN010066	3	22	1	1	2	24	2	1	1	7
IN010066	4	19	2	1	2	24	2	1	2	7
IN010066	5	15	2	4	1	25	2	2	2	8
IN010067	1	40	1	3	2	23	2	2	2	5
IN010067	2	38	2	3	2	24	2	1	2	6
IN010067	3	21	1	1	2	24	2	1	1	6
IN010067	4	19	2	1	2	24	2	1	2	6
IN010067	5	15	2	4	2	24	2	2	2	6
IN010068	1	26	1	1	2	0	2	1	1	0
IN010068	2	20	2	1	2	23	2	1	2	5
IN010069	1	28	1	1	2	24	2	1	1	7
IN010069	2	22	2	1	2	24	2	1	2	7
IN010070	1	50	1	3	2	24	2	2	1	7
IN010070	2	45	2	3	2	0	2	1	2	0
IN010070	3	21	2	1	2	25	2	1	1	10
IN010070	4	5	2	5	1	22	2	2	2	0
IN010071	1	25	1	1	2	23	2	1	1	5
IN010071	2	22	2	1	2	0	2	1	2	0
IN010072	1	35	1	1	2	0	2	1	1	0
IN010072	2	20	2	1	2	24	2	1	2	6
IN010072	3	14	2	6	2	24	2	2	2	6
IN010072	4	9	2	6	1	23	2	2	2	4
IN010072	5	5	1	6	1	22	2	2	2	0
IN010073	1	60	1	3	2	0	2	2	2	0
IN010073	2	50	2	3	2	0	2	2	2	0
IN010073	3	26	1	1	2	24	2	1	1	7
IN010073	4	20	2	1	2	23	2	1	2	5
IN010074	1	28	1	1	2	25	2	1	1	12
IN010074	2	22	2	1	2	25	2	1	2	10
IN010075	1	62	1	3	2	24	2	2	2	7
IN010075	2	52	2	3	2	0	2	2	2	0
IN010075	3	33	1	1	2	25	2	1	1	12
IN010075	4	26	2	1	2	25	2	1	2	15
IN010076	1	34	1	1	2	25	2	1	1	15
IN010076	2	23	2	1	2	25	2	1	2	10
IN010076	3	5	1	5	1	22	2	2	2	0
IN010077	1	46	1	3	2	25	2	2	1	15
IN010077	2	30	1	1	2	25	2	1	1	10
IN010077	3	28	1	4	2	24	2	2	1	7
IN010077	4	28	2	1	2	25	2	1	1	9
IN010078	1	50	1	3	2	25	2	2	1	10
IN010078	2	45	2	3	2	0	2	1	2	0
IN010078	3	23	2	1	2	23	2	2	2	5
IN010078	4	5	1	5	1	23	2	2	2	1
IN010079	1	55	2	3	2	25	2	2	2	8
IN010079	2	35	1	1	2	25	2	2	1	10
IN010079	3	25	2	1	2	0	2	1	2	0
IN010079	4	24	1	4	2	25	2	2	2	10
IN010079	5	23	2	4	2	25	2	2	2	10
IN010079	6	19	1	4	2	25	2	2	2	10
IN010079	7	9	2	4	1	24	2	2	2	7
IN010080	1	24	1	1	2	25	2	2	1	10
IN010080	2	19	2	1	2	24	2	1	2	7
IN010081	1	50	2	3	2	0	2	2	2	0
IN010081	2	27	1	1	2	24	2	2	1	6
IN010081	3	25	2	1	2	24	2	1	2	7
IN010081	4	6	2	5	1	23	2	2	2	1
IN010082	1	25	1	1	2	24	2	2	1	7
IN010082	2	20	2	1	 	0	2	1	2	0
IN010083	1	38	1	1	2	23	2	2	1	2
IN010083	2	30	2	1	2	0	2	1	2	0
IN010083	3	19	1	5	2	23	2	2	2	3
IN010083	4	16	1	5	2	23	2	2	2	3
IN010083	5	12	2	5	1	24	2	2	2	6
IN010083	6	10	1	5	1	23	2	2	2	4
IN010083	7	7	2	5	1	23	2	2	2	2
IN010084	1	50	2	3	2	0	2	2	2	0
IN010084	2	32	1	1	2	25	2	2	1	10
IN010084	3	25	2	1	2	25	2	1	2	12
IN010085	1	35	1	1	2	25	2	2	1	10
IN010085	2	25	2	1	2	23	2	1	2	5
IN010086	1	80	1	7	2	0	1	2	2	0
IN010086	2	56	1	3	2	0	2	2	2	0
IN010086	3	50	2	3	2	0	2	2	2	0
IN010086	4	22	1	1	2	0	2	2	1	0
IN010086	5	20	2	1	2	23	2	1	2	3
IN010086	6	13	1	4	2	0	2	2	2	0
IN010086	7	10	1	4	1	24	2	2	2	6
IN010086	8	6	2	4	1	23	2	2	2	2
IN010087	1	52	1	3	2	0	2	2	2	0
IN010087	2	45	2	3	2	0	2	2	2	0
IN010087	3	28	1	4	2	25	2	2	2	9
IN010087	4	28	2	4	2	24	2	2	2	7
IN010087	5	25	1	4	2	24	2	2	2	6
IN010087	6	24	2	4	2	25	2	2	2	10
IN010087	7	23	1	1	2	25	2	2	1	15
IN010087	8	22	2	1	2	25	2	1	2	8
IN010087	9	10	2	6	1	23	2	2	2	5
IN010087	10	9	2	6	1	23	2	2	2	3
IN010087	11	7	1	6	1	23	2	2	2	1
IN010087	12	5	1	6	1	23	2	2	2	1
IN010088	1	72	2	7	2	0	1	2	2	0
IN010088	2	55	1	3	2	0	2	2	1	0
IN010088	3	50	2	3	2	0	2	1	2	0
IN010088	4	25	1	1	2	0	2	2	1	0
IN010088	5	20	2	1	2	23	2	1	2	4
IN010089	1	34	1	1	2	25	2	1	2	15
IN010089	2	30	2	1	2	25	2	1	2	15
IN010090	1	63	1	3	2	25	2	2	1	8
IN010090	2	45	2	3	2	23	2	2	2	5
IN010090	3	28	1	1	2	25	2	1	1	10
IN010090	4	24	1	4	2	25	2	2	1	10
IN010090	5	22	2	1	2	25	2	1	2	8
IN010090	6	20	2	4	2	25	2	2	2	8
IN010091	1	30	1	1	2	25	2	1	2	10
IN010091	2	25	2	1	2	25	2	1	2	12
IN010092	1	45	1	3	2	24	2	2	1	6
IN010092	2	40	2	3	2	25	2	1	2	9
IN010092	3	25	1	1	2	25	2	1	1	12
IN010092	4	23	2	1	2	25	2	1	2	10
IN010092	5	22	1	4	1	25	2	2	2	15
IN010092	6	19	2	4	2	24	2	1	2	7
IN010093	1	60	1	3	2	25	2	1	1	8
IN010093	2	35	1	1	2	25	2	1	1	15
IN010093	3	30	2	1	2	25	2	1	2	10
IN010093	4	11	1	5	2	24	2	2	2	6
IN010094	1	60	1	3	2	25	2	2	2	12
IN010094	2	55	2	3	2	23	2	2	2	4
IN010094	3	33	1	1	2	25	2	1	1	15
IN010094	4	28	2	1	2	25	2	1	2	15
IN010095	1	80	1	3	2	23	2	2	2	5
IN010095	2	26	1	1	2	23	2	1	1	5
IN010095	3	21	2	1	2	25	2	1	2	10
IN010096	1	25	1	1	2	25	2	1	1	12
IN010096	2	22	2	1	2	25	2	1	1	10
IN010097	1	52	2	3	2	0	2	2	2	0
IN010097	2	24	1	1	2	0	2	1	1	0
IN010097	3	21	1	4	2	0	2	2	1	0
IN010097	4	19	2	1	2	0	2	1	1	0
IN010098	1	25	1	1	2	0	2	1	1	0
IN010098	2	20	2	1	2	23	2	1	1	5
IN010099	1	80	2	7	2	0	1	2	2	0
IN010099	2	65	1	3	2	23	2	2	1	5
IN010099	3	56	2	3	2	23	2	1	2	5
IN010099	4	32	1	1	2	24	2	1	1	7
IN010099	5	25	2	1	2	25	2	1	2	12
IN010099	6	7	1	5	1	23	2	2	2	2
IN010100	1	50	1	3	2	0	2	2	1	0
IN010100	2	45	2	3	2	0	2	1	1	0
IN010100	3	25	1	1	2	23	2	1	1	5
IN010100	4	25	2	1	2	25	2	1	2	10
IN020001	1	30	1	1	2	0	2	2	1	0
IN020001	2	28	2	1	2	0	2	1	2	0
IN020001	3	7	1	5	1	23	2	2	2	2
IN020001	4	6	2	5	2	0	2	2	2	0
IN020002	1	30	1	1	2	0	2	1	1	0
IN020002	2	25	2	1	2	0	2	1	2	0
IN020002	3	7	2	5	1	0	2	2	2	0
IN020003	1	30	1	1	2	0	2	1	1	0
IN020003	2	25	2	1	2	0	2	1	1	0
IN020003	3	12	1	5	1	23	2	2	2	5
IN020003	4	8	1	5	1	23	2	2	2	3
IN020003	5	6	2	5	1	23	2	2	2	1
IN020004	1	30	1	1	2	0	2	2	1	0
IN020004	2	25	2	1	2	0	2	1	2	0
IN020004	3	7	1	5	1	23	2	2	2	2
IN020005	1	25	1	1	2	0	2	2	1	0
IN020005	2	20	2	1	2	0	2	1	2	0
IN020006	1	28	1	1	2	0	2	1	1	0
IN020006	2	24	2	1	2	0	2	1	1	0
IN020007	1	62	1	3	2	0	2	2	1	0
IN020007	2	55	2	3	2	0	2	1	1	0
IN020007	3	30	1	1	2	0	2	1	1	0
IN020007	4	20	2	1	2	0	2	1	1	0
IN020007	28	3	2	5	 	 	2	 	 	 
IN020008	1	50	2	3	2	0	2	2	2	0
IN020008	2	28	1	1	2	0	2	1	1	0
IN020008	3	25	2	1	2	0	2	2	1	0
IN020008	4	15	1	4	1	23	2	2	2	4
IN020009	1	70	1	3	2	0	2	2	2	0
IN020009	2	25	1	1	2	0	2	1	1	0
IN020009	3	20	2	1	2	0	2	1	2	0
IN020009	4	15	1	4	2	0	2	2	2	0
IN020009	28	4	1	5	 	 	2	 	 	 
IN020010	1	60	2	3	2	0	2	2	2	0
IN020010	2	32	1	1	2	0	2	2	1	0
IN020010	3	28	2	1	2	0	2	1	2	0
IN020010	4	7	1	5	1	25	2	2	2	10
IN020011	1	50	2	3	2	0	2	2	2	0
IN020011	2	40	1	1	2	0	2	1	1	0
IN020011	3	30	2	4	2	0	2	2	2	0
IN020011	4	25	2	1	2	0	2	1	1	0
IN020011	5	9	2	4	2	0	2	2	2	0
IN020011	6	8	1	5	2	0	2	2	2	0
IN020011	7	6	2	5	1	23	2	2	2	1
IN020012	1	60	2	3	2	0	2	2	2	0
IN020012	2	25	1	1	2	0	2	2	1	0
IN020012	3	20	2	1	2	0	2	1	2	0
IN020012	4	16	2	4	2	0	2	2	2	0
IN020012	5	11	2	4	1	23	2	2	2	5
IN020012	6	7	2	4	1	23	2	2	2	2
IN020012	7	6	1	4	2	0	2	2	2	0
IN020012	8	5	1	4	1	0	2	2	2	0
IN020013	1	60	2	3	2	0	2	2	2	0
IN020013	2	60	2	3	2	0	2	2	2	0
IN020013	3	35	1	1	2	0	2	1	1	0
IN020013	4	25	2	2	2	0	2	2	2	0
IN020013	5	24	2	1	2	0	2	1	1	0
IN020013	6	8	1	4	1	0	2	2	2	0
IN020013	28	4	2	5	 	 	2	 	 	 
IN020014	1	30	1	1	2	0	2	2	1	0
IN020014	2	25	2	1	2	0	2	1	2	0
IN020014	3	8	1	5	1	23	2	2	2	3
IN020014	4	7	1	5	1	23	2	2	2	2
IN020014	5	6	1	5	1	23	2	2	2	1
IN020015	1	52	1	3	2	0	2	2	2	0
IN020015	2	45	2	3	2	0	2	1	1	0
IN020015	3	26	1	1	2	0	2	1	1	0
IN020015	4	18	2	1	2	0	2	2	2	0
IN020016	1	70	1	3	2	0	2	2	2	0
IN020016	2	62	2	3	2	0	2	2	2	0
IN020016	3	26	1	1	2	0	2	2	1	0
IN020016	4	22	2	1	2	0	2	1	2	0
IN020017	1	72	2	3	2	0	2	2	2	0
IN020017	2	45	1	1	2	0	2	1	1	0
IN020017	3	37	2	1	2	0	2	1	1	0
IN020017	4	15	2	5	2	0	2	2	1	0
IN020017	5	13	2	5	1	24	2	2	2	7
IN020018	1	50	2	3	2	0	2	1	1	0
IN020018	2	28	1	1	2	0	2	1	1	0
IN020018	3	25	2	1	2	0	2	1	1	0
IN020018	4	20	2	4	2	23	2	1	2	5
IN020018	5	16	2	4	1	24	2	1	2	7
IN020018	6	6	2	5	1	0	2	1	2	0
IN020019	1	25	1	1	2	0	2	1	1	0
IN020019	2	20	2	1	2	0	2	1	1	0
IN020020	1	22	1	1	2	0	2	1	1	0
IN020020	2	19	2	1	2	0	2	1	1	0
IN020021	1	30	1	1	2	25	2	1	1	10
IN020021	2	23	2	1	2	25	2	1	1	10
IN020022	1	50	2	3	2	0	2	1	1	0
IN020022	2	26	1	1	2	0	2	1	1	0
IN020022	3	24	1	4	1	25	2	1	1	15
IN020022	4	20	2	1	2	0	2	1	1	0
IN020023	1	30	1	1	2	25	2	2	1	15
IN020023	2	27	2	1	2	25	2	1	1	12
IN020024	1	28	1	1	2	25	2	2	1	15
IN020024	2	25	2	1	1	25	2	1	2	13
IN020025	1	25	1	1	2	24	2	2	1	7
IN020025	2	23	2	1	2	0	2	1	2	0
IN020026	1	35	1	1	2	0	2	1	1	0
IN020026	2	29	2	1	2	0	2	1	1	0
IN020026	3	10	2	6	2	0	2	2	2	0
IN020027	1	30	1	1	2	25	2	1	1	8
IN020027	2	25	2	1	2	0	2	1	1	0
IN020027	28	4	1	5	 	 	2	 	 	 
IN020028	1	52	1	3	2	0	2	2	2	0
IN020028	2	45	2	3	2	0	2	2	2	0
IN020028	3	28	1	1	2	0	2	1	1	0
IN020028	4	23	2	1	2	0	2	1	1	0
IN020028	5	20	1	4	2	0	2	2	2	0
IN020029	1	25	1	1	2	24	2	2	1	6
IN020029	2	22	2	1	2	0	2	1	2	0
IN020030	1	22	1	1	2	23	2	2	1	5
IN020030	2	20	2	1	2	23	2	1	2	5
IN020031	1	40	2	3	2	0	2	2	2	0
IN020031	2	24	1	1	2	23	2	1	1	5
IN020031	3	21	2	1	2	25	2	1	2	10
IN020031	4	12	2	4	2	23	2	2	1	5
IN020031	5	7	1	5	2	25	2	2	1	15
IN020031	6	6	1	5	2	0	2	2	1	0
IN020032	1	35	1	1	2	0	2	1	1	0
IN020032	2	25	2	1	2	0	2	1	1	0
IN020032	3	7	1	5	1	23	2	2	2	1
IN020033	1	45	1	3	2	0	2	1	1	0
IN020033	2	35	2	3	2	0	2	1	1	0
IN020033	3	20	2	1	1	25	2	1	1	10
IN020033	4	18	1	4	1	24	2	2	2	7
IN020034	1	30	1	1	2	23	2	1	1	5
IN020034	2	25	2	1	2	0	2	1	1	0
IN020035	1	26	1	1	2	0	2	1	1	0
IN020035	2	22	2	1	2	0	2	1	1	0
IN020035	28	4	1	5	 	 	2	 	 	 
IN020036	1	23	1	1	2	25	2	2	1	12
IN020036	2	20	2	1	2	25	2	1	2	12
IN020037	1	32	1	1	2	0	2	2	1	0
IN020037	2	25	2	1	2	0	2	1	2	0
IN020037	3	7	2	5	1	23	2	2	2	1
IN020037	4	6	2	5	1	0	2	2	2	0
IN020038	1	50	2	3	2	25	2	2	2	10
IN020038	2	30	1	1	2	25	2	2	1	10
IN020038	3	24	2	1	2	25	2	1	2	9
IN020038	4	9	2	5	1	23	2	2	2	4
IN020039	1	55	2	3	2	0	1	2	2	0
IN020039	2	25	1	1	2	0	2	2	1	0
IN020039	3	20	2	1	2	0	2	1	2	0
IN020039	4	16	2	4	2	0	2	2	2	0
IN020040	1	25	1	1	2	0	2	1	1	0
IN020040	2	18	2	1	2	0	2	1	1	0
IN020041	1	25	1	1	2	0	2	1	1	0
IN020041	2	20	2	1	2	0	2	1	1	0
IN020041	3	6	2	5	1	23	2	2	2	1
IN020042	1	25	1	1	2	0	2	1	1	0
IN020042	2	22	2	1	2	0	2	1	1	0
IN020043	1	75	2	7	2	0	2	2	2	0
IN020043	2	55	1	3	2	23	2	2	2	5
IN020043	3	45	2	3	2	23	2	1	2	5
IN020043	4	27	1	1	2	25	2	1	1	10
IN020043	5	25	1	4	2	25	2	1	2	15
IN020043	6	22	1	4	2	25	2	2	2	10
IN020043	7	19	2	4	2	25	2	2	2	10
IN020043	8	19	2	1	2	24	2	1	1	7
IN020044	1	35	1	1	2	0	2	1	1	0
IN020044	2	23	2	1	2	25	2	1	1	10
IN020044	3	15	1	5	2	0	2	2	2	0
IN020044	4	12	2	5	1	23	2	2	2	2
IN020044	5	8	1	5	1	23	2	2	2	1
IN020045	1	26	1	1	2	24	2	1	1	6
IN020045	2	23	2	1	2	23	2	1	2	5
IN020045	28	3	2	5	 	 	2	 	 	 
IN020046	1	23	1	1	2	24	2	1	1	7
IN020046	2	20	2	1	2	24	2	1	1	7
IN020047	1	25	1	1	2	24	2	1	1	6
IN020047	2	20	2	1	2	0	2	1	1	0
IN020048	1	20	1	1	2	23	2	1	1	5
IN020048	2	20	2	1	2	23	2	1	1	5
IN020048	3	5	1	5	2	0	2	2	2	0
IN020049	1	27	1	1	2	25	2	1	1	10
IN020049	2	23	2	1	2	25	2	1	1	8
IN020049	28	4	1	5	 	 	2	 	 	 
IN020050	1	28	1	1	1	0	2	1	1	0
IN020050	2	22	2	1	2	0	2	1	1	0
IN020051	1	50	1	3	2	0	2	2	2	0
IN020051	2	28	1	1	2	0	2	1	1	0
IN020051	3	21	2	1	2	0	2	1	1	0
IN020052	1	50	2	3	2	0	2	1	1	0
IN020052	2	30	2	1	2	0	2	1	1	0
IN020052	3	20	2	4	2	23	2	2	1	5
IN020052	4	18	1	4	1	25	2	2	2	12
IN020052	5	16	2	4	1	25	2	2	2	11
IN020052	6	5	2	5	 	 	2	2	2	0
IN020053	1	30	1	1	2	0	2	1	1	0
IN020053	2	25	2	1	2	23	2	1	1	5
IN020053	28	4	1	5	 	 	2	 	 	 
IN020054	1	28	1	1	2	23	2	1	1	5
IN020054	2	24	2	1	2	0	2	1	1	0
IN020054	3	5	1	5	 	 	2	2	2	0
IN020055	1	55	1	3	2	0	2	2	2	0
IN020055	2	45	2	3	2	0	2	1	1	0
IN020055	3	28	1	2	2	0	2	1	1	0
IN020055	4	23	2	1	2	0	1	1	1	0
IN020055	5	19	1	1	2	25	2	 	 	10
IN020055	6	8	1	4	1	23	2	1	2	3
IN020056	1	26	1	1	2	0	2	1	1	0
IN020056	2	22	2	1	2	24	2	1	1	6
IN020056	3	7	1	5	1	23	2	2	2	2
