CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
IN020043	1	2	2	12	2	1
IN020043	2	3	2	4	3	1
IN020043	3	4	2	10	2	1
IN020043	4	6	2	10	3	1
IN020044	1	1	1	7	2	1
IN020044	2	3	1	10	2	1
IN020045	1	1	2	12	3	1
IN020045	2	1	1	12	2	1
IN020046	1	1	1	12	2	1
IN020047	1	1	1	12	2	1
IN020047	2	1	2	12	3	97
IN020047	3	1	2	6	3	60
IN020048	1	1	1	12	2	1
IN020049	1	1	2	12	1	60
IN020049	2	1	2	4	3	1
IN020049	3	2	2	4	3	1
IN020050	1	1	2	10	3	1
IN020050	2	1	1	6	2	1
IN020050	3	2	1	1	3	1
IN020051	1	2	2	12	3	1
IN020051	2	2	1	12	3	1
IN020051	3	3	1	2	3	1
IN020052	1	1	1	12	3	1
IN020052	2	1	2	12	2	17
IN020052	3	2	2	12	3	1
IN020052	4	2	2	12	2	17
IN020052	5	3	1	12	3	1
IN020052	6	3	2	12	2	17
IN020052	7	4	1	2	3	1
IN020052	8	5	1	2	3	1
IN020053	1	1	2	12	3	1
IN020053	2	1	1	12	3	1
IN020054	1	1	2	12	2	60
IN020055	1	1	2	12	1	1
IN020055	2	2	2	12	1	1
IN020055	3	3	1	12	2	1
IN020055	4	4	2	2	2	1
IN020055	5	5	2	12	1	1
IN020055	6	2	2	12	2	17
IN020056	1	1	2	12	1	1
IN020056	2	2	2	10	4	1
IN020057	1	1	2	10	2	1
IN020057	2	1	1	6	2	1
IN020057	3	2	1	8	3	1
IN020057	4	3	1	8	2	1
IN020057	5	4	2	10	3	17
IN020057	6	4	1	4	2	1
IN020057	7	5	2	10	3	17
IN020057	8	5	2	10	3	17
IN020058	1	1	1	12	2	1
IN020059	1	1	1	12	1	1
IN020060	1	1	1	12	2	1
IN020060	2	2	1	4	3	1
IN020061	1	1	1	8	2	1
IN020061	2	2	1	5	2	1
IN020061	3	3	1	8	2	1
IN020061	4	4	1	5	2	1
IN020062	1	1	2	12	2	1
IN020062	2	1	1	12	3	1
IN020063	1	1	1	12	1	1
IN020063	2	1	1	8	1	1
IN020063	3	1	2	10	1	1
IN020063	4	2	1	12	2	1
IN020064	1	2	1	10	1	10
IN020064	2	3	1	3	2	1
IN020065	1	1	2	12	2	1
IN020066	1	1	1	12	2	1
IN020066	2	2	1	1	3	1
IN020067	1	1	2	12	2	91
IN020068	1	1	1	12	2	1
IN020068	2	2	1	1	2	1
IN020069	1	1	2	12	2	93
IN020069	2	1	2	4	3	1
IN020070	1	1	2	12	2	1
IN020070	2	1	1	12	3	1
IN020071	1	1	1	9	2	1
IN020071	2	2	1	4	3	1
IN020072	1	1	1	12	1	80
IN020072	2	2	1	5	1	80
IN020073	1	1	1	12	1	64
IN020073	2	3	2	12	2	60
IN020073	3	4	2	12	2	60
IN020074	1	1	2	12	2	1
IN020074	2	1	2	1	2	17
IN020074	3	2	2	1	2	17
IN020074	4	2	2	6	3	1
IN020075	1	1	1	6	2	1
IN020075	2	1	2	10	2	2
IN020075	3	1	2	4	2	17
IN020075	4	2	2	4	2	2
IN020075	5	2	2	4	2	0
IN020076	1	1	1	7	2	1
IN020076	2	2	1	9	2	1
IN020077	1	1	2	12	2	1
IN020077	2	1	1	12	3	1
IN020078	1	1	2	8	2	45
IN020078	2	1	2	12	4	1
IN020078	3	1	2	4	3	17
IN020078	4	2	2	4	2	17
IN020079	1	1	2	12	1	85
IN020079	2	2	1	8	2	1
IN020079	3	3	1	7	2	1
IN020079	4	4	1	7	2	1
IN020080	1	1	1	7	2	1
IN020080	2	2	1	5	2	1
IN020080	3	3	1	7	2	1
IN020081	1	1	2	12	2	60
IN020081	2	1	2	4	3	1
IN020081	3	2	1	10	3	1
IN020082	1	2	2	12	2	1
IN020082	2	2	1	12	2	1
IN020083	1	1	1	12	2	1
IN020083	2	1	2	12	2	1
IN020084	1	1	1	12	1	1
IN020085	1	1	1	10	2	1
IN020085	2	2	1	7	2	1
IN020086	1	1	1	7	1	1
IN020086	2	2	1	5	1	1
IN020087	1	1	1	12	1	1
IN020088	1	1	1	9	2	1
IN020088	2	2	1	8	2	1
IN020089	1	1	1	12	2	1
IN020089	2	2	2	12	2	93
IN020089	3	4	1	5	2	60
IN020090	1	1	1	5	2	1
IN020090	2	2	2	12	2	60
IN020091	1	1	1	9	2	1
IN020092	1	2	2	12	1	60
IN020092	2	3	1	2	2	1
IN020093	1	1	1	11	2	1
IN020094	1	1	2	4	2	1
IN020094	2	2	1	6	2	1
IN020094	3	3	1	12	1	85
IN020095	1	1	1	12	1	75
IN020096	1	1	1	12	1	1
IN020096	2	1	2	12	3	1
IN020096	3	2	1	12	1	80
IN020096	4	4	1	12	2	1
IN020097	1	1	1	12	1	1
IN020097	2	2	1	12	3	1
IN020097	3	3	1	12	2	1
IN020098	1	1	1	12	2	1
IN020099	1	1	2	12	1	20
IN020100	1	1	2	12	1	1
IN020100	2	2	1	8	2	1
IN020100	3	3	2	8	2	1
IN030001	1	3	2	12	1	72
IN030002	1	3	2	12	1	74
IN030003	1	2	2	12	1	50
IN030004	1	1	2	12	1	75
IN030004	2	3	2	12	1	75
IN030005	1	2	2	12	1	17
IN030006	1	2	1	12	1	75
IN030007	1	1	1	12	1	75
IN030008	1	1	1	12	1	93
IN030008	2	2	1	12	1	17
IN030008	3	3	1	12	1	93
IN030009	1	3	2	12	1	74
IN030009	2	4	2	12	1	74
IN030010	1	3	1	12	1	74
IN030010	2	5	1	12	1	74
IN030011	2	2	1	12	1	80
IN030012	1	1	2	12	1	52
IN030012	2	2	2	12	1	52
IN030012	3	3	2	12	1	52
IN030013	1	4	1	12	1	72
IN030014	1	2	2	12	1	17
IN030015	1	1	2	12	1	74
IN030016	1	1	2	12	1	55
IN030016	2	3	2	12	1	71
IN030016	3	4	2	5	1	60
IN030017	1	1	1	12	1	66
IN030018	1	3	2	12	1	60
IN030018	2	7	2	12	1	80
IN030018	3	5	2	12	1	60
IN030019	1	1	2	12	1	1
IN030019	2	2	2	12	1	1
IN030019	3	3	2	12	1	1
IN030019	4	4	2	12	1	17
IN030020	1	3	2	12	1	45
IN030020	2	4	2	12	1	74
IN030021	1	1	2	12	1	71
IN030022	1	1	2	12	2	74
IN030023	1	1	2	12	1	65
IN030024	1	1	2	12	1	36
IN030024	2	4	2	12	1	74
IN030024	3	6	2	12	1	36
IN030024	4	7	2	2	1	80
IN030025	1	2	1	12	1	72
IN030026	1	1	2	12	1	91
IN030026	2	3	2	12	1	91
IN030026	3	4	2	12	1	91
IN030027	1	1	2	12	1	74
IN030027	2	3	2	12	1	74
IN030027	3	3	2	12	1	50
IN030027	4	5	2	12	1	60
IN030028	1	1	1	12	1	0
IN030028	2	2	1	12	1	80
IN030028	3	3	1	12	1	80
IN030028	4	4	1	12	1	80
IN030028	5	5	1	12	1	80
IN030029	1	4	2	12	1	71
IN030029	2	5	2	12	1	74
IN030030	1	3	2	10	1	60
IN030030	2	2	2	11	1	95
IN030031	1	3	2	12	1	35
IN030031	2	6	2	12	1	74
IN030031	3	7	2	12	1	75
IN030032	1	1	2	12	1	15
IN030032	2	2	2	12	1	95
IN030033	1	1	2	12	1	71
IN030034	1	2	2	12	1	52
IN030034	2	3	2	12	1	91
IN030034	3	4	2	12	1	52
IN030035	1	1	2	12	3	91
IN030035	2	2	2	12	3	91
IN030036	1	1	2	12	3	91
IN030037	1	2	2	12	1	52
IN030038	1	1	1	12	1	32
IN030039	1	1	1	12	1	74
IN030040	1	1	1	12	1	60
IN030040	2	2	1	12	1	45
IN030040	3	3	1	12	1	60
IN030040	4	4	1	12	1	45
IN030041	1	1	2	12	1	74
IN030041	2	3	2	12	1	74
IN030042	1	1	1	12	1	64
IN030043	1	4	1	12	1	52
IN030044	1	1	2	12	1	74
IN030044	2	3	2	12	1	74
IN030045	1	1	1	12	1	52
IN030045	2	3	2	12	1	52
IN030045	3	5	2	12	2	52
IN030045	4	5	2	6	2	74
IN030045	5	5	2	6	2	50
IN030046	1	3	1	12	1	72
IN030047	1	1	2	12	1	74
IN030047	2	2	2	12	1	74
IN030047	3	3	2	12	1	74
IN030047	4	3	2	12	1	17
IN030047	5	4	2	9	1	74
IN030048	1	2	1	12	1	52
IN030049	1	1	2	12	1	65
IN030050	1	1	2	12	1	72
IN030051	1	1	2	12	1	75
IN030052	1	2	2	12	1	65
IN030053	1	1	2	12	1	75
IN030053	2	3	2	12	1	17
IN030053	3	4	2	12	1	80
IN030054	1	1	1	12	1	74
IN030054	2	2	1	12	1	74
IN030055	1	4	2	12	1	74
IN030055	2	5	2	12	1	85
IN030055	3	6	2	12	1	32
IN030055	4	7	2	12	1	20
IN030056	1	1	2	12	1	50
IN030057	1	1	2	12	1	74
IN030058	1	1	2	12	1	60
IN030058	2	3	2	12	1	74
IN030059	1	2	1	12	1	52
IN030060	1	1	2	12	1	17
IN030061	1	1	1	12	1	50
IN030062	1	1	2	12	1	74
IN030062	2	2	2	12	1	74
IN030062	3	3	1	12	1	74
IN030063	1	3	1	12	1	74
IN030064	1	1	1	12	1	75
IN030064	2	3	1	12	1	66
IN030065	1	2	2	12	1	60
IN030066	1	1	1	12	1	17
IN030067	1	1	1	12	1	95
IN030067	2	2	1	12	1	28
IN030068	1	1	1	12	2	17
IN030068	2	1	1	6	2	16
IN030068	3	2	1	12	1	52
IN030068	4	3	1	12	2	17
IN030068	5	3	1	6	2	16
IN030069	1	1	1	12	1	93
IN030070	1	2	2	12	1	74
IN030071	1	1	2	12	1	60
IN030071	2	2	2	3	1	95
IN030072	1	1	1	5	1	75
IN030073	1	1	2	12	1	1
IN030073	2	1	1	12	1	1
IN030074	1	4	1	12	1	91
IN030074	2	6	1	12	1	91
IN030075	1	2	1	12	1	74
IN030075	2	4	1	12	1	74
IN030075	3	3	1	12	1	74
IN030075	4	5	1	12	1	74
IN030076	1	1	1	10	1	93
IN030077	1	1	1	5	1	45
IN030077	2	3	1	5	1	45
IN030078	1	1	2	12	1	93
IN030078	2	3	2	12	1	93
IN030078	3	2	2	9	3	93
IN030079	1	1	2	12	1	0
IN030080	1	1	2	6	1	36
IN030080	2	2	2	6	1	36
IN030081	1	1	2	12	1	36
IN030082	1	2	2	12	1	74
IN030083	1	1	2	12	1	55
IN030084	1	2	2	12	1	52
IN030085	1	2	2	12	1	74
IN030086	1	3	2	12	1	60
IN030086	2	4	2	12	1	95
IN030086	3	5	2	12	1	60
IN030087	1	1	2	12	1	74
IN030088	1	2	2	12	1	52
IN030088	2	4	2	12	1	52
IN030089	1	1	2	12	1	74
IN030089	2	3	2	12	1	72
IN030090	1	1	2	12	1	52
IN030090	2	1	2	3	2	1
IN030090	3	3	2	12	1	52
IN030091	1	1	1	12	1	20
IN030092	1	3	1	12	1	92
IN030092	2	3	1	12	1	62
IN030092	3	5	1	12	1	74
IN030093	1	1	2	10	1	60
IN030093	2	3	2	12	1	50
IN030094	1	1	1	12	1	74
IN030094	2	3	1	12	1	93
IN030095	1	1	1	12	1	52
IN030096	1	1	1	12	1	72
IN030097	1	1	2	12	1	52
IN030097	2	3	2	12	1	17
IN030098	1	1	2	12	1	20
IN030099	1	2	2	12	1	74
IN030099	2	4	2	12	1	60
IN030100	1	1	2	12	1	74
IN030100	2	2	2	12	1	74
IN030100	3	4	2	12	1	55
IN040001	1	1	1	12	2	1
IN040001	2	2	1	12	2	1
IN040001	3	3	1	12	2	1
IN040002	1	1	1	12	3	1
IN040002	2	2	1	12	3	1
IN040003	1	1	2	12	1	1
IN040003	2	2	2	12	2	1
IN040003	3	3	2	12	1	1
IN040004	1	2	1	12	3	1
IN040005	1	1	2	8	2	1
IN040005	2	2	1	8	3	1
IN040005	3	2	2	10	2	1
IN040005	4	3	2	8	2	1
IN040005	5	3	2	8	3	1
IN040006	1	2	1	12	2	1
IN040006	2	3	1	8	3	1
IN040007	1	1	2	12	3	1
IN040007	2	1	2	12	2	1
IN040007	3	2	2	6	3	1
IN040007	4	2	1	6	2	1
IN040007	5	3	1	12	2	1
IN040007	6	3	2	12	3	1
IN040008	1	1	2	12	2	1
IN040008	2	1	1	12	2	1
IN040008	3	2	1	8	2	1
IN040008	4	2	2	8	2	1
IN040009	1	1	1	12	1	1
IN040009	2	2	1	5	1	1
IN040010	1	1	1	12	1	1
IN040010	2	3	1	12	1	1
IN040010	3	4	1	2	1	1
IN040011	1	1	1	12	1	1
IN040011	2	2	1	12	1	1
IN040011	3	3	1	12	1	1
IN040011	4	4	1	4	1	1
IN040012	1	1	2	12	2	1
IN040012	2	1	1	8	3	1
IN040012	3	2	2	12	2	1
IN040012	4	2	1	12	3	1
IN040012	5	3	1	12	3	1
IN040012	6	3	2	12	2	1
IN040012	7	4	1	12	3	1
IN040012	8	4	1	12	3	1
IN040012	9	5	1	4	3	1
IN040012	10	5	2	4	2	1
IN040012	11	6	2	12	2	1
IN040012	12	6	1	12	3	1
IN040012	13	7	1	12	3	1
IN040012	14	7	2	12	3	1
IN040013	1	1	1	12	1	1
IN040013	2	2	1	7	2	1
IN040014	1	1	1	12	2	1
IN040014	2	2	1	12	1	1
IN040014	3	3	1	7	2	1
IN040014	4	4	1	12	2	1
IN040014	5	5	1	12	1	1
IN040014	6	6	1	12	2	1
IN040015	1	2	1	12	2	1
IN040015	2	3	1	12	2	1
IN040016	1	1	1	12	1	1
IN040016	2	2	1	12	1	1
IN040016	3	3	1	12	1	1
IN040016	4	4	1	12	1	1
IN040016	5	5	1	12	1	1
IN040016	6	6	1	12	1	1
IN040016	7	7	1	12	1	1
IN040017	1	1	1	10	2	1
IN040017	2	1	2	8	3	1
IN040017	3	2	1	2	3	1
IN040017	4	2	2	2	3	1
IN040018	1	1	2	12	1	1
IN040018	2	1	1	12	3	1
IN040018	3	2	2	12	1	1
IN040018	4	2	1	12	3	1
IN040018	5	3	1	12	2	1
IN040019	1	1	2	12	1	1
IN040019	2	1	2	12	3	1
IN040019	3	2	2	4	2	1
IN040019	4	2	2	4	3	1
IN040020	1	1	2	12	1	1
IN040020	2	1	1	12	3	1
IN040020	3	2	2	4	2	1
IN040021	1	2	2	12	2	1
IN040021	2	2	1	12	2	1
IN040021	3	3	2	12	2	1
IN040021	4	3	1	12	3	1
IN040022	1	1	2	8	2	1
IN040022	2	1	1	8	3	1
IN040022	3	1	2	12	3	1
IN040022	4	2	2	8	3	1
IN040022	5	2	1	8	2	1
IN040022	6	2	2	12	3	1
IN040022	7	3	2	8	3	1
IN040022	8	3	2	10	3	1
IN040023	1	1	2	10	2	1
IN040023	2	1	2	8	2	1
IN040023	3	1	1	8	2	1
IN040023	4	2	2	5	3	1
IN040023	5	2	1	5	3	1
IN040023	6	2	2	5	2	1
IN040024	1	1	2	12	2	1
IN040024	2	1	1	8	3	1
IN040024	3	2	1	6	3	1
IN040024	4	3	2	8	2	1
IN040024	5	3	1	8	3	1
IN040024	6	4	2	8	2	1
IN040024	7	4	1	8	3	1
IN040024	8	5	2	8	3	1
IN040024	9	5	2	12	1	1
IN040025	1	1	2	12	1	1
IN040025	2	2	2	9	2	1
IN040026	1	1	1	12	1	1
IN040026	2	3	1	12	1	1
IN040027	1	1	1	12	2	1
IN040027	2	2	1	12	2	1
IN040027	3	3	1	12	2	1
IN040027	4	4	1	12	2	1
IN040028	1	1	1	12	1	1
IN040028	2	2	1	12	1	1
IN040028	3	3	1	12	1	1
IN040028	4	4	1	12	1	1
IN040029	1	1	2	12	1	45
IN040029	2	2	2	12	2	45
IN040030	1	1	1	12	1	45
IN040030	2	2	1	9	1	45
IN040031	1	1	1	12	1	74
IN040031	2	2	1	12	4	1
IN040031	3	4	2	12	4	1
IN040031	4	5	2	4	4	1
IN040032	1	2	2	10	2	1
IN040032	2	2	1	8	3	1
IN040032	3	3	2	10	2	1
IN040032	4	3	1	8	3	1
IN040033	1	1	1	12	1	75
IN040033	2	2	1	12	1	75
IN040033	3	3	2	10	2	1
IN040034	1	1	1	12	1	1
IN040034	2	2	1	4	2	1
IN040035	1	1	2	12	1	52
IN040036	1	1	2	12	1	1
IN040036	2	1	1	12	2	1
IN040036	3	2	1	1	3	1
IN040037	1	2	2	12	1	1
IN040037	2	3	2	4	2	1
IN040038	1	1	2	12	2	1
IN040038	2	1	1	12	3	1
IN040038	3	2	2	12	2	1
IN040038	4	2	1	12	3	1
IN040039	1	1	2	10	2	1
IN040039	2	1	1	8	3	1
IN040039	3	2	2	10	3	1
IN040039	4	2	1	8	3	1
IN040039	5	3	2	10	2	1
IN040039	6	3	1	8	3	1
IN040040	1	1	1	12	1	1
IN040040	2	2	1	3	2	1
IN040041	1	1	1	12	2	1
IN040041	2	3	1	12	2	1
IN040041	3	4	1	12	2	1
IN040042	1	1	2	12	2	1
IN040042	2	1	1	6	3	1
IN040042	3	2	1	12	2	1
IN040042	4	2	2	12	2	1
IN040042	5	3	2	8	2	1
IN040042	6	3	1	4	3	1
IN040043	1	1	1	11	2	1
IN040043	2	2	1	12	2	1
IN040043	3	3	1	6	4	1
IN040044	1	2	2	12	2	1
IN040044	2	2	1	8	3	1
IN040044	3	3	2	12	2	1
IN040044	4	3	1	8	3	1
IN040044	5	4	1	6	3	1
IN040044	6	4	2	10	2	1
IN040044	7	6	2	8	3	1
IN040044	8	6	2	12	3	1
IN040045	1	1	2	12	1	1
IN040045	2	1	1	12	2	1
IN040045	3	2	2	3	2	1
IN040045	4	2	1	3	3	1
IN040046	1	1	2	12	1	1
IN040046	2	1	1	12	2	1
IN040046	3	2	2	3	2	1
IN040046	4	2	1	3	3	1
IN040047	1	1	1	12	2	1
IN040048	1	1	1	12	1	45
IN040048	2	2	1	12	2	45
IN040048	3	3	1	8	2	1
IN040049	1	1	2	12	1	1
IN040050	1	1	2	12	1	1
IN040050	2	2	2	5	1	1
IN040051	1	1	2	12	1	1
IN040051	2	2	2	12	2	1
IN040051	3	3	1	12	1	80
IN040051	4	4	2	3	2	1
IN040052	1	1	2	12	1	1
IN040052	2	1	1	8	3	1
IN040052	3	2	2	10	1	1
IN040052	4	2	1	4	3	1
IN040053	1	1	1	12	1	1
IN040053	2	2	1	12	1	1
IN040054	1	1	1	12	1	1
IN040054	2	2	1	12	2	1
IN040055	1	1	1	12	1	1
IN040055	2	2	1	6	2	1
IN040056	1	1	1	12	1	1
IN040056	2	2	1	12	1	1
IN040056	3	3	1	12	1	1
IN040057	1	1	1	12	1	75
IN040058	1	1	2	12	4	20
IN040059	1	1	1	12	1	60
IN040060	1	1	2	12	1	52
