PLACEID	LCPRIDR4	PPSTD0101	CDVEN0101	CDIR0101	PPSTD0102	CDVEN0102	CDIR0102
1	62	6	19	3	6.5	19	4
1	63	16	19	4	18	1	3
1	64	-88	1	3	-88	19	7
1	65	10	19	6	12	1	3
1	66	8	19	7	9.5	1	3
1	67	8	19	4	10	1	3
1	68	-88	1	4	-88	19	7
1	69	-88	19	2	-88	77	5
1	70	-88	1	2	-88	19	5
1	71	70	19	2	70	19	3
2	0	14	3	6	14	3	6
2	1	7	1	6	6.5	1	6
2	2	35	18	6	30	18	6
2	3	45	18	6	40	18	6
2	4	60	18	6	60	18	6
2	5	90	18	6	95	18	6
2	6	100	18	6	100	18	6
2	7	4	10	6	4	9	6
2	8	1.5	10	6	2	9	6
2	9	10	10	6	10	9	6
2	10	1.5	10	6	2	9	6
2	11	14	1	6	13.5	1	6
2	12	33	1	6	35	1	6
2	13	21	17	6	21	17	6
2	14	15	12	6	15	12	6
2	15	13.6000003814697	12	6	13.6000003814697	12	6
2	16	12	18	6	12.5	18	6
2	17	10.5	18	6	10	18	6
2	18	10	18	6	10	18	6
2	19	9	18	6	9	18	6
2	20	5.19999980926514	18	6	5.19999980926514	18	6
2	21	5.59999990463257	18	6	5.59999990463257	18	6
2	22	7.5	18	6	7.5	18	6
2	23	-77	16	7	-77	16	7
2	24	13	18	6	13	18	5
2	25	7	18	6	6.59999990463257	18	6
2	26	9	18	6	8	18	6
2	27	7	18	6	7	18	6
2	28	-77	16	7	-77	16	7
2	29	-88	88	7	-88	88	7
2	30	14	18	6	14	18	6
2	31	-77	16	7	-77	16	7
2	32	120	18	6	120	18	6
2	33	1.79999995231628	19	6	1.79999995231628	19	6
2	34	12	18	6	12	18	6
2	35	30	18	6	30	18	6
2	36	-77	16	7	-77	16	7
2	37	7	18	6	7	18	6
2	38	4.30000019073486	18	6	4	18	6
2	39	9	18	6	9.5	18	6
2	40	100	6	6	100	6	6
2	41	-77	16	7	-77	16	7
2	42	-77	16	7	-77	16	7
2	43	-77	16	7	-77	16	7
2	44	-88	88	7	-88	88	7
2	45	280	1	6	280	1	6
2	46	22	18	6	22	18	5
2	47	16	18	6	16	18	6
2	48	80	18	6	75	18	6
2	49	-88	88	7	-88	88	7
2	50	16	1	5	16	1	6
2	51	4	1	5	4	1	6
2	52	27	1	5	28	1	6
2	53	15	18	6	14	18	6
2	54	40	18	6	40	18	6
2	55	-88	88	7	-88	88	7
2	56	1.5	1	5	1.5	1	6
2	57	-77	16	7	-77	16	7
2	58	4	18	6	4	18	6
2	59	10	18	6	10	18	6
2	60	12	18	6	12	18	6
2	61	14	18	6	14	18	6
2	62	5	18	6	4.5	18	6
2	63	18	18	6	18	18	6
2	64	-77	16	7	-77	16	7
2	65	15	18	6	15	18	6
2	66	11	18	6	12	18	6
2	67	4	18	6	4	18	6
2	68	-77	16	7	-77	16	7
2	69	-77	16	7	-77	16	7
2	70	8.5	18	6	8.5	18	6
2	71	50	19	6	50	19	6
3	0	11	3	17	13	3	16
3	1	6	1	11	5.5	1	11
3	2	25	19	15	25	19	16
3	3	30	19	15	32	19	16
3	4	40	19	15	45	19	16
3	5	80	19	15	75	19	16
3	6	75	19	15	70	19	16
3	7	3	10	7	4	9	8
3	8	1.5	10	7	2	9	8
3	9	9	10	7	11	9	8
3	10	1.5	10	7	2.5	9	8
3	11	11	1	11	11	2	12
3	12	3.5	19	11	5	19	12
3	13	14	17	13	14	17	14
3	14	12	12	9	-88	16	18
3	15	12.039999961853	12	9	-88	16	18
3	16	14	19	6	14	19	10
3	17	13	18	6	13.5	18	10
3	18	7	19	6	7.5	19	10
3	19	9	19	6	9	19	10
3	20	6	19	6	6	19	10
3	21	8	19	6	8	19	10
3	22	6	19	6	7	19	10
3	23	-77	16	18	-77	16	18
3	24	11	19	6	11	19	10
3	25	6.80000019073486	19	6	7	19	10
3	26	7	19	6	7.5	19	10
3	27	10	19	6	10	19	10
3	28	16	18	6	16	18	10
3	29	9	19	6	8.5	19	10
3	30	10	19	6	10	19	10
3	31	8	1	11	8	1	12
3	32	100	19	6	100	19	10
3	33	1.75	19	6	1.75	19	10
3	34	12	19	6	12	19	10
3	35	-77	16	18	-77	16	18
3	36	-77	16	18	-77	16	18
3	37	12	19	6	12	19	10
3	38	3	19	6	3.5	19	10
3	39	7	19	6	7	19	10
3	40	80	6	6	80	6	10
3	41	-77	16	18	-77	16	18
3	42	-77	16	18	-77	16	18
3	43	-77	16	18	-77	16	18
3	44	-88	88	18	-88	88	18
3	45	200	1	11	200	1	12
3	46	22	1	11	22	1	12
3	47	14	17	11	14	17	12
3	48	55	19	6	56	19	10
3	49	-88	88	18	-88	88	18
3	50	16	1	11	15	2	12
3	51	5	19	6	5	19	10
3	52	32.5	19	6	32.5	19	10
3	53	15	19	6	15	19	10
3	54	37.5	19	6	37.5	19	10
3	55	-88	88	18	-88	88	18
3	56	1.25	1	11	1.25	1	12
3	57	-77	16	18	-77	16	18
3	58	4	19	6	3	19	10
3	59	5	19	6	5	19	10
3	60	6	19	6	6	19	10
3	61	8	19	6	8	19	10
3	62	6	19	6	6	19	10
3	63	11	19	6	11	19	10
3	64	-77	16	18	-77	16	18
3	65	8	19	6	8	19	10
3	66	11	19	6	11	19	10
3	67	-88	88	18	-88	88	18
3	68	12	1	11	12	1	12
3	69	11	1	11	11	1	12
3	70	-88	88	18	-88	88	18
3	71	50	19	6	50	19	10
4	0	25	15	4	20	3	2
4	1	8	1	5	7	19	1
4	2	150	19	1	120	19	6
4	3	40	19	4	35	3	2
4	4	150	19	1	-88	16	2
4	5	18	19	4	20	1	1
4	6	40	19	3	-88	16	5
4	7	7	9	2	5	10	1
4	8	2	9	5	-77	88	5
4	9	28	10	1	-77	88	3
4	10	4	9	2	-77	88	3
4	11	13	1	3	12	19	1
4	12	12	1	4	-77	19	4
4	13	15	1	4	-77	88	3
4	14	15.5	2	1	-77	88	4
4	15	12.6000003814697	2	1	-77	88	5
4	16	12	19	3	-77	19	3
4	17	9	19	4	-77	88	3
4	18	5	19	5	-77	88	5
4	19	7	19	6	-77	88	6
4	20	5	19	4	-77	88	4
4	21	-77	16	4	-77	16	4
4	22	7.40000009536743	19	1	-77	88	1
4	23	-77	16	5	-77	16	5
4	24	24	1	2	22	19	2
4	25	6	19	3	-77	19	3
4	26	9	19	1	-77	88	1
4	27	8	19	5	-77	88	5
4	28	-77	16	3	-77	16	3
4	29	-88	88	5	-88	88	5
4	30	12	17	3	-77	88	3
4	31	-77	16	4	-77	16	4
4	32	100	19	5	-77	88	5
4	33	2	19	2	-77	88	2
4	34	-77	16	4	-77	16	4
4	35	-77	16	6	-77	16	6
4	36	-77	16	4	-77	16	4
4	37	-77	16	5	-77	16	5
4	38	6	19	2	-77	88	2
4	39	8	19	5	-77	88	5
4	40	130	6	1	-77	88	1
4	41	150	6	2	-77	88	2
4	42	-77	16	5	-77	16	5
4	43	120	6	4	-77	88	4
4	44	-88	88	5	-88	88	5
4	45	120	19	4	-77	88	4
4	46	50	19	6	-77	88	6
4	47	5	17	5	-77	88	5
4	48	55	19	2	60	1	2
4	49	-88	88	6	-88	88	6
4	50	22	1	2	15	2	2
4	51	6	1	5	-77	88	5
4	52	25	19	2	-77	88	2
4	53	15	19	2	-77	88	2
4	54	32	19	5	-77	88	5
4	55	-88	88	4	-88	88	4
4	56	2	19	1	-77	88	1
4	57	-77	16	4	-77	16	4
4	58	10	19	5	-77	88	5
4	59	6	19	2	-77	88	3
4	60	7	19	5	-77	88	3
4	61	20	19	6	-77	88	1
4	62	5	19	4	-77	88	4
4	63	15	19	2	14	3	5
4	64	-77	77	6	-88	88	6
4	65	10	19	1	9	1	5
4	66	8	19	4	10	1	5
4	67	-77	88	4	-88	88	4
4	68	15	19	4	-77	88	4
4	69	-77	16	3	-77	16	3
4	70	-88	88	6	-88	88	6
4	71	70	19	3	-77	19	3
5	0	-77	16	4	-77	16	4
5	1	8	19	1	8	1	2
5	2	130	19	1	-88	16	1
5	3	80	19	4	-88	16	4
5	4	120	19	2	-88	16	2
5	5	30	19	4	35	1	4
5	6	80	19	3	-88	16	3
5	7	3	10	1	5	9	1
5	8	2	10	4	4	9	4
5	9	20	10	6	25	9	6
5	10	3	10	2	5	9	2
5	11	12	1	5	-88	16	5
5	12	12	1	2	-88	16	2
5	13	30	1	1	25	19	1
5	14	14	2	3	-88	16	3
5	15	12	2	2	-88	16	2
5	16	12	19	4	-88	16	4
