PLACEID	RSID	AGERES	SEXRES	CAPAC	LIVRES
14	3	28	1	8	4
14	4	24	2	2	24
14	5	28	1	2	28
14	6	35	2	3	6
14	7	40	2	8	20
14	8	71	1	7	50
14	9	45	1	8	42
14	10	48	2	6	30
14	11	27	1	2	3
15	1	28	1	8	1
15	2	30	2	3	3
15	3	29	1	2	14
15	4	38	2	1	23
15	5	37	1	1	6
15	6	42	2	8	28
15	7	26	1	8	10
15	8	53	1	11	53
15	9	41	1	1	22
15	10	36	2	4	14
15	11	24	1	8	2
15	12	29	2	8	29
15	13	28	2	8	3
15	14	33	1	8	11
15	15	48	1	8	26
15	16	27	2	8	27
15	17	32	1	8	5
15	18	40	2	2	13
15	19	36	1	4	7
15	20	24	2	8	1
15	21	27	1	8	13
16	1	32	1	8	2
16	2	34	1	8	1
16	3	24	2	8	1
16	4	25	1	8	4
16	5	30	1	1	7
16	6	29	2	2	3
16	7	32	1	8	11
16	8	26	1	8	26
16	9	34	2	8	9
16	10	23	2	8	16
16	11	32	1	8	4
16	12	38	2	8	22
16	13	55	1	11	42
17	1	31	1	2	3
17	2	29	1	2	5
17	3	29	1	2	1
17	4	43	2	2	4
17	5	48	2	2	4
17	6	35	1	1	15
17	7	38	2	8	16
17	8	23	1	8	2
17	9	51	1	5	23
17	10	27	2	8	3
17	11	34	1	8	12
17	12	29	2	8	3
17	13	21	1	8	21
17	14	26	1	8	9
17	15	31	2	4	4
17	16	62	2	11	35
17	17	25	2	8	2
17	18	32	1	8	16
17	19	33	1	8	21
17	20	27	2	8	27
17	21	33	1	8	7
18	1	29	1	1	26
18	2	51	1	2	48
18	3	24	2	3	21
18	4	48	2	7	46
18	5	49	2	8	15
18	6	45	1	1	20
19	1	30	1	8	7
19	2	37	2	8	25
19	3	30	2	8	15
19	4	35	2	8	12
19	5	35	2	8	35
19	6	52	1	8	52
19	7	50	1	8	35
19	8	23	1	8	23
19	9	38	1	8	0
19	10	33	1	2	6
19	11	40	1	2	20
19	12	35	1	2	2
19	13	28	1	1	3
19	14	25	2	6	4
19	15	29	2	2	3
19	16	45	1	2	25
19	17	55	1	1	35
19	18	33	1	1	16
19	19	49	1	8	27
19	20	32	1	8	10
19	21	40	1	8	0
19	22	34	2	8	0
19	23	36	2	8	0
19	24	36	2	8	4
19	26	24	2	3	23
19	27	42	2	8	25
19	28	40	1	2	12
19	29	35	1	2	35
19	30	52	1	2	42
19	31	30	2	3	12
19	32	25	1	8	1
19	33	33	1	8	0
19	34	28	1	8	2
19	35	30	1	8	1
19	36	33	1	8	2
19	37	29	1	8	1
19	38	35	1	4	4
19	39	45	2	8	27
19	40	28	2	8	0
19	41	32	1	2	1
19	42	35	2	8	0
19	43	40	1	8	0
19	44	30	2	8	0
19	45	60	1	8	15
19	46	40	1	8	0
19	47	60	1	8	50
19	48	38	2	8	25
19	49	-77	 	88	88
20	1	29	1	7	10
20	2	27	2	3	11
20	3	26	2	6	26
20	4	30	1	1	30
20	5	33	1	8	33
20	6	40	1	8	10
20	7	35	1	8	35
20	8	28	2	8	28
20	9	30	1	8	30
20	10	27	1	8	27
20	11	22	1	8	22
20	12	36	2	8	36
21	1	40	1	1	24
21	2	28	1	1	28
21	3	71	1	11	69
21	4	27	2	3	27
21	5	50	1	4	8
21	6	30	2	8	30
21	7	28	1	8	8
21	8	24	2	8	6
21	9	28	1	8	2
21	10	34	1	8	18
21	11	26	1	8	26
21	12	30	1	8	8
21	13	26	2	8	26
21	14	23	1	77	8
22	1	28	1	2	3
22	2	36	1	1	15
22	3	29	2	3	6
22	4	40	1	4	15
22	5	69	1	7	69
22	6	38	1	8	11
22	7	42	2	8	42
22	8	25	1	8	25
22	9	32	2	8	32
22	10	25	2	8	2
22	11	28	1	8	4
22	12	26	2	8	1
22	13	42	1	77	26
22	14	26	2	77	3
22	15	32	1	77	4
23	1	39	1	1	26
23	2	49	1	7	39
23	3	49	1	1	40
23	4	55	1	4	5
23	5	28	2	3	3
23	6	41	1	2	41
23	7	24	1	8	3
23	8	34	2	8	6
23	9	32	2	8	2
23	10	42	1	8	23
23	11	22	1	8	7
23	12	36	1	8	16
23	13	25	2	8	1
24	1	30	1	7	19
24	2	63	2	1	55
24	3	37	2	8	37
24	4	38	1	8	25
