PLACEID	SPIDR4	SUPKIND	WHOSUP	WHATSUP	YEARSUP	WHENSUP	FEQSUP
12	4	19	15	31	1987	-7777	5
12	5	24	15	31	-77	-7777	5
12	6	31	15	31	2002	-7777	4
13	1	28	15	31	1996	9999	5
13	2	28	15	11	1996	9999	11
13	3	9	6	25	2000	9999	13
13	4	27	6	25	2000	9999	13
13	5	13	15	31	2004	9999	13
13	6	12	33	25	1990	9999	13
13	7	30	15	27	2005	9999	77
13	8	23	15	31	2005	9999	13
14	1	2	42	0	1998	9999	11
14	2	12	15	0	2000	9999	5
14	3	5	13	0	2000	9999	11
14	4	7	55	0	2000	9999	11
14	5	8	55	0	2000	9999	13
14	6	9	55	0	2000	9999	13
14	7	11	6	0	2000	9999	13
14	8	20	22	0	2000	9999	11
14	9	28	52	0	2000	9999	4
14	10	29	15	0	2000	9999	11
15	1	5	13	0	1998	9999	11
15	2	24	15	0	2005	9999	11
15	3	12	15	0	2005	9999	4
15	4	12	15	0	2003	9999	4
15	5	12	15	0	2004	9999	4
15	6	19	15	0	2004	9999	13
15	7	12	15	0	2002	9999	4
15	8	19	15	0	2002	9999	13
15	9	29	15	0	2003	9999	11
15	10	12	15	0	2004	9999	4
15	11	12	15	0	2003	9999	4
15	12	12	15	0	2005	9999	4
15	13	30	15	0	2002	2003	7
15	14	2	42	0	2000	9999	13
15	15	31	15	0	2002	9999	4
15	16	15	15	0	2002	2003	7
15	17	16	15	0	2002	9999	4
15	18	21	15	0	2001	2002	7
15	19	24	15	0	2000	9999	13
16	1	20	15	0	2001	9999	11
16	2	12	15	0	2001	9999	4
16	3	24	15	0	2001	9999	7
16	4	5	15	0	2001	9999	11
16	5	30	52	0	2001	9999	4
16	6	15	52	0	2001	9999	4
16	7	28	52	0	2001	9999	4
16	8	19	15	0	2001	9999	13
16	9	12	15	0	2001	9999	4
16	10	20	15	0	2001	9999	11
16	11	12	15	0	2001	9999	11
17	1	29	15	0	2006	9999	11
17	2	28	15	0	2005	9999	4
17	3	5	15	0	2005	9999	11
17	4	12	15	0	2005	9999	4
17	5	5	15	0	2004	9999	11
17	6	5	15	0	-7777	9999	11
17	7	28	15	0	-7777	9999	11
17	8	5	15	0	-7777	9999	11
17	9	19	15	0	2006	9999	13
17	10	20	15	0	2003	9999	11
17	11	8	15	0	2000	9999	13
17	12	31	15	0	2003	9999	5
17	13	5	15	0	2005	9999	11
17	14	29	15	0	-7777	9999	11
17	15	12	15	0	2006	9999	4
17	16	2	15	0	2006	9999	8
17	17	20	15	0	2004	9999	11
17	18	12	15	0	2004	9999	4
17	19	6	15	0	1998	9999	4
17	20	9	6	0	2002	9999	13
17	21	16	15	0	2005	2005	7
17	22	17	15	0	1996	9999	4
17	23	30	15	0	2001	9999	4
17	24	18	15	0	2000	9999	4
18	1	2	15	31	2001	9999	5
18	2	5	13	31	1989	9999	7
18	3	6	15	31	1998	9999	77
18	4	9	54	28	1992	9999	13
18	5	24	15	31	2003	2005	5
18	6	9	6	31	2002	9999	13
18	7	24	15	31	1996	9999	4
19	1	6	15	31	2004	9999	7
19	2	29	15	31	1990	9999	7
19	3	19	15	31	2000	9999	7
19	4	5	15	31	2005	9999	7
19	5	5	15	31	2003	9999	7
19	6	5	15	31	2005	9999	7
19	7	5	15	31	1998	9999	7
19	8	15	15	31	1995	9999	7
19	9	24	15	31	1972	9999	7
19	10	24	15	31	2005	9999	11
19	11	1	5	31	1990	9999	8
19	12	7	6	31	1990	9999	11
19	13	8	6	31	1990	9999	13
19	14	9	6	31	2003	9999	13
19	15	11	6	31	-7777	9999	13
19	17	17	5	31	2000	9999	3
19	18	28	13	31	2004	9999	7
19	19	24	42	31	-7777	9999	13
19	20	24	59	31	1952	9999	11
19	21	24	58	31	-7777	9999	11
19	22	31	40	31	2003	9999	7
19	23	24	15	31	1997	2000	4
19	24	24	15	31	1975	2004	4
19	25	24	15	31	2000	9999	5
19	26	5	15	31	1996	9999	7
19	27	24	15	31	2003	9999	13
20	1	1	5	2	1995	9999	13
20	2	5	13	0	1995	9999	11
20	3	9	6	26	1999	9999	12
20	4	3	5	2	1997	9999	10
20	5	2	42	29	1997	9999	12
20	6	12	15	28	1990	9999	11
21	1	5	15	31	1999	9999	7
21	2	9	6	31	2003	9999	11
21	3	7	6	31	2003	9999	13
21	4	11	6	25	-777	9999	7
21	5	12	15	31	2005	9999	7
21	6	6	15	31	-777	9999	13
21	7	29	15	31	2000	9999	3
21	8	28	15	31	2000	9999	13
21	9	6	15	31	-7777	9999	5
21	10	17	15	31	2003	9999	13
21	11	7	6	25	2003	9999	13
21	12	17	15	31	2003	9999	13
21	13	8	6	31	2003	9999	13
22	1	28	15	26	2003	999	9
22	2	13	15	29	2005	9999	7
22	3	5	15	31	2003	9999	4
22	4	9	7	31	2002	9999	13
22	5	8	6	31	2002	9999	13
22	6	11	6	31	2000	9999	13
22	7	27	59	24	2000	9999	7
23	1	9	6	30	2003	9999	13
23	2	2	6	31	2003	9999	13
23	3	5	40	31	2003	9999	3
23	4	6	15	31	2005	9999	5
23	5	7	6	31	2003	9999	11
23	6	8	15	27	2003	-7777	11
23	7	11	6	27	2003	9999	13
23	8	12	15	21	-7777	9999	5
23	9	30	6	31	-7777	9999	12
23	10	29	15	30	2000	9999	4
24	1	6	23	0	1999	9999	5
24	2	24	23	28	1999	9999	5
24	3	31	8	31	2003	9999	7
24	4	3	39	10	1997	9999	5
24	5	4	39	10	1997	9999	5
24	6	14	39	0	1997	9999	5
24	7	5	1	0	1995	9999	4
24	8	5	13	0	1992	9999	4
