comnro	marid	market	posell	mardis	martme
42	1	1	1	0	88
42	1	1	1	0	88
42	1	1	1	0	88
42	1	1	2	0	88
42	1	1	1	0	88
42	8	2	8	10	20
42	1	1	1	0	88
42	1	1	1	0	88
43	1	1	1	0	5
43	1	1	1	0	5
43	2	1	1	2	10
43	1	1	1	0	5
43	1	1	1	0	5
43	8	2	8	5	20
43	1	1	1	0	2
43	8	8	8	88	88
48	8	8	8	88	88
49	2	1	1	0	5
49	2	1	1	0	5
49	2	1	1	0	5
49	2	1	1	0	5
49	8	2	8	88	88
49	8	2	8	88	88
49	1	1	1	0	5
49	8	2	8	88	88
50	8	2	8	88	88
50	8	2	8	88	88
50	8	2	8	88	88
50	8	2	8	88	88
50	8	2	8	88	88
50	8	2	8	88	88
50	1	1	1	0	1
50	2	1	1	0	2
51	8	8	8	88	88
51	8	8	8	88	88
51	8	8	8	88	88
51	8	8	8	88	88
51	8	8	8	88	88
51	8	8	8	88	88
51	8	8	8	88	88
51	8	8	8	88	88
52	2	1	1	88	88
52	2	1	1	88	88
52	2	1	1	88	88
52	2	1	1	88	88
52	2	1	1	88	88
52	8	2	1	88	88
52	1	1	1	88	88
52	8	2	8	88	88
53	2	2	2	88	88
53	2	2	2	88	88
53	2	2	1	88	88
53	2	2	2	88	88
53	2	2	2	88	88
53	2	2	2	88	88
53	1	1	1	0	5
53	2	2	2	88	88
75	8	2	8	8	60
75	8	2	8	8	60
75	8	2	8	8	60
75	8	2	8	8	60
75	8	2	8	8	60
75	8	2	8	14	180
75	1	1	1	88	88
75	8	2	8	88	88
76	8	2	8	5	30
76	8	2	8	5	30
76	8	2	8	5	30
76	8	2	8	5	30
76	8	2	8	5	30
76	8	2	8	14	80
76	1	1	1	8	20
76	8	2	8	88	120
77	8	2	8	13	75
77	8	2	8	13	75
77	8	2	8	13	75
77	8	2	8	13	75
77	8	2	8	13	75
77	8	2	8	13	75
77	1	1	1	0	5
77	8	2	8	88	88
78	8	2	8	40	180
78	8	2	8	40	180
78	8	2	8	40	180
78	8	2	8	40	180
78	8	2	8	40	180
78	8	2	8	11	174
78	8	2	8	8	90
78	8	2	8	88	88
79	8	2	8	30	240
79	8	2	8	30	240
79	8	2	8	30	240
79	8	2	8	30	240
79	8	2	8	30	240
79	8	2	8	18	164
79	1	1	1	0	5
79	8	2	8	88	88
80	8	2	8	20	120
80	8	2	8	20	120
80	8	2	8	20	120
80	8	2	8	20	120
80	8	2	8	20	120
80	8	2	8	13	164
80	1	1	1	0	5
80	8	2	8	88	88
81	8	2	8	10	120
81	8	2	8	10	120
81	8	2	8	40	74
81	8	2	8	40	74
81	8	2	8	40	74
81	8	2	8	11	88
81	1	1	1	0	5
81	8	8	8	88	88
82	8	2	8	8	25
82	8	2	8	8	25
82	8	2	8	8	25
82	8	2	8	8	25
82	8	2	8	8	25
82	8	2	8	30	60
82	1	1	1	0	5
82	8	2	8	88	88
