commid	comnro	clustid	dint	dfint	area	pop	popchg	city	szcit	twndis	subzone	waste	airpol	watpol	contsoil	specpol	shanty	semi	perm	story	bigmult	smalmult	planoc	pland1	pland2	pland3	pland4	pland5	pland6	pland7	pland8	pland9	pland10	pland11	twndem	provdem	vivspec	mat1	mat2	mat3	mat4	mat5	mat6	mat7	legal	conclive	concvist	thfcrm	violcrm	yuthcrm	proscrm	comcrm	speccrm	plang1	plang2	plang3	plang4	plang5	prel1	prel2	prel3	prel4	prel5	prel6	prel7	prel8	prel9	prel10	conelec	concase	concorr	concadm	otrcrm	ptoil1	toilapro	ptoil2	ptoil3	ptoil4	ptoil5	ptoil6	pwater1	wathora	watdias	wataprox	pwater2	pwater3	pwater4	pwater5	pgarb1	garprom	pgarb2	pgarb3	pgarb4	pgarb5	pgarb6	pgarb7	pshop3	pshop5	pshop4	pshop1	pshop6	buy1	buy2	buy3	buy4	buy5	buy6	proad1	proad2	proad3	proad4	proad6	proad7	frqpass	ppubtran1	ppubtran2	ppubtran3	ppubtran4	ppubtran5	ppubtran6	ppubtran7	ppubtran8	ppubtran9	ppubtran11	ppubtran12	ppubtran13	ppubtran14	ppubtran10	pcomgrp1	pcomgrp2	pcomgrp3	pcomgrp4	pcomgrp5	pcomgrp6	pcomgrp7	pcomgrp8	pcomgrp10	pcomgrp11	pcomgrp12	pcomgrp9	pincome1	pincome2	pincome3	pincome4	pincome5	pincome6	pincome7	pincome8	pincome9	pincome10	pincome11	pincome12	pincome13	pincome14	pincome15	pincome16	pincome17	pincome18	pincome19	pincome20	pincome21	pinc1	pinc2	pinc3	own10	own5	paqu1	paqu2	paqu3	paqu4	paqu5	paqu6	paqu7	pfrmhlp1	pfrmhlp3	pfrmhlp4	pfrmhlp5	pfrmhlp6	pfrmhlp7	pfrmhlp8	helcost	midwife	batten	tradhe	villhel	menthel	sochel	adultlit	medhel	mesphel	aneshel	bsanhel
PE03C06	11	03	10/19/2002	10/19/2002	10000000	9999	9	1	9999	10	4	3	3	2	3	3	2	1	2	2	2	2	2	8	8	1	8	8	8	8	1	8	8	1	30	180	2	2	2	1	2	2	2	2	1	8	8	1	2	2	2	2	2	1	8	8	8	8	1	6	6	6	6	6	6	6	6	2	2	2	1	2	2	1	30	1	1	1	2	2	1	12	7	90	2	2	2	2	2	88	1	2	1	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	1	2	2	2	12	2	2	1	2	2	2	2	2	2	1	2	1	2	2	1	2	2	1	2	2	2	1	2	1	2	2	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	3	1	1	2	1	1	2	1	2	2	2	2	2	2	1	1	2	5	1	1	1	1	1	2	2	1	2	2	2
PE03C07	12	03	10/26/2002	10/26/2002	1	500	1	1	9999	2	4	3	3	2	3	1	2	1	2	2	2	2	2	8	8	1	8	8	8	8	1	8	8	8	120	240	2	2	2	1	2	2	2	2	1	8	8	2	2	2	2	2	2	1	8	8	8	8	1	6	6	6	2	6	6	6	6	6	2	2	2	2	2	2	88	1	2	1	2	1	1	0	7	60	2	2	1	2	2	88	2	1	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	1	2	1	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	8	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	5	1	1	2	1	2	2	2	1	2	2	2
PE03C08	13	03	10/20/2002	10/20/2002	960000	1800	1	1	9999	0	4	3	3	3	3	2	2	1	2	2	2	2	2	8	8	1	8	8	8	8	1	8	8	1	0	180	2	2	2	1	2	2	1	1	1	1	1	2	2	2	2	2	2	1	8	8	8	8	1	6	6	6	2	3	6	6	6	6	1	2	1	2	2	1	30	1	1	2	2	2	1	8	7	100	2	2	2	2	1	2	2	1	1	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	1	1	2	2	2	12	2	1	1	2	2	2	1	2	2	2	1	1	2	2	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	2	1	2	3	2	2	1	2	1	2	1	2	2	2	1	2	2	1	1	2	9999	1	1	1	1	1	2	2	1	2	1	2
PE04C01	14	04	11/1/2002	11/2/2002	20000	450	3	1	9999	88	7	3	3	3	3	3	2	1	2	2	2	2	2	8	1	1	1	8	8	8	1	1	8	8	88	180	2	2	1	2	1	1	2	2	1	1	1	1	2	2	2	2	1	1	8	8	8	8	1	6	6	6	1	6	6	6	6	6	1	2	2	2	2	1	80	1	2	2	2	2	1	24	7	100	1	2	2	2	2	88	1	2	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	12	2	2	1	2	2	2	2	2	2	1	2	2	2	1	1	2	2	1	2	1	2	1	2	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	8	1	1	1	2	1	2	1	2	2	2	2	2	2	2	1	2	1	1	2	2	1	2	2	2	2	2	2	2
PE04C02	15	04	11/4/2002	11/4/2002	3000	240	2	1	9999	99	7	3	3	1	3	3	1	1	2	2	2	2	2	8	1	1	1	8	8	8	8	1	8	1	180	180	2	2	1	2	1	1	2	2	1	2	2	1	1	2	1	1	1	1	8	8	8	8	1	6	6	6	2	6	6	3	6	4	2	2	2	2	2	1	50	1	2	1	2	2	1	24	7	100	2	2	2	2	2	88	1	2	1	1	2	1	1	1	1	2	2	1	1	1	2	2	2	2	2	1	2	2	2	12	1	2	1	2	1	2	2	2	2	1	1	1	2	2	1	2	2	2	1	2	2	2	2	2	2	2	1	1	1	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	3	2	2	2	1	2	2	1	2	2	2	2	2	2	1	1	2	3	1	1	2	1	2	2	2	1	2	2	2
PE04C03	16	04	11/12/2002	11/12/2002	54000	2000	1	1	9999	15	3	3	2	3	3	3	1	1	2	2	2	2	2	8	1	1	8	8	8	8	8	1	8	8	120	180	2	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	1	1	2	8	8	8	1	6	6	6	2	6	6	6	6	6	1	2	2	2	2	1	100	2	2	2	2	2	1	24	7	100	2	2	2	2	2	88	1	2	2	2	2	1	1	2	1	2	2	1	2	1	2	2	2	2	2	1	2	2	1	12	1	2	1	2	2	2	2	2	2	1	1	1	2	2	1	1	2	1	1	1	2	1	2	1	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	8	2	2	1	1	2	2	1	2	2	2	2	2	2	2	2	2	5	1	1	1	1	2	2	2	1	2	2	2
PE04C04	17	04	11/8/2002	11/8/2002	10000000	9999	1	1	9999	99	7	3	3	3	3	3	1	1	2	2	2	2	2	8	1	1	8	8	8	8	8	1	8	8	120	90	2	1	1	1	1	2	2	2	1	9	9	1	1	2	2	2	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	1	2	2	88	1	2	1	2	2	1	24	7	100	2	2	2	2	2	88	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	12	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	8	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	9999	2	2	2	2	2	2	2	2	2	2	2
PE04C05	18	04	11/7/2002	11/7/2002	1000	120	1	1	9999	99	5	3	3	3	3	3	2	1	2	2	2	2	2	8	1	1	8	8	8	8	8	8	8	8	60	240	2	2	2	1	1	1	2	2	1	9	9	1	2	2	2	2	1	1	8	8	8	8	1	6	6	6	2	6	6	6	6	6	2	2	2	2	2	2	888	1	2	1	2	2	1	24	7	35	2	2	2	2	2	88	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	8	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	9999	2	1	2	2	2	2	2	2	2	2	2
PE04C06	19	04	11/1/2002	11/1/2002	10000000	9999	2	1	9999	2	5	3	3	3	3	3	1	1	2	2	2	2	2	8	1	1	8	8	8	8	1	1	8	8	30	180	2	1	1	2	1	1	2	2	8	8	8	8	8	8	8	8	8	1	8	8	8	8	1	6	6	6	2	6	6	6	6	6	8	8	8	8	8	2	888	1	2	1	2	2	1	24	7	80	2	2	2	2	2	88	2	2	2	1	2	2	1	2	2	2	1	2	2	2	2	2	1	2	2	1	2	2	2	12	2	2	2	2	1	2	2	2	2	2	1	1	2	1	1	2	1	1	1	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	88	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2
PE04C07	20	04	11/7/2002	11/7/2002	10000000	9999	3	1	9999	99	4	3	3	3	3	3	1	2	2	2	2	2	2	8	8	1	8	8	8	8	8	8	8	1	60	 	2	1	1	2	2	1	2	2	1	2	1	2	2	1	2	2	2	1	8	8	8	8	2	6	6	6	1	6	6	6	6	6	1	2	2	1	2	1	50	1	2	1	2	2	1	24	7	50	2	1	1	2	2	0	2	2	2	1	1	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	12	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	2	2	2	2	2	1	2	1	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	88	1	1	2	2	1	1	1	1	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2
PE04C08	21	04	11/10/2002	11/10/2002	10000000	500	1	1	9999	99	5	3	3	3	3	3	2	1	2	2	2	2	2	8	1	1	8	8	8	8	1	1	8	8	120	180	2	2	1	1	1	1	2	2	1	9	9	2	2	2	2	2	1	1	8	8	8	8	1	6	6	6	2	6	6	6	6	6	2	2	1	2	2	1	50	1	2	2	2	2	1	24	7	100	2	2	2	2	2	88	1	2	2	2	2	1	2	1	1	2	2	2	1	1	2	2	2	2	2	1	2	2	2	12	2	2	1	2	2	2	2	2	2	1	1	1	2	1	1	2	2	2	1	2	2	1	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	8	8	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	3	2	1	2	1	2	2	2	1	2	2	2
PE04C09	22	04	11/8/2002	11/8/2002	10000000	80	3	1	9999	3	4	3	3	3	3	3	1	2	2	2	2	2	2	8	8	1	8	8	8	8	8	8	8	1	90	120	2	1	1	2	1	2	2	2	2	1	1	2	2	2	2	2	1	1	8	8	8	8	1	6	6	6	2	6	6	6	6	6	1	2	2	2	2	2	888	1	2	1	2	1	1	24	6	100	2	2	2	2	2	88	2	2	2	1	1	2	1	1	1	2	2	2	1	1	2	2	2	2	2	1	2	2	2	7	2	2	2	2	2	2	2	2	2	2	2	1	2	2	9	2	1	2	2	1	2	1	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	88	1	1	2	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	1	2	1	2	2	2	1	2	2	2
PE05C01	23	05	12/7/2002	12/7/2002	10000000	500	1	1	5000	17	1	3	3	3	3	1	2	1	2	2	2	2	2	8	8	1	1	8	8	8	1	8	8	8	15	80	2	2	1	2	2	2	2	2	1	1	1	2	2	2	2	2	2	1	8	8	8	8	1	6	6	6	6	6	2	6	6	3	1	2	2	2	2	2	888	1	2	1	2	2	1	4	7	70	2	2	2	2	2	88	1	2	1	2	1	1	1	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	12	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	1	2	1	2	2	2	2	1	1	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	3	1	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	3000	1	1	1	1	2	2	2	2	2	2	2
PE05C02	24	05	12/6/2002	12/6/2002	10000000	500	1	1	9999	3	1	2	2	1	2	3	1	1	2	2	2	2	2	8	1	1	8	8	8	8	8	8	8	8	50	99	2	2	1	2	1	2	1	2	1	9	9	1	2	2	2	2	2	1	8	8	8	8	1	6	6	6	6	6	2	6	6	3	2	2	2	2	2	2	888	1	2	2	2	2	1	24	7	100	2	2	1	2	2	88	2	2	2	2	2	1	1	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	12	2	1	1	2	1	2	2	2	2	1	1	2	2	2	1	2	2	1	2	1	2	1	2	2	2	2	1	1	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	8	8	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	9999	2	1	1	2	2	2	2	2	2	2	2
PE05C03	25	05	12/4/2002	12/4/2002	45000	400	1	1	9999	7	1	3	3	3	3	3	1	2	2	2	2	2	2	8	8	1	8	8	8	8	8	8	8	1	10	80	2	2	1	2	2	2	2	2	1	1	1	2	2	2	2	2	2	1	8	8	8	8	1	6	6	6	2	6	3	4	6	6	1	2	2	2	2	1	15	1	1	2	2	2	1	24	7	100	2	2	2	2	2	88	2	2	2	2	2	1	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	12	2	2	1	2	1	2	2	2	2	2	1	2	2	2	2	2	1	1	1	1	2	1	1	1	2	2	1	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	3	1	2	2	2	2	2	1	2	2	2	2	2	2	1	1	2	3	1	1	2	1	2	2	2	1	2	2	2
PE05C04	26	05	12/6/2002	12/6/2002	10000000	700	1	1	9999	4	1	3	3	3	3	3	1	1	2	2	2	2	2	8	1	1	8	8	8	8	1	1	8	8	5	90	2	2	1	2	1	2	1	1	1	1	8	1	1	1	2	2	1	1	8	8	8	8	1	6	6	6	6	6	6	2	6	3	1	2	2	2	1	2	88	1	2	2	2	2	1	24	7	80	2	2	1	2	2	88	1	1	2	2	2	1	1	2	1	2	2	2	2	1	2	2	2	1	1	2	2	2	2	12	2	2	1	2	1	2	2	2	2	2	1	2	2	2	1	2	2	1	1	1	2	1	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	3	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2
PE05C05	27	05	11/30/2002	11/30/2002	10000000	9999	1	1	9999	2	1	3	3	2	2	3	1	2	2	2	2	2	2	8	8	1	8	8	8	8	8	8	8	8	2	30	2	2	1	2	1	2	2	2	2	2	1	1	2	2	2	2	1	1	8	8	8	8	1	6	6	6	6	2	3	4	6	6	2	1	1	2	1	2	88	2	2	2	1	2	2	88	8	88	2	1	2	1	2	88	1	2	1	1	2	2	1	2	1	2	2	2	1	1	2	1	2	1	1	2	2	2	2	12	2	2	1	2	1	2	1	2	2	1	1	1	2	2	1	2	2	1	1	1	2	1	2	2	2	2	1	2	2	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	3	2	2	2	1	1	1	1	2	2	2	2	2	2	1	2	2	5	2	2	1	1	2	2	1	2	2	2	2
PE05C06	28	05	11/24/2002	11/24/2002	10000000	200	1	1	9999	99	1	3	3	1	3	3	1	2	2	2	2	2	2	8	1	1	8	8	8	8	8	8	8	8	60	240	2	2	1	2	1	2	2	2	1	8	1	2	2	2	2	2	2	1	8	8	8	8	2	6	6	6	6	6	1	6	6	6	2	2	2	2	2	2	88	1	2	1	2	2	2	88	8	88	2	2	1	2	2	88	1	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	1	2	2	2	12	1	2	1	2	1	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	8	8	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	9999	2	2	2	2	2	2	2	2	2	2	2
PE05C07	29	05	11/26/2002	11/26/2002	10000000	400	1	1	9999	99	1	3	2	1	2	3	1	1	2	2	2	2	1	8	1	1	8	8	8	8	8	1	8	8	60	40	2	2	1	2	1	2	2	2	1	9	9	1	2	2	2	2	1	1	8	8	8	8	2	6	6	6	6	6	1	6	6	3	2	2	2	2	2	2	88	1	2	1	2	2	2	88	8	88	1	2	1	2	2	88	1	2	2	2	2	1	2	1	1	2	2	2	1	1	2	2	2	2	2	1	2	2	2	12	1	2	1	2	1	1	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	8	8	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	9999	2	1	2	1	2	2	2	2	2	2	2
