comnro	services	seraval	serchng	serdis	sertme
42	10	2	8	99	99
42	11	1	3	88	88
42	12	2	8	15	20
42	13	2	8	1	8
42	14	2	8	5	8
42	15	2	8	88	88
42	16	2	8	88	88
43	1	1	1	88	88
43	2	2	8	3	20
43	3	1	1	88	88
43	4	1	1	88	88
43	5	1	1	88	88
43	6	1	1	88	88
43	7	1	1	88	88
43	8	1	1	88	88
43	9	1	1	88	88
43	10	1	1	88	88
43	11	1	1	88	88
43	12	2	8	3	20
43	13	2	8	3	20
43	14	1	8	88	88
43	15	8	8	88	88
43	16	8	8	88	88
44	1	2	8	0	15
44	2	2	8	88	88
44	3	2	8	88	88
44	4	1	3	0	5
44	5	2	8	88	88
44	6	1	1	0	2
44	7	1	1	0	5
44	8	1	1	0	5
44	9	1	3	0	8
44	10	2	8	88	88
44	11	1	2	0	5
44	12	2	8	88	88
44	13	1	3	1	10
44	14	2	8	88	88
44	15	8	8	88	88
44	16	8	8	88	88
45	1	2	8	3	20
45	2	2	8	8	30
45	3	2	8	8	30
45	4	1	3	88	88
45	5	2	8	22	150
45	6	1	3	88	88
45	7	1	3	88	88
45	8	1	3	88	88
45	9	1	3	88	88
45	10	1	3	88	88
45	11	1	3	88	88
45	12	2	8	22	150
45	13	2	8	22	150
45	14	2	8	22	150
45	15	2	8	88	88
45	16	2	8	88	88
46	1	2	8	15	80
46	2	2	8	30	180
46	3	2	8	20	100
46	4	1	3	88	88
46	5	2	8	15	80
46	6	1	3	88	88
46	7	2	8	15	80
46	8	2	8	15	80
46	9	1	3	88	88
46	10	1	3	88	88
46	11	1	1	88	88
46	12	2	8	30	180
46	13	2	8	30	180
46	14	2	8	30	180
46	15	2	8	88	88
46	16	2	8	88	88
47	1	2	8	8	30
47	2	2	8	99	99
47	3	2	8	99	99
47	4	2	8	8	30
47	5	2	8	8	30
47	6	1	3	88	88
47	7	2	8	8	30
47	8	2	8	8	30
47	9	2	8	4	15
47	10	1	3	88	88
47	11	1	3	88	88
47	12	2	8	99	99
47	13	2	8	99	99
47	14	2	8	99	99
47	15	2	8	88	88
47	16	2	8	88	88
48	1	2	8	19	45
48	2	2	8	88	88
48	3	2	8	88	88
48	4	1	2	88	88
48	5	2	8	88	88
48	6	1	3	5	5
48	7	1	3	0	5
48	8	2	8	88	88
48	9	2	8	88	88
48	10	2	8	88	88
48	11	2	8	88	88
48	12	2	8	88	88
48	13	2	8	88	88
48	14	2	8	88	88
48	15	2	8	88	88
48	16	2	8	88	88
49	1	1	1	0	1
49	2	1	1	0	5
49	3	2	8	88	88
49	4	1	2	0	2
49	5	2	8	88	88
49	6	1	1	0	2
49	7	2	8	88	88
49	8	2	8	88	88
49	9	1	2	40	180
49	10	1	2	5	60
49	11	1	2	0	5
49	12	2	8	88	88
49	13	2	8	88	88
49	14	2	8	88	88
49	15	2	8	88	88
49	16	2	8	88	88
50	1	2	8	88	88
50	2	2	8	88	88
50	3	2	8	88	88
50	4	1	3	0	3
50	5	2	8	88	88
50	6	1	3	0	3
50	7	1	1	0	1
50	8	2	8	88	88
50	9	2	8	88	88
50	10	2	8	88	88
50	11	1	1	4	10
50	12	2	8	88	88
50	13	2	8	88	88
50	14	2	8	88	88
50	15	2	8	88	88
50	16	2	8	88	88
51	1	2	8	88	88
51	2	2	8	88	88
51	3	2	8	88	88
51	4	1	1	0	2
51	5	2	8	88	88
51	6	1	1	0	8
51	7	1	3	0	0
51	8	2	8	88	88
51	9	2	8	88	88
51	10	2	8	88	88
51	11	1	1	15	0
51	12	2	8	88	88
51	13	2	8	88	88
51	14	2	8	88	88
51	15	8	8	88	88
51	16	8	8	88	88
52	1	2	8	88	88
52	2	2	8	88	88
52	3	2	8	88	88
52	4	1	1	0	5
