comnro	frmid	frman	frmwom	frmchld
48	3	10	5	5
48	4	10	5	5
48	5	10	5	5
49	1	8	5	3
49	2	8	5	3
49	3	8	5	3
49	4	8	5	3
49	5	8	5	3
50	1	10	5	5
50	2	10	5	5
50	3	10	5	5
50	4	10	5	5
50	5	10	5	5
51	1	8	5	3
51	2	8	5	3
51	3	8	5	3
51	4	8	5	3
51	5	8	5	3
52	1	5	5	3
52	2	5	5	3
52	3	5	5	3
52	4	5	5	3
52	5	5	5	3
53	1	10	5	5
53	2	10	5	5
53	3	10	5	5
53	4	10	5	5
53	5	10	5	5
54	1	10	10	5
54	2	10	10	5
54	3	10	10	5
54	4	10	10	5
54	5	10	10	5
55	1	10	10	5
55	2	10	10	5
55	3	10	10	5
55	4	10	10	5
55	5	10	10	5
56	1	10	8	5
56	2	10	8	5
56	3	10	8	5
56	4	20	15	10
56	5	10	8	5
57	1	10	0	7
57	2	10	0	7
57	3	10	0	7
57	4	10	0	7
57	5	10	0	7
58	1	10	10	0
58	2	10	8	0
58	3	10	10	0
58	4	77	77	0
58	5	10	8	0
59	1	10	8	8
59	2	10	8	8
59	3	10	8	8
59	4	9	9	9
59	5	12	10	8
60	1	10	5	3
60	2	10	5	3
60	3	10	5	3
60	4	10	5	3
60	5	10	5	3
61	1	10	5	5
61	2	8	5	5
61	3	8	5	5
61	4	10	5	5
61	5	10	5	5
62	1	10	0	88
62	2	10	0	88
62	3	10	10	88
62	4	10	10	88
62	5	10	0	88
63	1	10	5	5
63	2	10	5	5
63	3	10	5	5
63	4	10	5	5
63	5	10	5	5
64	1	10	5	5
64	2	10	5	5
64	3	10	5	5
64	4	10	5	5
64	5	0	0	0
65	1	10	0	2
65	2	10	0	2
65	3	10	0	2
65	4	10	0	2
65	5	10	0	2
66	1	10	5	4
66	2	10	5	4
66	3	10	5	4
66	4	10	5	4
66	5	10	5	4
67	1	10	5	3
67	2	10	5	3
67	3	10	5	3
67	4	10	5	3
67	5	10	5	3
68	1	10	5	3
68	2	10	5	3
68	3	10	5	3
68	4	10	5	3
68	5	10	5	3
69	1	10	7	5
69	2	10	7	5
69	3	10	7	5
69	4	10	7	5
69	5	10	7	5
70	1	15	15	10
70	2	15	15	10
70	3	15	15	10
70	4	15	15	12
70	5	15	15	10
71	1	15	13	12
71	2	15	15	13
71	3	18	15	12
71	4	15	13	12
71	5	15	13	12
72	1	15	10	10
72	2	15	10	10
72	3	15	10	10
72	4	15	10	10
72	5	15	10	10
73	1	15	12	88
73	2	15	12	88
73	3	15	12	88
73	4	15	12	88
73	5	15	12	88
74	1	8888	8888	8888
75	1	10	10	0
75	2	10	10	0
75	3	10	10	0
75	4	10	10	0
75	5	10	10	0
76	1	10	0	0
76	2	10	0	0
76	3	10	0	0
76	4	10	0	0
76	5	10	0	0
77	1	10	0	0
77	2	10	10	0
77	3	10	10	0
77	4	10	10	0
77	5	10	10	0
78	1	5	5	0
78	2	5	5	0
78	3	5	5	0
78	4	5	5	0
78	5	5	5	0
79	1	4	4	2
79	2	4	4	2
79	3	4	4	2
79	4	4	4	2
79	5	4	4	2
80	1	5	5	0
80	2	5	5	0
80	3	5	5	0
80	4	5	5	0
80	5	5	5	0
81	1	5	5	0
81	2	5	5	0
81	3	5	5	0
81	4	5	5	0
81	5	5	5	0
82	1	10	10	5
82	2	10	10	5
82	3	10	10	5
82	4	10	10	5
82	5	10	10	5
