CHILDCODE	GFMRIDR5	GFTOFDR5	OFNTYUR5	VLNTYUR5	OFNTSPR5	VLNTSPR5	OFSPYUR5	VLSPYUR5	OFSPNTR5	VLSPNTR5
11019	8	 	 	 	 	 	 	 	 	 
11019	9	 	 	 	 	 	 	 	 	 
11019	10	 	 	 	 	 	 	 	 	 
11019	11	 	 	 	 	 	 	 	 	 
11019	12	 	 	 	 	 	 	 	 	 
11019	13	 	 	 	 	 	 	 	 	 
11021	1	 	 	 	 	 	 	 	 	 
11021	2	 	 	 	 	 	 	 	 	 
11021	3	 	 	 	 	 	 	 	 	 
11021	4	 	 	 	 	 	 	 	 	 
11021	5	 	 	 	 	 	 	 	 	 
11021	6	 	 	 	 	 	 	 	 	 
11021	7	 	 	 	 	 	 	 	 	 
11021	8	 	 	 	 	 	 	 	 	 
11021	9	 	 	 	 	 	 	 	 	 
11021	10	 	 	 	 	 	 	 	 	 
11021	11	 	 	 	 	 	 	 	 	 
11021	12	 	 	 	 	 	 	 	 	 
11021	13	 	 	 	 	 	 	 	 	 
11022	1	 	 	 	 	 	 	 	 	 
11022	2	 	 	 	 	 	 	 	 	 
11022	3	 	 	 	 	 	 	 	 	 
11022	4	 	 	 	 	 	 	 	 	 
11022	5	 	 	 	 	 	 	 	 	 
11022	6	 	 	 	 	 	 	 	 	 
11022	7	 	 	 	 	 	 	 	 	 
11022	8	 	 	 	 	 	 	 	 	 
11022	9	 	 	 	 	 	 	 	 	 
11022	10	 	 	 	 	 	 	 	 	 
11022	11	 	 	 	 	 	 	 	 	 
11022	12	 	 	 	 	 	 	 	 	 
11022	13	 	 	 	 	 	 	 	 	 
11024	1	 	 	 	 	 	 	 	 	 
11024	2	 	 	 	 	 	 	 	 	 
11024	3	 	 	 	 	 	 	 	 	 
11024	4	 	 	 	 	 	 	 	 	 
11024	5	 	 	 	 	 	 	 	 	 
11024	6	 	 	 	 	 	 	 	 	 
11024	7	 	 	 	 	 	 	 	 	 
11024	8	 	 	 	 	 	 	 	 	 
11024	9	 	 	 	 	 	 	 	 	 
11024	10	 	 	 	 	 	 	 	 	 
11024	11	 	 	 	 	 	 	 	 	 
11024	12	 	 	 	 	 	 	 	 	 
11024	13	 	 	 	 	 	 	 	 	 
11025	1	 	 	 	 	 	 	 	 	 
11025	2	 	 	 	 	 	 	 	 	 
11025	3	 	 	 	 	 	 	 	 	 
11025	4	 	 	 	 	 	 	 	 	 
11025	5	 	 	 	 	 	 	 	 	 
11025	6	 	 	 	 	 	 	 	 	 
11025	7	 	 	 	 	 	 	 	 	 
11025	8	 	 	 	 	 	 	 	 	 
11025	9	 	 	 	 	 	 	 	 	 
11025	10	 	 	 	 	 	 	 	 	 
11025	11	 	 	 	 	 	 	 	 	 
11025	12	 	 	 	 	 	 	 	 	 
11025	13	 	 	 	 	 	 	 	 	 
11026	1	 	 	 	 	 	 	 	 	 
11026	2	 	 	 	 	 	 	 	 	 
11026	3	 	 	 	 	 	 	 	 	 
11026	4	 	 	 	 	 	 	 	 	 
11026	5	 	 	 	 	 	 	 	 	 
11026	6	 	 	 	 	 	 	 	 	 
11026	7	 	 	 	 	 	 	 	 	 
11026	8	 	 	 	 	 	 	 	 	 
11026	9	 	 	 	 	 	 	 	 	 
11026	10	 	 	 	 	 	 	 	 	 
11026	11	 	 	 	 	 	 	 	 	 
11026	12	 	 	 	 	 	 	 	 	 
11026	13	 	 	 	 	 	 	 	 	 
11027	1	 	 	 	 	 	 	 	 	 
11027	2	 	 	 	 	 	 	 	 	 
11027	3	 	 	 	 	 	 	 	 	 
11027	4	 	 	 	 	 	 	 	 	 
11027	5	 	 	 	 	 	 	 	 	 
11027	6	 	 	 	 	 	 	 	 	 
11027	7	 	 	 	 	 	 	 	 	 
11027	8	 	 	 	 	 	 	 	 	 
11027	9	 	 	 	 	 	 	 	 	 
11027	10	 	 	 	 	 	 	 	 	 
11027	11	 	 	 	 	 	 	 	 	 
11027	12	 	 	 	 	 	 	 	 	 
11027	13	 	 	 	 	 	 	 	 	 
11028	1	 	 	 	 	 	 	 	 	 
11028	2	 	 	 	 	 	 	 	 	 
11028	3	 	 	 	 	 	 	 	 	 
11028	4	 	 	 	 	 	 	 	 	 
11028	5	 	 	 	 	 	 	 	 	 
11028	6	 	 	 	 	 	 	 	 	 
11028	7	 	 	 	 	 	 	 	 	 
11028	8	 	 	 	 	 	 	 	 	 
11028	9	 	 	 	 	 	 	 	 	 
11028	10	 	 	 	 	 	 	 	 	 
11028	11	 	 	 	 	 	 	 	 	 
11028	12	 	 	 	 	 	 	 	 	 
11028	13	 	 	 	 	 	 	 	 	 
11029	1	 	 	 	 	 	 	 	 	 
11029	2	 	 	 	 	 	 	 	 	 
11029	3	 	 	 	 	 	 	 	 	 
11029	4	 	 	 	 	 	 	 	 	 
11029	5	 	 	 	 	 	 	 	 	 
11029	6	 	 	 	 	 	 	 	 	 
11029	7	 	 	 	 	 	 	 	 	 
11029	8	 	 	 	 	 	 	 	 	 
11029	9	 	 	 	 	 	 	 	 	 
11029	10	 	 	 	 	 	 	 	 	 
11029	11	 	 	 	 	 	 	 	 	 
11029	12	 	 	 	 	 	 	 	 	 
11029	13	 	 	 	 	 	 	 	 	 
11030	1	Y	0	 	0	 	1	200	0	 
11030	2	N	 	 	 	 	 	 	 	 
11030	3	N	 	 	 	 	 	 	 	 
11030	4	N	 	 	 	 	 	 	 	 
11030	5	Y	1	500	0	 	0	 	0	 
11030	6	N	 	 	 	 	 	 	 	 
11030	7	Y	0	 	0	 	1	2000	0	 
11030	8	Y	0	 	0	 	1	1000	0	 
11030	9	N	 	 	 	 	 	 	 	 
11030	10	N	 	 	 	 	 	 	 	 
11030	11	N	 	 	 	 	 	 	 	 
11030	12	N	 	 	 	 	 	 	 	 
11030	13	N	 	 	 	 	 	 	 	 
11031	1	 	 	 	 	 	 	 	 	 
