CHILDCODE	MOVEIDR5	YRMOVER5	WHMOVER5	TYPKEBR5	MTHSTYR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPPTR5	MVSPSBR5	MVCHCHR5	MVOTRLR5	MVSPRLR5	MVALLHR5	MVNONHR5	RSNMVR51	RSNMVR52	KNWANYR5	KNWBSTR5
51050	1	2007	2	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
61004	1	2008	1	3	0	N	N	N	N	Y	N	N	N	N	N	N	N	1	12	1	4
61005	1	2008	1	2	0	N	N	N	N	Y	N	N	N	N	N	N	N	12	88	0	 
61007	1	2008	1	3	0	N	N	N	N	Y	N	N	N	N	N	N	N	1	88	1	4
61008	1	2009	2	1	0	N	N	N	N	N	N	N	N	N	N	N	Y	23	88	1	1
61008	2	2008	2	1	2	N	N	N	N	N	N	N	N	N	N	N	Y	1	2	0	 
61008	3	2007	2	1	12	N	N	N	N	N	N	N	N	N	N	N	Y	23	88	1	1
61008	4	2006	2	1	3	N	N	N	N	N	N	N	N	N	N	N	Y	1	2	0	 
61011	1	2009	2	1	0	N	N	N	N	N	N	N	N	N	N	N	Y	23	88	1	1
61011	2	2008	2	1	2	N	N	N	N	N	N	N	N	N	N	N	Y	2	88	0	 
61012	1	2009	2	1	0	N	N	N	N	N	N	N	N	N	N	N	Y	23	88	1	1
61012	2	2008	2	1	2	N	N	N	N	N	N	N	N	N	N	N	Y	1	2	0	 
61012	3	2008	2	1	10	N	N	N	N	N	N	N	N	N	N	N	Y	23	37	1	1
61012	4	2007	2	1	2	N	N	N	N	N	N	N	N	N	N	N	Y	1	2	0	 
61014	1	2009	3	2	0	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	4
61015	1	2009	2	1	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
61015	2	2008	2	1	3	Y	 	 	 	 	 	 	 	 	 	 	 	1	2	1	2
61015	3	2008	2	1	10	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
61015	4	2007	2	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	2	1	2
61018	1	2009	1	3	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
61018	2	2008	1	1	6	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
61019	1	2007	1	1	0	Y	 	 	 	 	 	 	 	 	 	 	 	12	88	0	 
61020	1	2009	2	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
61020	2	2008	2	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
61020	3	2008	2	4	9	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
61020	4	2007	2	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
61020	5	2007	2	4	9	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
61021	1	2009	2	5	0	Y	 	 	 	 	 	 	 	 	 	 	 	28	88	1	5
61021	2	2007	3	3	5	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	4
61022	1	2007	1	3	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	28	1	4
61023	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
61024	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
61025	1	2009	2	3	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
61025	2	2008	2	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
61025	3	2008	2	3	9	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
61025	4	2007	2	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
61025	5	2007	2	3	9	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
61026	1	2008	2	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
61027	1	2008	2	1	0	N	N	N	N	N	N	N	N	N	N	N	Y	23	88	1	1
61027	2	2006	2	4	24	N	N	N	N	N	N	N	N	N	N	N	Y	5	88	0	 
61029	1	2009	2	1	0	Y	 	 	 	 	 	 	 	 	 	 	 	38	23	1	1
61031	1	2007	3	5	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
61031	2	2006	3	1	2	N	N	N	N	N	N	N	N	N	N	N	Y	2	88	1	5
61031	3	2005	3	1	2	N	N	N	N	N	N	N	N	N	N	N	Y	2	88	1	5
61034	1	2006	3	1	0	N	N	N	N	N	N	N	N	N	N	Y	N	23	88	1	1
61034	2	2006	3	1	1	N	N	N	N	N	N	N	N	N	N	N	Y	1	88	0	 
61036	1	2009	2	3	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	4
61036	2	2009	2	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
61036	3	2008	2	3	6	Y	 	 	 	 	 	 	 	 	 	 	 	37	88	1	4
61036	4	2008	2	5	2	Y	 	 	 	 	 	 	 	 	 	 	 	6	88	1	4
61036	5	2007	1	3	12	Y	 	 	 	 	 	 	 	 	 	 	 	2	34	1	4
61037	1	2006	2	3	0	N	N	N	N	N	N	N	N	N	N	Y	N	34	88	1	4
61038	1	2008	1	1	0	N	N	N	N	N	N	N	N	N	N	N	Y	23	88	1	1
61038	2	2008	2	1	2	N	N	N	N	N	N	N	N	N	N	N	Y	2	88	0	 
61043	1	2008	3	1	0	N	N	N	N	N	N	N	N	N	N	N	Y	23	88	1	1
61043	2	2007	3	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
61046	1	2007	1	3	0	N	N	N	N	N	N	N	N	N	N	Y	N	22	88	1	4
61050	1	2009	3	5	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
61050	2	2009	3	1	4	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
61051	1	2006	3	5	0	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
61056	1	2009	2	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
61057	1	2008	2	4	0	N	N	N	N	N	N	N	N	Y	N	N	N	22	88	1	4
71004	1	2007	2	5	0	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	5
71006	1	2008	3	2	0	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	4
71008	1	2007	2	1	0	N	N	N	N	N	N	N	N	N	N	N	Y	5	23	1	1
71008	2	2006	2	1	3	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
71010	1	2009	2	1	0	N	N	N	Y	N	N	N	N	N	N	N	N	1	88	0	 
71010	2	2007	2	1	18	N	N	N	Y	N	N	N	N	N	N	N	N	1	88	0	 
71017	1	2009	2	2	0	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
71017	2	2008	3	3	11	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	1
71019	1	2007	2	1	0	N	N	N	N	N	N	N	N	N	N	N	Y	23	88	1	1
71019	2	2007	2	3	2	N	N	N	N	N	N	N	N	N	N	N	Y	9	88	0	 
71020	1	2009	2	1	0	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
71020	2	2008	2	3	8	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	1
71024	1	2009	2	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
71024	2	2008	2	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	23	38	1	1
71024	3	2008	2	4	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
71024	4	2007	2	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	23	38	1	1
71024	5	2007	2	4	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
71024	6	2006	2	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	23	38	1	1
71024	7	2006	2	4	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
71025	1	2009	2	5	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
71025	2	2008	2	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	24	88	1	1
71025	3	2008	2	5	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
71025	4	2007	2	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	24	88	1	1
71025	5	2007	2	5	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
71028	1	2008	3	2	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
71028	2	2007	3	6	12	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
71028	3	2007	2	2	3	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
71030	1	2008	2	1	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
71030	2	2008	2	4	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
71030	3	2007	2	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
71030	4	2007	2	4	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
71032	1	2007	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	4
71032	2	2007	3	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
71034	1	2006	1	3	0	N	N	Y	N	N	N	N	N	Y	N	N	N	13	37	1	1
71037	1	2008	2	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
71038	1	2007	2	3	0	Y	 	 	 	 	 	 	 	 	 	 	 	37	88	1	1
71038	2	2007	3	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
71039	1	2009	3	1	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
71039	2	2008	3	6	3	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
71043	1	2008	3	1	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
71043	2	2008	3	3	60	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	4
71047	1	2007	3	1	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
71047	2	2007	3	6	2	N	N	N	N	N	N	N	N	N	N	N	Y	1	88	0	 
71049	1	2009	2	1	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
71049	2	2009	2	3	2	N	N	N	N	N	N	N	N	N	N	N	Y	24	88	0	 
81001	1	2008	2	3	0	N	N	N	N	Y	N	N	N	N	N	N	N	1	88	1	1
81001	2	2007	2	3	3	N	N	N	N	Y	N	N	N	N	N	N	N	12	88	0	 
81004	1	2009	1	1	0	N	N	N	N	N	N	N	N	N	Y	N	N	23	88	1	4
81004	2	2008	1	2	9	N	N	N	N	N	N	N	N	N	Y	N	N	5	88	1	4
81006	1	2009	3	6	0	N	N	N	N	N	N	N	N	N	N	N	Y	2	88	0	 
81008	1	2008	2	3	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
81008	2	2005	4	 	36	N	N	N	N	N	N	N	N	N	N	N	Y	2	88	1	2
81010	1	2007	2	1	0	N	N	N	Y	N	N	N	N	N	N	N	N	5	88	1	2
81011	1	2009	3	6	0	N	N	N	N	N	N	N	N	N	N	Y	N	23	88	1	3
81013	1	2009	1	3	0	N	N	N	N	Y	N	N	N	N	N	N	N	2	88	1	4
81013	2	2007	1	1	24	Y	 	 	 	 	 	 	 	 	 	 	 	38	88	1	1
81013	3	2006	1	1	12	N	N	N	N	Y	N	N	N	N	N	N	N	12	88	1	4
81014	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
81015	1	2009	1	1	0	N	N	N	N	N	N	N	N	N	N	N	Y	1	88	0	 
81015	2	2009	2	1	2	N	N	N	N	N	N	N	N	N	N	N	Y	1	88	0	 
81018	1	2009	1	1	0	N	N	N	Y	N	N	N	N	N	N	N	N	5	88	1	2
81018	2	2007	1	3	27	N	N	N	Y	N	N	N	N	N	N	N	N	5	88	1	2
81022	1	2009	1	3	0	N	N	N	N	Y	N	N	N	N	N	N	N	12	88	1	3
81022	2	2007	4	 	24	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	6
81022	3	2007	3	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
81022	4	2004	4	 	24	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
