CHILDCODE	EDCHSTR5	EDAGR5	EDGRADER5	CMPGRDR5	SMESCHR5	TYSCR5	REGNR5	SCHNMER5
11025	1	19	22	1	1	1	14	570
11025	2	20	23	1	1	 	 	 
11025	3	21	0	 	 	 	 	 
11025	4	22	36	4	1	 	 	 
11026	1	19	0	 	 	 	 	 
11026	2	20	21	1	0	1	14	1445
11026	3	21	22	1	1	 	 	 
11026	4	22	23	4	1	 	 	 
11027	1	19	21	1	1	1	14	557
11027	2	20	22	1	1	 	 	 
11027	3	21	23	1	1	 	 	 
11027	4	22	0	 	 	 	 	 
11028	1	18	0	 	 	 	 	 
11028	2	19	0	 	 	 	 	 
11028	3	20	0	 	 	 	 	 
11028	4	21	0	 	 	 	 	 
11029	1	19	12	1	1	4	14	601
11029	2	20	0	 	 	 	 	 
11029	3	21	0	 	 	 	 	 
11029	4	22	0	 	 	 	 	 
11030	1	19	0	 	 	 	 	 
11030	2	20	0	 	 	 	 	 
11030	3	21	0	 	 	 	 	 
11030	4	22	0	 	 	 	 	 
11031	1	19	11	1	1	4	14	601
11031	2	20	12	1	1	 	 	 
11031	3	21	36	1	0	4	14	1372
11031	4	22	37	4	1	 	 	 
11032	1	19	0	 	 	 	 	 
11032	2	20	0	 	 	 	 	 
11032	3	21	0	 	 	 	 	 
11032	4	22	0	 	 	 	 	 
11033	1	18	0	 	 	 	 	 
11033	2	19	0	 	 	 	 	 
11033	3	20	0	 	 	 	 	 
11033	4	21	0	 	 	 	 	 
11034	1	18	12	1	1	4	14	601
11034	2	19	21	1	0	1	14	1373
11034	3	20	22	1	1	 	 	 
11034	4	21	23	4	1	 	 	 
11037	1	10	12	1	1	4	14	494
11037	2	19	0	 	 	 	 	 
11037	3	20	0	 	 	 	 	 
11037	4	21	0	 	 	 	 	 
11038	1	18	9	1	1	4	14	12
11038	2	19	10	1	1	 	 	 
11038	3	20	11	1	0	4	14	601
11038	4	21	12	4	1	 	 	 
11039	1	19	21	1	0	4	14	1375
11039	2	20	0	 	 	 	 	 
11039	3	21	0	 	 	 	 	 
11039	4	22	0	 	 	 	 	 
11040	1	19	0	 	 	 	 	 
11040	2	20	0	 	 	 	 	 
11040	3	21	0	 	 	 	 	 
11040	4	22	0	 	 	 	 	 
11041	1	19	0	 	 	 	 	 
11041	2	20	0	 	 	 	 	 
11041	3	21	0	 	 	 	 	 
11041	4	22	0	 	 	 	 	 
11042	1	19	11	1	1	4	14	601
11042	2	20	12	1	1	 	 	 
11042	3	21	21	1	0	1	14	1401
11042	4	22	22	4	1	 	 	 
11043	1	19	0	 	 	 	 	 
11043	2	20	0	 	 	 	 	 
11043	3	21	0	 	 	 	 	 
11043	4	22	0	 	 	 	 	 
11045	1	18	32	1	1	4	7	1007
11045	2	19	33	1	1	 	 	 
11045	3	20	34	1	1	 	 	 
11045	4	21	39	4	1	 	 	 
11046	1	18	9	1	1	4	14	1367
11046	2	19	10	1	1	 	 	 
11046	3	20	0	 	 	 	 	 
11046	4	21	0	 	 	 	 	 
11048	1	18	35	4	1	4	14	1368
11048	2	19	35	2	1	 	 	 
11048	3	20	34	1	1	 	 	 
11048	4	21	33	1	1	 	 	 
21002	1	18	10	1	0	4	14	1378
21002	2	19	0	 	 	 	 	 
21002	3	20	21	1	0	1	14	1379
21002	4	21	22	4	1	 	 	 
21003	1	19	21	1	0	1	14	1540
21003	2	20	22	1	1	 	 	 
21003	3	21	24	1	1	 	 	 
21003	4	22	0	 	 	 	 	 
21004	1	21	34	1	1	4	4	1380
21004	2	22	0	 	 	 	 	 
21004	3	23	0	 	 	 	 	 
21004	4	24	40	4	0	4	4	1381
21005	1	18	21	1	0	4	14	583
21005	2	19	0	 	 	 	 	 
21005	3	20	0	 	 	 	 	 
21005	4	21	0	 	 	 	 	 
21006	1	19	22	1	1	1	14	1540
21006	2	20	23	1	1	 	 	 
21006	3	21	0	 	 	 	 	 
21006	4	22	0	 	 	 	 	 
21007	1	19	12	1	1	1	14	1382
21007	2	20	21	1	0	4	14	1392
21007	3	21	22	1	1	 	 	 
21007	4	22	23	4	1	 	 	 
21008	1	18	9	1	0	4	14	33
21008	2	19	10	1	1	 	 	 
21008	3	20	0	 	 	 	 	 
21008	4	21	0	 	 	 	 	 
21010	1	19	22	3	1	4	14	550
21010	2	20	0	 	 	 	 	 
21010	3	21	0	 	 	 	 	 
21010	4	22	0	 	 	 	 	 
21011	1	18	21	3	0	4	14	1383
21011	2	19	0	 	 	 	 	 
21011	3	20	0	 	 	 	 	 
21011	4	21	0	 	 	 	 	 
21012	1	18	0	 	 	 	 	 
21012	2	19	0	 	 	 	 	 
21012	3	20	0	 	 	 	 	 
21012	4	21	0	 	 	 	 	 
21013	1	18	22	1	1	4	14	583
21013	2	19	23	1	1	 	 	 
21013	3	20	0	 	 	 	 	 
21013	4	21	36	4	0	1	14	1540
21014	1	19	22	1	1	1	14	1540
21014	2	20	23	1	1	 	 	 
21014	3	21	0	 	 	 	 	 
21014	4	22	0	 	 	 	 	 
21015	1	18	21	1	0	1	14	552
21015	2	19	22	1	1	 	 	 
21015	3	20	23	1	1	 	 	 
21015	4	21	0	 	 	 	 	 
21016	1	19	32	1	1	4	7	1007
21016	2	20	37	1	1	 	 	 
21016	3	21	34	1	1	 	 	 
21016	4	22	39	4	1	 	 	 
21017	1	19	8	1	1	4	14	629
21017	2	20	0	 	 	 	 	 
21017	3	21	0	 	 	 	 	 
21017	4	22	0	 	 	 	 	 
21018	1	18	0	 	 	 	 	 
21018	2	19	0	 	 	 	 	 
21018	3	20	0	 	 	 	 	 
21018	4	21	0	 	 	 	 	 
21019	1	21	0	 	 	 	 	 
21019	2	22	0	 	 	 	 	 
21019	3	23	0	 	 	 	 	 
21019	4	24	0	 	 	 	 	 
21020	1	19	11	1	0	4	14	42
21020	2	20	12	1	1	 	 	 
21020	3	21	32	1	0	1	14	552
21020	4	22	33	4	1	 	 	 
21021	1	19	32	1	1	4	3	789
21021	2	20	33	1	1	 	 	 
21021	3	21	34	1	1	 	 	 
21021	4	22	35	4	1	 	 	 
21023	1	18	21	1	1	4	14	550
21023	2	19	22	1	1	 	 	 
21023	3	20	23	1	1	 	 	 
21023	4	21	0	 	 	 	 	 
21025	1	18	22	1	1	4	14	583
21025	2	19	0	 	 	 	 	 
21025	3	20	0	 	 	 	 	 
21025	4	21	0	 	 	 	 	 
21030	1	19	0	 	 	 	 	 
21030	2	20	0	 	 	 	 	 
21030	3	21	0	 	 	 	 	 
21030	4	22	0	 	 	 	 	 
21031	1	18	21	1	1	1	14	550
21031	2	19	22	1	1	 	 	 
21031	3	20	24	1	1	 	 	 
21031	4	21	0	 	 	 	 	 
21032	1	19	12	1	1	4	14	1386
21032	2	20	32	1	0	4	1	1181
21032	3	21	33	1	1	 	 	 
21032	4	22	34	4	1	 	 	 
21033	1	18	0	 	 	 	 	 
21033	2	19	0	 	 	 	 	 
21033	3	20	0	 	 	 	 	 
21033	4	21	0	 	 	 	 	 
21036	1	19	36	1	0	4	3	1387
21036	2	20	37	1	1	 	 	 
21036	3	21	38	1	1	 	 	 
21036	4	22	39	1	1	 	 	 
21037	1	18	9	1	0	4	14	1388
21037	2	19	0	 	 	 	 	 
21037	3	20	0	 	 	 	 	 
21037	4	21	0	 	 	 	 	 
21038	1	18	12	1	1	4	14	42
21038	2	19	21	1	0	1	14	1540
21038	3	20	22	1	1	 	 	 
21038	4	21	23	4	1	 	 	 
21039	1	19	0	 	 	 	 	 
21039	2	20	0	 	 	 	 	 
21039	3	21	0	 	 	 	 	 
21039	4	22	0	 	 	 	 	 
21040	1	19	9	1	0	4	14	33
21040	2	20	10	1	1	 	 	 
21040	3	21	0	 	 	 	 	 
21040	4	22	0	 	 	 	 	 
21041	1	19	12	1	1	4	14	42
21041	2	20	32	1	0	1	14	1389
21041	3	21	33	1	1	 	 	 
21041	4	22	34	4	1	 	 	 
21042	1	18	12	1	1	4	14	42
21042	2	19	0	 	 	 	 	 
21042	3	20	0	 	 	 	 	 
21042	4	21	32	4	0	1	14	1540
21043	1	18	6	1	1	4	14	505
21043	2	19	0	 	 	 	 	 
21043	3	20	0	 	 	 	 	 
21043	4	21	0	 	 	 	 	 
21045	1	16	21	1	0	1	14	1390
21045	2	17	0	 	 	 	 	 
21045	3	18	0	 	 	 	 	 
21045	4	19	0	 	 	 	 	 
21046	1	19	21	1	1	1	14	1391
21046	2	20	22	1	1	 	 	 
21046	3	21	24	1	1	 	 	 
21046	4	22	32	4	0	1	14	1540
21047	1	19	11	1	1	1	14	1614
21047	2	20	12	1	1	 	 	 
21047	3	21	32	1	0	1	14	1540
21047	4	22	33	4	1	 	 	 
21048	1	18	12	1	1	4	14	42
21048	2	19	21	1	0	4	14	1392
21048	3	20	22	1	1	 	 	 
21048	4	21	23	4	1	 	 	 
31001	1	18	9	3	0	4	14	122
31001	2	19	0	 	 	 	 	 
31001	3	20	0	 	 	 	 	 
31001	4	21	0	 	 	 	 	 
31002	1	19	12	1	1	4	14	1393
31002	2	20	32	3	0	1	14	1394
31002	3	21	0	 	 	 	 	 
31002	4	22	0	 	 	 	 	 
31003	1	19	21	1	1	4	14	1490
31003	2	20	22	1	1	 	 	 
31003	3	21	0	 	 	 	 	 
31003	4	22	0	 	 	 	 	 
31006	1	18	32	1	0	1	14	1395
31006	2	19	0	 	 	 	 	 
31006	3	20	33	1	1	 	 	 
31006	4	21	34	4	1	 	 	 
31009	1	19	10	1	1	4	14	122
31009	2	20	0	 	 	 	 	 
31009	3	21	0	 	 	 	 	 
31009	4	22	0	 	 	 	 	 
31010	1	19	32	1	1	4	3	1399
31010	2	20	33	1	1	 	 	 
31010	3	21	34	1	1	 	 	 
31010	4	22	35	4	1	 	 	 
31011	1	19	0	 	 	 	 	 
31011	2	20	0	 	 	 	 	 
31011	3	21	0	 	 	 	 	 
31011	4	22	0	 	 	 	 	 
31012	1	18	0	 	 	 	 	 
31012	2	19	0	 	 	 	 	 
31012	3	20	0	 	 	 	 	 
31012	4	21	0	 	 	 	 	 
31013	1	19	22	1	0	4	14	1490
31013	2	20	36	1	0	4	14	1366
31013	3	21	37	1	1	 	 	 
31013	4	22	38	4	1	 	 	 
31015	1	18	0	 	 	 	 	 
31015	2	19	0	 	 	 	 	 
31015	3	20	0	 	 	 	 	 
31015	4	21	0	 	 	 	 	 
31016	1	18	6	1	1	4	14	1621
31016	2	19	7	1	1	 	 	 
31016	3	20	8	1	1	 	 	 
31016	4	21	9	4	0	4	14	122
31017	1	18	0	 	 	 	 	 
31017	2	19	0	 	 	 	 	 
31017	3	20	0	 	 	 	 	 
31017	4	21	0	 	 	 	 	 
31018	1	19	32	1	1	4	7	1034
31018	2	20	33	1	1	 	 	 
31018	3	21	34	1	1	 	 	 
31018	4	22	35	4	1	 	 	 
31020	1	19	7	3	0	4	14	53
31020	2	20	0	 	 	 	 	 
31020	3	21	0	 	 	 	 	 
31020	4	22	0	 	 	 	 	 
31022	1	18	11	1	1	4	14	1396
31022	2	19	12	1	1	 	 	 
31022	3	20	21	1	0	4	14	1490
31022	4	21	23	4	1	 	 	 
31023	1	19	32	1	1	1	14	552
31023	2	20	33	1	1	 	 	 
31023	3	21	34	1	1	 	 	 
31023	4	22	0	 	 	 	 	 
31024	1	19	0	 	 	 	 	 
31024	2	20	0	 	 	 	 	 
31024	3	21	0	 	 	 	 	 
31024	4	22	0	 	 	 	 	 
31025	1	19	0	 	 	 	 	 
31025	2	20	0	 	 	 	 	 
31025	3	21	0	 	 	 	 	 
31025	4	22	0	 	 	 	 	 
31027	1	19	0	 	 	 	 	 
31027	2	20	0	 	 	 	 	 
31027	3	21	0	 	 	 	 	 
31027	4	22	0	 	 	 	 	 
31029	1	18	6	3	1	4	14	507
31029	2	19	0	 	 	 	 	 
31029	3	20	0	 	 	 	 	 
31029	4	21	0	 	 	 	 	 
31031	1	19	0	 	 	 	 	 
31031	2	20	0	 	 	 	 	 
31031	3	21	0	 	 	 	 	 
31031	4	22	0	 	 	 	 	 
31033	1	17	10	1	1	4	14	122
31033	2	18	11	1	1	 	 	 
31033	3	19	12	1	1	 	 	 
31033	4	20	32	4	0	4	4	1397
31034	1	18	9	1	0	4	14	122
31034	2	19	10	3	0	1	14	1398
31034	3	20	0	 	 	 	 	 
31034	4	21	0	 	 	 	 	 
31035	1	19	33	1	1	4	3	1399
31035	2	20	34	1	1	 	 	 
31035	3	21	35	1	1	 	 	 
31035	4	22	35	4	1	 	 	 
31036	1	19	9	1	0	4	14	122
31036	2	20	10	1	1	 	 	 
31036	3	21	0	 	 	 	 	 
31036	4	22	0	 	 	 	 	 
31037	1	19	10	1	1	1	14	1400
31037	2	20	11	1	0	1	14	1400
31037	3	21	12	1	1	 	 	 
31037	4	22	36	4	0	4	14	1366
31038	1	19	32	1	0	4	4	870
31038	2	20	33	1	1	 	 	 
31038	3	21	34	1	1	 	 	 
31038	4	22	35	4	1	 	 	 
31039	1	19	34	1	1	4	1	1181
31039	2	20	0	 	 	 	 	 
31039	3	21	0	 	 	 	 	 
31039	4	22	0	 	 	 	 	 
31042	1	18	23	1	1	1	14	1540
31042	2	19	0	 	 	 	 	 
31042	3	20	0	 	 	 	 	 
31042	4	21	0	 	 	 	 	 
31043	1	18	0	 	 	 	 	 
31043	2	19	0	 	 	 	 	 
31043	3	20	0	 	 	 	 	 
31043	4	21	0	 	 	 	 	 
31044	1	18	11	1	0	4	14	122
31044	2	19	12	1	1	 	 	 
31044	3	20	32	1	0	4	7	1022
31044	4	21	33	4	1	 	 	 
31045	1	18	10	1	0	4	14	122
31045	2	19	21	1	0	1	14	1401
31045	3	20	22	1	1	 	 	 
31045	4	21	23	1	1	 	 	 
31046	1	19	22	1	1	1	14	564
31046	2	20	23	3	1	 	 	 
31046	3	21	0	 	 	 	 	 
31046	4	22	0	 	 	 	 	 
31047	1	17	0	 	 	 	 	 
31047	2	18	0	 	 	 	 	 
31047	3	19	0	 	 	 	 	 
31047	4	20	0	 	 	 	 	 
31050	1	19	32	1	0	4	1	1181
31050	2	20	33	1	1	 	 	 
31050	3	21	34	1	1	 	 	 
31050	4	22	0	 	 	 	 	 
41001	1	18	11	1	1	4	3	796
41001	2	19	12	1	1	 	 	 
41001	3	20	32	1	0	4	3	1403
41001	4	21	33	4	1	 	 	 
41002	1	19	10	2	1	4	3	177
41002	2	20	0	 	 	 	 	 
41002	3	21	0	 	 	 	 	 
41002	4	22	0	 	 	 	 	 
41003	1	19	33	1	1	4	4	870
41003	2	20	38	1	1	 	 	 
41003	3	21	35	1	1	 	 	 
41003	4	22	0	 	 	 	 	 
41005	1	19	0	 	 	 	 	 
41005	2	20	0	 	 	 	 	 
41005	3	21	0	 	 	 	 	 
41005	4	22	21	4	0	4	3	1404
41006	1	19	0	 	 	 	 	 
41006	2	20	0	 	 	 	 	 
41006	3	21	0	 	 	 	 	 
41006	4	22	0	 	 	 	 	 
41007	1	19	10	1	0	4	3	177
41007	2	20	21	1	0	4	3	177
41007	3	21	0	 	 	 	 	 
41007	4	22	0	 	 	 	 	 
41008	1	18	7	1	1	4	3	164
41008	2	19	8	3	1	 	 	 
41008	3	20	0	 	 	 	 	 
41008	4	21	0	 	 	 	 	 
41009	1	18	23	1	1	4	3	1404
41009	2	19	32	1	0	1	14	1540
41009	3	20	0	 	 	 	 	 
41009	4	21	0	 	 	 	 	 
41010	1	18	21	1	0	4	3	1404
41010	2	19	22	1	1	 	 	 
41010	3	20	0	 	 	 	 	 
41010	4	21	0	 	 	 	 	 
41011	1	19	21	1	1	4	14	1405
41011	2	20	22	1	1	 	 	 
41011	3	21	36	1	0	4	3	804
41011	4	22	37	4	1	 	 	 
41012	1	18	10	1	0	4	3	177
41012	2	19	11	1	0	4	3	177
41012	3	20	12	2	1	 	 	 
41012	4	21	0	 	 	 	 	 
41013	1	18	21	1	1	4	3	1404
41013	2	19	22	1	1	 	 	 
41013	3	20	0	 	 	 	 	 
41013	4	21	0	 	 	 	 	 
41014	1	18	21	3	0	4	3	1404
41014	2	19	17	1	0	4	3	1406
41014	3	20	16	1	1	 	 	 
41014	4	21	16	4	1	 	 	 
41015	1	18	12	1	1	4	3	177
41015	2	19	32	1	0	4	3	1409
41015	3	20	33	1	1	 	 	 
41015	4	21	34	4	1	 	 	 
41016	1	19	8	1	1	4	14	494
41016	2	20	9	1	0	4	14	1408
41016	3	21	10	3	1	 	 	 
41016	4	22	0	 	 	 	 	 
41017	1	19	36	1	1	4	3	1409
41017	2	20	33	1	1	 	 	 
41017	3	21	34	1	1	 	 	 
41017	4	22	35	4	1	 	 	 
41018	1	18	0	 	 	 	 	 
41018	2	19	21	1	0	1	14	1410
41018	3	20	21	1	1	 	 	 
41018	4	21	22	4	1	 	 	 
41020	1	18	24	1	1	1	14	1451
41020	2	19	0	 	 	 	 	 
41020	3	20	32	1	0	4	14	1411
41020	4	21	33	1	1	 	 	 
41021	1	18	10	1	1	4	3	177
41021	2	19	22	1	0	4	3	1404
41021	3	20	23	1	1	 	 	 
41021	4	21	0	 	 	 	 	 
41022	1	18	7	1	1	4	4	1412
41022	2	19	8	1	1	 	 	 
41022	3	20	9	1	0	4	3	177
41022	4	21	10	4	1	 	 	 
41023	1	18	8	2	1	4	3	164
41023	2	19	0	 	 	 	 	 
41023	3	20	8	3	1	 	 	 
41023	4	21	0	 	 	 	 	 
41024	1	18	7	1	1	4	3	164
41024	2	19	8	3	1	 	 	 
41024	3	20	8	1	0	4	3	498
41024	4	21	9	4	0	4	3	177
41025	1	19	0	 	 	 	 	 
41025	2	20	0	 	 	 	 	 
41025	3	21	0	 	 	 	 	 
41025	4	22	0	 	 	 	 	 
41026	1	18	9	1	0	4	3	177
41026	2	19	10	2	1	 	 	 
41026	3	20	0	 	 	 	 	 
41026	4	21	0	 	 	 	 	 
41027	1	19	11	1	0	4	3	164
41027	2	20	12	1	1	 	 	 
41027	3	21	32	1	0	4	3	1413
41027	4	22	33	4	1	 	 	 
41028	1	19	8	2	1	4	3	164
41028	2	20	8	1	1	 	 	 
41028	3	21	9	1	0	4	3	177
41028	4	22	10	4	1	 	 	 
41029	1	18	7	1	1	4	3	498
41029	2	19	8	1	1	 	 	 
41029	3	20	9	1	0	4	3	177
41029	4	21	10	4	1	 	 	 
41030	1	18	0	 	 	 	 	 
41030	2	19	0	 	 	 	 	 
41030	3	20	0	 	 	 	 	 
41030	4	21	0	 	 	 	 	 
41031	1	18	0	 	 	 	 	 
41031	2	19	11	1	0	4	3	164
41031	3	20	12	1	1	 	 	 
41031	4	21	36	4	0	4	4	1414
41032	1	18	8	1	1	4	3	164
41032	2	19	9	1	0	4	3	177
41032	3	20	10	1	1	 	 	 
41032	4	21	21	4	0	4	3	1404
41034	1	18	0	 	 	 	 	 
41034	2	19	21	1	0	4	3	1404
41034	3	20	22	1	1	 	 	 
41034	4	21	23	4	1	 	 	 
41035	1	18	9	1	0	4	3	177
41035	2	19	10	2	1	 	 	 
41035	3	20	0	 	 	 	 	 
41035	4	21	0	 	 	 	 	 
41036	1	18	9	1	0	4	3	177
41036	2	19	10	1	1	 	 	 
41036	3	20	11	1	0	4	3	796
41036	4	21	0	 	 	 	 	 
41037	1	18	9	1	1	4	3	177
41037	2	19	10	2	1	 	 	 
41037	3	20	0	 	 	 	 	 
41037	4	21	0	 	 	 	 	 
41038	1	18	0	 	 	 	 	 
41038	2	19	0	 	 	 	 	 
41038	3	20	0	 	 	 	 	 
41038	4	21	0	 	 	 	 	 
41039	1	19	0	 	 	 	 	 
41039	2	20	0	 	 	 	 	 
41039	3	21	0	 	 	 	 	 
41039	4	22	0	 	 	 	 	 
41040	1	18	11	3	1	4	3	177
41040	2	19	11	3	1	 	 	 
41040	3	20	11	3	1	 	 	 
41040	4	21	11	3	1	 	 	 
41041	1	17	10	3	1	4	3	177
41041	2	18	10	1	1	 	 	 
41041	3	19	21	1	0	4	3	177
41041	4	20	22	4	1	 	 	 
41042	1	19	10	1	0	4	14	1415
41042	2	20	11	1	0	4	3	796
41042	3	21	12	2	1	 	 	 
41042	4	22	21	4	0	4	3	804
41043	1	18	10	1	1	4	3	796
41043	2	19	11	1	0	4	3	796
41043	3	20	12	1	1	 	 	 
41043	4	21	32	4	0	1	14	1417
41044	1	18	22	1	1	1	3	1404
41044	2	19	23	1	1	 	 	 
41044	3	20	24	1	1	 	 	 
41044	4	21	0	 	 	 	 	 
41045	1	17	11	1	1	4	3	177
41045	2	18	12	1	1	 	 	 
41045	3	19	32	3	0	4	1	1181
41045	4	20	21	4	0	4	3	1404
41046	1	18	6	1	1	4	3	164
41046	2	19	7	1	1	 	 	 
41046	3	20	8	1	1	 	 	 
41046	4	21	9	4	0	4	3	177
41047	1	18	12	1	0	4	3	804
41047	2	19	32	1	1	 	 	 
41047	3	20	33	1	1	 	 	 
41047	4	21	34	4	1	 	 	 
41048	1	18	9	1	1	4	3	177
41048	2	19	10	1	1	 	 	 
41048	3	20	0	 	 	 	 	 
41048	4	21	21	1	0	1	14	1418
41050	1	19	12	2	1	4	3	796
41050	2	20	32	1	0	1	14	1419
41050	3	21	33	1	1	 	 	 
41050	4	22	34	4	1	 	 	 
51001	1	18	8	3	1	4	3	154
51001	2	19	8	1	1	 	 	 
51001	3	20	9	1	1	 	 	 
51001	4	21	10	4	1	 	 	 
51002	1	20	0	 	 	 	 	 
51002	2	21	0	 	 	 	 	 
51002	3	22	0	 	 	 	 	 
51002	4	23	0	 	 	 	 	 
51003	1	18	0	 	 	 	 	 
51003	2	19	0	 	 	 	 	 
51003	3	20	0	 	 	 	 	 
51003	4	21	0	 	 	 	 	 
51004	1	18	0	 	 	 	 	 
51004	2	19	0	 	 	 	 	 
51004	3	20	0	 	 	 	 	 
51004	4	21	0	 	 	 	 	 
51005	1	19	0	 	 	 	 	 
51005	2	20	0	 	 	 	 	 
51005	3	21	0	 	 	 	 	 
51005	4	22	0	 	 	 	 	 
51006	1	18	0	 	 	 	 	 
51006	2	19	0	 	 	 	 	 
51006	3	20	0	 	 	 	 	 
51006	4	21	0	 	 	 	 	 
51007	1	18	0	 	 	 	 	 
51007	2	19	0	 	 	 	 	 
51007	3	20	0	 	 	 	 	 
51007	4	21	0	 	 	 	 	 
51008	1	18	9	3	1	4	3	790
51008	2	19	0	 	 	 	 	 
51008	3	20	0	 	 	 	 	 
51008	4	21	0	 	 	 	 	 
51009	1	18	6	1	1	4	3	154
51009	2	19	7	1	1	 	 	 
51009	3	20	8	1	1	 	 	 
51009	4	21	9	4	0	4	3	790
51010	1	19	0	 	 	 	 	 
51010	2	20	0	 	 	 	 	 
51010	3	21	0	 	 	 	 	 
51010	4	22	0	 	 	 	 	 
51012	1	18	0	 	 	 	 	 
51012	2	19	0	 	 	 	 	 
51012	3	20	0	 	 	 	 	 
51012	4	21	0	 	 	 	 	 
51013	1	18	0	 	 	 	 	 
51013	2	19	0	 	 	 	 	 
51013	3	20	0	 	 	 	 	 
51013	4	21	0	 	 	 	 	 
51014	1	18	0	 	 	 	 	 
51014	2	19	0	 	 	 	 	 
51014	3	20	0	 	 	 	 	 
51014	4	21	0	 	 	 	 	 
51015	1	18	9	1	1	4	3	790
51015	2	19	10	1	1	 	 	 
51015	3	20	21	1	0	4	3	177
51015	4	21	22	4	1	 	 	 
51016	1	19	5	1	1	4	3	1421
51016	2	20	6	1	1	 	 	 
51016	3	21	7	1	0	4	3	154
51016	4	22	8	1	1	 	 	 
51017	1	19	0	 	 	 	 	 
51017	2	20	0	 	 	 	 	 
51017	3	21	21	1	0	4	3	1404
51017	4	22	22	4	1	 	 	 
51018	1	18	0	 	 	 	 	 
51018	2	19	0	 	 	 	 	 
51018	3	20	0	 	 	 	 	 
51018	4	21	0	 	 	 	 	 
51021	1	18	0	 	 	 	 	 
51021	2	19	0	 	 	 	 	 
51021	3	20	0	 	 	 	 	 
51021	4	21	0	 	 	 	 	 
51022	1	19	12	1	1	4	3	796
51022	2	20	32	1	0	4	7	1480
51022	3	21	33	1	1	 	 	 
51022	4	22	34	4	1	 	 	 
51024	1	18	10	1	1	4	3	790
51024	2	19	36	1	0	4	3	1422
51024	3	20	37	1	1	 	 	 
51024	4	21	34	4	1	 	 	 
51025	1	19	12	1	1	4	3	177
51025	2	20	32	1	0	4	6	1423
51025	3	21	33	1	1	 	 	 
51025	4	22	34	4	1	 	 	 
51026	1	18	10	3	0	4	3	790
51026	2	19	0	 	 	 	 	 
51026	3	20	0	 	 	 	 	 
51026	4	21	0	 	 	 	 	 
51027	1	18	12	1	1	4	3	796
51027	2	19	36	1	0	4	3	796
51027	3	20	37	1	1	 	 	 
51027	4	21	34	4	1	 	 	 
51028	1	18	0	 	 	 	 	 
51028	2	19	0	 	 	 	 	 
51028	3	20	0	 	 	 	 	 
51028	4	21	0	 	 	 	 	 
51029	1	19	0	 	 	 	 	 
51029	2	20	0	 	 	 	 	 
51029	3	21	0	 	 	 	 	 
51029	4	22	0	 	 	 	 	 
51030	1	19	0	 	 	 	 	 
51030	2	20	0	 	 	 	 	 
51030	3	21	0	 	 	 	 	 
51030	4	22	0	 	 	 	 	 
