CHILDCODE	ACTIDR5	ACTR5	ACTOWNR5	ACTMTHR5	ACTDYMTR5	ACTHRSR5	PYMRECR5	ERNCSHR5	ERNKNDR5	HWPAIDR5	PRFACTR5	MTHPRFR5
61054	2	20	2	12	30	6	0	 	 	 	1	12
61054	3	7	2	12	30	3	0	 	 	 	1	12
61054	4	1	2	3	16	12	0	 	 	 	0	4
61056	1	20	2	9	30	4	0	 	 	 	0	3
61058	1	20	2	10	25	6	0	 	 	 	1	10
61059	1	1	2	9	20	5	0	 	 	 	1	9
61059	2	12	3	3	15	4	1	900	 	4	0	3
71001	1	20	4	1	11	10	1	1200	 	4	1	10
71002	1	12	3	12	30	20	1	2900	 	4	1	12
71003	1	1	2	8	20	4	0	 	 	 	1	0
71003	2	4	2	2	5	5	0	 	 	 	1	0
71004	1	12	3	12	22	8	1	2200	 	4	1	12
71006	1	10	2	8	30	16	1	600	 	4	1	4
71007	1	1	6	11	20	5	0	 	 	 	1	11
71008	1	20	2	12	30	6	0	 	 	 	1	12
71008	2	11	2	12	30	2	0	 	 	 	1	12
71008	3	4	2	2	7	1	0	 	 	 	1	0
71009	1	7	2	2	27	7	0	 	 	 	1	2
71009	2	20	2	12	20	5	0	 	 	 	1	12
71010	1	13	4	10	20	8	1	1600	 	4	1	10
71012	1	1	2	12	18	4	0	 	 	 	1	6
71013	1	20	2	3	22	5	0	 	 	 	1	6
71014	1	1	6	2	15	6	0	 	 	 	1	2
71014	2	12	1	1	15	10	1	45	 	3	0	2
71015	1	5	6	2	25	8	1	50	 	2	1	2
71015	2	20	2	4	10	3	0	 	 	 	1	0
71016	1	20	2	5	10	4	0	 	 	 	1	0
71017	1	13	4	12	22	8	1	1630	 	4	1	12
71018	1	5	3	6	30	8	1	580	 	4	0	5
71018	2	1	2	2	20	6	0	 	 	 	0	3
71018	3	7	2	12	30	5	0	 	 	 	1	12
71018	4	7	2	12	30	2	0	 	 	 	1	12
71019	1	13	1	7	24	8	1	1470	 	4	1	4
71019	2	20	2	12	12	3	0	 	 	 	1	3
71019	3	20	2	1	-77	3	0	 	 	 	1	3
71020	1	13	4	12	26	8	1	2551	 	4	1	12
71021	1	 	 	 	 	 	 	 	 	 	 	 
71022	1	12	1	12	29	10	1	300	 	3	1	3
71022	2	20	2	12	30	2	0	 	 	 	1	3
71024	1	1	2	2	15	8	0	 	 	 	0	0
71026	1	1	2	11	10	5	0	 	 	 	1	11
71026	2	12	3	1	25	8	1	70	 	2	0	2
71028	1	1	2	3	10	9	0	 	 	 	1	0
71029	1	1	2	6	14	4	0	 	 	 	1	8
71030	1	12	1	3	25	10	1	150	 	3	1	2
71031	1	 	 	 	 	 	 	 	 	 	 	 
71033	1	12	1	0	10	10	1	40	 	2	1	8
71033	2	1	2	1	25	6	0	 	 	 	0	1
71035	1	1	2	11	20	5	0	 	 	 	1	12
71037	1	12	3	3	15	8	1	55	 	2	0	2
71037	2	1	2	1	15	6	0	 	 	 	0	1
71038	1	13	3	12	15	8	1	500	 	4	1	12
71039	1	11	3	3	30	12	1	800	 	4	0	0
71040	1	12	1	12	29	18	1	1400	 	3	1	12
71043	1	12	7	3	6	4	1	450	 	3	0	3
71044	1	12	1	10	29	6	1	150	 	3	1	8
71044	2	20	2	12	30	1	0	 	 	 	1	12
71044	3	20	2	12	30	1	0	 	 	 	1	12
71045	1	10	6	12	30	5	1	40	 	4	1	4
71045	2	1	2	2	16	12	0	 	 	 	0	2
71045	3	20	2	12	30	5	0	 	 	 	1	12
71047	1	7	2	10	14	8	0	 	 	 	1	10
71049	1	12	1	9	29	9	1	180	 	3	1	0
71049	2	20	2	12	15	2	0	 	 	 	1	0
81001	1	9	2	12	30	3	0	 	 	 	1	12
81003	1	1	2	10	20	8	0	 	 	 	0	-77
81003	2	3	6	6	15	5	1	150	 	2	0	0
81004	1	1	2	4	15	4	0	 	 	 	1	4
81005	1	5	1	6	16	8	1	30	 	2	0	6
81005	2	1	2	6	10	6	0	 	 	 	0	6
81006	1	11	6	5	30	4	1	60	 	2	1	1
81006	2	1	2	7	20	5	0	 	 	 	0	0
81007	1	1	2	10	20	6	0	 	 	 	1	10
81007	2	3	6	4	20	8	1	200	 	2	1	4
81008	1	19	3	5	26	8	1	4000	 	5	0	0
81012	1	10	6	6	30	6	1	300	 	4	1	4
81012	2	5	1	3	7	2	1	40	 	2	1	3
81013	1	 	 	 	 	 	 	 	 	 	 	 
81014	1	3	6	6	20	9	1	100	 	2	1	6
81014	2	1	2	4	15	5	0	 	 	 	1	4
81015	1	1	2	6	15	12	0	 	 	 	1	6
81017	1	1	2	7	15	8	0	 	 	 	1	6
81017	2	5	3	3	30	9	1	1800	 	7	1	6
81018	1	1	2	4	10	8	0	 	 	 	1	4
81018	2	5	3	1	15	10	1	20	 	4	1	2
81019	1	13	4	6	26	8	1	1500	 	4	1	12
81019	2	1	2	3	15	8	0	 	 	 	1	3
81019	3	12	3	8	20	2	1	100	 	2	1	12
81020	1	1	2	12	12	8	0	 	 	 	1	12
81020	2	5	3	3	4	8	1	50	 	2	1	4
81021	1	1	2	4	15	6	0	 	 	 	1	4
81022	1	19	3	11	30	11	1	4000	 	4	0	0
81023	1	1	2	10	15	7	0	 	 	 	1	6
81023	2	3	6	10	20	6	1	200	 	2	1	10
81024	1	1	2	11	22	8	0	 	 	 	1	2
81024	2	12	1	1	30	4	1	50	 	2	1	2
81025	1	13	1	4	26	4	1	1200	 	4	1	0
81025	2	1	2	6	15	4	0	 	 	 	1	4
81026	1	3	3	12	30	12	1	6000	 	4	1	12
81027	1	1	2	8	15	6	0	 	 	 	1	6
81028	1	1	2	2	20	5	0	 	 	 	1	2
81029	1	1	2	6	20	8	0	 	 	 	1	6
81029	2	5	3	4	30	8	1	1000	 	4	1	4
81030	1	3	2	5	0	8	1	5000	 	5	1	6
81031	1	1	2	6	10	7	0	 	 	 	0	6
81031	2	5	3	4	20	6	1	200	 	2	1	4
81031	3	3	6	10	20	4	1	200	 	2	1	10
81033	1	1	2	4	15	7	0	 	 	 	0	4
81033	2	13	3	1	26	12	1	700	 	4	1	0
81034	1	1	2	3	10	10	0	 	 	 	1	2
81036	1	1	2	2	15	6	0	 	 	 	0	3
81037	1	12	3	12	26	6	1	300	 	3	1	12
81038	1	1	2	6	10	6	0	 	 	 	1	6
81038	2	3	6	12	20	7	1	100	 	2	1	12
81039	1	5	1	4	26	8	1	850	 	4	1	12
81039	2	1	2	2	15	4	0	 	 	 	0	2
81040	1	1	2	4	20	6	0	 	 	 	1	2
81040	2	3	6	4	15	8	1	400	 	4	1	4
81041	1	1	2	2	15	5	0	 	 	 	1	10
81041	2	3	6	10	15	10	1	1000	 	4	1	10
81043	1	1	2	7	20	6	0	 	 	 	1	7
81043	2	5	3	4	30	8	1	600	 	4	0	4
81045	1	1	2	6	21	8	0	 	 	 	0	6
81045	2	3	2	6	20	4	2	 	70	2	1	6
81046	1	5	1	4	25	10	1	650	 	4	0	0
81047	1	1	2	5	25	6	0	 	 	 	1	5
81048	1	1	2	3	15	8	0	 	 	 	1	12
81048	2	5	3	9	26	6	1	500	 	4	1	12
81049	1	1	2	4	5	9	0	 	 	 	1	4
81049	2	10	6	12	4	7	1	100	 	3	1	12
81050	1	5	3	4	30	6	1	100	 	2	1	6
81050	2	3	6	12	20	7	1	200	 	2	1	12
91001	1	12	1	12	30	18	1	2300	 	4	1	12
91002	1	1	2	10	6	4	0	 	 	 	1	4
91002	2	10	2	8	2	5	1	80	 	4	1	8
91003	1	13	1	5	26	12	1	1100	 	4	1	12
91004	1	13	1	5	26	12	1	700	 	4	0	0
91004	2	13	3	4	26	10	1	800	 	4	1	12
91006	1	1	2	4	15	6	0	 	 	 	1	4
91006	2	19	3	2	30	6	1	300	 	4	1	12
91007	1	1	2	5	10	8	0	 	 	 	1	5
91007	2	12	3	6	4	2	1	200	 	4	1	12
91008	1	1	2	4	15	6	0	 	 	 	1	10
91010	1	1	2	4	15	8	0	 	 	 	1	0
91010	2	5	3	1	1	8	1	60	 	2	0	0
91013	1	1	2	6	12	6	0	 	 	 	1	6
91013	2	13	5	10	3	3	1	290	 	4	1	12
91014	1	1	2	12	15	6	0	 	 	 	1	5
91015	1	1	2	7	15	6	0	 	 	 	1	7
91015	2	12	3	12	20	5	1	1000	 	3	1	12
91017	1	13	3	1	22	12	1	700	 	4	1	5
91018	1	1	2	3	10	4	0	 	 	 	1	3
91018	2	5	3	1	3	8	1	240	 	2	0	1
91019	1	13	4	0	9	8	1	3000	 	4	1	12
91020	1	13	4	12	26	12	1	1000	 	4	1	12
91021	1	1	2	6	15	7	0	 	 	 	1	8
91021	2	12	4	6	3	3	1	350	 	4	0	-77
91021	3	4	2	12	15	4	0	 	 	 	1	12
91022	1	1	2	4	25	6	0	 	 	 	1	12
91022	2	5	3	12	15	6	1	300	 	4	1	12
91023	1	13	1	12	30	8	1	500	 	4	1	0
91024	1	1	2	1	20	8	0	 	 	 	1	2
91024	2	5	3	1	7	8	1	40	 	2	0	3
91025	1	1	2	4	26	8	0	 	 	 	1	4
91025	2	12	3	3	26	8	1	50	 	2	0	5
91025	3	5	3	2	20	8	1	45	 	2	0	2
91026	1	1	2	5	20	6	0	 	 	 	1	4
91026	2	13	4	12	22	8	1	2315	 	4	1	10
91027	1	1	2	7	4	8	0	 	 	 	1	7
91027	2	4	2	6	10	4	0	 	 	 	1	6
91028	1	1	2	6	25	6	0	 	 	 	1	4
91028	2	10	6	12	20	4	1	120	 	4	1	12
91029	1	1	2	5	10	5	0	 	 	 	1	5
91030	1	2	1	10	24	8	1	1200	 	4	1	10
91032	1	13	3	12	26	10	1	1200	 	4	0	10
91033	1	1	2	4	20	6	0	 	 	 	1	2
91033	2	5	3	4	18	6	1	2000	 	5	1	4
91034	1	13	4	12	30	8	1	820	 	4	1	12
91035	1	1	2	3	15	8	0	 	 	 	1	3
91036	1	1	2	4	22	7	0	 	 	 	1	4
91036	2	5	3	1	22	8	1	90	 	2	1	4
91037	1	1	2	10	20	6	0	 	 	 	1	10
91038	1	9	3	12	30	5	1	300	 	2	1	12
91039	1	13	4	12	30	8	1	1800	 	4	1	12
91042	1	1	2	5	15	8	0	 	 	 	1	5
91043	1	1	2	10	20	6	0	 	 	 	1	8
91043	2	5	3	4	15	8	1	5000	 	5	1	4
91044	1	1	2	4	20	8	0	 	 	 	1	4
91044	2	5	3	2	20	10	1	1750	 	4	0	0
91044	3	12	3	1	15	8	1	90	 	2	0	3
