CHILDCODE	HHDCIDR5	HVEMDER5	MADDECR5	WHOPRVR5
21005	7	0	1	1
21005	8	1	1	8
21005	9	1	1	8
21005	10	0	1	88
21006	1	1	1	1
21006	2	1	1	1
21006	3	1	1	1
21006	4	1	1	1
21006	5	1	1	1
21006	6	0	1	1
21006	7	0	1	1
21006	8	1	1	3
21006	9	1	1	3
21006	10	0	1	88
21007	1	1	1	1
21007	2	1	1	1
21007	3	1	1	7
21007	4	1	1	7
21007	5	1	1	7
21007	6	0	1	1
21007	7	0	1	1
21007	8	1	1	7
21007	9	1	1	7
21007	10	0	1	88
21008	1	1	1	7
21008	2	1	1	7
21008	3	1	1	7
21008	4	1	1	7
21008	5	1	1	7
21008	6	0	1	6
21008	7	0	1	6
21008	8	1	1	7
21008	9	1	1	7
21008	10	0	0	88
21010	1	1	1	7
21010	2	1	1	7
21010	3	1	1	7
21010	4	1	1	7
21010	5	1	1	7
21010	6	0	1	7
21010	7	0	1	6
21010	8	1	79	7
21010	9	1	1	7
21010	10	0	0	88
21011	1	1	1	1
21011	2	1	1	1
21011	3	1	1	1
21011	4	0	1	1
21011	5	1	1	1
21011	6	0	1	1
21011	7	0	1	1
21011	8	1	1	1
21011	9	1	1	1
21011	10	0	1	88
21012	1	1	1	6
21012	2	1	1	6
21012	3	1	1	6
21012	4	0	1	6
21012	5	1	1	6
21012	6	1	1	6
21012	7	1	1	6
21012	8	1	1	6
21012	9	1	1	6
21012	10	0	1	88
21013	1	1	1	1
21013	2	1	1	1
21013	3	1	1	1
21013	4	0	1	7
21013	5	1	1	1
21013	6	0	1	7
21013	7	0	1	1
21013	8	1	1	8
21013	9	1	1	7
21013	10	0	1	88
21014	1	1	1	1
21014	2	1	1	6
21014	3	1	1	6
21014	4	1	1	6
21014	5	1	1	6
21014	6	1	1	6
21014	7	1	1	6
21014	8	1	1	6
21014	9	1	1	1
21014	10	0	0	88
21015	1	1	0	1
21015	2	1	1	1
21015	3	1	1	1
21015	4	1	1	1
21015	5	1	1	1
21015	6	0	1	1
21015	7	0	1	1
21015	8	1	1	2
21015	9	1	1	2
21015	10	0	0	88
21016	1	1	1	7
21016	2	0	1	7
21016	3	1	1	7
21016	4	1	1	7
